"","condition","id","delete","description","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment","gsea_enrichment"
"11","BNT-I (D10, mild)","NEUTROPHIL","NEUTROPHIL...11","NEUTROPHIL",24,0.478555244838575,2.06430815744184,0.00201628788765004,0.0161303031012003,0.0127344498167371,788,"tags=54%, list=14%, signal=47%","ELANE/CD177/ANXA3/CTSG/AZU1/IL18RAP/IL15/CXCL3/CAMP/MERTK/S100A12/FCER1G/LGALS3","ImmuneGO"
"12","BNT-I (D10, mild)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...12","CELLULAR ADAPTIVE IMMUNE SYSTEM",103,-0.370924131156901,-1.67802164411713,0.0063103375629006,0.0252413502516024,0.0199273817775808,960,"tags=34%, list=17%, signal=29%","DTX1/TXK/TOX/BCL2/CACNB4/NLRC3/GATA3/PLCG1/PRF1/SKAP1/CD247/RASGRP1/CRTAM/CR2/ITK/S1PR1/ZAP70/CD28/CD40LG/RORA/RORC/TESPA1/GZMM/CD3G/THEMIS/TCF7/CD8B/EOMES/ZNF683/KLRK1/IL7R/GPR15/CCR7/FCER1A/GLI3","ImmuneGO"
"13","BNT-I (D10, mild)","EOSINOPHIL","EOSINOPHIL...13","EOSINOPHIL",6,-0.656402972455998,-1.48419794661144,0.0670926517571885,0.156573116691285,0.123610355282593,1159,"tags=67%, list=21%, signal=53%","CCL5/CCL4/FCER1A/CCL3L1","ImmuneGO"
"14","BNT-I (D10, mild)","MAST CELL","MAST CELL","MAST CELL",11,-0.543303700307419,-1.47716186855049,0.0782865583456425,0.156573116691285,0.123610355282593,704,"tags=36%, list=13%, signal=32%","RASGRP1/PTGDS/FCER1A/CLNK","ImmuneGO"
"15","BNT-I (D10, severe)","NEUTROPHIL","NEUTROPHIL...15","NEUTROPHIL",36,0.537207454332786,2.16778342751391,5.19855953603089e-05,0.000415884762882471,0.000273608396633205,2433,"tags=69%, list=30%, signal=49%","ELANE/CTSG/PRTN3/AZU1/CD177/CAMP/IL18RAP/ANXA3/S100A12/CCL20/CXCL2/CXCL3/CSF1/IL15/FCER1G/MERTK/ADAM17/FCAR/ITGA1/F2RL1/NLRP6/PRKCD/STXBP3/LGALS3/LILRA2","ImmuneGO"
"16","BNT-I (D10, severe)","MONOCYTES","MONOCYTES...16","MONOCYTES",7,0.763534513989838,1.9155725484679,0.00226443916906962,0.00603850445085232,0.00397270029661337,970,"tags=71%, list=12%, signal=63%","CTSG/AZU1/S100A12/CCL20/CSF1","ImmuneGO"
"17","BNT-I (D10, severe)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...17","CELLULAR ADAPTIVE IMMUNE SYSTEM",133,-0.288918428414571,-1.67634010938108,0.00171900946482637,0.00603850445085232,0.00397270029661337,1416,"tags=30%, list=17%, signal=25%","KLRK1/RAG1/CR2/PRKCQ/TOX/SKAP1/GPR183/CD247/CTLA4/IL7/S1PR1/CD1C/ZAP70/BCL2/DPP4/NLRC3/LFNG/SPN/GATA3/CRTAM/ITK/ZFPM1/PLCG1/RASGRP1/RORA/GZMM/CD8B/EOMES/TESPA1/CD28/CD3G/THEMIS/TCF7/GPR15/IL7R/CCR7/CD40LG/RORC/ZNF683/FCER1A","ImmuneGO"
"18","BNT-I (D26, severe)","NEUTROPHIL","NEUTROPHIL...18","NEUTROPHIL",3,0.869635627530364,1.65254000623629,0.00729701443979851,0.0510791010785896,0.0460864069882011,164,"tags=100%, list=13%, signal=87%","CXCL2/S100A12/CXCL5","ImmuneGO"
"19","BNT-I (D26, severe)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...19","COMPLEMENT IMMUNE SYSTEM",1,-0.977364591754244,-1.30871361111885,0.0711462450592885,0.24901185770751,0.224672352818806,30,"tags=100%, list=2%, signal=98%","","ImmuneGO"
"20","BNT-I (D3)","NEUTROPHIL","NEUTROPHIL...20","NEUTROPHIL",6,0.679635159564769,1.59419014907302,0.0247228169679907,0.173059718775935,0.156144107166257,193,"tags=67%, list=18%, signal=55%","CD177/S100A12/ANXA3/FCAR","ImmuneGO"
"21","BNT-I-BNT (D51, mild)","NEUTROPHIL","NEUTROPHIL...21","NEUTROPHIL",2,0.968684759916493,1.63954893394611,0.00265695294069546,0.0159417176441727,0.0111871702766124,17,"tags=100%, list=4%, signal=97%","AZU1/CAMP","ImmuneGO"
"22","BNT-I-BNT (D51, mild)","MONOCYTES","MONOCYTES...22","MONOCYTES",1,0.99375,1.3323062428995,0.0149608897067995,0.0448826691203984,0.0314966099090515,4,"tags=100%, list=1%, signal=99%","AZU1","ImmuneGO"
"23","BNT-I-BNT (D51, mild)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...23","COMPLEMENT IMMUNE SYSTEM",1,-0.983333333333333,-1.32233007519645,0.0522088353413655,0.104417670682731,0.0732755583738463,10,"tags=100%, list=2%, signal=98%","","ImmuneGO"
"24","BNT-I-BNT (D51, severe)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...24","CELLULAR ADAPTIVE IMMUNE SYSTEM",1,-0.967289719626168,-1.28651651027074,0.0746561886051081,0.223968565815324,0.223968565815324,9,"tags=100%, list=4%, signal=96%","","ImmuneGO"
"25","BNT-MO (V3, D1)","NEUTROPHIL","NEUTROPHIL...25","NEUTROPHIL",29,0.565864137608578,1.91370518829877,0.0011242617912476,0.00899409432998078,0.00591716732235578,1105,"tags=48%, list=17%, signal=40%","CCL8/CXCL9/CCL2/CCL3L1/PDE4B/CXCL2/CCL3/FCAR/CXCL8/ANXA3/IL15/FCER1G/CCR2/F2RL1","ImmuneGO"
"26","BNT-MO (V3, D1)","EOSINOPHIL","EOSINOPHIL...26","EOSINOPHIL",7,0.737914567776471,1.70529115135099,0.00973873040480386,0.0389549216192154,0.0256282379073786,669,"tags=57%, list=10%, signal=51%","CCL8/CCL2/CCL3L1/CCL3","ImmuneGO"
"27","BNT-MO (V3, D1)","MONOCYTES","MONOCYTES...27","MONOCYTES",8,0.653522979613526,1.5725449787521,0.0452342487883683,0.120624663435649,0.0793583312076638,1060,"tags=62%, list=17%, signal=52%","CCL8/CCL2/CCL3L1/CCL3/CCR2","ImmuneGO"
"28","BNT-MO (V3, D1)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...28","CELLULAR ADAPTIVE IMMUNE SYSTEM",119,0.295940306407782,1.27716389878454,0.108866442199776,0.217732884399551,0.143245318683915,1663,"tags=35%, list=26%, signal=27%","IDO1/CCL2/EGR1/DEFA1/IL10/IRF1/FAS/PDE4B/TAP2/MDK/CLEC4G/CCL3/PSMB10/CD46/RELB/IL15/FCER1G/NFKBID/BCL3/MAP3K8/CD83/CCR2/CEBPB/LILRB1/F2RL1/STAT3/THEMIS2/B2M/SRC/JMJD6/TLR4/BTN3A2/BCL10/LCP1/BCL6/JAG1/PTPN6/LIPA/DOCK8/WAS/HLA-E/LEPR","ImmuneGO"
"29","ChAd (V1, D3)","NEUTROPHIL","NEUTROPHIL...29","NEUTROPHIL",38,-0.448464113470337,-1.76324916678826,0.00522646467395243,0.0418117173916194,0.0330092505723311,395,"tags=32%, list=6%, signal=30%","NLRP6/CXCL5/CSF1/CCL4L1/CXCL2/CXCR1/CXCR2/CXCL3/CCL3L1/CXCL1/CXCL8/CXCL6","ImmuneGO"
"30","ChAd (V1, D3)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...30","CELLULAR ADAPTIVE IMMUNE SYSTEM",121,0.273984668948597,1.43770774180158,0.035320650333877,0.141282601335508,0.111538895791191,1641,"tags=38%, list=24%, signal=29%","IDO1/CCL2/CD276/SRC/FCER1G/LILRB1/IL15/CEBPB/CD86/CLEC4G/LFNG/LGALS1/RBX1/TNFAIP8L2/PSMB10/NCAPH2/LAG3/CD1D/IRF1/ADA/TLR4/CTSC/CD151/BAX/RELB/FKBP1A/BTK/LIPA/CTSH/NCKAP1L/KDELR1/WAS/SLC11A1/MDK/CCR2/CORO1A/CSK/LCP1/TAP2/B2M/RHOA/THEMIS2/EFNB1/PRF1/MYO1G/PTPN6","ImmuneGO"
"31","ChAd (V1, D3)","NK CELL","NK CELL...31","NK CELL",16,0.478219052290995,1.51469818731638,0.0643776824034335,0.171673819742489,0.135531962954597,676,"tags=38%, list=10%, signal=34%","AXL/LGALS9/IL15/FCGR3A/PRDX1/LAG3","ImmuneGO"
"32","ChAd (V1, D3)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...32","COMPLEMENT IMMUNE SYSTEM",8,0.581433717308733,1.49353054177715,0.0901639344262295,0.180327868852459,0.142364106988783,1037,"tags=62%, list=15%, signal=53%","CFB/CFD/FPR2/FPR1/CFP","ImmuneGO"
"33","ChAd (V1, D7)","EOSINOPHIL","EOSINOPHIL...33","EOSINOPHIL",3,-0.951837317160185,-1.74278614632286,0.000596878232489889,0.00477502585991911,0.00439805013413602,139,"tags=100%, list=5%, signal=95%","CCL3L1/CCL3","ImmuneGO"
"34","ChAd (V1, D7)","NEUTROPHIL","NEUTROPHIL...34","NEUTROPHIL",20,0.567031855865999,1.50193425294334,0.0579310344827586,0.164539007092199,0.151549085479657,213,"tags=35%, list=8%, signal=33%","SCNN1B/ELANE/PRTN3/AZU1/CTSG/CXCR1/CXCR2","ImmuneGO"
"35","ChAd (V1, D7)","NK CELL","NK CELL...35","NK CELL",3,-0.797716732072779,-1.46059588574884,0.0617021276595745,0.164539007092199,0.151549085479657,571,"tags=100%, list=20%, signal=80%","TUBB4B/FCGR3A","ImmuneGO"
"36","ChAd (V2, D1)","EOSINOPHIL","EOSINOPHIL...36","EOSINOPHIL",4,0.846837875168707,1.61250274551514,0.0105094213001481,0.0434324653109339,0.0285739903361407,32,"tags=50%, list=1%, signal=50%","CCL8/CCL2","ImmuneGO"
"37","ChAd (V2, D1)","MONOCYTES","MONOCYTES...37","MONOCYTES",3,0.889197573131822,1.57049533876433,0.0108581163277335,0.0434324653109339,0.0285739903361407,32,"tags=67%, list=1%, signal=66%","CCL8/CCL2","ImmuneGO"
"38","ChAd (V2, D1)","NEUTROPHIL","NEUTROPHIL...38","NEUTROPHIL",13,0.581566620737396,1.59525004549725,0.0436327671009297,0.116354045602479,0.0765487142121573,502,"tags=38%, list=16%, signal=33%","CCL8/CCL2/CXCL2/AXL/IL15","ImmuneGO"
"39","ChAd-BNT (V2, D3)","MONOCYTES","MONOCYTES...39","MONOCYTES",12,0.674241376476338,1.82309382104461,0.00949439512150919,0.0678045645127903,0.0446082661268357,150,"tags=42%, list=4%, signal=40%","CCL8/CCL2/CCL7/CCL1/CCL20","ImmuneGO"
"40","ChAd-BNT (V2, D3)","EOSINOPHIL","EOSINOPHIL...40","EOSINOPHIL",11,0.665510965033726,1.75244822644464,0.0169511411281976,0.0678045645127903,0.0446082661268357,108,"tags=36%, list=3%, signal=36%","CCL8/CCL2/CCL7/CCL1","ImmuneGO"
"41","ChAd-BNT (V2, D3)","NEUTROPHIL","NEUTROPHIL...41","NEUTROPHIL",29,0.470642532359784,1.53282542106972,0.0401069518716578,0.106951871657754,0.0703630734590487,173,"tags=24%, list=4%, signal=23%","CCL8/CCL2/CCL7/CXCL9/CCL1/CCL20/AXL","ImmuneGO"
"42","ChAd-BNT (V2, D3)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...42","COMPLEMENT IMMUNE SYSTEM",5,0.690622359279116,1.44121547087405,0.0749185667752443,0.149837133550489,0.0985770615463741,357,"tags=60%, list=8%, signal=55%","CFB/CFD/FPR3","ImmuneGO"
"43","ChAd-BNT (V2, D7)","NEUTROPHIL","NEUTROPHIL...43","NEUTROPHIL",36,-0.723407586205625,-2.24543921299152,0.00333428501378764,0.0266742801103011,0.0175488684936192,642,"tags=61%, list=12%, signal=54%","CSF1/C5AR1/IL15/NLRP6/FCAR/MPL/CCL4/CCL3L1/CCL3/CCL20/CCL8/CXCL2/CXCL3/CCL2/CXCL5/PF4V1/CXCL8/CXCR2/CXCL6/CXCR1/CCL7/CXCL1","ImmuneGO"
"44","ChAd-BNT (V2, D7)","EOSINOPHIL","EOSINOPHIL...44","EOSINOPHIL",9,-0.826586506050455,-1.93684055858046,0.0107518792370804,0.0430075169483215,0.0282944190449483,456,"tags=78%, list=9%, signal=71%","MPL/CCL4/CCL3L1/CCL3/CCL8/CCL2/CCL7","ImmuneGO"
"45","ChAd-BNT (V2, D7)","MONOCYTES","MONOCYTES...45","MONOCYTES",13,-0.702372588234584,-1.79464242769515,0.0415973377703827,0.110926234054354,0.0729777855620749,765,"tags=77%, list=14%, signal=66%","S100A12/CSF1/MPL/CCL4/CCL3L1/CCL3/CCL20/CCL8/CCL2/CCL7","ImmuneGO"
"46","ChAd-BNT (V2, D7)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...46","HUMORAL ADAPTIVE IMMUNE SYSTEM",22,-0.567111761562087,-1.62271945831914,0.0699523052464229,0.139904610492846,0.092042506903188,1279,"tags=59%, list=24%, signal=45%","NFKB2/LGALS1/HCK/SPI1/FCER1G/LFNG/SRC/BCL3/BCL6/MPL/PBX1/PTX3/EPB42","ImmuneGO"
"47","ChAd-BNT (V2, D7)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...47","COMPLEMENT IMMUNE SYSTEM",7,-0.671187341109586,-1.45681893508893,0.0896057347670251,0.14336917562724,0.0943218260705527,623,"tags=71%, list=12%, signal=63%","CD55/C5AR1/FPR1/CLU/FPR2","ImmuneGO"
"48","ChAd-BNT (V2, D7)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...48","CELLULAR ADAPTIVE IMMUNE SYSTEM",81,-0.4051073439327,-1.37200718496909,0.177398160315375,0.236530880420499,0.155612421329276,1565,"tags=51%, list=29%, signal=36%","CRTAM/B2M/PDE4D/BCL10/TNFAIP8L2/PPP3CA/PTGER4/CRK/CD86/S1PR1/JMJD6/CASP3/LGALS1/PPP2CA/CD151/THEMIS2/PDE4B/RELB/PIK3R1/FCER1G/NFKBID/NRARP/LFNG/FKBP1B/SRC/TLR4/BCL3/EGR1/IL15/BCL6/IDO1/IRF1/TNFSF4/PBX1/CD83/CEBPB/IL12B/CCL3/CCL20/CCL2/BTNL8","ImmuneGO"
"49","ChAd-BNT (V3, D1)","NEUTROPHIL","NEUTROPHIL...49","NEUTROPHIL",14,0.632467471914917,1.57154444538707,0.0177118977109204,0.141695181687363,0.130508719975203,306,"tags=43%, list=13%, signal=37%","CCL8/CCL2/CXCL9/CXCL3/CXCL2/CCL3L1","ImmuneGO"
"50","ChAd-BNT (V3, D1)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...50","HUMORAL ADAPTIVE IMMUNE SYSTEM",11,-0.46610102390292,-1.52644010089845,0.0709222195374838,0.193905817174515,0.178597463187054,471,"tags=64%, list=20%, signal=51%","LRRC8A/MSH2/GATA3/CD27/CD81/PRF1/IL2RB","ImmuneGO"
"51","ChAd-BNT (V3, D1)","EOSINOPHIL","EOSINOPHIL...51","EOSINOPHIL",6,0.690134390668944,1.40589413631802,0.073270013568521,0.193905817174515,0.178597463187054,306,"tags=50%, list=13%, signal=44%","CCL8/CCL2/CCL3L1","ImmuneGO"
"52","ChAd-BNT (V3, D1)","MONOCYTES","MONOCYTES...52","MONOCYTES",5,0.698382067623586,1.37444888315498,0.0969529085872576,0.193905817174515,0.178597463187054,306,"tags=60%, list=13%, signal=52%","CCL8/CCL2/CCL3L1","ImmuneGO"
"53","I (D10, moderate)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...53","CELLULAR ADAPTIVE IMMUNE SYSTEM",103,-0.337336320786192,-1.87534055279287,0.000534239275032933,0.00427391420026346,0.00337414278968168,1280,"tags=41%, list=21%, signal=33%","ITGB7/PRF1/BCL2/RPL22/ITK/CD7/CD247/SKAP1/RORA/CD81/PIK3R1/CRTAM/EOMES/GPR183/NLRC3/SPNS2/TOX/GATA3/DPP4/KLRK1/SPN/CD28/RASGRP1/RORC/LFNG/CD1C/S1PR1/PLCG1/THEMIS/ZAP70/TESPA1/IL7R/CD8B/CD40LG/CD3G/TCF7/GZMM/CCR7/ZNF683/ZFPM1/GPR15/FCER1A","ImmuneGO"
"54","I (D10, moderate)","NEUTROPHIL","NEUTROPHIL...54","NEUTROPHIL",26,0.483307063570017,1.74014332749524,0.0183882259147944,0.0735529036591775,0.0580680818361928,1082,"tags=46%, list=18%, signal=38%","CD177/IL18RAP/CXCL2/ANXA3/S100A12/CXCL3/FCER1G/CAMP/MERTK/IL15/FCAR/F2","ImmuneGO"
"55","I (D10, moderate)","EOSINOPHIL","EOSINOPHIL...55","EOSINOPHIL",4,-0.666915757560131,-1.42652138888511,0.113490364025696,0.246153846153846,0.194331983805668,784,"tags=50%, list=13%, signal=44%","CCL5/FCER1A","ImmuneGO"
"56","I (D10, moderate)","MONOCYTES","MONOCYTES...56","MONOCYTES",5,0.603264744959852,1.31180466113271,0.153846153846154,0.246153846153846,0.194331983805668,987,"tags=60%, list=16%, signal=50%","MT1G/S100A12/FLT1","ImmuneGO"
"57","I (D10, moderate)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...57","HUMORAL ADAPTIVE IMMUNE SYSTEM",27,-0.324660018316455,-1.30112376534257,0.143920595533499,0.246153846153846,0.194331983805668,1256,"tags=41%, list=21%, signal=32%","PRF1/BCL2/CD81/GPR183/GATA3/LRRC8A/LFNG/IL2RB/CD40LG/CD6/FCER1A","ImmuneGO"
"58","I (D10, severe)","EOSINOPHIL","EOSINOPHIL...58","EOSINOPHIL",3,-0.931902191467232,-1.73552849929669,0.000890152310088788,0.0071212184807103,0.00468501215836204,12,"tags=67%, list=0%, signal=67%","FCER1A/CCL2","ImmuneGO"
"59","I (D10, severe)","NEUTROPHIL","NEUTROPHIL...59","NEUTROPHIL",24,0.484858053233784,1.70109533681621,0.0209767044341513,0.0559378784910701,0.0368012358493883,640,"tags=42%, list=10%, signal=38%","CD177/CCL20/IL18RAP/S100A12/ANXA3/CAMP/CXCL2/AZU1/NLRP6/FCAR","ImmuneGO"
"60","I (D10, severe)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...60","CELLULAR ADAPTIVE IMMUNE SYSTEM",119,-0.265436270424665,-1.453081488351,0.0194076910791371,0.0559378784910701,0.0368012358493883,1477,"tags=33%, list=22%, signal=26%","PRDX2/CDK6/EFNB1/MEN1/ITK/CRTAM/CD86/ITGB7/RPL22/CD81/LILRB1/CD1C/CTLA4/PLCG1/LFNG/THEMIS/SRC/RASGRP1/GZMM/GATA3/SPN/CD3G/ZFPM1/BTNL9/S1PR1/IL7R/CD28/DPP4/CCR2/DTX1/TESPA1/RORC/CD40LG/CCR7/IDO1/TCF7/GPR15/FCER1A/CCL2","ImmuneGO"
"61","I (D10, severe)","MONOCYTES","MONOCYTES...61","MONOCYTES",7,0.583885056684053,1.43862021988464,0.0996168582375479,0.199233716475096,0.131074813470458,537,"tags=71%, list=8%, signal=66%","CCL20/FLT1/S100A12/MT1G/AZU1","ImmuneGO"
"62","I (D26, moderate)","NEUTROPHIL","NEUTROPHIL...62","NEUTROPHIL",20,0.73007526020718,2.39392518367446,3.85204384238668e-07,3.08163507390934e-06,1.62191319679439e-06,715,"tags=70%, list=17%, signal=58%","CTSG/ELANE/CD177/PRTN3/AZU1/CAMP/CXCL2/S100A12/IL18RAP/ANXA3/FCAR/MERTK/CXCL3/FCER1G","ImmuneGO"
"63","I (D26, moderate)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...63","CELLULAR ADAPTIVE IMMUNE SYSTEM",84,-0.324095530322301,-1.88264206040723,0.000268984751165675,0.0010759390046627,0.000566283686664578,871,"tags=44%, list=21%, signal=36%","SKAP1/PIK3R1/CD7/RAG1/TXK/TOX/THEMIS/RASGRP1/NLRC3/RORA/CD247/ITGB7/PRF1/LAG3/GATA3/PLCG1/CRTAM/ZAP70/GPR89B/RORC/IL7R/CR2/CD28/KLRK1/CD8B/TESPA1/CD3G/GZMM/TNFRSF4/EOMES/CD40LG/S1PR1/TCF7/ZFPM1/FCER1A/CCR7/GPR15","ImmuneGO"
"64","I (D26, moderate)","MONOCYTES","MONOCYTES...64","MONOCYTES",5,0.852229600919688,1.82232778209242,0.0004703812075342,0.00125434988675787,0.000660184150925193,353,"tags=80%, list=8%, signal=73%","CTSG/AZU1/S100A12/FLT1","ImmuneGO"
"65","I (D26, moderate)","NK CELL","NK CELL...65","NK CELL",8,-0.628799588771341,-1.75498684867288,0.0149450857512256,0.0298901715024512,0.0157316692118164,694,"tags=75%, list=17%, signal=63%","RASGRP1/LAG3/GATA3/KLRK1/KLRC2/KIR3DL1","ImmuneGO"
"66","I (D26, moderate)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...66","HUMORAL ADAPTIVE IMMUNE SYSTEM",19,-0.355861927635755,-1.36361766893565,0.105555555555556,0.168888888888889,0.0888888888888889,551,"tags=58%, list=13%, signal=51%","KMT2A/GPR183/CD81/RAG1/PRF1/CD27/GATA3/IL2RB/CD6/CD40LG/FCER1A","ImmuneGO"
"67","I (D26, severe)","MONOCYTES","MONOCYTES...67","MONOCYTES",4,0.935107073329007,1.933242952401,7.07853524818592e-05,0.000566282819854874,0.000372554486746627,404,"tags=100%, list=7%, signal=94%","S100A12/FLT1/CCL20/CTSG","ImmuneGO"
"68","I (D26, severe)","NEUTROPHIL","NEUTROPHIL...68","NEUTROPHIL",21,0.568590261770174,2.05962155618225,0.00327384697714596,0.0130953879085838,0.00861538678196305,616,"tags=43%, list=10%, signal=39%","CD177/S100A12/CXCL2/ANXA3/IL18RAP/CCL20/CAMP/CTSG/CXCL3","ImmuneGO"
"69","I (D26, severe)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...69","CELLULAR ADAPTIVE IMMUNE SYSTEM",104,-0.300113445352491,-1.61421087753345,0.00827934591756985,0.0220782557801863,0.0145251682764383,1705,"tags=44%, list=28%, signal=33%","ITGB7/PSMB10/NLRC3/ADA/ITPKB/GATA3/ITK/MDK/PRDX2/MYO1G/PLCG1/AKT1/CACNB3/CRTAM/TESPA1/CSK/SPNS2/CORO1A/MEN1/LILRB1/EOMES/CD1C/DTX1/CD81/EFNB1/CACNB4/CD247/CD3G/SPN/IL7R/SRC/S1PR1/CD40LG/RORC/TCF7/PRF1/CD7/LFNG/ZAP70/GPR15/CCR7/ZNF683/ZFPM1/FCER1A/GZMM/EPHB3","ImmuneGO"
"70","I (D26, severe)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...70","HUMORAL ADAPTIVE IMMUNE SYSTEM",32,-0.380282152991242,-1.5354777895061,0.0516898608349901,0.10337972166998,0.0680129747828817,1051,"tags=38%, list=17%, signal=31%","LRRC8A/CD27/CD81/CACNB4/ZP3/SRC/IL2RB/CD40LG/PRF1/LFNG/CD6/FCER1A","ImmuneGO"
"71","I (D26, severe)","EOSINOPHIL","EOSINOPHIL...71","EOSINOPHIL",2,-0.806012943794425,-1.28403491610545,0.148809523809524,0.238095238095238,0.156641604010025,133,"tags=100%, list=2%, signal=98%","FCER1A","ImmuneGO"
"72","I (D51, severe)","NEUTROPHIL","NEUTROPHIL...72","NEUTROPHIL",16,0.747189472076267,2.30308775396629,0.000263861901935606,0.00211089521548485,0.0016664962227512,495,"tags=69%, list=13%, signal=60%","CCL20/CD177/CXCL2/ELANE/AZU1/CAMP/FCAR/S100A12/IL18RAP/ANXA3/CXCL8","ImmuneGO"
"73","I (D51, severe)","MONOCYTES","MONOCYTES...73","MONOCYTES",6,0.840393377682929,1.9302543651211,0.00667722927429036,0.0267089170971614,0.0210859871819696,220,"tags=67%, list=6%, signal=63%","CCL20/AZU1/FLT1/S100A12","ImmuneGO"
"74","ZF2001 (V3, D07)","NK CELL","NK CELL...74","NK CELL",6,-0.747217855247665,-1.98586086811295,0.00380706635734472,0.0266494645014131,0.0200371913544459,518,"tags=83%, list=11%, signal=75%","GATA3/PLEKHM2/TUBB4B/RNF19B/IL2","ImmuneGO"
