"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","condition","gsea_enrichment"
"Eosinophil...11","Eosinophil","Eosinophil",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Immune response...12","Immune response","Immune response",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Monocytes...13","Monocytes","Monocytes",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Neutrophil...14","Neutrophil","Neutrophil",1,-0.981132075471698,-1.31230283911672,0.0704225352112676,0.110663983903421,0.110663983903421,3,"tags=100%, list=6%, signal=96%","","BBIBP (V3, D14)","ImmuneGO"
"Antiviral and inteferon...15","Antiviral and inteferon","Antiviral and inteferon",1,1,1.28461538461538,0.245596619119465,0.245596619119465,0.245596619119465,1,"tags=100%, list=8%, signal=100%","IFI27","BNT (V1, D6)","ImmuneGO"
"Immune system, Process...16","Immune system, Process","Immune system, Process",1,1,1.28461538461538,0.245596619119465,0.245596619119465,0.245596619119465,1,"tags=100%, list=8%, signal=100%","IFI27","BNT (V1, D6)","ImmuneGO"
"Innate immune response...17","Innate immune response","Innate immune response",1,1,1.28461538461538,0.245596619119465,0.245596619119465,0.245596619119465,1,"tags=100%, list=8%, signal=100%","IFI27","BNT (V1, D6)","ImmuneGO"
"Signaling, Interferon I, Pathway...18","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway",1,1,1.28461538461538,0.245596619119465,0.245596619119465,0.245596619119465,1,"tags=100%, list=8%, signal=100%","IFI27","BNT (V1, D6)","ImmuneGO"
"Immune system, Process...19","Immune system, Process","Immune system, Process",144,0.645072205296083,2.71277464154958,1e-10,8.86666666666667e-09,8.17543859649123e-09,1231,"tags=48%, list=16%, signal=41%","IDO1/ACOD1/GBP6/FCGR1A/GBP1/GBP7/IFI6/IFIT1/IFITM3/MX1/IL31RA/IFIT2/IDO2/IFI35/IL27/DDX60/OAS2/RIGI/CFB/IFI27/PARP9/PML/GBP2/EIF2AK2/TAP1/CLEC6A/RNF213/TAP2/BST2/IRF1/IRF9/IFITM1/PSMB9/LILRB4/APOBEC3A/MX2/LGALS9/LILRB1/PSMB8/IFI30/TICAM2/CD300LD/NLRC5/CASP4/ADAR/HLA-DPA1/LACC1/FCER1G/HLA-DMB/CGAS/CD40/HLA-DMA/IRF2/ERAP2/GSDMD/SRC/APOBEC3F/FCGR3A/ZC3HAV1/CD86/HLA-F/CD300C/B2M/TRIM26/RNF19B/HLA-C/BTN3A2/CD46/VSTM1","BNT (V2, D1)","ImmuneGO"
"Antiviral and inteferon...20","Antiviral and inteferon","Antiviral and inteferon",53,0.760268201037331,2.68977959364954,1e-10,8.86666666666667e-09,8.17543859649123e-09,674,"tags=43%, list=9%, signal=40%","ACOD1/CCL8/GBP6/GBP1/CCL2/GBP7/IFIT1/IFITM3/MX1/IFIT2/OAS2/STAT1/RIGI/STAT2/IFI27/GBP2/EIF2AK2/IRF1/IFITM1/CASP1/LGALS9/SP100/HLA-DPA1","BNT (V2, D1)","ImmuneGO"
"Innate immune response...21","Innate immune response","Innate immune response",102,0.669324859839681,2.66323494753629,1e-10,8.86666666666667e-09,8.17543859649123e-09,870,"tags=39%, list=11%, signal=35%","ACOD1/GBP6/FCGR1A/GBP1/GBP7/IFI6/IFIT1/IFITM3/MX1/IFIT2/IFI35/IL27/DDX60/OAS2/TRIM22/RIGI/CFB/IFI27/PARP9/PML/GBP2/EIF2AK2/CLEC6A/BST2/IRF1/TRIM21/IFITM1/APOBEC3A/MX2/TICAM2/NLRC5/CASP4/ADAR/NCF1/LACC1/FCER1G/CGAS/GSDMD/SRC/APOBEC3F","BNT (V2, D1)","ImmuneGO"
"Cellular response to Interferon II...22","Cellular response to Interferon II","Cellular response to Interferon II",28,0.75925333422411,2.39329626226582,3.07819202619913e-07,2.04699769742242e-05,1.88741774237999e-05,476,"tags=36%, list=6%, signal=34%","ACOD1/CCL8/GBP6/GBP1/CCL2/GBP7/STAT1/GBP2/CASP1/LGALS9","BNT (V2, D1)","ImmuneGO"
"Antigen recognition processing and presentation...23","Antigen recognition processing and presentation","Antigen recognition processing and presentation",59,0.614090821076844,2.22009573649213,2.60051258186731e-06,0.000138347269355341,0.000127561985594754,1917,"tags=68%, list=24%, signal=52%","FCGR1A/RIGI/TAP1/CLEC6A/TAP2/PIK3AP1/PSME1/CASP1/PSMB8/IFI30/TICAM2/SCIMP/HLA-DPA1/LACC1/FCER1G/HLA-DMB/CGAS/CD40/HLA-DMA/ERAP2/SRC/NFKBIA/HLA-F/B2M/HLA-C/CTSE/RELB/PDIA3/XIAP/CD1D/CTSS/TNFAIP3/FCGR2B/CTSH/BTK/HLA-E/TICAM1/RAB10/TLR4/CALR","BNT (V2, D1)","ImmuneGO"
"Antiviral innate immune response...24","Antiviral innate immune response","Antiviral innate immune response",9,0.872142185894009,2.10329785071942,2.3388154867816e-05,0.00103687486580651,0.000956042120035284,195,"tags=56%, list=2%, signal=54%","IFIT1/MX1/IFIT2/RIGI/EIF2AK2","BNT (V2, D1)","ImmuneGO"
"Response to Interferon II...25","Response to Interferon II","Response to Interferon II",12,0.790428625281212,2.03207209961115,0.000157216792453092,0.0059742381132175,0.00550849814158954,1064,"tags=75%, list=13%, signal=65%","IFITM3/STAT1/GCH1/BST2/TRIM21/IFITM1/SP100/CD40/CIITA","BNT (V2, D1)","ImmuneGO"
"Signaling, Interferon I, Pathway...26","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway",15,0.762174593670846,2.05356976805145,0.000209236159381747,0.00694393809733893,0.00640260220292826,624,"tags=47%, list=8%, signal=43%","IFITM3/OAS2/STAT1/STAT2/IFI27/IFITM1/SP100","BNT (V2, D1)","ImmuneGO"
"Immune response...27","Immune response","Immune response",104,0.468001681576712,1.87314192242641,0.000234945273970114,0.00694393809733893,0.00640260220292826,1473,"tags=38%, list=19%, signal=32%","CCL8/GBP6/FCGR1A/CXCL9/CCL2/IFI6/IFITM3/TRIM22/TNFSF10/GBP2/LIF/FAS/CLEC4G/IL15/TNFSF15/RGS1/IL1RN/CCR1/FCGR2C/GPR65/HLA-DPA1/HLA-DMB/SERPINB9/HLA-DMA/FCGR3A/IGSF6/CD86/CIITA/HLA-F/GTPBP1/B2M/IL12A/HLA-C/CCR2/ADGRE5/LILRB2/LTBR/CD1D/CTSS/FCGR2B","BNT (V2, D1)","ImmuneGO"
"Chemotaxis, Macrophage...28","Chemotaxis, Macrophage","Chemotaxis, Macrophage",4,0.928606869064356,1.797865356576,0.000320923585398716,0.00853656737160586,0.00787107319977904,220,"tags=75%, list=3%, signal=73%","CXCL17/CCL2/EDNRB","BNT (V2, D1)","ImmuneGO"
"APP, MHC II, exogenous peptide...29","APP, MHC II, exogenous peptide","APP, MHC II, exogenous peptide",10,0.796668611963413,1.959210639934,0.000665216930479587,0.0160861548643246,0.0148321095504061,1473,"tags=90%, list=19%, signal=73%","IFI30/HLA-DPA1/FCER1G/HLA-DMB/HLA-DMA/B2M/CTSE/CTSS/FCGR2B","BNT (V2, D1)","ImmuneGO"
"Eosinophil...30","Eosinophil","Eosinophil",6,0.822862777167568,1.75587392963409,0.00390773215600385,0.0866213961247521,0.0798685607323595,41,"tags=33%, list=1%, signal=33%","CCL8/CCL2","BNT (V2, D1)","ImmuneGO"
"Neutrophil...31","Neutrophil","Neutrophil",25,0.563511279408103,1.72412649547216,0.0110472487220892,0.154661482109249,0.142604374085694,699,"tags=28%, list=9%, signal=26%","CCL8/CXCL9/CCL2/IL15/ANXA3/PDE4B/FCER1G","BNT (V2, D1)","ImmuneGO"
"APP, MHC I, endogenous peptide...32","APP, MHC I, endogenous peptide","APP, MHC I, endogenous peptide",5,0.829122497493389,1.68870055537275,0.0089812314934562,0.154661482109249,0.142604374085694,1127,"tags=80%, list=14%, signal=69%","TAP1/TAP2/ERAP2/B2M","BNT (V2, D1)","ImmuneGO"
"APP, MHC I, exogenous peptide...33","APP, MHC I, exogenous peptide","APP, MHC I, exogenous peptide",3,0.912043472766334,1.61076705438648,0.00865033878385019,0.154661482109249,0.142604374085694,699,"tags=100%, list=9%, signal=91%","FCGR1A/IFI30/FCER1G","BNT (V2, D1)","ImmuneGO"
"Signaling, PRR","Signaling, PRR","Signaling, PRR",3,0.910021483634526,1.60719600369087,0.00923186090799511,0.154661482109249,0.142604374085694,715,"tags=100%, list=9%, signal=91%","CASP1/LACC1/CGAS","BNT (V2, D1)","ImmuneGO"
"APP, MHC II, polysacharide or peptide","APP, MHC II, polysacharide or peptide","APP, MHC II, polysacharide or peptide",3,0.906988499936813,1.60183942764746,0.0102495263759543,0.154661482109249,0.142604374085694,739,"tags=100%, list=9%, signal=91%","HLA-DPA1/HLA-DMB/HLA-DMA","BNT (V2, D1)","ImmuneGO"
"Chemotaxis, Eosinophil...36","Chemotaxis, Eosinophil","Chemotaxis, Eosinophil",3,0.90420165791737,1.59691756433202,0.0109764313567619,0.154661482109249,0.142604374085694,41,"tags=67%, list=1%, signal=66%","CCL8/CCL2","BNT (V2, D1)","ImmuneGO"
"Chemotaxis, Lymphocyte...37","Chemotaxis, Lymphocyte","Chemotaxis, Lymphocyte",3,0.90420165791737,1.59691756433202,0.0109764313567619,0.154661482109249,0.142604374085694,41,"tags=67%, list=1%, signal=66%","CCL8/CCL2","BNT (V2, D1)","ImmuneGO"
"Signaling, Interferon II, Pathway...38","Signaling, Interferon II, Pathway","Signaling, Interferon II, Pathway",6,0.786701885744182,1.67871165144573,0.012099400336696,0.156833514068436,0.14460707866223,624,"tags=50%, list=8%, signal=46%","STAT1/IRF1/SP100","BNT (V2, D1)","ImmuneGO"
"APP, Exogenous antigen","APP, Exogenous antigen","APP, Exogenous antigen",2,0.949203942380591,1.49411583166118,0.0123815932159292,0.156833514068436,0.14460707866223,404,"tags=100%, list=5%, signal=95%","FCGR1A/PSME1","BNT (V2, D1)","ImmuneGO"
"APP...40","APP","APP",13,0.656804295102861,1.71501086491655,0.014960827431579,0.160298391105481,0.147801840631488,2418,"tags=92%, list=31%, signal=64%","PSMB8/HLA-DPA1/HLA-DMB/HLA-DMA/HLA-C/RELB/CTSS/CTSH/HLA-E/RAB10/RAB6A/AP3B1","BNT (V2, D1)","ImmuneGO"
"Chemotaxis, Neutrophil...41","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil",12,0.666730327852339,1.71406254006972,0.0150656382617933,0.160298391105481,0.147801840631488,699,"tags=42%, list=9%, signal=38%","CCL8/CXCL9/CCL2/PDE4B/FCER1G","BNT (V2, D1)","ImmuneGO"
"Monocytes...42","Monocytes","Monocytes",6,0.776211713997853,1.65632709402272,0.0149324287189692,0.160298391105481,0.147801840631488,41,"tags=33%, list=1%, signal=33%","CCL8/CCL2","BNT (V2, D1)","ImmuneGO"
"Extravasation, Th cell...43","Extravasation, Th cell","Extravasation, Th cell",1,0.994946304485155,1.33449371505513,0.0146136350134115,0.160298391105481,0.147801840631488,41,"tags=100%, list=1%, signal=99%","CCL2","BNT (V2, D1)","ImmuneGO"
"Cellular response to Interferon I...44","Cellular response to Interferon I","Cellular response to Interferon I",1,0.993556538218572,1.33262966034204,0.0175073373910824,0.179113528693382,0.165150186725595,52,"tags=100%, list=1%, signal=99%","IFIT1","BNT (V2, D1)","ImmuneGO"
"MHCII, Peptide complex","MHCII, Peptide complex","MHCII, Peptide complex",6,0.758407079646018,1.6183344977448,0.0211896661818387,0.20875745201367,0.192483127499743,1917,"tags=100%, list=24%, signal=76%","HLA-DPA1/HLA-DMB/HLA-DMA/B2M/PDIA3/CALR","BNT (V2, D1)","ImmuneGO"
"Chemotaxis, Monocyte...46","Chemotaxis, Monocyte","Chemotaxis, Monocyte",5,0.800774671032946,1.63096362213058,0.0229609872860305,0.21812937921729,0.201124437505455,41,"tags=40%, list=1%, signal=40%","CCL8/CCL2","BNT (V2, D1)","ImmuneGO"
"Immune system, Process...47","Immune system, Process","Immune system, Process",131,0.58767181325366,2.27416097703919,1e-10,2.52e-08,2.37894736842105e-08,891,"tags=44%, list=17%, signal=38%","IDO1/ACOD1/GBP6/FCGR1A/GBP1/GBP7/IFITM3/IFI6/IFIT1/MX1/IDO2/IFI35/IFIT2/IL31RA/DDX60/OAS2/RIGI/PARP9/PML/IL27/IFI27/CFB/GBP2/CLEC6A/OLR1/TAP1/RNF213/EIF2AK2/IRF1/IFITM1/TAP2/LCN2/IFI30/PSMB9/HP/C4B/LILRB4/BST2/BPI/APOBEC3A/MX2/TICAM2/LILRB1/NLRC5/IRF9/PSMB8/HLA-G/CASP4/LGALS9/ADAR/HLA-DPA1/CD40/SRC/FCER1G/CAMP/CGAS/CD300C/GSDMD","BNT (V3, D1)","ImmuneGO"
"Innate immune response...48","Innate immune response","Innate immune response",96,0.609435736682797,2.27873637470575,2.00071848575677e-10,2.52090529205353e-08,2.37980198832121e-08,992,"tags=47%, list=19%, signal=39%","ACOD1/GBP6/FCGR1A/GBP1/GBP7/IFITM3/IFI6/IFIT1/MX1/IFI35/IFIT2/DDX60/OAS2/TRIM22/RIGI/PARP9/PML/IL27/IFI27/CFB/GBP2/CLEC6A/EIF2AK2/IRF1/IFITM1/LCN2/CRISP3/C4B/TRIM21/BST2/BPI/APOBEC3A/MX2/TICAM2/NLRC5/CASP4/ADAR/SRC/FCER1G/CAMP/CGAS/GSDMD/LILRA5/NCF1/RELB","BNT (V3, D1)","ImmuneGO"
"Antiviral and inteferon...49","Antiviral and inteferon","Antiviral and inteferon",49,0.706847081983024,2.45386491714863,1.25577282280137e-09,1.05484917115315e-07,9.95805817379329e-08,394,"tags=43%, list=7%, signal=40%","ACOD1/GBP6/GBP1/CCL8/GBP7/CCL2/IFITM3/IFIT1/MX1/IFIT2/OAS2/STAT1/STAT2/RIGI/IFI27/GBP2/EIF2AK2/IRF1/IFITM1/CCL3/CCL3L1","BNT (V3, D1)","ImmuneGO"
"Cellular response to Interferon II...50","Cellular response to Interferon II","Cellular response to Interferon II",29,0.67076838045379,2.11940990371209,1.43047279209523e-05,0.000901197859019997,0.000850754871088218,493,"tags=38%, list=9%, signal=35%","ACOD1/GBP6/GBP1/CCL8/GBP7/CCL2/STAT1/GBP2/CCL3/CCL3L1/CASP1","BNT (V3, D1)","ImmuneGO"
"Antiviral innate immune response...51","Antiviral innate immune response","Antiviral innate immune response",8,0.861922510443226,1.97683035643863,7.95029090412208e-05,0.00400694661567753,0.00378266472490861,260,"tags=62%, list=5%, signal=60%","IFIT1/MX1/IFIT2/RIGI/EIF2AK2","BNT (V3, D1)","ImmuneGO"
"Antigen recognition processing and presentation...52","Antigen recognition processing and presentation","Antigen recognition processing and presentation",52,0.539738895432139,1.88834765596212,0.000564738103338127,0.0237190003402013,0.0223913704130556,1700,"tags=71%, list=32%, signal=49%","FCGR1A/RIGI/CLEC6A/TAP1/FOSL1/TAP2/IFI30/PIK3AP1/CASP1/TICAM2/PSMB8/SCIMP/HLA-G/PSME1/HLA-DPA1/CD40/SRC/FCER1G/CGAS/NFKBIA/HLA-DMA/RELB/LACC1/CTSS/CTSH/B2M/HLA-F/TNFAIP3/PDIA3/TLR4/RNF135/HLA-DMB/HLA-C/TICAM1/PRKCE/HLA-E/XIAP","BNT (V3, D1)","ImmuneGO"
"Signaling, Interferon I, Pathway...53","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway",11,0.771057319693035,1.93297658617569,0.000851502130989836,0.0306540767156341,0.0289382679103313,306,"tags=55%, list=6%, signal=52%","IFITM3/OAS2/STAT1/STAT2/IFI27/IFITM1","BNT (V3, D1)","ImmuneGO"
"Neutrophil...54","Neutrophil","Neutrophil",29,0.584644406416021,1.84728615900128,0.00110648320757736,0.0309815298121661,0.0292473923874249,851,"tags=45%, list=16%, signal=38%","CCL8/CCL2/CXCL9/PRTN3/ANXA3/CCL3/CCL3L1/CXCL2/ELANE/IL15/PDE4B/FCER1G/CAMP","BNT (V3, D1)","ImmuneGO"
"Immune response...55","Immune response","Immune response",91,0.454225885016867,1.68986567833034,0.000992060104021918,0.0309815298121661,0.0292473923874249,1273,"tags=45%, list=24%, signal=35%","GBP6/FCGR1A/CCL8/DEFA1/CCL2/CXCL9/IFITM3/IFI6/TRIM22/TNFSF10/GBP2/LIF/FAS/CEACAM8/CCL3/CCL3L1/TNFSF15/CCR1/CLEC4G/RGS1/CXCL2/IL1RN/IL15/GPR65/HLA-G/HLA-DPA1/OSM/IGSF6/FCGR2C/GTPBP1/HLA-DMA/SERPINB9/LTBR/CCR2/IL18RAP/CTSS/CD86/CIITA/FCAR/CTSH/FCGR3A","BNT (V3, D1)","ImmuneGO"
"Response to Interferon II...56","Response to Interferon II","Response to Interferon II",10,0.760065494540271,1.83717204594442,0.00211905867696459,0.0534002786595077,0.0504112906309471,775,"tags=80%, list=15%, signal=68%","IFITM3/STAT1/GCH1/IFITM1/TRIM21/BST2/SP100/CD40","BNT (V3, D1)","ImmuneGO"
"Chemotaxis, Neutrophil...57","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil",14,0.672325927416754,1.78800752987396,0.00746365781069673,0.152741382667028,0.144191948549491,829,"tags=57%, list=16%, signal=48%","CCL8/CCL2/CXCL9/CCL3/CCL3L1/CXCL2/PDE4B/FCER1G","BNT (V3, D1)","ImmuneGO"
"Chemotaxis, Eosinophil...58","Chemotaxis, Eosinophil","Chemotaxis, Eosinophil",6,0.804084416434033,1.70965292276081,0.00787951577250539,0.152741382667028,0.144191948549491,394,"tags=67%, list=7%, signal=62%","CCL8/CCL2/CCL3/CCL3L1","BNT (V3, D1)","ImmuneGO"
"Chemotaxis, Lymphocyte...59","Chemotaxis, Lymphocyte","Chemotaxis, Lymphocyte",6,0.804084416434033,1.70965292276081,0.00787951577250539,0.152741382667028,0.144191948549491,394,"tags=67%, list=7%, signal=62%","CCL8/CCL2/CCL3/CCL3L1","BNT (V3, D1)","ImmuneGO"
"Chemotaxis, Macrophage...60","Chemotaxis, Macrophage","Chemotaxis, Macrophage",5,0.821391614292984,1.66666434974033,0.00960651335481131,0.172917240386604,0.163238497608072,385,"tags=60%, list=7%, signal=56%","CCL2/EDNRB/CCL3","BNT (V3, D1)","ImmuneGO"
"Eosinophil...61","Eosinophil","Eosinophil",8,0.741148837450112,1.69983438506226,0.0124854563824151,0.209755667224573,0.198014957363214,394,"tags=50%, list=7%, signal=46%","CCL8/CCL2/CCL3/CCL3L1","BNT (V3, D1)","ImmuneGO"
"Activation, B cell...62","Activation, B cell","Activation, B cell",3,-0.91358024691358,-1.83007290523668,0.00310268914425221,0.217553734094458,0.209774592939614,186,"tags=100%, list=9%, signal=91%","CD22/LAX1","BNT-I (D1)","ImmuneGO"
"Chemotaxis, Neutrophil...63","Chemotaxis, Neutrophil","Chemotaxis, Neutrophil",4,0.852512086354439,1.68574348276054,0.00332143105487722,0.217553734094458,0.209774592939614,99,"tags=75%, list=5%, signal=72%","CCL24/CXCL3/CXCL2","BNT-I (D1)","ImmuneGO"
"Innate immune response...64","Innate immune response","Innate immune response",87,0.406569651568249,2.41156103561091,1.38049608025612e-07,3.38221539662749e-05,3.06615445193727e-05,1277,"tags=59%, list=23%, signal=46%","IFI27/DEFA4/IFI6/CD177/IFIT1/FCGR1A/LCN2/TARM1/MX1/OAS2/BPI/GBP6/DDX60/APOBEC3A/IFITM3/PPARG/RNASE3/GBP1/VNN1/IFITM1/CRISP3/PARP9/TRIM22/CAMP/RNF135/HMGB2/S100A12/IFI35/EIF2AK2/FCER1G/HLA-C/LILRA5/GBP2/TRIM21/C1R/RELB/LGALS3/IFITM2/MX2/ANKHD1/PML/TBKBP1/CASP4/CFB/CR1/HCK/SLC15A4/JAK3/ITGAM/NCF2/F12","BNT-I (D10, mild)","ImmuneGO"
"Antibacterial humoral response...65","Antibacterial humoral response","Antibacterial humoral response",9,0.802488111462345,2.43089272843559,1.76915155400465e-05,0.00216721065365569,0.001964689357342,523,"tags=78%, list=9%, signal=71%","DEFA4/CTSG/BPI/RNASE3/ADM/CAMP/RNASE4","BNT-I (D10, mild)","ImmuneGO"
"Innate immune response, mucosa...66","Innate immune response, mucosa","Innate immune response, mucosa",4,0.935565154787617,2.03042210597083,5.79594642916359e-05,0.0047333562504836,0.0042910340229948,362,"tags=100%, list=7%, signal=94%","DEFA4/RNASE3/RNASE2/CAMP","BNT-I (D10, mild)","ImmuneGO"
"Signaling, Interferon I, Pathway...67","Signaling, Interferon I, Pathway","Signaling, Interferon I, Pathway",10,0.739274971763367,2.34931407415182,7.84465314837123e-05,0.00480485005337738,0.0043558468797535,983,"tags=80%, list=18%, signal=66%","IFI27/OAS2/IFITM3/IFITM1/STAT2/IFITM2/SP100/TBKBP1","BNT-I (D10, mild)","ImmuneGO"
"Antimicrobial peptide-mediated immune response...68","Antimicrobial peptide-mediated immune response","Antimicrobial peptide-mediated immune response",13,0.680123440834638,2.33376917544823,0.000109811000093377,0.00538073900457548,0.00487792021467423,788,"tags=69%, list=14%, signal=60%","S100A7/DEFA4/BPI/RNASE3/CXCL3/ADM/CAMP/S100A12/LGALS3","BNT-I (D10, mild)","ImmuneGO"
"Antiviral and inteferon...69","Antiviral and inteferon","Antiviral and inteferon",35,0.435565873030339,2.02747723058213,0.000479551159963011,0.0195816723651563,0.0177518060968764,1219,"tags=63%, list=22%, signal=49%","IFI27/IFIT1/MX1/OAS2/GBP6/IFITM3/GBP1/IFITM1/RNF135/EIF2AK2/CASP1/STAT2/GBP2/IFITM2/SP100/IFNGR2/LGALS9/TBKBP1/HCK/CD58/IL10RB/VIM","BNT-I (D10, mild)","ImmuneGO"
"Signaling, T cell...70","Signaling, T cell","Signaling, T cell",17,-0.704516455058919,-2.20579331725484,0.000829304696896173,0.029025664391366,0.0263132768488861,956,"tags=71%, list=17%, signal=59%","TXK/GATA3/PLCG1/SKAP1/CD247/ITK/ZAP70/CD28/CD3G/THEMIS/CD8B/ZNF683","BNT-I (D10, mild)","ImmuneGO"
"Immune system, Process...71","Immune system, Process","Immune system, Process",109,0.281656445557924,1.74826195642458,0.00113477574931826,0.0347525073228718,0.0315049583034412,1171,"tags=46%, list=21%, signal=37%","IFI27/IFI6/CD177/IFIT1/FCGR1A/LCN2/TARM1/MX1/HP/OAS2/BPI/GBP6/DDX60/APOBEC3A/IFITM3/GBP1/IFITM1/PARP9/OLR1/BCL6/CAMP/RNF135/LILRA6/HMGB2/S100A12/IFI35/EIF2AK2/FCER1G/HLA-C/LILRA5/GBP2/C1R/LGALS3/IFI30/IFITM2/PRG2/MX2/PSMB9/LGALS9/PML/TBKBP1/TAP1/TFEB/CASP4/CFB/PSMB8/CR1/PTMS/HCK/SLC15A4","BNT-I (D10, mild)","ImmuneGO"
"Neutrophil...72","Neutrophil","Neutrophil",24,0.478555244838575,2.01795331949364,0.00223237043434172,0.0607700840459689,0.0550912469761523,788,"tags=54%, list=14%, signal=47%","ELANE/CD177/ANXA3/CTSG/AZU1/IL18RAP/IL15/CXCL3/CAMP/MERTK/S100A12/FCER1G/LGALS3","BNT-I (D10, mild)","ImmuneGO"
"Antiviral innate immune response...73","Antiviral innate immune response","Antiviral innate immune response",6,0.746781309594646,1.88584357296873,0.0031856997945652,0.070954222697134,0.0643236992012686,531,"tags=67%, list=10%, signal=60%","IFIT1/MX1/RNF135/EIF2AK2","BNT-I (D10, mild)","ImmuneGO"
"C-type lectin receptor, PRR","C-type lectin receptor, PRR","C-type lectin receptor, PRR",3,-0.942414972107252,-1.7285940633864,0.00294496147017075,0.070954222697134,0.0643236992012686,324,"tags=100%, list=6%, signal=94%","KLRC3/KLRK1","BNT-I (D10, mild)","ImmuneGO"
"T cells...75","T cells","T cells",92,-0.392727918156846,-1.74445689842409,0.00393764237682383,0.0803935318601533,0.0728809246938446,960,"tags=36%, list=17%, signal=30%","DTX1/TXK/TOX/BCL2/NLRC3/GATA3/PLCG1/PRF1/SKAP1/CD247/RASGRP1/CRTAM/CR2/ITK/S1PR1/ZAP70/CD28/CD40LG/TESPA1/GZMM/CD3G/CD6/THEMIS/TCF7/CD8B/EOMES/ZNF683/KLRK1/IL7R/GPR15/CCR7/FCER1A/GLI3","BNT-I (D10, mild)","ImmuneGO"
"Selection-, T cell, Thymic...76","Selection-, T cell, Thymic","Selection-, T cell, Thymic",5,-0.806120612061206,-1.74783710404367,0.0051313804542485,0.0897991579493488,0.0814076147252958,1083,"tags=100%, list=19%, signal=81%","ZAP70/CD28/CCR7/GLI3","BNT-I (D10, mild)","ImmuneGO"
