"","condition","id","delete","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","gsea_enrichment","rank","leading_edge","core_enrichment"
"11","BNT (V2, D1)","Signaling, Interferon II, Pathway","11",6,0.786701885744182,1.70435683451118,0.0111443943476737,0.0920441085387725,0.0763928836050541,"ImmuneGO",624,"tags=50%, list=8%, signal=46%","STAT1/IRF1/SP100"
"12","BNT (V2, D1)","APP, MHC I, exogenous peptide","12",3,0.912043472766334,1.65424819127804,0.0110248464281266,0.0920441085387725,0.0763928836050541,"ImmuneGO",699,"tags=100%, list=9%, signal=91%","FCGR1A/IFI30/FCER1G"
"13","BNT (V2, D1)","Signaling, PRR","13",3,0.910021483634526,1.65058074343816,0.0122087056423233,0.0920441085387725,0.0763928836050541,"ImmuneGO",715,"tags=100%, list=9%, signal=91%","CASP1/LACC1/CGAS"
"14","BNT (V2, D1)","APP, MHC II, polysacharide or peptide","14",3,0.906988499936813,1.64507957167833,0.013984497011109,0.0920441085387725,0.0763928836050541,"ImmuneGO",739,"tags=100%, list=9%, signal=91%","HLA-DPA1/HLA-DMB/HLA-DMA"
"15","BNT (V2, D1)","APP, Exogenous antigen","15",2,0.949203942380591,1.55335077891874,0.0141606320828881,0.0920441085387725,0.0763928836050541,"ImmuneGO",404,"tags=100%, list=5%, signal=95%","FCGR1A/PSME1"
"16","BNT (V2, D1)","Adaptive immune system","16",213,0.337930628370191,1.5000965735309,0.00798530059862244,0.0920441085387725,0.0763928836050541,"ImmuneGO",1926,"tags=35%, list=24%, signal=27%","IDO1/ACOD1/CCL8/CCL2/TAP1/CLEC6A/CD276/TAP2/BST2/FAS/IRF1/CLEC4G/LILRB4/IL15/LILRB1/CD38/MDK/BMX/PDE4B/ADAR/HLA-DPA1/PSMB10/FCER1G/HLA-DMB/CD40/HLA-DMA/ERAP2/SRC/LIMK1/CD86/NFKBIA/GAPT/B2M/EPHB2/RNF19B/HLA-C/BTN3A2/CD46/HDAC4/CCR2/RELB/LILRB2/FUT4/CD1D/CTSS/TNFAIP3/FCGR2B/LIPA/PRKCD/DENND1B/PTPN6/SKIL/DOCK8/CTSH/BTK/LCP1/BTN2A1/HLA-E/TNFAIP8L2/STAT3/IL2RG/MNDA/LMO4/THEMIS2/TICAM1/BCL3/FGR/CSF2RB/MAP3K8/HHEX/BCL6/TLR4/LILRA6/ITGA4"
"17","BNT (V2, D1)","MHCII, Peptide complex","17",6,0.758407079646018,1.64305731683054,0.0212718827804115,0.130133871127224,0.108005844457817,"ImmuneGO",1917,"tags=100%, list=24%, signal=76%","HLA-DPA1/HLA-DMB/HLA-DMA/B2M/PDIA3/CALR"
"18","BNT (V2, D1)","APP, MHC I, Peptide antigen","18",5,0.79357856149665,1.6352652233851,0.0292021468918985,0.163943499304093,0.136066467033762,"ImmuneGO",1638,"tags=100%, list=21%, signal=79%","ERAP2/HLA-F/B2M/HLA-C/HLA-E"
"19","BNT (V2, D1)","PRR, TLR7, Pathway","19",2,0.925322213798332,1.51426887034371,0.0299512162190171,0.163943499304093,0.136066467033762,"ImmuneGO",593,"tags=100%, list=7%, signal=93%","PIK3AP1/SCIMP"
"20","BNT (V2, D1)","Differentiation, Myeloid Dendritic cell","20",5,0.763959333275055,1.57423119826862,0.0442365078328146,0.212175616125347,0.176097171278122,"ImmuneGO",11,"tags=20%, list=0%, signal=20%","BATF2"
"21","BNT (V2, D1)","PRR, Cytosolic, Pathway","21",3,0.865488962050729,1.56980844970132,0.0439382094886308,0.212175616125347,0.176097171278122,"ImmuneGO",715,"tags=67%, list=9%, signal=61%","RIGI/CGAS"
"22","BNT (V2, D1)","Proliferation, T cell","22",9,0.636574769174313,1.54364328398632,0.0448833034111311,0.212175616125347,0.176097171278122,"ImmuneGO",1526,"tags=44%, list=19%, signal=36%","IDO1/PSMB10/LIPA/PTPN6"
"23","BNT (V3, D1)","BCR REPERTOIRE","23",37,-0.819192031438012,-3.78372237565638,1e-10,2.83333333333333e-09,2.63157894736842e-09,"ImmuneGO",921,"tags=97%, list=17%, signal=81%","TRBV5-1/TRBC2/TRAV26-1/TRAV9-2/TRAV13-2/TRBV7-2/TRBV18/TRBV3-1/TRBV19/TRAV13-1/TRGC1/TRGV10/TRAV8-3/TRAV12-3/TRAJ3/TRAV17/TRBV29-1/TRAV25/TRBV5-6/TRBJ2-7/TRBV2/TRAV27/TRAV10/TRAV23DV6/TRBD1/TRAV20/TRBJ1-4/TRAV38-2DV8/TRAV8-2/TRAV30/TRBJ2-6/TRBJ1-6/TRAV19/TRBV12-4/TRGV4/TRBJ2-1"
"24","BNT (V3, D1)","TCR REPERTOIRE","24",37,-0.819192031438012,-3.78372237565638,1e-10,2.83333333333333e-09,2.63157894736842e-09,"ImmuneGO",921,"tags=97%, list=17%, signal=81%","TRBV5-1/TRBC2/TRAV26-1/TRAV9-2/TRAV13-2/TRBV7-2/TRBV18/TRBV3-1/TRBV19/TRAV13-1/TRGC1/TRGV10/TRAV8-3/TRAV12-3/TRAJ3/TRAV17/TRBV29-1/TRAV25/TRBV5-6/TRBJ2-7/TRBV2/TRAV27/TRAV10/TRAV23DV6/TRBD1/TRAV20/TRBJ1-4/TRAV38-2DV8/TRAV8-2/TRAV30/TRBJ2-6/TRBJ1-6/TRAV19/TRBV12-4/TRGV4/TRBJ2-1"
"25","BNT (V3, D1)","Innate immune system","25",221,0.529509050583168,2.10264715722684,1e-10,2.83333333333333e-09,2.63157894736842e-09,"ImmuneGO",1482,"tags=54%, list=28%, signal=41%","BATF2/ACOD1/GBP6/FCGR1A/GBP1/CCL8/GBP7/DEFA1/CCL2/CXCL9/IFITM3/IFI6/IFIT1/MX1/IFI35/IFIT2/IL31RA/DDX60/OAS2/STAT1/TRIM22/GCH1/STAT2/RIGI/PARP9/PML/IL27/IFI27/CFB/PRTN3/GBP2/CLEC6A/EDNRB/TAP1/FOSL1/EIF2AK2/DEFA3/ANXA3/IRF1/IFITM1/TAP2/LCN2/IFI30/PIK3AP1/CRISP3/CCL3/CCL3L1/C4B/TRIM21/CCR1/BST2/BPI/APOBEC3A/CXCL2/CASP1/MX2/ELANE/TICAM2/IL1RN/IL15/NLRC5/PSMB8/SCIMP/HLA-G/CASP4/LGALS9/ADAR/PSME1/PDE4B/SP100/HLA-DPA1/CD40/SRC/FCER1G/CAMP/CGAS/NFKBIA/GSDMD/HLA-DMA/RNASE2/HDAC4/LILRA5/NCF1/RELB/GRN/H2BC12L/IL17RC/ZC3HAV1/AIF1/SERPINB9/LTBR/LACC1/CCR2/IL18RAP/CTSS/MILR1/CIITA/RNF19B/TRIM26/FCAR/CTSH/FCGR3A/APOBEC3F/PRKCD/CD46/B2M/HLA-F/LRP1/PTPN6/PTX3/TNFAIP3/PDIA3/LIPA/TMEM229B/TLR4/IL12RB1/RNF135/FGR/HLA-DMB"
"26","BNT (V3, D1)","Cellular response to Interferon II","26",29,0.67076838045379,2.10353505990399,1.6396761566531e-05,0.000348431183288783,0.000323620294076269,"ImmuneGO",493,"tags=38%, list=9%, signal=35%","ACOD1/GBP6/GBP1/CCL8/GBP7/CCL2/STAT1/GBP2/CCL3/CCL3L1/CASP1"
"27","BNT (V3, D1)","Antiviral innate immune response","27",8,0.861922510443226,1.95866603520098,3.40942494530425e-05,0.000579602240701723,0.000538330254521725,"ImmuneGO",260,"tags=62%, list=5%, signal=60%","IFIT1/MX1/IFIT2/RIGI/EIF2AK2"
"28","BNT (V3, D1)","Signaling, Interferon I, Pathway","28",11,0.771057319693035,1.90136070178879,0.000439858919665089,0.00623133469525543,0.00578761736401433,"ImmuneGO",306,"tags=55%, list=6%, signal=52%","IFITM3/OAS2/STAT1/STAT2/IFI27/IFITM1"
"29","BNT (V3, D1)","Chemotaxis, Macrophage","29",5,0.821391614292984,1.61799818476525,0.0077797289525256,0.094468137280668,0.0877413039758527,"ImmuneGO",385,"tags=60%, list=7%, signal=56%","CCL2/EDNRB/CCL3"
"30","BNT-I (D1)","Activation, B cell","30",3,-0.91358024691358,-1.87234977997162,0.00184566958257022,0.0516787483119661,0.0427418219121524,"ImmuneGO",186,"tags=100%, list=9%, signal=91%","CD22/LAX1"
"31","BNT-I (D1)","Isotype switching","31",4,-0.70634107264027,-1.60640155386336,0.0498217970985186,0.205787781350482,0.170200420665812,"ImmuneGO",284,"tags=75%, list=13%, signal=65%","UNG/MSH2/CD40LG"
"32","BNT-I (D1)","Migration, T cell","32",2,-0.915994304698624,-1.58648891448331,0.0156841261977979,0.205787781350482,0.170200420665812,"ImmuneGO",180,"tags=100%, list=9%, signal=92%","GPR15"
"33","BNT-I (D1)","Somatic mutation, Ig gene segments","33",2,-0.866635026103465,-1.50099935639716,0.0421245264055969,0.205787781350482,0.170200420665812,"ImmuneGO",284,"tags=100%, list=13%, signal=87%","MSH2"
"34","BNT-I (D1)","Somatic mutation, Ig genes","34",2,-0.866635026103465,-1.50099935639716,0.0421245264055969,0.205787781350482,0.170200420665812,"ImmuneGO",284,"tags=100%, list=13%, signal=87%","MSH2"
"35","BNT-I (D1)","Innate immune system","35",48,0.395410208094347,1.46686527024476,0.0398740818467996,0.205787781350482,0.170200420665812,"ImmuneGO",736,"tags=52%, list=35%, signal=35%","FOSL1/CCL24/CXCL3/IFNL2/NFKBIA/CXCL2/IL13/TNFAIP3/KITLG/PTX3/CAMP/CHGA/FCAR/JMJD6/SLC11A1/EPS8/F12/SLC18A2/RAB43/SLC15A3/C1R/CD14/C5AR1/MPL/TUBB4B"
"36","BNT-I (D1)","Activation, Macrophage","36",3,0.786324786324786,1.43629346257527,0.0514469453376206,0.205787781350482,0.170200420665812,"ImmuneGO",453,"tags=100%, list=21%, signal=79%","IL13/JMJD6/SLC11A1"
"37","BNT-I (D10, mild)","Innate immune system","37",168,0.306026092580685,2.06915219933108,2.44266909150999e-07,1.83200181863249e-05,1.5941629860381e-05,"ImmuneGO",1277,"tags=51%, list=23%, signal=40%","IFI27/DEFA4/ELANE/IFI6/CD177/IFIT1/BATF2/FCGR1A/ANXA3/LCN2/CTSG/TARM1/MX1/AZU1/OAS2/BPI/GBP6/DDX60/APOBEC3A/IFITM3/PPARG/RNASE3/IL18RAP/GBP1/NFKBIA/IL15/VNN1/IFITM1/CXCL3/CRISP3/PARP9/RNASE2/TRIM22/CAMP/RNF135/IL1RN/MAP2K6/HMGB2/MERTK/S100A12/IFI35/EIF2AK2/CASP1/MILR1/STAT2/FCER1G/HLA-C/LILRA5/GBP2/TRIM21/C1R/RELB/PIK3AP1/LGALS3/IFI30/IFITM2/MX2/ALOX5/GCH1/SP100/JMJD6/IFNGR2/LGALS9/ANKHD1/PML/TBKBP1/TAP1/CEBPB/TFEB/CASP4/PSME1/CFB/PSMB8/CR1/HCK/CD58/SLC15A4/PRKCD/IL10RB/VIM/JAK3/ITGAM/SPI1/NCF2/F12"
"38","BNT-I (D10, mild)","Signaling, Interferon I, Pathway","38",10,0.739274971763367,2.28528565371274,6.27759258860304e-05,0.00235409722072614,0.00204847758154415,"ImmuneGO",983,"tags=80%, list=18%, signal=66%","IFI27/OAS2/IFITM3/IFITM1/STAT2/IFITM2/SP100/TBKBP1"
"39","BNT-I (D10, mild)","Signaling, T cell","39",17,-0.704516455058919,-2.15988666386316,0.00130296427004178,0.0325741067510446,0.0283451876289792,"ImmuneGO",956,"tags=71%, list=17%, signal=59%","TXK/GATA3/PLCG1/SKAP1/CD247/ITK/ZAP70/CD28/CD3G/THEMIS/CD8B/ZNF683"
"40","BNT-I (D10, mild)","C-type lectin receptor, PRR","40",3,-0.942414972107252,-1.73288700668364,0.00207507604242338,0.0340059842563269,0.0295911722651546,"ImmuneGO",324,"tags=100%, list=6%, signal=94%","KLRC3/KLRK1"
"41","BNT-I (D10, mild)","Adaptive immune system","41",159,-0.345796547182857,-1.66801425986574,0.00226706561708846,0.0340059842563269,0.0295911722651546,"ImmuneGO",1159,"tags=36%, list=21%, signal=29%","CCL5/CD27/DPP4/TPD52/CX3CR1/SPN/MCOLN2/DTX1/TXK/TOX/BCL2/IL2RB/BANK1/CACNB4/NLRC3/GATA3/CD19/PLCG1/PRF1/SKAP1/CD247/LAX1/CCL4/RASGRP1/CRTAM/CR2/ITK/S1PR1/CD79B/ZAP70/CD28/CD40LG/RORA/RORC/TESPA1/CD22/GZMM/CD3G/MS4A1/CD6/KLRC2/THEMIS/TCF7/CD8B/EOMES/CD79A/ZNF683/KLRK1/CD1E/PAX5/IL7R/GPR15/CCR7/FCER1A/CXCR5/GLI3/CCL3L1"
"42","BNT-I (D10, mild)","Antiviral innate immune response","42",6,0.746781309594646,1.93869340277196,0.00381159247607642,0.0476449059509552,0.0414594269327611,"ImmuneGO",531,"tags=67%, list=10%, signal=60%","IFIT1/MX1/RNF135/EIF2AK2"
"43","BNT-I (D10, mild)","Activation, B cell","43",12,-0.678094090921276,-1.89053855154983,0.0123376975450081,0.102814146208401,0.0894663447708192,"ImmuneGO",913,"tags=67%, list=16%, signal=56%","BANK1/LAX1/RASGRP1/ZAP70/CD22/MS4A1/CD79A/CXCR5"
"44","BNT-I (D10, mild)","APP","44",5,0.753195319531953,1.84054122577033,0.0121027323709772,0.102814146208401,0.0894663447708192,"ImmuneGO",1376,"tags=100%, list=25%, signal=75%","HLA-C/RELB/PSMB8/HLA-E/CTSH"
"45","BNT-I (D10, mild)","Cellular adaptive immune system","45",103,-0.370924131156901,-1.68969443462832,0.00966042847208551,0.102814146208401,0.0894663447708192,"ImmuneGO",960,"tags=34%, list=17%, signal=29%","DTX1/TXK/TOX/BCL2/CACNB4/NLRC3/GATA3/PLCG1/PRF1/SKAP1/CD247/RASGRP1/CRTAM/CR2/ITK/S1PR1/ZAP70/CD28/CD40LG/RORA/RORC/TESPA1/GZMM/CD3G/THEMIS/TCF7/CD8B/EOMES/ZNF683/KLRK1/IL7R/GPR15/CCR7/FCER1A/GLI3"
"46","BNT-I (D10, mild)","Proliferation, B cell","46",10,-0.664213926779,-1.7679517591334,0.0165076366718527,0.110280339503505,0.0959632427960322,"ImmuneGO",944,"tags=70%, list=17%, signal=58%","BCL2/RASGRP1/CR2/CD40LG/MS4A1/CD79A/IL7R"
"47","BNT-I (D10, mild)","Selection-, T cell, Thymic","47",5,-0.806120612061206,-1.73013272019972,0.0180386990950431,0.110280339503505,0.0959632427960322,"ImmuneGO",1083,"tags=100%, list=19%, signal=81%","ZAP70/CD28/CCR7/GLI3"
"48","BNT-I (D10, mild)","Activation, T cell","48",14,-0.589498982032893,-1.72461617990963,0.0191152588472742,0.110280339503505,0.0959632427960322,"ImmuneGO",1462,"tags=64%, list=26%, signal=48%","ADA/DPP4/NLRC3/RASGRP1/ITK/ZAP70/CD28/CD3G/CD8B"
"49","BNT-I (D10, mild)","Activation, gdT cell","49",3,-0.858736728450603,-1.57902172921412,0.015769520806259,0.110280339503505,0.0959632427960322,"ImmuneGO",789,"tags=100%, list=14%, signal=86%","ITK/CD3G"
"50","BNT-I (D10, severe)","Innate immune system","50",226,0.34648550774757,2.01041551681057,6.28800434175635e-07,5.40768373391046e-05,4.89802443463126e-05,"ImmuneGO",2437,"tags=52%, list=30%, signal=37%","IFI27/CH25H/DEFA4/ELANE/BPI/CTSG/PRTN3/LCN2/PPARG/TARM1/CRISP3/AZU1/IFIT1/RNASE3/GBP6/CD177/IFI6/BATF2/CAMP/IL18RAP/MX1/IL10/MMP2/DDX60/FCGR1A/ANXA3/VNN1/OAS2/RNASE2/TRIM22/S100A12/HMGB2/SCG2/GBP1/IFITM3/PARP9/NFKBIA/APOBEC3A/MAP2K6/IFITM1/CCL20/IFIT2/CXCL2/EDNRB/EIF2AK2/RNF135/PRKCE/CLU/CXCL3/CSF1/IL15/IFI35/CFB/CASP1/PTX3/IFITM2/TREML1/FCER1G/STAT2/JMJD6/HLA-C/CR1/F12/TAP1/IL1RN/GBP2/PIK3AP1/IL27/CEBPB/ANKHD1/TRIM21/SLC15A4/ALOX5/MERTK/ADAM17/ZC3HAV1/STAT1/SP100/PML/TLR4/HDAC4/TBKBP1/IFI30/IL10RB/HLA-E/IFNL1/ITGAM/FCAR/C1R/FCGR2B/TFEB/CD58/VEGFA/VIM/CHGA/PSMB8/IFNGR2/MX2/JAK3/ADAR/ITGA1/F2RL1/NCF2/CASP4/NLRP6/BCL10/LILRA5/CD55/PRKCD/FGR/B2M/BST2/STXBP3/LGALS3/TUBB4B/LILRA2/SLC18A2"
"51","BNT-I (D10, severe)","Signaling, Interferon I, Pathway","51",11,0.774274959163044,2.26414827519338,3.12634456781198e-05,0.00134432816415915,0.0012176289369373,"ImmuneGO",1642,"tags=91%, list=20%, signal=73%","IFI27/OAS2/IFITM3/IFITM1/IFITM2/STAT2/STAT1/SP100/HDAC4/TBKBP1"
"52","BNT-I (D10, severe)","Activation, T cell","52",14,-0.682976743473618,-2.21293374610957,0.000190658897678016,0.0054655550667698,0.00495044155374499,"ImmuneGO",1353,"tags=64%, list=16%, signal=54%","PRKCQ/ZAP70/DPP4/NLRC3/ITK/RASGRP1/CD8B/CD28/CD3G"
"53","BNT-I (D10, severe)","Signaling, T cell","53",25,-0.549931139345619,-2.10373806414604,0.000363024914427888,0.0078050356601996,0.00706943254412204,"ImmuneGO",1278,"tags=48%, list=16%, signal=41%","SKAP1/CD247/CTLA4/ZAP70/GATA3/ITK/PLCG1/CD8B/CD28/CD3G/THEMIS/ZNF683"
"54","BNT-I (D10, severe)","Antiviral innate immune response","54",9,0.733101296591831,2.0062420092032,0.00102153639517746,0.0168501443556057,0.0152620646550162,"ImmuneGO",842,"tags=56%, list=10%, signal=50%","IFIT1/MX1/IFIT2/EIF2AK2/RNF135"
"55","BNT-I (D10, severe)","Selection-, T cell, Thymic","55",4,-0.881958825679133,-1.80403199495842,0.00137152337778186,0.0168501443556057,0.0152620646550162,"ImmuneGO",974,"tags=100%, list=12%, signal=88%","SPN/CD28/CCR7"
"56","BNT-I (D10, severe)","Cellular adaptive immune system","56",133,-0.288918428414571,-1.64012100353591,0.00121854563146159,0.0168501443556057,0.0152620646550162,"ImmuneGO",1416,"tags=30%, list=17%, signal=25%","KLRK1/RAG1/CR2/PRKCQ/TOX/SKAP1/GPR183/CD247/CTLA4/IL7/S1PR1/CD1C/ZAP70/BCL2/DPP4/NLRC3/LFNG/SPN/GATA3/CRTAM/ITK/ZFPM1/PLCG1/RASGRP1/RORA/GZMM/CD8B/EOMES/TESPA1/CD28/CD3G/THEMIS/TCF7/GPR15/IL7R/CCR7/CD40LG/RORC/ZNF683/FCER1A"
"57","BNT-I (D10, severe)","Activation, gdT cell","57",3,-0.854933008526188,-1.60212015170193,0.0121123844932714,0.130208133302668,0.117936375329222,"ImmuneGO",1195,"tags=100%, list=15%, signal=85%","ITK/CD3G"
"58","BNT-I (D10, severe)","Establishment of T cell polarity","58",2,-0.899159663865546,-1.46870793863481,0.0190002158454181,0.18155761807844,0.164446312580227,"ImmuneGO",831,"tags=100%, list=10%, signal=90%","CCR7"
"59","BNT-I (D26, mild)","Innate immune system","59",86,0.318543844757222,1.92966946800935,0.000142447947397224,0.00740729326465567,0.0071973699737545,"ImmuneGO",859,"tags=53%, list=26%, signal=41%","DEFA4/CD177/LCN2/NFKBIA/PPARG/BPI/TARM1/ANXA3/CRISP3/CAMP/PI3/IL18RAP/S100A12/IL10/VNN1/CR1/FCER1G/MERTK/LILRA5/JMJD6/VIM/C1R/ANKHD1/MILR1/APOBEC3A/SLC15A4/TUBB4B/MAP2K6/AIF1/ALOX5/TBKBP1/RNF135/ITGAM/HMGB2/SLC18A2/LGALS3/HLA-C/MAPKAPK2/PRKCD/SLC11A1/STAT5B/JAK3/BCL10/IFNGR2/CD55/IFI30"
"60","BNT-I (D26, mild)","Activation, B cell","60",9,-0.735029940119761,-1.9785532166117,0.00331612615910057,0.0862192801366149,0.083775818756225,"ImmuneGO",895,"tags=100%, list=27%, signal=73%","ZAP70/LAX1/CD40/BANK1/CXCR5/MS4A1/CD22/CD79A"
"61","BNT-I (D26, mild)","Immune response, Th2","61",2,0.900209142515686,1.52447088309634,0.0136919935699996,0.237327888546659,0.230601996968414,"ImmuneGO",336,"tags=100%, list=10%, signal=90%","IL10/BCL6"
"62","BNT-I (D26, severe)","Innate immune system","62",25,0.445694019635117,1.79024451185397,0.0119744893927535,0.191591830284057,0.18907088514874,"ImmuneGO",277,"tags=64%, list=22%, signal=51%","CH25H/NFKBIA/BPI/CXCL2/LCN2/CRISP3/TREML1/S100A12/ANKHD1/CXCL5/F12/JMJD6/MAPKAPK2/SLC18A2/HLA-C/TUBB4B"
"63","BNT-I (D3)","Chemotaxis, Macrophage","63",2,0.951331496786042,1.57351404680018,0.00419565056816636,0.0797173607951609,0.0794965370810469,"ImmuneGO",55,"tags=100%, list=5%, signal=95%","EDNRB/CXCL17"
"64","BNT-I-BNT (D51, mild)","Innate immune system","64",17,0.515192532132867,1.90894680710839,0.00452526967284527,0.0218546726706462,0.0143780741254251,"ImmuneGO",19,"tags=35%, list=4%, signal=35%","DEFA4/AZU1/LCN2/BPI/CAMP/CRISP3"
"65","BNT-I-BNT (D51, mild)","Activation, B cell","65",6,-0.815530168843178,-1.85331195070614,0.00237129239249295,0.0218546726706462,0.0143780741254251,"ImmuneGO",46,"tags=100%, list=10%, signal=92%","BANK1/CXCR5/MS4A1/CD79A/CD22"
"66","BNT-I-BNT (D51, mild)","Proliferation, B cell","66",6,-0.789473684210526,-1.7940979618091,0.00464457914092082,0.0218546726706462,0.0143780741254251,"ImmuneGO",107,"tags=100%, list=22%, signal=79%","CD40LG/IL7R/MS4A1/CD79A/CR2"
"67","BNT-I-BNT (D51, mild)","Signaling, BCR, B cell","67",3,-0.912133891213389,-1.67949927258235,0.00546366816766155,0.0218546726706462,0.0143780741254251,"ImmuneGO",46,"tags=100%, list=10%, signal=91%","MS4A1/CD79A"
