,condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,gsea_enrichment,rank,leading_edge,core_enrichment
13,"BNT (V2, D1)",CD1C-CD141- dendritic cell,CD1C-CD141- dendritic cell...13,CD1C-CD141- dendritic cell,199,0.6228978752,2.715614019,1.00E-10,1.80E-08,1.67E-08,CellMarker,2109,"tags=67%, list=27%, signal=51%",GBP5/GBP1/ISG15/IFIT3/IFI6/GBP4/IFITM3/OAS1/IFIT2/VAMP5/MYOF/DDX60/APOL6/LY6E/PSTPIP2/TNFSF10/GBP2/MT2A/DDX60L/WDFY1/TYMP/SAT1/STX11/IRF1/IFITM1/MAFB/APOBEC3A/PIK3AP1/CD300E/CASP1/RAB24/C3AR1/LILRB1/IFI30/ACOT9/FCGR2C/GPBAR1/SCIMP/DRAP1/DMXL2/ZNFX1/CASP4/TCF7L2/HSPA7/MS4A7/MS4A4A/BLVRA/FCGR3B/GIMAP4/ATP1B3/FCN1/DUSP6/RALB/GNS/LCP2/L1TD1/SLC2A6/FCGR3A/WSB1/MCTP1/SLC7A7/CLEC7A/CD68/SCPEP1/KDM1B/HK3/CNIH4/CXCL16/NUDT16/CDKN1C/TBC1D8/CD300A/PELI1/MEFV/TTYH3/IL12RB1/AIF1/PILRA/NFKBIZ/SLC31A2/CD300LF/LILRB2/AGTRAP/SASH1/TYROBP/GIMAP2/NADK/CTSS/GPR155/LYN/PSAP/ZEB2/PTPN6/LTA4H/CAMK1/ARL4A/P2RY13/LILRA5/BCL2A1/HLA-E/TLR2/MARCKS/BACH1/SH3BP2/SAMSN1/TNFRSF14/BID/ARAP2/SIRPB1/IFITM2/FGR/CSF1R/MBD2/LRP1/RAB10/P2RX1/TLR4/PLEKHO2/RNF149/LILRA6/RNF144B/NFAM1/PRAM1/HK1/IRAK3/ABHD3/FCGR2A/PDP1/HSBP1/ARRB2/LST1/UPP1/MXD3/NBEAL2
14,"BNT (V2, D1)",Classical monocyte,Classical monocyte...14,Classical monocyte,29,0.7660856085,2.420874805,4.42E-08,3.98E-06,3.70E-06,CellMarker,1168,"tags=72%, list=15%, signal=62%",IFI44L/ISG15/IFIT3/IFI6/EPSTI1/IFITM3/MX1/IFIT2/XAF1/HLA-DQB1/HLA-DRA/CD74/HLA-DPA1/HLA-DRB1/FCN1/HLA-DPB1/FCGR3A/S100A8/CDKN1A/PLBD1/LYZ
15,"BNT (V2, D1)",Macrophage,Macrophage...15,Macrophage,22,0.7337887732,2.152457189,2.71E-05,0.001627348157,0.001513148286,CellMarker,1341,"tags=82%, list=17%, signal=68%",CD274/GBP1/IFI6/STAT1/MARCO/DHRS9/MS4A7/CD40/FCGR3A/TNF/CD86/CD68/IL1B/LYZ/ADGRE1/IL18/CD33/CD36
16,"BNT (V2, D1)",Monocyte,Monocyte...16,Monocyte,45,0.6074385145,2.117238652,5.75E-05,0.002587460807,0.00240588461,CellMarker,1703,"tags=69%, list=22%, signal=54%",IFI44L/IFI44/ISG15/IFITM1/FGL2/CD38/MS4A7/CD40/FCN1/SELL/FCGR3A/S100A8/TNF/CD86/CD68/IL1B/LYZ/MPEG1/CST3/AIF1/CCR2/IL18/CD33/CREG1/CD36/TYROBP/PLAC8/PSAP/MNDA/VCAN/CD63
17,"BNT (V2, D1)",Intermediate monocyte cell,Intermediate monocyte cell...17,Intermediate monocyte cell,3,0.9508403892,1.696719942,0.0006596484618,0.02374734462,0.0220808643,CellMarker,392,"tags=100%, list=5%, signal=95%",GBP4/MARCO/APOBEC3A
18,"BNT (V2, D1)",CD1C+_B dendritic cell,CD1C+_B dendritic cell...18,CD1C+_B dendritic cell,27,0.6190992185,1.919041351,0.001186180874,0.03288114367,0.03057369499,CellMarker,2329,"tags=85%, list=29%, signal=60%",NOD2/IL1RN/RNASE2/CES1/MTMR11/FCN1/S100A8/CSTA/IL1B/PLBD1/LYZ/HNMT/CD36/CD1D/NAIP/ASGR1/MNDA/VCAN/NLRP3/AOAH/IL13RA1/S100A9/BST1
19,"BNT (V2, D1)",Naive CD8+ T cell,Naive CD8+ T cell...19,Naive CD8+ T cell,78,-0.4175434406,-1.830438211,0.001278711143,0.03288114367,0.03057369499,CellMarker,2692,"tags=68%, list=34%, signal=45%",OXNAD1/MYC/SPTBN1/RACK1/DGKA/TMEM63A/THAP7/ARHGEF18/EIF3L/GPR183/RASGRP2/CD28/PRKCQ-AS1/ATM/CD3E/SH3YL1/CD8A/IGF1R/TXK/TRABD2A/RIC3/MAL/LEF1/LDLRAP1/LINC01550/ABLIM1/CAMK4/PASK/CCR7/COQ8A/BACH2/CD27/CD8B/VIPR1/NT5E/TCF7/STMN3/CEP68/IL7R/GCSAM/TSHZ2/THEM4/APBA2/RCAN3/PIK3IP1/EPHX2/LEF1-AS1/LRRN3/S1PR1/PLEKHB1/NELL2/TMEM204/NOG
20,"BNT (V2, D1)",Neutrophil,Neutrophil...20,Neutrophil,21,0.6621338809,1.921035308,0.00161930483,0.03643435868,0.03387756158,CellMarker,1315,"tags=62%, list=17%, signal=52%",RSAD2/IFI6/IFITM1/CD38/FCGR3B/SELL/S100A8/CD86/HLA-A/LYZ/HLA-C/HLA-B/CD33
21,"BNT (V2, D1)",CD16+ monocyte,CD16+ monocyte...21,CD16+ monocyte,8,0.818411735,1.877189283,0.002110318295,0.04220636591,0.03924451567,CellMarker,1444,"tags=100%, list=18%, signal=82%",HES4/TCF7L2/MS4A7/FCGR3A/LYZ/CCR2/CD36/LYN
22,"BNT (V2, D1)",Natural killer cell,Natural killer cell...22,Natural killer cell,47,-0.4520716168,-1.777605579,0.005539498219,0.09971096795,0.09271370704,CellMarker,2067,"tags=72%, list=26%, signal=54%",CD19/CD3E/CD8A/CD79B/CD3G/TRGC1/ZBTB16/CD247/CD2/CD7/CD96/CD27/IL2RB/CXXC5/NCAM1/CD160/NKG7/TBX21/IL7R/KLRK1/XCL2/FGFBP2/TRDC/GZMK/KLRB1/TRAC/JUN/NCR1/KLRD1/KLRF1/NCR3/PRSS23/XCL1/KIR3DL1
23,"BNT (V2, D1)",Dendritic cell,Dendritic cell...23,Dendritic cell,20,0.6286896498,1.794759199,0.008099655123,0.1325398111,0.1232387717,CellMarker,1250,"tags=55%, list=16%, signal=46%",ISG15/IFI6/IFITM3/IRF7/LILRB4/HLA-DPA1/CD40/CD86/CLEC9A/LYZ/CST3
24,"BNT (V2, D1)",CD4+ recently activated effector memory or effector T cell (CTL),CD4+ recently activated effector memory or effector T cell (CTL)...24,CD4+ recently activated effector memory or effector T cell (CTL),8,-0.7429185635,-1.800664072,0.01288625498,0.178425069,0.1659040115,CellMarker,2042,"tags=100%, list=26%, signal=74%",CD3E/PRF1/S1PR5/CTSW/NKG7/TBX21/S1PR1
25,"BNT (V2, D1)",CD141+CLEC9A+ dendritic cell,CD141+CLEC9A+ dendritic cell...25,CD141+CLEC9A+ dendritic cell,59,0.4429162239,1.62003429,0.01239294097,0.178425069,0.1659040115,CellMarker,1633,"tags=39%, list=21%, signal=31%",IDO1/SLAMF8/IDO2/SCARF1/APOL1/APOL3/BATF3/SLAMF7/CD38/HLA-DQB1/HLA-DPA1/LACC1/CD40/HLA-DPB1/CD59/CPVL/CLEC9A/TGM2/STX3/DENND1B/PPA1/ELOVL5/CAMK2D
26,"BNT (V2, D1)",Granulocyte-monocyte progenitor,Granulocyte-monocyte progenitor...26,Granulocyte-monocyte progenitor,55,0.4566188504,1.64364463,0.01550398339,0.1993369293,0.1853483729,CellMarker,2044,"tags=56%, list=26%, signal=42%",RMI2/METTL7B/TNFSF13B/MUC1/SUCNR1/CD38/UHRF1/RNASE2/PLEK/CALCOCO2/ERAP2/RAD51AP1/SELL/CSTA/CLSPN/SHCBP1/GCNT1/SERPINB1/KCNE3/IFNAR2/ASPM/HGF/MCM4/MAP3K8/TLR4/NUF2/SKA3/CALR/MCM10/RAB44/FCGR2A
27,"BNT (V2, D1)",Naive CD4+ T cell,Naive CD4+ T cell...27,Naive CD4+ T cell,31,-0.4679542562,-1.694899857,0.02013963463,0.2416756156,0.2247159233,CellMarker,2244,"tags=71%, list=28%, signal=51%",EIF3L/PRKCA/TESPA1/RPS5/GPR183/CD28/CD3E/TXK/TRABD2A/MAL/LEF1/LDLRAP1/ABLIM1/CCR7/CD27/TCF7/IL7R/TSHZ2/LRRN3/S1PR1/NELL2/TMEM204
28,"BNT (V3, D1)",TCR REPERTOIRE,TCR REPERTOIRE...28,TCR REPERTOIRE,37,-0.8191920314,-3.788608619,1.00E-10,6.50E-10,4.21E-10,ImmuneGO,921,"tags=97%, list=17%, signal=81%",TRBV5-1/TRBC2/TRAV26-1/TRAV9-2/TRAV13-2/TRBV7-2/TRBV18/TRBV3-1/TRBV19/TRAV13-1/TRGC1/TRGV10/TRAV8-3/TRAV12-3/TRAJ3/TRAV17/TRBV29-1/TRAV25/TRBV5-6/TRBJ2-7/TRBV2/TRAV27/TRAV10/TRAV23DV6/TRBD1/TRAV20/TRBJ1-4/TRAV38-2DV8/TRAV8-2/TRAV30/TRBJ2-6/TRBJ1-6/TRAV19/TRBV12-4/TRGV4/TRBJ2-1
29,"BNT (V3, D1)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...29,INNATE IMMUNE SYSTEM,221,0.5295090506,2.071285353,1.00E-10,6.50E-10,4.21E-10,ImmuneGO,1482,"tags=54%, list=28%, signal=41%",BATF2/ACOD1/GBP6/FCGR1A/GBP1/CCL8/GBP7/DEFA1/CCL2/CXCL9/IFITM3/IFI6/IFIT1/MX1/IFI35/IFIT2/IL31RA/DDX60/OAS2/STAT1/TRIM22/GCH1/STAT2/RIGI/PARP9/PML/IL27/IFI27/CFB/PRTN3/GBP2/CLEC6A/EDNRB/TAP1/FOSL1/EIF2AK2/DEFA3/ANXA3/IRF1/IFITM1/TAP2/LCN2/IFI30/PIK3AP1/CRISP3/CCL3/CCL3L1/C4B/TRIM21/CCR1/BST2/BPI/APOBEC3A/CXCL2/CASP1/MX2/ELANE/TICAM2/IL1RN/IL15/NLRC5/PSMB8/SCIMP/HLA-G/CASP4/LGALS9/ADAR/PSME1/PDE4B/SP100/HLA-DPA1/CD40/SRC/FCER1G/CAMP/CGAS/NFKBIA/GSDMD/HLA-DMA/RNASE2/HDAC4/LILRA5/NCF1/RELB/GRN/H2BC12L/IL17RC/ZC3HAV1/AIF1/SERPINB9/LTBR/LACC1/CCR2/IL18RAP/CTSS/MILR1/CIITA/RNF19B/TRIM26/FCAR/CTSH/FCGR3A/APOBEC3F/PRKCD/CD46/B2M/HLA-F/LRP1/PTPN6/PTX3/TNFAIP3/PDIA3/LIPA/TMEM229B/TLR4/IL12RB1/RNF135/FGR/HLA-DMB
30,"BNT (V3, D1)",ANTIVIRAL AND INTERFERON,ANTIVIRAL AND INTERFERON...30,ANTIVIRAL AND INTERFERON,49,0.7070368353,2.40272754,8.75E-10,3.79E-09,2.46E-09,ImmuneGO,393,"tags=43%, list=7%, signal=40%",ACOD1/GBP6/GBP1/CCL8/GBP7/CCL2/IFITM3/IFIT1/MX1/IFIT2/OAS2/STAT1/STAT2/RIGI/IFI27/GBP2/EIF2AK2/IRF1/IFITM1/CCL3/CCL3L1
31,"BNT (V3, D1)",ARPP,ARPP...31,ARPP,52,0.5397388954,1.856387633,0.0004894620761,0.001590751747,0.001030446476,ImmuneGO,1700,"tags=71%, list=32%, signal=49%",FCGR1A/RIGI/CLEC6A/TAP1/FOSL1/TAP2/IFI30/PIK3AP1/CASP1/TICAM2/PSMB8/SCIMP/HLA-G/PSME1/HLA-DPA1/CD40/SRC/FCER1G/CGAS/NFKBIA/HLA-DMA/RELB/LACC1/CTSS/CTSH/B2M/HLA-F/TNFAIP3/PDIA3/TLR4/RNF135/HLA-DMB/HLA-C/TICAM1/PRKCE/HLA-E/XIAP
32,"BNT (V3, D1)",MACROPHAGES,MACROPHAGES...32,MACROPHAGES,15,0.6038180761,1.642981227,0.02727981458,0.0709275179,0.04594495086,ImmuneGO,1642,"tags=73%, list=31%, signal=51%",CCL2/IFI35/EDNRB/CCL3/CCR2/FCGR3A/LIPA/TMEM229B/TLR4/TICAM1/PRKCE
33,"BNT (V3, D1)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...33,ADAPTIVE IMMUNE SYSTEM,174,0.3362329917,1.303509225,0.0506585613,0.1097602161,0.07109973515,ImmuneGO,1900,"tags=48%, list=36%, signal=32%",IDO1/ACOD1/CCL8/DEFA1/CCL2/CLEC6A/TAP1/IRF1/BMX/FAS/TAP2/CCL3/CCL3L1/C4B/EGR1/LILRB4/BST2/CLEC4G/IL15/LILRB1/HLA-G/ADAR/CD38/LIMK1/CD83/PDE4B/HLA-DPA1/CD40/SRC/PSMB10/FCER1G/MDK/NFKBIA/HLA-DMA/HDAC4/RELB/FUT4/CSF2RB/CCR2/CTSS/CD86/RNF19B/BCL3/STAT3/CTSH/SKIL/LILRA6/NFAM1/PRKCD/CD46/B2M/PTPN6/PTX3/BCL6/THEMIS2/TNFAIP3/LIPA/TLR4/FGR/HLA-DMB/CEBPB/NFKB2/HLA-C/LILRB2/DOCK8/TICAM1/NFKBID/LCP1/PRKCE/JAK3/MNDA/LGALS1/HLA-E/HCK/DENND1B/CD1D/MAP3K8/WAS/BTK/PTPRJ/NOTCH2/SPI1/JAG1/VAV1
34,"BNT (V3, D1)",CD1C-CD141- dendritic cell,CD1C-CD141- dendritic cell...34,CD1C-CD141- dendritic cell,169,0.5915759772,2.262922173,1.00E-10,1.66E-08,1.40E-08,CellMarker,1858,"tags=80%, list=35%, signal=54%",GBP5/GBP1/ISG15/GBP4/IFIT3/IFITM3/IFI6/VAMP5/OAS1/MYOF/IFIT2/LY6E/APOL6/DDX60/PSTPIP2/TNFSF10/GBP2/DDX60L/SAT1/STX11/IRF1/IFITM1/MAFB/TYMP/IFI30/MT2A/PIK3AP1/WDFY1/C3AR1/GPBAR1/APOBEC3A/CASP1/BLVRA/LILRB1/ACOT9/MS4A4A/SCIMP/DMXL2/CASP4/CD300E/HSPA7/ZNFX1/DUSP6/GNS/RALB/MEFV/TCF7L2/FCGR2C/RAB24/SLC2A6/MS4A7/CDKN1C/LILRA5/FCN1/BCL2A1/DRAP1/NFKBIZ/ATP1B3/SLC7A7/FCGR3B/MCTP1/KDM1B/CXCL16/AIF1/SASH1/CNIH4/TBC1D8/TTYH3/PELI1/NADK/LCP2/WSB1/CLEC7A/GIMAP4/CTSS/HK3/TLR2/BID/SCPEP1/FCAR/GIMAP2/GPR155/FCGR3A/LILRA6/PSAP/NFAM1/LYN/LRP1/RELT/PTPN6/CD300A/AGTRAP/PLEKHO2/NBEAL2/TLR4/RNF149/IL12RB1/SH3BP2/SAMSN1/FGR/BACH1/LTA4H/SLC31A2/CD300LF/P2RX1/LILRB2/NUDT16/MARCKS/SERPINA1/ABHD3/MXD3/CSF1R/TCIRG1/FCGR2A/ALDH3B1/TNFRSF14/HLA-E/DENND3/VASP/HCK/UPP1/TNFRSF1B/TMEM154/FGD4/P2RY13/PILRA/NCF2/TYROBP/NINJ1/KLF11/DENND5A/SIDT2/MBD2/RNF144B/HSBP1/PRAM1
35,"BNT (V3, D1)",Naive CD8+ T cell,Naive CD8+ T cell...35,Naive CD8+ T cell,69,-0.4364650408,-2.355715842,1.60E-06,0.0001329578833,0.0001121331546,CellMarker,1836,"tags=78%, list=35%, signal=52%",NPM1/ITFG2/ATM/BEX4/COQ8A/ABLIM1/SPTBN1/LMO7/EIF3L/RPS8/CD28/OXNAD1/CEP68/DGKA/PASK/BACH2/THAP7/RIC3/TCF7/TRABD2A/RCAN3/TOMM7/CCR7/APBA2/LINC01550/LEF1/VIPR1/LDLRAP1/THEM4/CAMK4/SH3YL1/GCSAM/PIK3IP1/GAS5/CD3D/PRKCQ-AS1/CD8B/PLEKHB1/S1PR1/LDHB/SGSM3/CD3E/STMN3/CD27/LEF1-AS1/TMEM204/GPR183/NT5E/SNURF/NELL2/CD8A/IL7R/LRRN3/NOG
36,"BNT (V3, D1)",CD4+ recently activated effector memory or effector T cell (CTL),CD4+ recently activated effector memory or effector T cell (CTL)...36,CD4+ recently activated effector memory or effector T cell (CTL),8,-0.8648088872,-2.376387529,6.43E-06,0.0003560590839,0.0003002907936,CellMarker,727,"tags=100%, list=14%, signal=86%",S1PR1/CD3E/NKG7/KLRG1/TBX21/S1PR5/GNLY
37,"BNT (V3, D1)",Natural killer cell,Natural killer cell...37,Natural killer cell,47,-0.5013855668,-2.436498525,9.36E-06,0.0003885789308,0.0003277171706,CellMarker,1042,"tags=70%, list=20%, signal=57%",ZBTB16/CD2/CD7/TRAC/CD96/CXXC5/CD3D/GZMA/CD3G/IL2RB/CD247/CD3E/TRGC1/NKG7/CD27/CD160/TRGC2/TBX21/CD8A/IL7R/KLRK1/KLRF1/GZMK/KLRD1/KLRC1/NCR3/XCL2/FGFBP2/GNLY/PRSS23/XCL1/KIR3DL1/KLRB1
38,"BNT (V3, D1)",Classical monocyte,Classical monocyte...38,Classical monocyte,26,0.6875087337,2.058346454,2.88E-05,0.0009559935862,0.000806259651,CellMarker,116,"tags=35%, list=2%, signal=34%",IFI44L/ISG15/IFIT3/IFITM3/EPSTI1/IFI6/MX1/XAF1/IFIT2
39,"BNT (V3, D1)",CD8+ recently activated effector memory or effector T cell (CTL),CD8+ recently activated effector memory or effector T cell (CTL)...39,CD8+ recently activated effector memory or effector T cell (CTL),10,-0.7713061912,-2.324049493,0.0001003261763,0.002775690878,0.002340944114,CellMarker,725,"tags=90%, list=14%, signal=78%",CD8B/S1PR1/CD3E/KLRG1/TBX21/CD8A/S1PR5/EOMES/FGFBP2
40,"BNT (V3, D1)",Neutrophil,Neutrophil...40,Neutrophil,25,0.6781993308,1.999383031,0.0001335377781,0.003166753023,0.002670755562,CellMarker,1535,"tags=88%, list=29%, signal=63%",RSAD2/IFI6/MMP8/LTF/PRTN3/IFITM1/LCN2/CEACAM8/ELANE/MPO/CD38/CAMP/SELL/FCGR3B/TLR2/CD86/LYZ/S100A8/S100A9/HLA-B/HLA-C/CD33
41,"BNT (V3, D1)",Effector memory CD8+ T cell,Effector memory CD8+ T cell...41,Effector memory CD8+ T cell,7,-0.8285109918,-2.191117012,0.0001692129592,0.003511168903,0.002961226786,CellMarker,725,"tags=86%, list=14%, signal=74%",CD8B/CD3E/CD8A/GZMK/CXCR3/FGFBP2
42,"BNT (V3, D1)",Natural killer T(NKT) cell,Natural killer T(NKT) cell...42,Natural killer T(NKT) cell,10,-0.7456504821,-2.246745384,0.0003091835578,0.00513244706,0.00432856981,CellMarker,1021,"tags=90%, list=19%, signal=73%",CD2/TRAC/CD3D/CD3E/NKG7/CD8A/KLRD1/NCR3/KLRB1
43,"BNT (V3, D1)",Macrophage,Macrophage...43,Macrophage,21,0.6936755878,1.980758653,0.0002805197232,0.00513244706,0.00432856981,CellMarker,1273,"tags=81%, list=24%, signal=62%",CD274/GBP1/IFI6/STAT1/DHRS9/MARCO/TNF/IL1B/CD83/CD40/OSM/MS4A7/ADGRE1/CD36/CD86/LYZ/FCGR3A
44,"BNT (V3, D1)",Memory CD4+ T cell,Memory CD4+ T cell...44,Memory CD4+ T cell,10,-0.7301188609,-2.199946517,0.0004979102964,0.007513919018,0.006337040135,CellMarker,1197,"tags=90%, list=23%, signal=70%",CCR7/AQP3/CD3D/S1PR1/CD3E/CD27/GPR183/IL7R/GZMK
45,"BNT (V3, D1)",Naive CD4+ T cell,Naive CD4+ T cell...45,Naive CD4+ T cell,26,-0.5061015768,-2.057689933,0.0008378844671,0.01069914012,0.009023371184,CellMarker,1781,"tags=85%, list=33%, signal=57%",ABLIM1/TESPA1/EEF1B2/EIF3L/CD28/RPS5/SATB1/GIMAP5/TCF7/TRABD2A/CCR7/LEF1/LDLRAP1/CD3D/S1PR1/CD3E/CD27/TMEM204/GPR183/NELL2/IL7R/LRRN3
46,"BNT (V3, D1)",CD1C+_B dendritic cell,CD1C+_B dendritic cell...46,CD1C+_B dendritic cell,25,0.6328850785,1.86579318,0.0008033271536,0.01069914012,0.009023371184,CellMarker,1889,"tags=96%, list=36%, signal=62%",CES1/NOD2/IL1RN/RETN/IL1B/NAIP/MTMR11/RNASE2/FCN1/CD36/NLRP3/LYZ/S100A8/ASGR1/PLBD1/S100A9/VCAN/HNMT/CSTA/MNDA/AOAH/CD1D/LAT2/CD14
47,"BNT (V3, D1)",Cytotoxic CD8+ T cell,Cytotoxic CD8+ T cell...47,Cytotoxic CD8+ T cell,7,-0.7842620482,-2.074094288,0.0011572905,0.01372215879,0.011572905,CellMarker,1154,"tags=100%, list=22%, signal=78%",GZMA/NKG7/KLRG1/TRGC2/FGFBP2/GNLY
