"","condition","id","delete","description","set_size","enrichment_score","nes","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment","gsea_enrichment"
"11","BNT (V2, D1)","NEUTROPHIL","NEUTROPHIL...11","NEUTROPHIL",25,0.563511279408103,1.69567545952334,0.0148641328092755,0.0475652249896817,0.0312929111774222,699,"tags=28%, list=9%, signal=26%","CCL8/CXCL9/CCL2/IL15/ANXA3/PDE4B/FCER1G","ImmuneGO"
"12","BNT (V2, D1)","MONOCYTES","MONOCYTES...12","MONOCYTES",6,0.776211713997853,1.62735338460594,0.0184154825454541,0.0491079534545442,0.0323078641148317,41,"tags=33%, list=1%, signal=33%","CCL8/CCL2","ImmuneGO"
"13","BNT (V2, D1)","DENDRITIC CELLS","DENDRITIC CELLS...13","DENDRITIC CELLS",14,0.546561163271666,1.44334197964683,0.0889261744966443,0.203259827420901,0.133723570671646,1552,"tags=43%, list=20%, signal=35%","BATF2/CCR1/CCR2/RELB/LTBR/DOCK8","ImmuneGO"
"14","BNT (V3, D1)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...14","ANTIVIRAL AND INTERFERON",49,0.706847081983024,2.41877848983807,7.94093046418433e-10,1.27054887426949e-08,8.35887417282561e-09,394,"tags=43%, list=7%, signal=40%","ACOD1/GBP6/GBP1/CCL8/GBP7/CCL2/IFITM3/IFIT1/MX1/IFIT2/OAS2/STAT1/STAT2/RIGI/IFI27/GBP2/EIF2AK2/IRF1/IFITM1/CCL3/CCL3L1","ImmuneGO"
"15","BNT (V3, D1)","ARPP","ARPP...15","ARPP",52,0.539738895432139,1.86400621478085,0.000335706082407964,0.00268564865926371,0.00176687411793665,1700,"tags=71%, list=32%, signal=49%","FCGR1A/RIGI/CLEC6A/TAP1/FOSL1/TAP2/IFI30/PIK3AP1/CASP1/TICAM2/PSMB8/SCIMP/HLA-G/PSME1/HLA-DPA1/CD40/SRC/FCER1G/CGAS/NFKBIA/HLA-DMA/RELB/LACC1/CTSS/CTSH/B2M/HLA-F/TNFAIP3/PDIA3/TLR4/RNF135/HLA-DMB/HLA-C/TICAM1/PRKCE/HLA-E/XIAP","ImmuneGO"
"16","BNT (V3, D1)","NEUTROPHIL","NEUTROPHIL...16","NEUTROPHIL",29,0.584644406416021,1.83584089187364,0.001654232237662,0.00882257193419735,0.00580432364091931,851,"tags=45%, list=16%, signal=38%","CCL8/CCL2/CXCL9/PRTN3/ANXA3/CCL3/CCL3L1/CXCL2/ELANE/IL15/PDE4B/FCER1G/CAMP","ImmuneGO"
"17","BNT (V3, D1)","EOSINOPHIL","EOSINOPHIL...17","EOSINOPHIL",8,0.741148837450112,1.67733400302524,0.0108460699327505,0.0418902998105322,0.027559407770087,394,"tags=50%, list=7%, signal=46%","CCL8/CCL2/CCL3/CCL3L1","ImmuneGO"
"18","BNT (V3, D1)","MONOCYTES","MONOCYTES...18","MONOCYTES",9,0.699325812015724,1.62151722544597,0.0130907186907913,0.0418902998105322,0.027559407770087,394,"tags=44%, list=7%, signal=41%","CCL8/CCL2/CCL3/CCL3L1","ImmuneGO"
"19","BNT (V3, D1)","MACROPHAGES","MACROPHAGES...19","MACROPHAGES",15,0.603818076137679,1.60062263113456,0.0359042553191489,0.0957446808510638,0.062989921612542,1642,"tags=73%, list=31%, signal=51%","CCL2/IFI35/EDNRB/CCL3/CCR2/FCGR3A/LIPA/TMEM229B/TLR4/TICAM1/PRKCE","ImmuneGO"
"20","BNT-I (D10, mild)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...20","ANTIVIRAL AND INTERFERON",35,0.435565873030339,2.10852748935187,0.00045030439982368,0.00720487039717888,0.00568805557672017,1219,"tags=63%, list=22%, signal=49%","IFI27/IFIT1/MX1/OAS2/GBP6/IFITM3/GBP1/IFITM1/RNF135/EIF2AK2/CASP1/STAT2/GBP2/IFITM2/SP100/IFNGR2/LGALS9/TBKBP1/HCK/CD58/IL10RB/VIM","ImmuneGO"
"21","BNT-I (D10, mild)","NEUTROPHIL","NEUTROPHIL...21","NEUTROPHIL",24,0.478555244838575,2.03810284403031,0.00140917261083979,0.0112733808867183,0.00890003754214606,788,"tags=54%, list=14%, signal=47%","ELANE/CD177/ANXA3/CTSG/AZU1/IL18RAP/IL15/CXCL3/CAMP/MERTK/S100A12/FCER1G/LGALS3","ImmuneGO"
"22","BNT-I (D10, mild)","T CELLS","T CELLS...22","T CELLS",92,-0.392727918156846,-1.76837245481568,0.00449476905908702,0.0179790762363481,0.0141940075550116,960,"tags=36%, list=17%, signal=30%","DTX1/TXK/TOX/BCL2/NLRC3/GATA3/PLCG1/PRF1/SKAP1/CD247/RASGRP1/CRTAM/CR2/ITK/S1PR1/ZAP70/CD28/CD40LG/TESPA1/GZMM/CD3G/CD6/THEMIS/TCF7/CD8B/EOMES/ZNF683/KLRK1/IL7R/GPR15/CCR7/FCER1A/GLI3","ImmuneGO"
"23","BNT-I (D10, mild)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...23","CELLULAR ADAPTIVE IMMUNE SYSTEM",103,-0.370924131156901,-1.70026581892651,0.00338761700480156,0.0179790762363481,0.0141940075550116,960,"tags=34%, list=17%, signal=29%","DTX1/TXK/TOX/BCL2/CACNB4/NLRC3/GATA3/PLCG1/PRF1/SKAP1/CD247/RASGRP1/CRTAM/CR2/ITK/S1PR1/ZAP70/CD28/CD40LG/RORA/RORC/TESPA1/GZMM/CD3G/THEMIS/TCF7/CD8B/EOMES/ZNF683/KLRK1/IL7R/GPR15/CCR7/FCER1A/GLI3","ImmuneGO"
"24","BNT-I (D10, mild)","EOSINOPHIL","EOSINOPHIL...24","EOSINOPHIL",6,-0.656402972455998,-1.48984092720494,0.0621848739495798,0.165826330532213,0.130915524104379,1159,"tags=67%, list=21%, signal=53%","CCL5/CCL4/FCER1A/CCL3L1","ImmuneGO"
"25","BNT-I (D10, mild)","MAST CELL","MAST CELL","MAST CELL",11,-0.543303700307419,-1.48724171853386,0.0605590062111801,0.165826330532213,0.130915524104379,704,"tags=36%, list=13%, signal=32%","RASGRP1/PTGDS/FCER1A/CLNK","ImmuneGO"
"26","BNT-I (D10, mild)","B CELLS","B CELLS...26","B CELLS",58,-0.327751696657721,-1.36982628509273,0.107228915662651,0.245094664371773,0.193495787661926,1139,"tags=34%, list=20%, signal=28%","CD27/TPD52/BCL2/IL2RB/BANK1/GATA3/CD19/LAX1/RASGRP1/CR2/ITK/CD79B/ZAP70/CD40LG/CD22/MS4A1/CD79A/PAX5/IL7R/CXCR5","ImmuneGO"
"27","BNT-I (D10, severe)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...27","ANTIVIRAL AND INTERFERON",45,0.520842216480536,2.20549062334009,3.1086707813932e-05,0.000497387325022912,0.000359951353635002,2009,"tags=60%, list=24%, signal=46%","IFI27/IFIT1/GBP6/MX1/OAS2/GBP1/IFITM3/IFITM1/CCL20/IFIT2/EIF2AK2/RNF135/CASP1/IFITM2/STAT2/GBP2/STAT1/SP100/TLR4/HDAC4/TBKBP1/IL10RB/IFNL1/FCAR/CD58/VIM/IFNGR2","ImmuneGO"
"28","BNT-I (D10, severe)","NEUTROPHIL","NEUTROPHIL...28","NEUTROPHIL",36,0.537207454332786,2.19015783299885,8.5231429143119e-05,0.000681851433144952,0.000493445116091741,2433,"tags=69%, list=30%, signal=49%","ELANE/CTSG/PRTN3/AZU1/CD177/CAMP/IL18RAP/ANXA3/S100A12/CCL20/CXCL2/CXCL3/CSF1/IL15/FCER1G/MERTK/ADAM17/FCAR/ITGA1/F2RL1/NLRP6/PRKCD/STXBP3/LGALS3/LILRA2","ImmuneGO"
"29","BNT-I (D10, severe)","MONOCYTES","MONOCYTES...29","MONOCYTES",7,0.763534513989838,1.88372572843767,0.00250303976772568,0.00807789105426949,0.00584584221032661,970,"tags=71%, list=12%, signal=63%","CTSG/AZU1/S100A12/CCL20/CSF1","ImmuneGO"
"30","BNT-I (D10, severe)","T CELLS","T CELLS...30","T CELLS",116,-0.310651015763688,-1.73530378401601,0.00163181425771174,0.00807789105426949,0.00584584221032661,1416,"tags=33%, list=17%, signal=27%","KLRK1/RAG1/CR2/PRKCQ/TOX/SKAP1/GPR183/CD247/CTLA4/IL7/S1PR1/CD1C/ZAP70/BCL2/DPP4/NLRC3/LFNG/SPN/GATA3/CRTAM/ITK/PLCG1/RASGRP1/GZMM/CD8B/EOMES/TESPA1/CD28/CD6/CD3G/THEMIS/TCF7/GPR15/IL7R/CCR7/CD40LG/ZNF683/FCER1A","ImmuneGO"
"31","BNT-I (D10, severe)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...31","CELLULAR ADAPTIVE IMMUNE SYSTEM",133,-0.288918428414571,-1.66396469788108,0.00252434095445922,0.00807789105426949,0.00584584221032661,1416,"tags=30%, list=17%, signal=25%","KLRK1/RAG1/CR2/PRKCQ/TOX/SKAP1/GPR183/CD247/CTLA4/IL7/S1PR1/CD1C/ZAP70/BCL2/DPP4/NLRC3/LFNG/SPN/GATA3/CRTAM/ITK/ZFPM1/PLCG1/RASGRP1/RORA/GZMM/CD8B/EOMES/TESPA1/CD28/CD3G/THEMIS/TCF7/GPR15/IL7R/CCR7/CD40LG/RORC/ZNF683/FCER1A","ImmuneGO"
"32","BNT-I (D10, severe)","MACROPHAGES","MACROPHAGES...32","MACROPHAGES",18,0.460701185486229,1.56476267733696,0.0516605166051661,0.137761377613776,0.0996957337994433,1157,"tags=39%, list=14%, signal=33%","AZU1/MMP2/EDNRB/PRKCE/CSF1/IFI35/JMJD6","ImmuneGO"
"33","BNT-I (D26, severe)","NEUTROPHIL","NEUTROPHIL...33","NEUTROPHIL",3,0.869635627530364,1.65744425672373,0.00968102601449576,0.135534364202941,0.122286644393631,164,"tags=100%, list=13%, signal=87%","CXCL2/S100A12/CXCL5","ImmuneGO"
"34","BNT-I (D3)","MACROPHAGES","MACROPHAGES...34","MACROPHAGES",5,0.751910493620298,1.65420240711067,0.00990060906073791,0.138608526850331,0.125060324977742,68,"tags=60%, list=6%, signal=57%","EDNRB/CXCL17/IL13","ImmuneGO"
"35","BNT-I (D3)","NEUTROPHIL","NEUTROPHIL...35","NEUTROPHIL",6,0.679635159564769,1.58463016237662,0.0230840045609168,0.161588031926418,0.145793713016317,193,"tags=67%, list=18%, signal=55%","CD177/S100A12/ANXA3/FCAR","ImmuneGO"
"36","BNT-I-BNT (D51, mild)","NEUTROPHIL","NEUTROPHIL...36","NEUTROPHIL",2,0.968684759916493,1.63032131352252,0.00238240191215293,0.0262064210336822,0.0175545404053374,17,"tags=100%, list=4%, signal=97%","AZU1/CAMP","ImmuneGO"
"37","BNT-I-BNT (D51, mild)","B CELLS","B CELLS...37","B CELLS",14,-0.637960125923294,-1.84321415200316,0.00736940524892959,0.0405317288691128,0.0271504403907932,107,"tags=64%, list=22%, signal=51%","CD40/CD40LG/IL7R/BANK1/CXCR5/MS4A1/CD79A/CD22/CR2","ImmuneGO"
"38","BNT-I-BNT (D51, mild)","MACROPHAGES","MACROPHAGES...38","MACROPHAGES",1,0.99375,1.33917658135753,0.0262495542385489,0.0721862741560095,0.0483544420183796,4,"tags=100%, list=1%, signal=99%","AZU1","ImmuneGO"
"39","BNT-I-BNT (D51, mild)","MONOCYTES","MONOCYTES...39","MONOCYTES",1,0.99375,1.33917658135753,0.0262495542385489,0.0721862741560095,0.0483544420183796,4,"tags=100%, list=1%, signal=99%","AZU1","ImmuneGO"
"40","BNT-I-BNT (D51, mild)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...40","COMPLEMENT IMMUNE SYSTEM",1,-0.983333333333333,-1.30043032287748,0.0574851931208707,0.126467424865916,0.0847150214412831,10,"tags=100%, list=2%, signal=98%","","ImmuneGO"
"41","BNT-I-BNT (D51, mild)","DENDRITIC CELLS","DENDRITIC CELLS...41","DENDRITIC CELLS",2,-0.830897703549061,-1.33837762148471,0.0970017636684303,0.177836566725456,0.119124972926143,84,"tags=100%, list=17%, signal=83%","CCR7","ImmuneGO"
"42","BNT-MO (V3, D1)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...42","ANTIVIRAL AND INTERFERON",56,0.627743666288432,2.42724091000231,1.46506996312957e-08,2.34411194100732e-07,1.85061469026894e-07,701,"tags=39%, list=11%, signal=35%","GBP6/GBP7/ACOD1/GBP1/CCL8/IFITM3/CCL2/IFIT1/CCL3L1/MX1/IFIT2/STAT1/RIGI/OAS2/STAT2/GBP2/IFITM1/IRF1/EIF2AK2/CASP1/CCL3/FCAR","ImmuneGO"
"43","BNT-MO (V3, D1)","ARPP","ARPP...43","ARPP",50,0.563794936551609,2.13870729478304,1.26352601280051e-05,0.000101082081024041,7.98016429137162e-05,1346,"tags=58%, list=21%, signal=46%","FCGR1A/RIGI/FOSL1/CLEC6A/TAP1/IFI30/TAP2/PIK3AP1/CASP1/NFKBIA/TNFAIP3/PSME1/PSMB8/TICAM2/RELB/FCER1G/ERAP2/CTSS/HLA-DMA/SCIMP/CGAS/B2M/HLA-F/SRC/CD40/HLA-DPA1/FCGR2B/TLR4/HLA-C","ImmuneGO"
"44","BNT-MO (V3, D1)","NEUTROPHIL","NEUTROPHIL...44","NEUTROPHIL",29,0.565864137608578,1.92561065495133,0.00148811218824724,0.00793659833731862,0.00626573552946207,1105,"tags=48%, list=17%, signal=40%","CCL8/CXCL9/CCL2/CCL3L1/PDE4B/CXCL2/CCL3/FCAR/CXCL8/ANXA3/IL15/FCER1G/CCR2/F2RL1","ImmuneGO"
"45","BNT-MO (V3, D1)","EOSINOPHIL","EOSINOPHIL...45","EOSINOPHIL",7,0.737914567776471,1.69157795328895,0.0146847047776405,0.058738819110562,0.046372751929391,669,"tags=57%, list=10%, signal=51%","CCL8/CCL2/CCL3L1/CCL3","ImmuneGO"
"46","BNT-MO (V3, D1)","MONOCYTES","MONOCYTES...46","MONOCYTES",8,0.653522979613526,1.56497824956958,0.05,0.16,0.126315789473684,1060,"tags=62%, list=17%, signal=52%","CCL8/CCL2/CCL3L1/CCL3/CCR2","ImmuneGO"
"47","BNT-MO (V3, D1)","MACROPHAGES","MACROPHAGES...47","MACROPHAGES",15,0.516430842751321,1.47238135010267,0.0818897637795276,0.218372703412073,0.172399502693742,1953,"tags=60%, list=31%, signal=42%","CCL2/IFI35/CCL3/CCR2/JMJD6/TLR4/LIPA/FCGR3A/TICAM1","ImmuneGO"
"48","BNT-MO (V3, D1)","INFLAMMATION","INFLAMMATION...48","INFLAMMATION",9,0.568219260296983,1.42021919941147,0.121710526315789,0.223972003499563,0.176820002762813,481,"tags=33%, list=8%, signal=31%","IL31RA/IL10/IL1RN","ImmuneGO"
"49","BNT-MO (V3, D1)","DENDRITIC CELLS","DENDRITIC CELLS...49","DENDRITIC CELLS",15,0.480838304322411,1.37090447179241,0.125984251968504,0.223972003499563,0.176820002762813,1777,"tags=53%, list=28%, signal=39%","BATF2/CCR1/RELB/CCR2/LTBR/DOCK8/CXCR4/SPI1","ImmuneGO"
"50","BNT-MO (V3, D1)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...50","CELLULAR ADAPTIVE IMMUNE SYSTEM",119,0.295940306407782,1.28704003879775,0.104026845637584,0.223972003499563,0.176820002762813,1663,"tags=35%, list=26%, signal=27%","IDO1/CCL2/EGR1/DEFA1/IL10/IRF1/FAS/PDE4B/TAP2/MDK/CLEC4G/CCL3/PSMB10/CD46/RELB/IL15/FCER1G/NFKBID/BCL3/MAP3K8/CD83/CCR2/CEBPB/LILRB1/F2RL1/STAT3/THEMIS2/B2M/SRC/JMJD6/TLR4/BTN3A2/BCL10/LCP1/BCL6/JAG1/PTPN6/LIPA/DOCK8/WAS/HLA-E/LEPR","ImmuneGO"
"51","ChAd (V1, D3)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...51","ANTIVIRAL AND INTERFERON",47,0.607789340748018,2.56437240719961,1.70660465641922e-07,2.73056745027075e-06,1.7964259541255e-06,934,"tags=51%, list=14%, signal=44%","IFI27/IFITM3/CCL2/GBP1/CCL1/MX1/OAS2/STAT1/IFIT1/IFITM1/LGALS9/GBP7/AIF1/STAT2/EIF2AK2/RNF135/IFNGR2/CASP1/GBP2/HCK/IRF1/HLA-DPA1/TLR4/IFITM2","ImmuneGO"
"52","ChAd (V1, D3)","ARPP","ARPP...52","ARPP",51,0.520947216754343,2.24379298391732,8.59730723990117e-06,6.87784579192094e-05,4.52489854731641e-05,1448,"tags=61%, list=22%, signal=48%","FCGR1A/IFI30/SCIMP/SRC/FCER1G/CLEC6A/RNF135/TAP1/CASP1/CD40/FOSL1/CD1D/PSME1/CD14/PSMB8/ERAP2/HLA-DPA1/RAB10/TLR4/HLA-DMB/PIK3AP1/RELB/BTK/CTSH/CALR/HLA-DMA/SLC11A1/HLA-C/PDIA3/TAP2/CTSS","ImmuneGO"
"53","ChAd (V1, D3)","MACROPHAGES","MACROPHAGES...53","MACROPHAGES",14,0.681033300464899,2.07145508723901,0.000894857390941657,0.00477257275168884,0.00313985049453213,1356,"tags=79%, list=20%, signal=63%","CCL2/IFI35/EDNRB/HAMP/EDN2/FCGR3A/TLR4/LGALS3/LIPA/SLC11A1/CCR2","ImmuneGO"
"54","ChAd (V1, D3)","NEUTROPHIL","NEUTROPHIL...54","NEUTROPHIL",38,-0.448464113470337,-1.79638267976388,0.00401092766842409,0.0160437106736963,0.0105550728116423,395,"tags=32%, list=6%, signal=30%","NLRP6/CXCL5/CSF1/CCL4L1/CXCL2/CXCR1/CXCR2/CXCL3/CCL3L1/CXCL1/CXCL8/CXCL6","ImmuneGO"
"55","ChAd (V1, D3)","T CELLS","T CELLS...55","T CELLS",103,0.307213023421927,1.55092169823515,0.0136919935699996,0.0438143794239986,0.0288252496210517,1641,"tags=41%, list=24%, signal=31%","IDO1/CCL2/CD276/SRC/FCER1G/LILRB1/IL15/CD86/CLEC4G/LFNG/LGALS1/RBX1/TNFAIP8L2/PSMB10/NCAPH2/LAG3/CD1D/IRF1/ADA/CTSC/CD151/BAX/FKBP1A/BTK/LIPA/CTSH/NCKAP1L/KDELR1/WAS/SLC11A1/MDK/CORO1A/CSK/LCP1/TAP2/B2M/RHOA/THEMIS2/EFNB1/PRF1/MYO1G/PTPN6","ImmuneGO"
"56","ChAd (V1, D3)","CELLULAR ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM...56","CELLULAR ADAPTIVE IMMUNE SYSTEM",121,0.273984668948597,1.42040996722813,0.0258103584088338,0.0688276224235569,0.0452813305418137,1641,"tags=38%, list=24%, signal=29%","IDO1/CCL2/CD276/SRC/FCER1G/LILRB1/IL15/CEBPB/CD86/CLEC4G/LFNG/LGALS1/RBX1/TNFAIP8L2/PSMB10/NCAPH2/LAG3/CD1D/IRF1/ADA/TLR4/CTSC/CD151/BAX/RELB/FKBP1A/BTK/LIPA/CTSH/NCKAP1L/KDELR1/WAS/SLC11A1/MDK/CCR2/CORO1A/CSK/LCP1/TAP2/B2M/RHOA/THEMIS2/EFNB1/PRF1/MYO1G/PTPN6","ImmuneGO"
"57","ChAd (V1, D3)","NK CELL","NK CELL...57","NK CELL",16,0.478219052290995,1.51255222941175,0.0545454545454545,0.124675324675325,0.0820232399179768,676,"tags=38%, list=10%, signal=34%","AXL/LGALS9/IL15/FCGR3A/PRDX1/LAG3","ImmuneGO"
"58","ChAd (V1, D3)","COMPLEMENT IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM...58","COMPLEMENT IMMUNE SYSTEM",8,0.581433717308733,1.49201555028651,0.0901639344262295,0.180327868852459,0.118636755823986,1037,"tags=62%, list=15%, signal=53%","CFB/CFD/FPR2/FPR1/CFP","ImmuneGO"
"59","ChAd (V1, D3)","B CELLS","B CELLS...59","B CELLS",62,0.285142002086141,1.28540982727681,0.112426035502959,0.199868507560815,0.131492439184747,1357,"tags=34%, list=20%, signal=27%","EPHB2/SRC/FCER1G/BST2/CD86/CD38/CLEC4G/SPI1/LFNG/LYL1/FGR/HCK/CD40/TLR4/BAX/BTK/GAPT/HHEX/NCKAP1L/NFAM1/PRKCD","ImmuneGO"
"60","ChAd (V1, D3)","MONOCYTES","MONOCYTES...60","MONOCYTES",12,0.447474625601856,1.29416317602444,0.167002012072435,0.244824482448245,0.161068738452793,499,"tags=33%, list=7%, signal=31%","CCL2/MT1G/CCL1/HYAL2","ImmuneGO"
"61","ChAd (V1, D3)","HUMORAL ADAPTIVE IMMUNE SYSTEM","HUMORAL ADAPTIVE IMMUNE SYSTEM...61","HUMORAL ADAPTIVE IMMUNE SYSTEM",30,0.336954168783226,1.27312591510606,0.168316831683168,0.244824482448245,0.161068738452793,650,"tags=27%, list=10%, signal=24%","SRC/FCER1G/CLEC4G/SPI1/LFNG/LGALS1/FGR/HCK","ImmuneGO"
"62","ChAd (V1, D7)","EOSINOPHIL","EOSINOPHIL...62","EOSINOPHIL",3,-0.951837317160185,-1.76481035244024,0.000703634767171224,0.0112581562747396,0.0103693544635759,139,"tags=100%, list=5%, signal=95%","CCL3L1/CCL3","ImmuneGO"
"63","ChAd (V2, D1)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...63","ANTIVIRAL AND INTERFERON",33,0.735028805185473,2.54105341762137,2.5038897587745e-09,4.0062236140392e-08,2.89924077331784e-08,461,"tags=58%, list=14%, signal=50%","CCL8/IFIT1/MX1/CCL2/IFIT2/GBP1/RIGI/OAS2/EIF2AK2/IFITM3/GBP6/STAT2/IFI27/STAT1/GBP2/CASP1/SP100/LGALS9/IFITM1","ImmuneGO"
"64","ChAd (V2, D1)","ARPP","ARPP...64","ARPP",31,0.554006530227268,1.90232559284718,0.00177588489049516,0.0142070791239613,0.0102814388397088,1218,"tags=84%, list=38%, signal=52%","RIGI/FCGR1A/TAP2/CLEC6A/TAP1/IFI30/CASP1/HLA-DMB/PIK3AP1/PSME1/TICAM2/PSMB8/SCIMP/HLA-DPA1/LACC1/NFKBIA/HLA-DMA/CD1D/TNFAIP3/PRKCE/HLA-F/CGAS/B2M/XIAP/CTSS/PDIA3","ImmuneGO"
"65","ChAd (V2, D1)","MONOCYTES","MONOCYTES...65","MONOCYTES",3,0.889197573131822,1.57849170405462,0.00687214236127532,0.0366514259268017,0.0265240582365012,32,"tags=67%, list=1%, signal=66%","CCL8/CCL2","ImmuneGO"
"66","ChAd (V2, D1)","EOSINOPHIL","EOSINOPHIL...66","EOSINOPHIL",4,0.846837875168707,1.62319432375238,0.00918718465493051,0.0367487386197221,0.0265944818958515,32,"tags=50%, list=1%, signal=50%","CCL8/CCL2","ImmuneGO"
"67","ChAd (V2, D1)","NEUTROPHIL","NEUTROPHIL...67","NEUTROPHIL",13,0.581566620737396,1.59993831712484,0.0471830627757255,0.150985800882322,0.109266040112206,502,"tags=38%, list=16%, signal=33%","CCL8/CCL2/CXCL2/AXL/IL15","ImmuneGO"
"68","ChAd (V2, D1)","MACROPHAGES","MACROPHAGES...68","MACROPHAGES",5,0.723075208658245,1.49607599769503,0.0759493670886076,0.20253164556962,0.146568954030646,136,"tags=40%, list=4%, signal=38%","CCL2/IFI35","ImmuneGO"
"69","ChAd (V2, D1)","DENDRITIC CELLS","DENDRITIC CELLS...69","DENDRITIC CELLS",4,0.715972230999209,1.37235484547821,0.108108108108108,0.247104247104247,0.178825441983337,444,"tags=50%, list=14%, signal=43%","BATF2/CCR1","ImmuneGO"
"70","ChAd-BNT (V2, D3)","ANTIVIRAL AND INTERFERON","ANTIVIRAL AND INTERFERON...70","ANTIVIRAL AND INTERFERON",44,0.651200221273417,2.29936848830679,6.42255818924646e-08,1.02760931027943e-06,7.43664632439063e-07,240,"tags=39%, list=6%, signal=37%","CCL8/CCL2/IFI27/GBP1/CCL7/IFIT1/IFIT2/MX1/RAB43/OAS2/CCL1/EIF2AK2/CCL20/IFITM3/STAT1/STAT2/GBP7","ImmuneGO"
"71","ChAd-BNT (V2, D3)","MONOCYTES","MONOCYTES...71","MONOCYTES",12,0.674241376476338,1.75875260844382,0.00488694560319078,0.0260637098836841,0.0188618953105609,150,"tags=42%, list=4%, signal=40%","CCL8/CCL2/CCL7/CCL1/CCL20","ImmuneGO"
