Study,Parameter,Category,Sub-category,Value
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,26
GSE199750,Age,Individual,,25
GSE199750,Age,Individual,,25
GSE199750,Age,Individual,,25
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,24
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,23
GSE199750,Age,Individual,,19
GSE199750,Age,Individual,,19
GSE199750,Age,Individual,,19
GSE199750,Age,Individual,,19
GSE201530,Age,Individual,,82
GSE201530,Age,Individual,,63
GSE201530,Age,Individual,,62
GSE201530,Age,Individual,,58
GSE201530,Age,Individual,,56
GSE201530,Age,Individual,,55
GSE201530,Age,Individual,,54
GSE201530,Age,Individual,,42
GSE201530,Age,Individual,,40
GSE201530,Age,Individual,,39
GSE201530,Age,Individual,,38
GSE201530,Age,Individual,,37
GSE201530,Age,Individual,,37
GSE201530,Age,Individual,,36
GSE201530,Age,Individual,,36
GSE201530,Age,Individual,,32
GSE201530,Age,Individual,,31
GSE201530,Age,Individual,,30
GSE201530,Age,Individual,,29
GSE201530,Age,Individual,,28
GSE201530,Age,Individual,,28
GSE201530,Age,Individual,,26
GSE201530,Age,Individual,,24
GSE201530,Age,Individual,,24
GSE201530,Age,Individual,,23
GSE201530,Age,Individual,,23
GSE201530,Age,Individual,,21
GSE201530,Age,Individual,,19
GSE201533,Age,Individual,,63
GSE201533,Age,Individual,,63
GSE201533,Age,Individual,,63
GSE201533,Age,Individual,,63
GSE201533,Age,Individual,,52
GSE201533,Age,Individual,,52
GSE201533,Age,Individual,,52
GSE201533,Age,Individual,,51
GSE201533,Age,Individual,,51
GSE201533,Age,Individual,,51
GSE201533,Age,Individual,,51
GSE201533,Age,Individual,,45
GSE201533,Age,Individual,,45
GSE201533,Age,Individual,,45
GSE201533,Age,Individual,,44
GSE201533,Age,Individual,,44
GSE201533,Age,Individual,,44
GSE201533,Age,Individual,,43
GSE201533,Age,Individual,,43
GSE201533,Age,Individual,,43
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,42
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,41
GSE201533,Age,Individual,,40
GSE201533,Age,Individual,,40
GSE201533,Age,Individual,,40
GSE201533,Age,Individual,,40
GSE201533,Age,Individual,,40
GSE201533,Age,Individual,,40
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,39
GSE201533,Age,Individual,,38
GSE201533,Age,Individual,,38
GSE201533,Age,Individual,,38
GSE201533,Age,Individual,,38
GSE201533,Age,Individual,,38
GSE201533,Age,Individual,,38
GSE201533,Age,Individual,,37
GSE201533,Age,Individual,,37
GSE201533,Age,Individual,,37
GSE201533,Age,Individual,,36
GSE201533,Age,Individual,,36
GSE201533,Age,Individual,,36
GSE201533,Age,Individual,,36
GSE201533,Age,Individual,,36
GSE201533,Age,Individual,,36
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,35
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,34
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,33
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,32
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,31
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,30
GSE201533,Age,Individual,,29
GSE201533,Age,Individual,,29
GSE201533,Age,Individual,,29
GSE206023,Age,Individual,,43
GSE206023,Age,Individual,,44
GSE206023,Age,Individual,,44
GSE206023,Age,Individual,,25
GSE206023,Age,Individual,,21
GSE206023,Age,Individual,,57
GSE206023,Age,Individual,,23
GSE206023,Age,Individual,,40
GSE206023,Age,Individual,,49
GSE206023,Age,Individual,,51
GSE206023,Age,Individual,,35
GSE206023,Age,Individual,,26
GSE189039 ,Clinical outcome,"No prior infection, unvaccinated",Asymptomatic,9
GSE189039 ,Clinical outcome,"No prior infection, unvaccinated",Mild,67
GSE189039 ,Clinical outcome,"No prior infection, unvaccinated",Moderate,21
GSE189039 ,Clinical outcome,"No prior infection, vaccinated",Asymptomatic,13
GSE189039 ,Clinical outcome,"No prior infection, vaccinated",Mild,83
GSE189039 ,Clinical outcome,"No prior infection, vaccinated",Moderate,0
GSE189039 ,Clinical outcome,"Prior infection, unvaccinated",Asymptomatic,0
GSE189039 ,Clinical outcome,"Prior infection, unvaccinated",Mild,88
GSE189039 ,Clinical outcome,"Prior infection, unvaccinated",Moderate,11
GSE189039 ,Clinical outcome,"Prior infection, vaccinated",Asymptomatic,29
GSE189039 ,Clinical outcome,"Prior infection, vaccinated",Mild,57
GSE189039 ,Clinical outcome,"Prior infection, vaccinated",Moderate,14
