Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BBIBP (V3, D28)","BNT-I (D26, mild)",0.076,17,75,131,92,148,"ADM, BCL3, BCL6, BPI, CD58, CDC42, CTNNB1, FUT4, GATA3, HMGB2, HPRT1, LCN2, NFKBIA, PPP2CA, PTPRJ, RC3H1, VIM",18.48,11.49,3.577607766467207e-43,42.44640727533838
"BBIBP (V3, D28)",BNT-I (D3),0.083,21,71,161,92,182,"BPI, CCL3, CDC42, CNIH1, CSF1, CTNNB1, DNM2, FLT1, GATA3, GPR183, IDE, LSM14A, PSMA1, PTGER4, RELA, RPL39, SERINC5, SIRT2, SRF, TICAM1, TRIM23",22.83,11.54,3.114306174555609e-44,43.50663869318617
"BBIBP (V3, D28)","I (D10, moderate)",0.088,28,64,228,92,256,"BCL3, BCL6, BPI, CD58, CTNNB1, CXCL2, CXCL5, CXCL8, FLT1, FUT4, GATA3, GPR183, HMGB2, IL1RN, ITGB8, KIF5B, LCN2, LRRC8A, MAP3K8, MS4A2, NFKBIA, PTX3, RASGRP1, RC3H1, RPS6, TNFAIP3, VIM, ZNF3",30.43,10.94,1.65379758910774e-45,44.78151764551675
"BBIBP (V3, D28)","I (D26, moderate)",0.082,21,71,165,92,186,"BCL6, BPI, CD58, CDC42, CXCL2, FLT1, FUT4, GATA3, HMGB2, HPRT1, ITGB8, LCN2, LRRC8A, MS4A2, NFKBIA, PPP2CA, RASGRP1, RC3H1, RPS6, VIM, ZNF3",22.83,11.29,8.467747639926317e-45,44.072232093522324
"BBIBP (V3, D28)","I (D51, severe)",0.15,38,54,161,92,199,"ADM, B4GALT1, BCL3, BCL6, BPI, CCL20, CDC42, CXCL2, FLT1, FUT4, GATA3, HMGB2, IL1RN, IRF1, IRF2BP2, ITGB8, JMJD6, KIF5B, LCN2, LSM14A, MAP3K8, MS4A2, NFKB2, NFKBIA, PDE4B, PPP2CA, PSME1, PTX3, RAP1GAP, RC3H1, RELA, RNF19B, RPS6, SIRT2, TICAM1, TNFAIP3, WNT4, ZNF3",41.3,19.1,1.8126835991811358e-30,29.741677994647702
"BBIBP (V3, D28)","ChAd (V1, D7)",0.127,38,54,207,92,245,"AIMP1, B4GALT1, BPI, CCL20, CCL3, CD83, CSF1, CXCL2, CXCL8, CXCR2, DHX9, DNM2, EPB42, FLT1, FUT4, GPR183, HMGB2, IDE, IRF1, IRF2BP2, LCN2, LRRC8A, NFKBIA, PDE4B, PKHD1L1, PSMA1, PSME1, PTGER4, PTX3, RELA, SERINC5, SIRT2, SNCA, TICAM1, TNFAIP3, TRIM23, VIM, ZNF3",41.3,15.51,8.03389311239684e-35,34.09507395067318
"BBIBP (V3, D28)",BNT-I (D1),0.08,14,78,84,92,98,"CNIH1, CTNNB1, CXCL2, FLT1, FUT4, HPRT1, LCN2, MPL, PDE4B, PSMA1, PTK2, PTX3, SERINC5, ZNF3",15.22,14.29,6.894962556899164e-36,35.16146808791833
"BBIBP (V3, D28)","ZF2001 (V3, D14)",0.135,34,58,160,92,194,"ADM, CCL3, CHRNB2, CNIH1, CSF1, CTNNB1, CXCL2, CXCL8, FUT4, FYB2, HPRT1, HTN1, IDE, IDO2, IL1RN, IRF2BP2, ITGB8, LRRC8A, MS4A2, NFKBIA, PPP2CA, PSMA1, PSME1, PTX3, RASGRP1, RNF19B, SHLD3, SRF, TICAM1, TRIM23, TRIM49D1, VIM, WFDC11, WNT4",36.96,17.53,2.7385660302740393e-33,32.562476783222344
"BBIBP (V3, D28)",I (D1),0.079,25,67,224,92,249,"ADM, BPI, CD58, CSF1, CXCL8, DNM2, FLT1, FUT4, GPR183, HPRT1, IL1RN, KIF5B, NFKBIA, PSME1, RAP1GAP, RNF19B, RPL39, RPS6, SERINC5, SIRT2, SRF, TICAM1, TRIM23, VIM, ZNF3",27.17,10.04,5.0426158789841956e-48,47.29734411294164
"BBIBP (V3, D28)","ZF2001 (V3, D28)",0.164,27,65,73,92,100,"BPI, CCL20, CCL3, CHRNB2, CNIH1, CSF1, CXCL2, CXCL8, FYB2, GATA3, HPRT1, IDO2, IL1RN, LRRC8A, NFKBIA, PPP2CA, PSME1, PTGER4, PTX3, RASGRP1, RC3H1, RELA, SHLD3, TICAM1, TNFAIP3, WNT4, ZNF3",29.35,27,2.0264439171596335e-24,23.693265411071135
"BBIBP (V3, D28)","BNT-MO (V3, D1)",0.066,8,84,30,92,38,"BPI, CD58, CDC42, CHRNB2, FLT1, LCN2, RPL39, TRIM23",8.7,21.05,1.6339016367698545e-21,20.78677409216952
"BBIBP (V3, D28)",I (D0),0.049,12,80,153,92,165,"BPI, DHX9, FLT1, GPR183, HPRT1, IL1RN, ITGB8, LCN2, RPS6, SERINC5, TICAM1, ZNF3",13.04,7.27,4.086742506915219e-52,51.3886227249869
"BBIBP (V3, D28)",BNT-I (D2),0.113,34,58,209,92,243,"ADM, AIMP1, BCL3, BPI, CLU, CNIH1, CSF1, DHX9, DNM2, EPB42, FLT1, GPR183, IDE, IL1RN, KIF5B, LCN2, LSM14A, NFKBIA, PKHD1L1, RAP1GAP, RELA, RNF19B, RPL39, RPS6, SERINC5, SIRT2, SNCA, SRF, TICAM1, TNFAIP3, TREML1, TRIM23, TRIM58, ZNF3",36.96,13.99,2.6365636129443416e-38,37.578961745888584
"BBIBP (V3, D28)",I (D2),0.061,18,74,201,92,219,"CXCL2, CXCL8, DHX9, FLT1, GPR183, HPRT1, IL1RN, ITGB8, LSM14A, PDE4B, PTK2, RGS1, RPL39, RPS6, SERINC5, TICAM1, TRIM23, ZNF3",19.57,8.22,1.3430556891155137e-52,51.87190597915992
"BBIBP (V3, D28)",I-I (D2),0.035,4,88,22,92,26,"CSF1, GPR183, SERINC5, TICAM1",4.35,15.38,8.217332373768535e-20,19.08526914637501
"BBIBP (V3, D28)",I-I (D5),0.023,4,88,82,92,86,"DHX9, GPR183, RPS6, SERINC5",4.35,4.65,1.9541289267054297e-45,44.709046786415804
"BBIBP (V3, D28)","BNT (V1, D6)",0.037,5,87,42,92,47,"C4B, CHRNB2, CXCL2, CXCL5, PTGER4",5.43,10.64,1.3451059445741554e-29,28.87124350797986
"BBIBP (V3, D28)","BNT (V2, D1)",0.069,13,79,97,92,110,"BPI, C4B, CXCL2, CXCL8, IDO2, IRF1, IRF2BP2, LCN2, LRRC8A, PDE4B, RASGRP1, SHLD3, VIM",14.13,11.82,6.226817039464221e-40,39.205733894824355
"BBIBP (V3, D28)","BNT (V3, D1)",0,0,92,12,92,12,,0,0,5.785037912909472e-16,15.237693790504206
"BBIBP (V3, D28)","BNT-I-BNT (D51, mild)",0.053,7,85,41,92,48,"BPI, CDC42, CTNNB1, FUT4, LCN2, MPL, PTK2",7.61,14.58,2.0599336751193098e-27,26.686146762637357
"BBIBP (V3, D28)",I (D3),0.034,5,87,53,92,58,"DHX9, GPR183, RGS1, RPS6, SERINC5",5.43,8.62,3.0274109224471786e-34,33.51892862653629
"BBIBP (V3, D28)","BBIBP (V3, D07)",0.402,45,47,20,92,65,"ADM, B4GALT1, BCL3, BCL6, CCL20, CCL3, CD83, CDC42, CNIH1, CSF1, CTNNB1, CXCL2, CXCL5, CXCL8, FUT4, FYB2, GATA3, GEM, GPR183, HLA-DMA, HPRT1, IDO2, IRF2BP2, ITGB8, JMJD6, LRRC8A, MAP3K8, MS4A2, NFKB2, NFKBIA, PDE4B, PPP2CA, PSMA1, PTGER4, PTX3, RGS1, RNF19B, RPL39, RPS6, SHLD3, SIRT2, TICAM1, TNFAIP3, TRIM23, VIM",48.91,69.23,5.870716700854658e-6,5.23130887656734
"BBIBP (V3, D28)","BBIBP (V3, D14)",0.492,64,28,38,92,102,"ADM, AIMP1, B4GALT1, BCL3, BCL6, C4B, CCL20, CCL3, CD58, CD83, CHRNB2, CNIH1, CSF1, CTNNB1, CXCL2, CXCL8, DCAF12, DHX9, EPB42, FLT1, FUT4, FYB2, GATA3, GPR183, HLA-DMA, HMGB2, HPRT1, HTN1, IDO2, IL1RN, IRF1, IRF2BP2, ITGB8, JMJD6, KIF5B, LRRC8A, MAP3K8, MS4A2, NFKB2, NFKBIA, PBX1, PDE4B, PPP2CA, PSMA1, PSME1, PTGER4, PTX3, RAB11FIP2, RAP1GAP, RELA, RGS1, RNF19B, RPL39, RPS6, SHLD3, SNCA, TICAM1, TNFAIP3, TRIM49D1, TRIM58, VAMP2, VIM, WFDC11, WNT4",69.57,62.75,2.7094745883987565e-5,4.567114917790527
"BBIBP (V3, D28)","ChAd (V1, D6)",0.016,2,90,31,92,33,"CXCL5, PTK2",2.17,6.06,4.4460725109095054e-27,26.35202345867907
"BBIBP (V3, D28)",I-I (D1),0.022,3,89,46,92,49,"IL1RN, NFKBIA, RPS6",3.26,6.12,1.8228522752505944e-33,32.73924852533463
"BBIBP (V3, D28)",I (D4),0.029,3,89,13,92,16,"GPR183, RGS1, SERINC5",3.26,18.75,4.0109596196172064e-14,13.39675171026111
"BBIBP (V3, D28)",I-I (D3),0.01,1,91,10,92,11,RPS6,1.09,9.09,5.164110510257177e-13,12.28700447254788
"BBIBP (V3, D28)","ChAd (V2, D3)",0.042,6,86,51,92,57,"CHRNB2, CRTC3, CSF1, ITGB8, NFKB2, SERINC5",6.52,10.53,1.8164465534682855e-32,31.740777376152646
"BBIBP (V3, D28)","I (D51, moderate)",0.06,7,85,25,92,32,"BPI, CCL3, CTNNB1, FUT4, LCN2, SNCA, VIM",7.61,21.88,1.6357713140023338e-19,18.78627741216162
"BBIBP (V3, D28)",I-I (D0),0.01,1,91,8,92,9,SERINC5,1.09,11.11,4.836424225151759e-11,10.315475612161546
"BBIBP (V3, D28)","ChAd (V2, D7)",0.062,7,85,20,92,27,"CD83, CRTC3, CXCL8, IRF1, ITGB8, NFKB2, RGS1",7.61,25.93,1.3610015439285294e-16,15.866141382130053
"BBIBP (V3, D28)","ChAd-BNT (V3, D1)",0,0,92,5,92,5,,0,0,1.551686105569527e-8,7.809196128700669
"BBIBP (V3, D28)","BNT-I-BNT (D51, severe)",0.01,1,91,7,92,8,CTNNB1,1.09,12.5,5.37380469461307e-10,9.26971812160087
"BBIBP (V3, D28)","ChAd (V2, D1)",0,0,92,15,92,15,,0,0,1.326141648171795e-18,17.877410085483373
"BBIBP (V3, D28)","BNT-I (D51, severe)",0,0,92,3,92,3,,0,0,7.224650507531695e-6,5.141183157058838
"BBIBP (V3, D28)",I-BNT (D5),0,0,92,1,92,1,,0,0,0.010752688172043008,1.9684829485539352
"BNT-I (D10, severe)","BBIBP (V3, D28)",0.088,34,58,293,92,327,"ABL1, ADM, BCL3, BCL6, BPI, CD58, CDC42, CRTC3, CTNNB1, CXCL2, CXCL8, FLT1, FUT4, GATA3, GPR183, HMGB2, IL1RN, ITGB8, JMJD6, KIF5B, LCN2, LRRC8A, MAP3K8, MS4A2, NFKBIA, OTUD4, PPP2CA, PSME1, PTGER4, RASGRP1, RC3H1, RPS6, VIM, ZNF3",36.96,10.4,4.2951150368181774e-45,44.367025199891806
"BNT-I (D10, severe)","BNT-I (D26, severe)",0.176,59,268,8,327,67,"ABL1, ACTR3, ADD2, ANKHD1, ANXA3, APOBEC3A, B2M, BCL10, BCL3, BPI, CACNB3, CAMLG, CAMP, CCNB2, CCR7, CD1B, CD46, CD81, CFH, CIITA, CLEC10A, CRISP3, CTNNB1, CX3CR1, CXCL2, EFNB1, EOMES, FASLG, FCGR1A, FKBP1A, GBP6, GPR89B, HLA-DPA1, IFNGR1, IL27RA, IL7, IMPDH2, ITGA3, ITGB7, JMJD6, LCN2, MAP3K8, MEN1, MYO1G, NFKBIA, OLR1, PPP2CA, PRF1, RBPJ, RC3H1, RPL22, S100A12, S1PR1, SLC15A4, SPN, TRIM64B, VAV2, VIM, ZFPM1",18.04,88.06,1.803599585565981e-6,5.743859873158342
"BNT-I (D10, severe)","ChAd (V1, D3)",0.291,154,173,203,327,357,"ABL1, ACTR3, ADAM17, ADAMTS13, ADAR, ADARB1, ADD2, APBB1IP, ASXL1, ATF2, B2M, BATF2, BST1, BTK, CASP1, CCNB2, CCND3, CCR7, CD1C, CD28, CD38, CD58, CDC42, CEBPB, CFB, CIITA, CLNK, CNR2, CRK, CX3CR1, CXCL3, CXCL8, DBH, DDX60, EFNB1, EIF2AK2, ENPP1, EPHB2, EPX, FASLG, FBXO38, FCER1A, FCER1G, FCGR1A, FGR, FKBP1A, FPR1, GAPT, GATA3, GBP1, GBP2, GBP6, GCH1, GPR89A, GPR89B, GRB2, HLA-C, HLA-DPA1, HLA-E, HP, IFI27, IFI30, IFI35, IFI6, IFIT1, IFITM1, IFITM2, IFITM3, IFNGR2, IL10, IL10RB, IL15, IL1R1, IL1R2, IL27, IL27RA, IL2RG, IL5RA, IL7, IMPDH2, IRAK1BP1, IRF9, IRGM, ITGA4, ITGB7, ITGB8, ITK, JAG1, JAGN1, KMT2A, LCP1, LFNG, LGALS3, LILRA6, MAPK3, MAPT, METTL3, MFSD6, MX1, MX2, MYO1G, NCAPH2, NCF2, NCR3LG1, NFKBIA, NLRC3, OAS2, OTUD4, PARP9, PIK3AP1, PIK3CA, PIK3R1, PLCG1, PML, PPARG, PRF1, PRKCD, PSMB8, PSMB9, PSME1, RASGRP1, RELB, RHOA, RNASE2, RNF135, RNF213, RPL22, RPS6, SARM1, SELL, SKIL, SLC12A2, SOS2, SP100, SPN, ST3GAL1, STAT1, STAT2, STXBP4, TAP1, TARM1, TFE3, TFEB, TLR4, TRIM21, TRIM22, TRIM65, VIM, VNN1, WFDC3, XCR1, ZAP70, ZBTB7A, ZNF3",47.09,43.14,9.21263346760114e-48,47.0356162072661
"BNT-I (D10, severe)","ChAd-BNT (V2, D3)",0.278,140,187,176,327,316,"ABL1, ACTR3, ADAM17, ADAR, ATF2, BATF2, BCL3, BST1, BTK, BTNL8, CASP1, CASP3, CASP6, CCL4, CCL5, CCNB2, CCR7, CD164, CD1C, CD247, CD28, CD38, CD40LG, CD46, CD55, CD58, CD81, CEBPB, CFB, CIITA, CNR2, CRTAM, CTNNB1, CTSW, CX3CR1, CXCL8, CXCR4, CYP11B1, DDX60, EFNB1, EIF2AK2, ENPP1, EOMES, EPHB2, EPX, FASLG, FCER1G, FCGR1A, FGR, FUT4, GBP1, GBP2, GBP6, GCH1, GPR183, GPR89A, GPR89B, HHEX, HLA-DPA1, HLA-E, IFI27, IFI35, IFI6, IFIT1, IFIT2, IFITM1, IFITM3, IFNGR1, IL10RB, IL1R1, IL1R2, IL1RN, IL27, IL27RA, IL34, IL7R, IMPDH2, IPO7, IRF9, ITGA4, ITGAM, ITK, JMJD6, KLRK1, KMT2A, LCP1, LFNG, LILRA6, LRRC8A, MAPT, MCOLN2, METTL3, MFSD6, MX1, MX2, NCAPH2, NCF2, NLRC5, OAS2, PARP9, PELI3, PIK3AP1, PIK3CA, PIK3R1, PML, PPP2CA, PRKCD, PRKCQ, PSMB8, PSMB9, PTGER4, RNASE2, RNF135, RNF213, RPL22, RPS6, RPS6KA3, S1PR1, SARM1, SELL, SLC12A2, SP100, SP3, ST3GAL1, ST6GAL1, STAT1, STAT2, STXBP4, TAP1, TOX, TRIM22, TRIM65, VAV2, WFDC3, XBP1, XCL1, ZBTB7A, ZC3H8, ZC3HAV1, ZNF3",42.81,44.3,9.289936794073942e-48,47.03198724080488
"BNT-I (D10, severe)","ChAd-BNT (V2, D7)",0.273,132,195,157,327,289,"ABL1, ADARB1, ADM, ALOX5, ANXA3, ASXL1, ATF2, B2M, BATF2, BCL10, BCL3, BCL6, BST1, BTNL8, CASP1, CASP3, CASP6, CAV1, CCL4, CCNB2, CCR7, CD28, CD38, CD55, CDC42, CDH26, CEBPB, CLEC10A, CR1, CRK, CRTAM, CTLA4, CTNNB1, CXCL2, CXCL3, CXCL8, CXCR4, EOMES, EPX, FASLG, FCER1G, FCGR1A, FKBP1A, FPR1, GBP1, GBP2, GCH1, GPR183, GPR89A, GPR89B, GRB2, HDAC4, HLA-DPA1, HLA-E, IFI30, IFI6, IFIT1, IFIT2, IFITM2, IFITM3, IFNGR1, IFNGR2, IL10RB, IL15, IL1R2, IL1RN, IL27, IL2RB, IRF9, ITGA4, ITGB7, ITGB8, ITPKB, JAGN1, JMJD6, KLRK1, LFNG, LGALS3, LILRA6, LRRC8A, MAP2K6, MAP3K8, MCOLN2, MEN1, METTL3, NCF2, NFKBIA, NLRC3, OTUD4, PIK3CA, PIK3CG, PIK3R1, PLCG1, PPP2CA, PSME1, PTGER4, RAG1, RBPJ, RC3H1, RELB, RHOA, RNF135, RNF213, RPS6KA3, S100A12, S1PR1, SARM1, SKIL, SLC12A2, SLC15A4, SP3, STAT1, STAT3, STXBP1, STXBP4, TESPA1, TFE3, THEMIS, TLR4, TMEM33, TNFRSF17, TRIM21, TTLL1, VAV2, VIM, VNN1, WFDC3, ZAP70, ZBTB7A, ZC3H8, ZC3HAV1, ZNF3",40.37,45.67,1.5066378596845876e-46,45.821991123558476
"BNT-I (D10, severe)","I (D10, severe)",0.479,195,132,80,327,275,"ABL1, ACE, ACTR3, ADAM17, ADAMTS13, ADARB1, ADD2, ADM, ALOX5, ANKHD1, ANXA3, AP3B1, APBB1IP, APOBEC3A, ATF2, B2M, BCL10, BCL3, BCL6, BMX, BPI, BST1, C1R, CACNB3, CAMLG, CAMP, CASP3, CASP6, CCNB2, CCND3, CCR7, CD177, CD1C, CD24, CD28, CD3G, CD40LG, CD46, CD55, CD58, CD6, CD81, CD96, CDC42, CDH26, CEACAM8, CEBPB, CFH, CH25H, CIITA, CLEC10A, CLNK, CR1, CRISP3, CRK, CRTAM, CRTC3, CTNNB1, CX3CR1, CXCL2, CXCR4, DBH, DEFA4, DENND1B, DPP4, EFNB1, EIF2AK2, ERCC1, FBXO38, FCER1A, FCER1G, FER, FGR, FKBP1A, FLT1, FLT3, FPR1, FUT7, GATA3, GPR15, GPR183, GPR89A, GPR89B, GZMM, HDAC4, HLA-C, HLA-DPA1, HLA-E, HMGB2, HP, HRH2, IFI27, IFITM1, IFITM2, IFNGR1, IFNGR2, IL10, IL10RB, IL18RAP, IL1R1, IL1R2, IL27RA, IL2RB, IL32, IL34, IL5RA, IL7R, IMPDH2, IPO7, ITGA3, ITGA4, ITGAM, ITGB7, ITGB8, ITPKB, JAK3, JMJD6, KIF5B, KMT2A, LCN2, LCP1, LFNG, LILRA6, LTB, MAP2K6, MAP3K8, MAPK3, MEN1, MFSD6, MS4A2, MYO1G, NCF2, NFKBIA, NLRC5, OLR1, OTUD7B, PARP9, PELI3, PIK3CA, PKNOX1, PLCG1, PLCG2, PPARG, PPP2CA, PRKCD, PRKCE, RAB27A, RASGRP1, RBPJ, RC3H1, RHOA, RNF135, RORC, RPL22, RPS6, RPS6KA3, S100A12, S1PR1, SARM1, SCG2, SELL, SKIL, SLC15A4, SMAD3, SOS2, SP100, SP3, SPN, ST6GAL1, STAT3, STAT5B, STXBP1, STXBP3, STXBP4, SUSD4, TARM1, TBKBP1, TCF7, TESPA1, TFE3, THEMIS, TMEM33, TRIM22, TRIM64B, TRIM65, TTLL1, VAV2, VEGFA, VIM, VNN1, ZAP70, ZBTB7A, ZC3H8, ZC3HAV1, ZFPM1",59.63,70.91,4.160907878201491e-16,15.380811899307181
"BNT-I (D10, severe)","I (D26, severe)",0.449,185,142,85,327,270,"ABL1, ACE, ACTR3, ADAM17, ADAMTS13, ADARB1, ADD2, ANKHD1, ANXA3, AP3B1, APBB1IP, APOBEC3A, ATF2, B2M, BCL10, BCL6, BMX, BPI, BST1, CACNB3, CAMLG, CAMP, CASP3, CASP6, CAV1, CCL5, CCNB2, CCR7, CD177, CD1B, CD1C, CD24, CD247, CD38, CD3G, CD40LG, CD46, CD55, CD58, CD6, CD81, CD96, CDC42, CDH26, CEACAM8, CH25H, CIITA, CLEC10A, CLNK, CR1, CRISP3, CRK, CRTAM, CTSW, CX3CR1, CXCL2, CXCL3, CXCR3, CXCR4, DBH, DEFA4, EFNB1, EIF2AK2, EOMES, ERCC1, FAS, FASLG, FBXO38, FCER1A, FCER1G, FCGR1A, FKBP1A, FLT1, FLT3, FUT4, GATA3, GBP2, GNLY, GPR89B, GZMM, HDAC4, HHEX, HLA-DPA1, HMGB2, HP, IFI27, IFNGR1, IFNGR2, IL10, IL18RAP, IL1R1, IL1R2, IL27RA, IL2RB, IL5RA, IL7R, IMPDH2, ITGA3, ITGB7, ITGB8, ITK, ITPKB, JAK3, JMJD6, KIF5B, KLRC3, LCN2, LCP1, LFNG, LILRA6, LRRC8A, LTB, MAP2K6, MAP3K8, MAPT, MEN1, MFSD6, MS4A2, MYO1G, NCF2, NFKBIA, NLRC3, OLR1, OTUD7B, PARP9, PELI3, PIK3AP1, PIK3CA, PIK3CG, PKNOX1, PLCG1, PLCG2, PPARG, PPP2CA, PRF1, PRKCE, PTGDS, RAB27A, RBPJ, RC3H1, RHOA, RNASE2, RNASE3, RNF135, RORC, RPL22, RPS6KA3, S100A12, S1PR1, SARM1, SCG2, SELL, SKIL, SLC15A4, SMAD3, SOS2, SP100, SP3, SPN, ST3GAL1, STAT3, STXBP1, STXBP3, STXBP4, TARM1, TCF7, TESPA1, TGFBR3, TMEM33, TNFRSF17, TRIM22, TRIM64B, TRIM65, TTLL1, VAV2, VEGFA, VIM, VNN1, WFDC3, ZAP70, ZBTB46, ZBTB7A, ZC3HAV1, ZFPM1, ZNF683",56.57,68.52,1.3436470249374574e-18,17.871714805132942
