"","condition","genes"
"72","CN54GP140 (D1)","LINC01618"
"73","CN54GP140 (D1)","MAPK8IP2"
"74","CN54GP140 (D1)","MIR488"
"75","CN54GP140 (D1)","MRPL15"
"76","CN54GP140 (D1)","MTX2"
"77","CN54GP140 (D1)","NR2F2"
"78","CN54GP140 (D1)","NRSN2"
"79","CN54GP140 (D1)","OR52D1"
"80","CN54GP140 (D1)","PCYOX1"
"81","CN54GP140 (D1)","PHLDB1"
"82","CN54GP140 (D1)","PKP2"
"83","CN54GP140 (D1)","PRDX4"
"84","CN54GP140 (D1)","PRKACG"
"85","CN54GP140 (D1)","RASSF6"
"86","CN54GP140 (D1)","RBMX2"
"87","CN54GP140 (D1)","RFX4"
"88","CN54GP140 (D1)","RNASEH2B"
"89","CN54GP140 (D1)","RNF7"
"90","CN54GP140 (D1)","RPS18"
"91","CN54GP140 (D1)","RUNX1T1"
"92","CN54GP140 (D1)","RXRG"
"93","CN54GP140 (D1)","SCGN"
"94","CN54GP140 (D1)","SIGLEC6"
"95","CN54GP140 (D1)","SMIM30"
"96","CN54GP140 (D1)","SNORD13"
"97","CN54GP140 (D1)","SNORD3D"
"98","CN54GP140 (D1)","SNTA1"
"99","CN54GP140 (D1)","SNX14"
"100","CN54GP140 (D1)","SOD2-OT1"
"101","CN54GP140 (D1)","SPINK2"
"102","CN54GP140 (D1)","SRGAP2C"
"103","CN54GP140 (D1)","STAR"
"104","CN54GP140 (D1)","SUMO1"
"105","CN54GP140 (D1)","SYP"
"106","CN54GP140 (D1)","TAFAZZIN"
"107","CN54GP140 (D1)","TMEM106B"
"108","CN54GP140 (D1)","TMEM191A"
"109","CN54GP140 (D1)","TMEM70"
"110","CN54GP140 (D1)","TMSB4X"
"111","CN54GP140 (D1)","TTC30A"
"112","CN54GP140 (D1)","ZNF160"
"113","CN54GP140 (D1)","ZNF320"
"114","CN54GP140 (D1)","ZNF93"
"115","CN54GP140 (D1)","ACD"
"116","CN54GP140 (D1)","ACLY"
"117","CN54GP140 (D1)","ACO2"
"118","CN54GP140 (D1)","ACTB"
"119","CN54GP140 (D1)","ADD1"
"120","CN54GP140 (D1)","GRK2"
"121","CN54GP140 (D1)","AFF4"
"122","CN54GP140 (D1)","ANTXR2"
"123","CN54GP140 (D1)","ARAP1"
"124","CN54GP140 (D1)","ARF1"
"125","CN54GP140 (D1)","ARF3"
"126","CN54GP140 (D1)","ARHGAP1"
"127","CN54GP140 (D1)","ARHGAP30"
"128","CN54GP140 (D1)","ARID3A"
"129","CN54GP140 (D1)","ARPC4"
"130","CN54GP140 (D1)","ATP6AP1"
"131","CN54GP140 (D1)","ATP6V1B2"
"132","CN54GP140 (D1)","BANP"
"133","CN54GP140 (D1)","BABAM2"
"134","CN54GP140 (D1)","MIDEAS"
"135","CN54GP140 (D1)","CACNA1S"
"136","CN54GP140 (D1)","CAP1"
"137","CN54GP140 (D1)","CLASP1"
"138","CN54GP140 (D1)","CTCF"
"139","CN54GP140 (D1)","DPEP2"
"140","CN54GP140 (D1)","DPF2"
"141","CN54GP140 (D1)","DVL3"
"142","CN54GP140 (D1)","FBXL18"
"143","CN54GP140 (D1)","FLII"
"144","CN54GP140 (D1)","FOXJ3"
"145","CN54GP140 (D1)","FRA10AC1"
"146","CN54GP140 (D1)","GALNT10"
"147","CN54GP140 (D1)","WLS"
"148","CN54GP140 (D1)","GRK6"
"149","CN54GP140 (D1)","HARS2"
"150","CN54GP140 (D1)",NA
"151","CN54GP140 (D1)","HGS"
"152","CN54GP140 (D1)","HNRNPK"
"153","CN54GP140 (D1)","IDH3B"
"154","CN54GP140 (D1)","LAMP1"
"155","CN54GP140 (D1)","LAPTM5"
"156","CN54GP140 (D1)","LASP1"
"157","CN54GP140 (D1)","MAST3"
"158","CN54GP140 (D1)","KMT2D"
"159","CN54GP140 (D1)","MTMR3"
"160","CN54GP140 (D1)","KAT6A"
"161","CN54GP140 (D1)","NDRG3"
"162","CN54GP140 (D1)","PGD"
"163","CN54GP140 (D1)","PPP1CA"
"164","CN54GP140 (D1)","PRRC2C"
"165","CN54GP140 (D1)","RALY"
"166","CN54GP140 (D1)","RCSD1"
"167","CN54GP140 (D1)","RIC8A"
"168","CN54GP140 (D1)","MAP7D1"
"169","CN54GP140 (D1)","SAP130"
"170","CN54GP140 (D1)","SEC16A"
"171","CN54GP140 (D1)","SEC23B"
"172","CN54GP140 (D1)","SF3B2"
"173","CN54GP140 (D1)","SH2D3C"
"174","CN54GP140 (D1)","SON"
"175","CN54GP140 (D1)","SORL1"
"176","CN54GP140 (D1)","SPEN"
"177","CN54GP140 (D1)","SRRM1"
"178","CN54GP140 (D1)","STK24"
"179","CN54GP140 (D1)","STK4"
"180","CN54GP140 (D1)","STX2"
"181","CN54GP140 (D1)","TAF4"
"182","CN54GP140 (D1)","TBC1D22A"
"183","CN54GP140 (D1)","UBA1"
"184","CN54GP140 (D1)","UPF1"
"185","CN54GP140 (D1)","VPS8"
"186","CN54GP140 (D1)","YWHAZ"
"187","CN54GP140 (D1)","ZAN"
"188","CN54GP140 (D1)","ZNF106"
"189","CN54GP140 (D1)","ZNF341"
"190","CN54GP140 (D3)","AFF4"
"191","CN54GP140 (D3)","AMDHD2"
"192","CN54GP140 (D3)","ARAP3"
"193","CN54GP140 (D3)","ARPC1B"
"194","CN54GP140 (D3)","ATG4B"
"195","CN54GP140 (D3)","ATP6V1A"
"196","CN54GP140 (D3)","TTI2"
"197","CN54GP140 (D3)","ZNG1F"
"198","CN54GP140 (D3)","CHMP2A"
"199","CN54GP140 (D3)","DNAJB12"
"200","CN54GP140 (D3)","DNTTIP1"
"201","CN54GP140 (D3)","DPEP2"
"202","CN54GP140 (D3)","WLS"
"203","CN54GP140 (D3)","HBP1"
"204","CN54GP140 (D3)","KCTD2"
"205","CN54GP140 (D3)","MAEA"
"206","CN54GP140 (D3)","MAPRE1"
"207","CN54GP140 (D3)","NUDT5"
"208","CN54GP140 (D3)","OSTF1"
"209","CN54GP140 (D3)","PARN"
"210","CN54GP140 (D3)","PGAM1"
"211","CN54GP140 (D3)","PPP1CA"
"212","CN54GP140 (D3)","PSMC1"
"213","CN54GP140 (D3)","PSMD13"
"214","CN54GP140 (D3)","RAB7A"
"215","CN54GP140 (D3)","RAI2"
"216","CN54GP140 (D3)","S100A4"
"217","CN54GP140 (D3)","SCAND1"
"218","CN54GP140 (D3)","TMLHE"
"219","CN54GP140 (D3)","TRIM63"
"220","CN54GP140 (D3)","ZAN"
"221","CN54GP140 (D3)","AMY1B"
"222","CN54GP140 (D3)","BCAN"
"223","CN54GP140 (D3)","BMP8B"
"224","CN54GP140 (D3)","MROH8"
"225","CN54GP140 (D3)","CAMK1G"
"226","CN54GP140 (D3)","CASTOR1"
"227","CN54GP140 (D3)","SPICE1"
"228","CN54GP140 (D3)","COL6A3"
"229","CN54GP140 (D3)","EML2"
"230","CN54GP140 (D3)","RTL8B"
"231","CN54GP140 (D3)","FRMPD2B"
"232","CN54GP140 (D3)","G6PC1"
"233","CN54GP140 (D3)","GCK"
"234","CN54GP140 (D3)","GDF1"
"235","CN54GP140 (D3)","HBE1"
"236","CN54GP140 (D3)","IGFBP1"
"237","CN54GP140 (D3)","ING3"
"238","CN54GP140 (D3)","CLUH"
"239","CN54GP140 (D3)","LINC01618"
"240","CN54GP140 (D3)","MIR7-3HG"
"241","CN54GP140 (D3)","MPI"
"242","CN54GP140 (D3)","EEF1AKMT1"
"243","CN54GP140 (D3)","NECAP2"
"244","CN54GP140 (D3)","OR11A1"
"245","CN54GP140 (D3)","OR2A20P"
"246","CN54GP140 (D3)","PCYOX1"
"247","CN54GP140 (D3)","PKP2"
"248","CN54GP140 (D3)","RFX4"
"249","CN54GP140 (D3)","RNU4-1"
"250","CN54GP140 (D3)","RNU4-2"
"251","CN54GP140 (D3)","SCX"
"252","CN54GP140 (D3)","STAR"
"253","CN54GP140 (D3)","TMEM191A"
"254","CN54GP140 (D3)","TMEM70"
"255","CN54GP140 (D3)","TMSB4X"
"256","CN54GP140 (D3)","TTC30A"
"257","CN54GP140 (D3)","XRCC3"
"258","CN54GP140 (D3)","ZNF320"
"259","CN54GP140 (D3)","ZNF93"
"260","CN54GP140 (D7)","IDH3B"
"261","CN54GP140 (D7)","NUDT16L1"
"262","CN54GP140 (D7)","PAX2"
"263","CN54GP140 (D7)","PDXDC1"
"264","CN54GP140 (D7)","PRKCZ"
"265","CN54GP140 (D7)","SMPD2"
"266","CN54GP140 (D7)","UQCR10"
"267","CN54GP140 (D7)","ALDH8A1"
"268","CN54GP140 (D7)","ICA1L"
"269","CN54GP140 (D7)","AMY1B"
"270","CN54GP140 (D7)","BMP8B"
"271","CN54GP140 (D7)","C9orf64"
"272","CN54GP140 (D7)","CAMK2A"
"273","CN54GP140 (D7)","EXO5"
"274","CN54GP140 (D7)","DTNA"
"275","CN54GP140 (D7)","RTL8B"
"276","CN54GP140 (D7)","FRMPD2B"
"277","CN54GP140 (D7)","GGT2P"
"278","CN54GP140 (D7)","GOLGA6L7"
"279","CN54GP140 (D7)","HBE1"
"280","CN54GP140 (D7)","HECA"
"281","CN54GP140 (D7)","HSP90AA2P"
"282","CN54GP140 (D7)","HTR2A"
"283","CN54GP140 (D7)","IGFBP1"
"284","CN54GP140 (D7)","ING3"
"285","CN54GP140 (D7)","ITM2B"
"286","CN54GP140 (D7)","KCTD7"
"287","CN54GP140 (D7)","NME2"
"288","CN54GP140 (D7)","PCYOX1"
"289","CN54GP140 (D7)","RAD51"
"290","CN54GP140 (D7)","RASSF6"
"291","CN54GP140 (D7)","RFX4"
"292","CN54GP140 (D7)","SCX"
"293","CN54GP140 (D7)","SIGLEC6"
"294","CN54GP140 (D7)","SLC26A4-AS1"
"295","CN54GP140 (D7)","SOD2-OT1"
"296","CN54GP140 (D7)","STAR"
"297","CN54GP140 (D7)","TAOK3"
"298","CN54GP140 (D7)","TMEM156"
"299","CN54GP140 (D7)","TMEM191A"
"300","CN54GP140 (D7)","TMEM70"
"301","CN54GP140 (D7)","TMSB4X"
"302","CN54GP140 (D7)","TTC30A"
"303","CN54GP140 (D7)","ZNF160"
"304","CN54GP140 (D7)","ZNF320"
"305","CN54GP140 (D7)","ZNF568"
"306","CN54GP140 (D7)","ZNF93"
"307","CN54GP140 (H6)","ACTRT1"
"308","CN54GP140 (H6)","SLC35G6"
"309","CN54GP140 (H6)","ART1"
"310","CN54GP140 (H6)","ATP1A3"
"311","CN54GP140 (H6)","ATP6AP1L"
"312","CN54GP140 (H6)","B4GALT3"
"313","CN54GP140 (H6)","BDNF"
"314","CN54GP140 (H6)","MYG1"
"315","CN54GP140 (H6)","R3HDM4"
"316","CN54GP140 (H6)","C1QTNF2"
"317","CN54GP140 (H6)","HMCES"
"318","CN54GP140 (H6)","CMTM3"
"319","CN54GP140 (H6)","CRLF2"
"320","CN54GP140 (H6)","DDIT4"
"321","CN54GP140 (H6)","DDX19A"
"322","CN54GP140 (H6)","DNA2"
"323","CN54GP140 (H6)","DPF1"
"324","CN54GP140 (H6)","EXOG"
"325","CN54GP140 (H6)","ST13P4"
"326","CN54GP140 (H6)","FGF23"
"327","CN54GP140 (H6)","FKBP5"
"328","CN54GP140 (H6)","FRA10AC1"
"329","CN54GP140 (H6)","GFRA4"
"330","CN54GP140 (H6)","GMPPB"
"331","CN54GP140 (H6)","GOLGA8M"
"332","CN54GP140 (H6)","TPRA1"
"333","CN54GP140 (H6)","GUK1"
"334","CN54GP140 (H6)","HOXB6"
"335","CN54GP140 (H6)","IDH3B"
"336","CN54GP140 (H6)","IGHMBP2"
"337","CN54GP140 (H6)","ITPRIPL1"
"338","CN54GP140 (H6)","KCNJ10"
"339","CN54GP140 (H6)","LSP1"
"340","CN54GP140 (H6)","MED1"
"341","CN54GP140 (H6)","MEGF10"
"342","CN54GP140 (H6)","MEGF8"
"343","CN54GP140 (H6)","OR51D1"
"344","CN54GP140 (H6)","PDRG1"
"345","CN54GP140 (H6)","PMEPA1"
"346","CN54GP140 (H6)","PRDM9"
"347","CN54GP140 (H6)","PRR5"
"348","CN54GP140 (H6)","PSENEN"
"349","CN54GP140 (H6)","PTPN7"
"350","CN54GP140 (H6)","RELL1"
"351","CN54GP140 (H6)","RFX5"
"352","CN54GP140 (H6)","RGS10"
"353","CN54GP140 (H6)","SAP30"
"354","CN54GP140 (H6)","SEPTIN5"
"355","CN54GP140 (H6)","SGCA"
"356","CN54GP140 (H6)","SLC25A39"
"357","CN54GP140 (H6)","SLC39A13"
"358","CN54GP140 (H6)","SPRYD3"
"359","CN54GP140 (H6)","TBC1D21"
"360","CN54GP140 (H6)","TSC22D3"
"361","CN54GP140 (H6)","UBB"
"362","CN54GP140 (H6)","UBL4A"
"363","CN54GP140 (H6)","UBXN6"
"364","CN54GP140 (H6)","ZNF580"
"365","CN54GP140 (H6)","AP1M2"
"366","CN54GP140 (H6)","ATG3"
"367","CN54GP140 (H6)","C4orf3"
"368","CN54GP140 (H6)","FAM200A"
"369","CN54GP140 (H6)","CIAO1"
"370","CN54GP140 (H6)","CREB1"
"371","CN54GP140 (H6)","NALF2"
"372","CN54GP140 (H6)","FUT6"
"373","CN54GP140 (H6)","FUT8-AS1"
"374","CN54GP140 (H6)","ING3"
"375","CN54GP140 (H6)","IPP"
"376","CN54GP140 (H6)","KIAA2026"
"377","CN54GP140 (H6)","KRR1"
"378","CN54GP140 (H6)","LYPLAL1"
"379","CN54GP140 (H6)","SLC25A51"
"380","CN54GP140 (H6)","MIR25"
"381","CN54GP140 (H6)","MYOF"
"382","CN54GP140 (H6)","OTP"
"383","CN54GP140 (H6)","PCYOX1"
"384","CN54GP140 (H6)","PHAX"
"385","CN54GP140 (H6)","PTGR2"
"386","CN54GP140 (H6)","RAB18"
"387","CN54GP140 (H6)","RAPSN"
"388","CN54GP140 (H6)","RASSF6"
"389","CN54GP140 (H6)","RPN2"
"390","CN54GP140 (H6)","SEM1"
"391","CN54GP140 (H6)","SLC4A4"
"392","CN54GP140 (H6)","SLU7"
"393","CN54GP140 (H6)","SPTY2D1"
"394","CN54GP140 (H6)","TAF15"
"395","CN54GP140 (H6)","TMSB4X"
"396","CN54GP140 (H6)","UFSP2"
"397","CN54GP140 (H6)","ZFYVE27"
"398","HIV-1 GAG-POL NEF (D1)","AAK1"
"399","HIV-1 GAG-POL NEF (D1)","ABCB1"
"400","HIV-1 GAG-POL NEF (D1)","ABCC5"
"401","HIV-1 GAG-POL NEF (D1)","ABCD2"
"402","HIV-1 GAG-POL NEF (D1)","ABHD14A"
"403","HIV-1 GAG-POL NEF (D1)","ABHD14B"
"404","HIV-1 GAG-POL NEF (D1)","ABI2"
"405","HIV-1 GAG-POL NEF (D1)","ABLIM1"
"406","HIV-1 GAG-POL NEF (D1)","ACADSB"
"407","HIV-1 GAG-POL NEF (D1)","ACO1"
"408","HIV-1 GAG-POL NEF (D1)","ACP6"
"409","HIV-1 GAG-POL NEF (D1)","ACSL6"
"410","HIV-1 GAG-POL NEF (D1)","ACVR2A"
"411","HIV-1 GAG-POL NEF (D1)","ACVR2B"
"412","HIV-1 GAG-POL NEF (D1)","ADAM28"
"413","HIV-1 GAG-POL NEF (D1)","ADGRE3"
"414","HIV-1 GAG-POL NEF (D1)","ADGRG1"
"415","HIV-1 GAG-POL NEF (D1)","ADK"
"416","HIV-1 GAG-POL NEF (D1)","ADNP"
"417","HIV-1 GAG-POL NEF (D1)","ADPRM"
"418","HIV-1 GAG-POL NEF (D1)","AFF3"
"419","HIV-1 GAG-POL NEF (D1)","AGL"
"420","HIV-1 GAG-POL NEF (D1)","AGMAT"
"421","HIV-1 GAG-POL NEF (D1)","AGTPBP1"
"422","HIV-1 GAG-POL NEF (D1)","AHCTF1"
"423","HIV-1 GAG-POL NEF (D1)","AHNAK"
"424","HIV-1 GAG-POL NEF (D1)","AK5"
"425","HIV-1 GAG-POL NEF (D1)","AKR1B1"
"426","HIV-1 GAG-POL NEF (D1)","AKR1C3"
"427","HIV-1 GAG-POL NEF (D1)","AKT3"
"428","HIV-1 GAG-POL NEF (D1)","ALDH18A1"
"429","HIV-1 GAG-POL NEF (D1)","ALDOC"
"430","HIV-1 GAG-POL NEF (D1)","AMY2B"
"431","HIV-1 GAG-POL NEF (D1)","ANAPC1"
"432","HIV-1 GAG-POL NEF (D1)","ANAPC15"
"433","HIV-1 GAG-POL NEF (D1)","ANAPC16"
"434","HIV-1 GAG-POL NEF (D1)","ANKH"
"435","HIV-1 GAG-POL NEF (D1)","ANKRD36B"
"436","HIV-1 GAG-POL NEF (D1)","ANKRD36C"
"437","HIV-1 GAG-POL NEF (D1)","ANP32B"
"438","HIV-1 GAG-POL NEF (D1)","ANXA6"
"439","HIV-1 GAG-POL NEF (D1)","AP3M2"
"440","HIV-1 GAG-POL NEF (D1)","APBA2"
"441","HIV-1 GAG-POL NEF (D1)","APBB1"
"442","HIV-1 GAG-POL NEF (D1)","APEX1"
"443","HIV-1 GAG-POL NEF (D1)","AQP3"
"444","HIV-1 GAG-POL NEF (D1)","ARHGAP12"
"445","HIV-1 GAG-POL NEF (D1)","ARHGAP15"
"446","HIV-1 GAG-POL NEF (D1)","ARHGAP5"
"447","HIV-1 GAG-POL NEF (D1)","ARHGEF9"
"448","HIV-1 GAG-POL NEF (D1)","ARID2"
"449","HIV-1 GAG-POL NEF (D1)","ARL4C"
"450","HIV-1 GAG-POL NEF (D1)","ATF7IP2"
"451","HIV-1 GAG-POL NEF (D1)","ATL2"
"452","HIV-1 GAG-POL NEF (D1)","ATP2B4"
"453","HIV-1 GAG-POL NEF (D1)","ATP8A1"
"454","HIV-1 GAG-POL NEF (D1)","ATP8B2"
"455","HIV-1 GAG-POL NEF (D1)","ATPSCKMT"
"456","HIV-1 GAG-POL NEF (D1)","AXIN2"
"457","HIV-1 GAG-POL NEF (D1)","BACH2"
"458","HIV-1 GAG-POL NEF (D1)","BAG2"
"459","HIV-1 GAG-POL NEF (D1)","BBS2"
"460","HIV-1 GAG-POL NEF (D1)","BBS9"
"461","HIV-1 GAG-POL NEF (D1)","BCKDHB"
"462","HIV-1 GAG-POL NEF (D1)","BCL7A"
"463","HIV-1 GAG-POL NEF (D1)","BDH1"
"464","HIV-1 GAG-POL NEF (D1)","BIN1"
"465","HIV-1 GAG-POL NEF (D1)","BPTF"
"466","HIV-1 GAG-POL NEF (D1)","BRWD1"
"467","HIV-1 GAG-POL NEF (D1)","BTG1"
"468","HIV-1 GAG-POL NEF (D1)","CFAP68"
"469","HIV-1 GAG-POL NEF (D1)","C12orf57"
"470","HIV-1 GAG-POL NEF (D1)","C12orf75"
"471","HIV-1 GAG-POL NEF (D1)","C14orf28"
"472","HIV-1 GAG-POL NEF (D1)","C16orf74"
"473","HIV-1 GAG-POL NEF (D1)","C1orf21"
"474","HIV-1 GAG-POL NEF (D1)","CA5B"
"475","HIV-1 GAG-POL NEF (D1)","CAD"
"476","HIV-1 GAG-POL NEF (D1)","CAMK1D"
"477","HIV-1 GAG-POL NEF (D1)","CASD1"
"478","HIV-1 GAG-POL NEF (D1)","CASK"
"479","HIV-1 GAG-POL NEF (D1)","CASP8AP2"
"480","HIV-1 GAG-POL NEF (D1)","CASS4"
"481","HIV-1 GAG-POL NEF (D1)","CBX5"
"482","HIV-1 GAG-POL NEF (D1)","CBX7"
"483","HIV-1 GAG-POL NEF (D1)","CCDC7"
"484","HIV-1 GAG-POL NEF (D1)","CCNB1IP1"
"485","HIV-1 GAG-POL NEF (D1)","CCND2"
"486","HIV-1 GAG-POL NEF (D1)","CCNG1"
"487","HIV-1 GAG-POL NEF (D1)","CCNT1"
"488","HIV-1 GAG-POL NEF (D1)","CCSER2"
"489","HIV-1 GAG-POL NEF (D1)","CD200"
"490","HIV-1 GAG-POL NEF (D1)","CD200R1"
"491","HIV-1 GAG-POL NEF (D1)","CD52"
"492","HIV-1 GAG-POL NEF (D1)","CDC14A"
"493","HIV-1 GAG-POL NEF (D1)","CDC14B"
"494","HIV-1 GAG-POL NEF (D1)","CDC25B"
"495","HIV-1 GAG-POL NEF (D1)","CDC42SE2"
"496","HIV-1 GAG-POL NEF (D1)","CDCA7L"
"497","HIV-1 GAG-POL NEF (D1)","CDKN2AIP"
"498","HIV-1 GAG-POL NEF (D1)","CDR2"
"499","HIV-1 GAG-POL NEF (D1)","CENPV"
"500","HIV-1 GAG-POL NEF (D1)","CEP120"
"501","HIV-1 GAG-POL NEF (D1)","CEP128"
"502","HIV-1 GAG-POL NEF (D1)","CEP57"
"503","HIV-1 GAG-POL NEF (D1)","CEP68"
"504","HIV-1 GAG-POL NEF (D1)","CEP78"
"505","HIV-1 GAG-POL NEF (D1)","CEP95"
"506","HIV-1 GAG-POL NEF (D1)","CERK"
"507","HIV-1 GAG-POL NEF (D1)","CFAP36"
"508","HIV-1 GAG-POL NEF (D1)","CFAP97"
"509","HIV-1 GAG-POL NEF (D1)","CHD3"
"510","HIV-1 GAG-POL NEF (D1)","CHMP7"
"511","HIV-1 GAG-POL NEF (D1)","CHRM3-AS2"
"512","HIV-1 GAG-POL NEF (D1)","CLEC2D"
"513","HIV-1 GAG-POL NEF (D1)","CLK4"
"514","HIV-1 GAG-POL NEF (D1)","CLSTN3"
"515","HIV-1 GAG-POL NEF (D1)","CMPK1"
"516","HIV-1 GAG-POL NEF (D1)","CNOT6L"
"517","HIV-1 GAG-POL NEF (D1)","COBLL1"
"518","HIV-1 GAG-POL NEF (D1)","COMMD6"
"519","HIV-1 GAG-POL NEF (D1)","COQ10A"
"520","HIV-1 GAG-POL NEF (D1)","COX11"
"521","HIV-1 GAG-POL NEF (D1)","CPSF6"
"522","HIV-1 GAG-POL NEF (D1)","CREBZF"
"523","HIV-1 GAG-POL NEF (D1)","CRIM1"
"524","HIV-1 GAG-POL NEF (D1)","CRIPT"
"525","HIV-1 GAG-POL NEF (D1)","CRY1"
"526","HIV-1 GAG-POL NEF (D1)","CRYL1"
"527","HIV-1 GAG-POL NEF (D1)","CSDE1"
"528","HIV-1 GAG-POL NEF (D1)","CSGALNACT1"
"529","HIV-1 GAG-POL NEF (D1)","CSNK1E"
"530","HIV-1 GAG-POL NEF (D1)","CXXC5"
"531","HIV-1 GAG-POL NEF (D1)","CYFIP2"
"532","HIV-1 GAG-POL NEF (D1)","CYP27A1"
"533","HIV-1 GAG-POL NEF (D1)","CYP2R1"
"534","HIV-1 GAG-POL NEF (D1)","DANCR"
"535","HIV-1 GAG-POL NEF (D1)","DCUN1D4"
"536","HIV-1 GAG-POL NEF (D1)","DDHD2"
"537","HIV-1 GAG-POL NEF (D1)","DDX6"
"538","HIV-1 GAG-POL NEF (D1)","DENND11"
"539","HIV-1 GAG-POL NEF (D1)","DENND2D"
"540","HIV-1 GAG-POL NEF (D1)","DENND4C"
"541","HIV-1 GAG-POL NEF (D1)","DGKA"
"542","HIV-1 GAG-POL NEF (D1)","DHRS3"
"543","HIV-1 GAG-POL NEF (D1)","DIPK1A"
"544","HIV-1 GAG-POL NEF (D1)","DIS3L"
"545","HIV-1 GAG-POL NEF (D1)","DLEU1"
"546","HIV-1 GAG-POL NEF (D1)","DLGAP1-AS1"
"547","HIV-1 GAG-POL NEF (D1)","DNAJB1"
"548","HIV-1 GAG-POL NEF (D1)","DNAJC24"
"549","HIV-1 GAG-POL NEF (D1)","DOCK9"
"550","HIV-1 GAG-POL NEF (D1)","DPEP2"
"551","HIV-1 GAG-POL NEF (D1)","DPH5"
"552","HIV-1 GAG-POL NEF (D1)","DSC1"
"553","HIV-1 GAG-POL NEF (D1)","DTD2"
"554","HIV-1 GAG-POL NEF (D1)","DTHD1"
"555","HIV-1 GAG-POL NEF (D1)","DUSP16"
"556","HIV-1 GAG-POL NEF (D1)","DYRK2"
"557","HIV-1 GAG-POL NEF (D1)","EBF1"
"558","HIV-1 GAG-POL NEF (D1)","EEF1A1"
"559","HIV-1 GAG-POL NEF (D1)","EEF1G"
"560","HIV-1 GAG-POL NEF (D1)","EEF2"
"561","HIV-1 GAG-POL NEF (D1)","EIF2D"
"562","HIV-1 GAG-POL NEF (D1)","EIF2S3"
"563","HIV-1 GAG-POL NEF (D1)","EIF3D"
"564","HIV-1 GAG-POL NEF (D1)","EIF3E"
"565","HIV-1 GAG-POL NEF (D1)","EIF3F"
"566","HIV-1 GAG-POL NEF (D1)","EIF3H"
"567","HIV-1 GAG-POL NEF (D1)","EIF3J-DT"
