condition,direction,term_ancestor,n_genes,n_genes_total,n_genes_perc
"BNT-I (D51, hospital)",NEUTRAL,Cellular,1429,1639,87.2
"BNT-I (D51, hospital)",NEUTRAL,Immune system,198,1639,12.1
"BNT-I (D51, hospital)",NEUTRAL,Interspecies interaction,145,1639,8.8
"BNT-I (D51, hospital)",NEUTRAL,Metabolism,1164,1639,71
"BNT-I (D51, hospital)",NEUTRAL,Not mapped,163,1639,9.9
"BNT-I (D51, hospital)",NEUTRAL,Reg. of BP,995,1639,60.7
"BNT-I (D51, hospital)",UP,Cellular,317,402,78.9
"BNT-I (D51, hospital)",UP,Immune system,38,402,9.5
"BNT-I (D51, hospital)",UP,Interspecies interaction,28,402,7
"BNT-I (D51, hospital)",UP,Metabolism,190,402,47.3
"BNT-I (D51, hospital)",UP,Not mapped,74,402,18.4
"BNT-I (D51, hospital)",UP,Reg. of BP,238,402,59.2
"BNT-I-BNT (D51, hospital)",DOWN,Cellular,680,837,81.2
"BNT-I-BNT (D51, hospital)",DOWN,Immune system,119,837,14.2
"BNT-I-BNT (D51, hospital)",DOWN,Interspecies interaction,55,837,6.6
"BNT-I-BNT (D51, hospital)",DOWN,Metabolism,477,837,57
"BNT-I-BNT (D51, hospital)",DOWN,Not mapped,135,837,16.1
"BNT-I-BNT (D51, hospital)",DOWN,Reg. of BP,526,837,62.8
"BNT-I-BNT (D51, hospital)",NEUTRAL,Cellular,1318,1491,88.4
"BNT-I-BNT (D51, hospital)",NEUTRAL,Immune system,166,1491,11.1
"BNT-I-BNT (D51, hospital)",NEUTRAL,Interspecies interaction,115,1491,7.7
"BNT-I-BNT (D51, hospital)",NEUTRAL,Metabolism,1068,1491,71.6
"BNT-I-BNT (D51, hospital)",NEUTRAL,Not mapped,122,1491,8.2
"BNT-I-BNT (D51, hospital)",NEUTRAL,Reg. of BP,891,1491,59.8
"BNT-I-BNT (D51, hospital)",UP,Cellular,405,499,81.2
"BNT-I-BNT (D51, hospital)",UP,Immune system,77,499,15.4
"BNT-I-BNT (D51, hospital)",UP,Interspecies interaction,66,499,13.2
"BNT-I-BNT (D51, hospital)",UP,Metabolism,289,499,57.9
"BNT-I-BNT (D51, hospital)",UP,Not mapped,76,499,15.2
"BNT-I-BNT (D51, hospital)",UP,Reg. of BP,294,499,58.9
"BNT-MO (V3, D1)",DOWN,Cellular,7,9,77.8
"BNT-MO (V3, D1)",DOWN,Interspecies interaction,1,9,11.1
"BNT-MO (V3, D1)",DOWN,Metabolism,3,9,33.3
"BNT-MO (V3, D1)",DOWN,Not mapped,2,9,22.2
"BNT-MO (V3, D1)",DOWN,Reg. of BP,4,9,44.4
"BNT-MO (V3, D1)",NEUTRAL,Cellular,262,315,83.2
"BNT-MO (V3, D1)",NEUTRAL,Immune system,41,315,13
"BNT-MO (V3, D1)",NEUTRAL,Interspecies interaction,30,315,9.5
"BNT-MO (V3, D1)",NEUTRAL,Metabolism,183,315,58.1
"BNT-MO (V3, D1)",NEUTRAL,Not mapped,41,315,13
"BNT-MO (V3, D1)",NEUTRAL,Reg. of BP,169,315,53.7
"BNT-MO (V3, D1)",UP,Cellular,343,414,82.9
"BNT-MO (V3, D1)",UP,Immune system,29,414,7
"BNT-MO (V3, D1)",UP,Interspecies interaction,18,414,4.3
"BNT-MO (V3, D1)",UP,Metabolism,172,414,41.5
"BNT-MO (V3, D1)",UP,Not mapped,58,414,14
"BNT-MO (V3, D1)",UP,Reg. of BP,245,414,59.2
"ChAd (V1, D3)",DOWN,Cellular,56,78,71.8
"ChAd (V1, D3)",DOWN,Immune system,14,78,17.9
"ChAd (V1, D3)",DOWN,Interspecies interaction,12,78,15.4
"ChAd (V1, D3)",DOWN,Metabolism,40,78,51.3
"ChAd (V1, D3)",DOWN,Not mapped,17,78,21.8
"ChAd (V1, D3)",DOWN,Reg. of BP,40,78,51.3
"ChAd (V1, D3)",NEUTRAL,Cellular,4978,5783,86.1
"ChAd (V1, D3)",NEUTRAL,Immune system,881,5783,15.2
"ChAd (V1, D3)",NEUTRAL,Interspecies interaction,549,5783,9.5
"ChAd (V1, D3)",NEUTRAL,Metabolism,3695,5783,63.9
"ChAd (V1, D3)",NEUTRAL,Not mapped,619,5783,10.7
"ChAd (V1, D3)",NEUTRAL,Reg. of BP,3550,5783,61.4
"ChAd (V1, D3)",UP,Cellular,116,133,87.2
"ChAd (V1, D3)",UP,Immune system,38,133,28.6
"ChAd (V1, D3)",UP,Interspecies interaction,33,133,24.8
"ChAd (V1, D3)",UP,Metabolism,74,133,55.6
"ChAd (V1, D3)",UP,Not mapped,11,133,8.3
"ChAd (V1, D3)",UP,Reg. of BP,96,133,72.2
"ChAd (V1, D6)",DOWN,Cellular,16,19,84.2
"ChAd (V1, D6)",DOWN,Immune system,2,19,10.5
"ChAd (V1, D6)",DOWN,Interspecies interaction,3,19,15.8
"ChAd (V1, D6)",DOWN,Metabolism,8,19,42.1
"ChAd (V1, D6)",DOWN,Not mapped,3,19,15.8
"ChAd (V1, D6)",DOWN,Reg. of BP,13,19,68.4
"ChAd (V1, D6)",NEUTRAL,Cellular,275,320,85.9
"ChAd (V1, D6)",NEUTRAL,Immune system,58,320,18.1
"ChAd (V1, D6)",NEUTRAL,Interspecies interaction,38,320,11.9
"ChAd (V1, D6)",NEUTRAL,Metabolism,214,320,66.9
"ChAd (V1, D6)",NEUTRAL,Not mapped,33,320,10.3
"ChAd (V1, D6)",NEUTRAL,Reg. of BP,212,320,66.2
"ChAd (V1, D6)",UP,Cellular,12,16,75
"ChAd (V1, D6)",UP,Immune system,2,16,12.5
"ChAd (V1, D6)",UP,Metabolism,5,16,31.2
"ChAd (V1, D6)",UP,Not mapped,4,16,25
"ChAd (V1, D6)",UP,Reg. of BP,7,16,43.8
"ChAd (V1, D7)",DOWN,Cellular,52,66,78.8
"ChAd (V1, D7)",DOWN,Immune system,15,66,22.7
"ChAd (V1, D7)",DOWN,Interspecies interaction,9,66,13.6
"ChAd (V1, D7)",DOWN,Metabolism,38,66,57.6
"ChAd (V1, D7)",DOWN,Not mapped,12,66,18.2
"ChAd (V1, D7)",DOWN,Reg. of BP,35,66,53
"ChAd (V1, D7)",NEUTRAL,Cellular,3327,3859,86.2
"ChAd (V1, D7)",NEUTRAL,Immune system,558,3859,14.5
"ChAd (V1, D7)",NEUTRAL,Interspecies interaction,382,3859,9.9
"ChAd (V1, D7)",NEUTRAL,Metabolism,2518,3859,65.3
"ChAd (V1, D7)",NEUTRAL,Not mapped,436,3859,11.3
"ChAd (V1, D7)",NEUTRAL,Reg. of BP,2400,3859,62.2
"ChAd (V1, D7)",UP,Cellular,168,187,89.8
"ChAd (V1, D7)",UP,Immune system,31,187,16.6
"ChAd (V1, D7)",UP,Interspecies interaction,15,187,8
"ChAd (V1, D7)",UP,Metabolism,101,187,54
"ChAd (V1, D7)",UP,Not mapped,16,187,8.6
"ChAd (V1, D7)",UP,Reg. of BP,127,187,67.9
"ChAd (V2, D1)",DOWN,Cellular,48,56,85.7
"ChAd (V2, D1)",DOWN,Immune system,12,56,21.4
"ChAd (V2, D1)",DOWN,Interspecies interaction,9,56,16.1
"ChAd (V2, D1)",DOWN,Metabolism,23,56,41.1
"ChAd (V2, D1)",DOWN,Not mapped,6,56,10.7
"ChAd (V2, D1)",DOWN,Reg. of BP,35,56,62.5
"ChAd (V2, D1)",NEUTRAL,Cellular,116,135,85.9
"ChAd (V2, D1)",NEUTRAL,Immune system,18,135,13.3
"ChAd (V2, D1)",NEUTRAL,Interspecies interaction,14,135,10.4
"ChAd (V2, D1)",NEUTRAL,Metabolism,88,135,65.2
"ChAd (V2, D1)",NEUTRAL,Not mapped,19,135,14.1
"ChAd (V2, D1)",NEUTRAL,Reg. of BP,77,135,57
"ChAd (V2, D1)",UP,Cellular,9,13,69.2
"ChAd (V2, D1)",UP,Immune system,1,13,7.7
"ChAd (V2, D1)",UP,Interspecies interaction,1,13,7.7
"ChAd (V2, D1)",UP,Metabolism,5,13,38.5
"ChAd (V2, D1)",UP,Not mapped,3,13,23.1
"ChAd (V2, D1)",UP,Reg. of BP,8,13,61.5
"ChAd (V2, D3)",DOWN,Cellular,174,212,82.1
"ChAd (V2, D3)",DOWN,Immune system,36,212,17
"ChAd (V2, D3)",DOWN,Interspecies interaction,23,212,10.8
"ChAd (V2, D3)",DOWN,Metabolism,95,212,44.8
"ChAd (V2, D3)",DOWN,Not mapped,29,212,13.7
"ChAd (V2, D3)",DOWN,Reg. of BP,123,212,58
"ChAd (V2, D3)",NEUTRAL,Cellular,1075,1258,85.5
"ChAd (V2, D3)",NEUTRAL,Immune system,186,1258,14.8
"ChAd (V2, D3)",NEUTRAL,Interspecies interaction,99,1258,7.9
"ChAd (V2, D3)",NEUTRAL,Metabolism,830,1258,66
"ChAd (V2, D3)",NEUTRAL,Not mapped,152,1258,12.1
"ChAd (V2, D3)",NEUTRAL,Reg. of BP,787,1258,62.6
"ChAd (V2, D3)",UP,Cellular,166,235,70.6
"ChAd (V2, D3)",UP,Immune system,20,235,8.5
"ChAd (V2, D3)",UP,Interspecies interaction,14,235,6
"ChAd (V2, D3)",UP,Metabolism,93,235,39.6
"ChAd (V2, D3)",UP,Not mapped,64,235,27.2
"ChAd (V2, D3)",UP,Reg. of BP,113,235,48.1
"ChAd (V2, D7)",DOWN,Cellular,773,951,81.3
"ChAd (V2, D7)",DOWN,Immune system,208,951,21.9
"ChAd (V2, D7)",DOWN,Interspecies interaction,153,951,16.1
"ChAd (V2, D7)",DOWN,Metabolism,469,951,49.3
"ChAd (V2, D7)",DOWN,Not mapped,147,951,15.5
"ChAd (V2, D7)",DOWN,Reg. of BP,605,951,63.6
"ChAd (V2, D7)",NEUTRAL,Cellular,2418,2802,86.3
"ChAd (V2, D7)",NEUTRAL,Immune system,389,2802,13.9
"ChAd (V2, D7)",NEUTRAL,Interspecies interaction,245,2802,8.7
"ChAd (V2, D7)",NEUTRAL,Metabolism,1887,2802,67.3
"ChAd (V2, D7)",NEUTRAL,Not mapped,302,2802,10.8
"ChAd (V2, D7)",NEUTRAL,Reg. of BP,1716,2802,61.2
"ChAd (V2, D7)",UP,Cellular,422,552,76.4
"ChAd (V2, D7)",UP,Immune system,58,552,10.5
"ChAd (V2, D7)",UP,Interspecies interaction,34,552,6.2
"ChAd (V2, D7)",UP,Metabolism,241,552,43.7
"ChAd (V2, D7)",UP,Not mapped,114,552,20.7
"ChAd (V2, D7)",UP,Reg. of BP,302,552,54.7
"ChAd-BNT (V2, D0)",DOWN,Cellular,232,285,81.4
"ChAd-BNT (V2, D0)",DOWN,Immune system,62,285,21.8
"ChAd-BNT (V2, D0)",DOWN,Interspecies interaction,49,285,17.2
"ChAd-BNT (V2, D0)",DOWN,Metabolism,129,285,45.3
"ChAd-BNT (V2, D0)",DOWN,Not mapped,47,285,16.5
"ChAd-BNT (V2, D0)",DOWN,Reg. of BP,186,285,65.3
"ChAd-BNT (V2, D0)",NEUTRAL,Cellular,2703,3187,84.8
"ChAd-BNT (V2, D0)",NEUTRAL,Immune system,404,3187,12.7
"ChAd-BNT (V2, D0)",NEUTRAL,Interspecies interaction,258,3187,8.1
"ChAd-BNT (V2, D0)",NEUTRAL,Metabolism,2040,3187,64
"ChAd-BNT (V2, D0)",NEUTRAL,Not mapped,402,3187,12.6
"ChAd-BNT (V2, D0)",NEUTRAL,Reg. of BP,1944,3187,61
"ChAd-BNT (V2, D0)",UP,Cellular,54,74,73
"ChAd-BNT (V2, D0)",UP,Immune system,9,74,12.2
"ChAd-BNT (V2, D0)",UP,Interspecies interaction,6,74,8.1
"ChAd-BNT (V2, D0)",UP,Metabolism,22,74,29.7
"ChAd-BNT (V2, D0)",UP,Not mapped,16,74,21.6
"ChAd-BNT (V2, D0)",UP,Reg. of BP,36,74,48.6
"ChAd-BNT (V2, D3)",DOWN,Cellular,216,278,77.7
"ChAd-BNT (V2, D3)",DOWN,Immune system,51,278,18.3
"ChAd-BNT (V2, D3)",DOWN,Interspecies interaction,36,278,12.9
"ChAd-BNT (V2, D3)",DOWN,Metabolism,128,278,46
"ChAd-BNT (V2, D3)",DOWN,Not mapped,50,278,18
"ChAd-BNT (V2, D3)",DOWN,Reg. of BP,172,278,61.9
"ChAd-BNT (V2, D3)",NEUTRAL,Cellular,4385,5075,86.4
"ChAd-BNT (V2, D3)",NEUTRAL,Immune system,741,5075,14.6
"ChAd-BNT (V2, D3)",NEUTRAL,Interspecies interaction,483,5075,9.5
"ChAd-BNT (V2, D3)",NEUTRAL,Metabolism,3307,5075,65.2
"ChAd-BNT (V2, D3)",NEUTRAL,Not mapped,539,5075,10.6
"ChAd-BNT (V2, D3)",NEUTRAL,Reg. of BP,3124,5075,61.6
"ChAd-BNT (V2, D3)",UP,Cellular,218,265,82.3
"ChAd-BNT (V2, D3)",UP,Immune system,62,265,23.4
"ChAd-BNT (V2, D3)",UP,Interspecies interaction,55,265,20.8
"ChAd-BNT (V2, D3)",UP,Metabolism,137,265,51.7
"ChAd-BNT (V2, D3)",UP,Not mapped,36,265,13.6
"ChAd-BNT (V2, D3)",UP,Reg. of BP,181,265,68.3
"ChAd-BNT (V2, D7)",DOWN,Cellular,314,385,81.6
"ChAd-BNT (V2, D7)",DOWN,Immune system,93,385,24.2
"ChAd-BNT (V2, D7)",DOWN,Interspecies interaction,68,385,17.7
"ChAd-BNT (V2, D7)",DOWN,Metabolism,183,385,47.5
"ChAd-BNT (V2, D7)",DOWN,Not mapped,54,385,14
"ChAd-BNT (V2, D7)",DOWN,Reg. of BP,251,385,65.2
"ChAd-BNT (V2, D7)",NEUTRAL,Cellular,3850,4488,85.8
"ChAd-BNT (V2, D7)",NEUTRAL,Immune system,628,4488,14
"ChAd-BNT (V2, D7)",NEUTRAL,Interspecies interaction,415,4488,9.2
"ChAd-BNT (V2, D7)",NEUTRAL,Metabolism,2962,4488,66
"ChAd-BNT (V2, D7)",NEUTRAL,Not mapped,497,4488,11.1
"ChAd-BNT (V2, D7)",NEUTRAL,Reg. of BP,2745,4488,61.2
"ChAd-BNT (V2, D7)",UP,Cellular,163,193,84.5
"ChAd-BNT (V2, D7)",UP,Immune system,23,193,11.9
"ChAd-BNT (V2, D7)",UP,Interspecies interaction,11,193,5.7
"ChAd-BNT (V2, D7)",UP,Metabolism,94,193,48.7
"ChAd-BNT (V2, D7)",UP,Not mapped,27,193,14
"ChAd-BNT (V2, D7)",UP,Reg. of BP,130,193,67.4
"ChAd-BNT (V3, D1)",DOWN,Cellular,18,27,66.7
"ChAd-BNT (V3, D1)",DOWN,Immune system,2,27,7.4
"ChAd-BNT (V3, D1)",DOWN,Interspecies interaction,3,27,11.1
"ChAd-BNT (V3, D1)",DOWN,Metabolism,9,27,33.3
"ChAd-BNT (V3, D1)",DOWN,Not mapped,7,27,25.9
"ChAd-BNT (V3, D1)",DOWN,Reg. of BP,14,27,51.9
"ChAd-BNT (V3, D1)",NEUTRAL,Cellular,35,43,81.4
"ChAd-BNT (V3, D1)",NEUTRAL,Immune system,4,43,9.3
"ChAd-BNT (V3, D1)",NEUTRAL,Interspecies interaction,1,43,2.3
"ChAd-BNT (V3, D1)",NEUTRAL,Metabolism,25,43,58.1
"ChAd-BNT (V3, D1)",NEUTRAL,Not mapped,7,43,16.3
"ChAd-BNT (V3, D1)",NEUTRAL,Reg. of BP,17,43,39.5
"ChAd-BNT (V3, D1)",UP,Cellular,8,12,66.7
"ChAd-BNT (V3, D1)",UP,Immune system,2,12,16.7
"ChAd-BNT (V3, D1)",UP,Interspecies interaction,2,12,16.7
"ChAd-BNT (V3, D1)",UP,Metabolism,3,12,25
"ChAd-BNT (V3, D1)",UP,Not mapped,4,12,33.3
"ChAd-BNT (V3, D1)",UP,Reg. of BP,7,12,58.3
Ebola/VV (D1),DOWN,Cellular,54,58,93.1
Ebola/VV (D1),DOWN,Immune system,19,58,32.8
Ebola/VV (D1),DOWN,Interspecies interaction,11,58,19
Ebola/VV (D1),DOWN,Metabolism,39,58,67.2
Ebola/VV (D1),DOWN,Not mapped,2,58,3.4
Ebola/VV (D1),DOWN,Reg. of BP,49,58,84.5
Ebola/VV (D1),NEUTRAL,Cellular,3474,3778,92
Ebola/VV (D1),NEUTRAL,Immune system,690,3778,18.3
Ebola/VV (D1),NEUTRAL,Interspecies interaction,443,3778,11.7
Ebola/VV (D1),NEUTRAL,Metabolism,2624,3778,69.5
Ebola/VV (D1),NEUTRAL,Not mapped,202,3778,5.3
Ebola/VV (D1),NEUTRAL,Reg. of BP,2578,3778,68.2
Ebola/VV (D1),UP,Cellular,241,268,89.9
Ebola/VV (D1),UP,Immune system,115,268,42.9
Ebola/VV (D1),UP,Interspecies interaction,104,268,38.8
Ebola/VV (D1),UP,Metabolism,178,268,66.4
Ebola/VV (D1),UP,Not mapped,12,268,4.5
Ebola/VV (D1),UP,Reg. of BP,210,268,78.4
Ebola/VV (D3),DOWN,Cellular,5,8,62.5
