"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"81","APOBEC3F","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"82","APOBEC3F","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"83","APOBEC3F","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"84","ARHGEF5","Infection",3,"Dendritic cells","DENDRITIC CELLS","Infection only"
"85","ARHGEF5","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"86","ARHGEF5","Infection",3,"Chemotaxis, Dendritic cell, Myeloid","MYELOID DENDRITIC CELL CHEMOTAXIS","Infection only"
"87","ARID5A","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"88","ARID5A","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"89","ARID5A","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"90","AXL","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"91","AXL","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"92","AXL","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"93","AXL","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"94","AXL","Infection",1,"Activation, Lymphocyte","LYMPHOCYTE ACTIVATION","Infection only"
"95","AXL","Infection",1,"Differentiation, NK cell","NATURAL KILLER CELL DIFFERENTIATION","Infection only"
"96","AXL","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"97","AXL","Infection",1,"Clearance, Neutrophil","NEUTROPHIL CLEARANCE","Infection only"
"98","AXL","Infection",1,"NK cell","NK CELL","Infection only"
"99","AZU1","Infection",6,"Antimicrobial humoral response","ANTIMICROBIAL HUMORAL RESPONSE","Infection only"
"100","AZU1","Infection",6,"Cellular extravasation","CELLULAR EXTRAVASATION","Infection only"
"101","AZU1","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"102","AZU1","Infection",6,"Chemotaxis, Macrophage","MACROPHAGE CHEMOTAXIS","Infection only"
"103","AZU1","Infection",6,"Activation, Microglial cell","MICROGLIAL CELL ACTIVATION","Infection only"
"104","AZU1","Infection",6,"Activation, Monocyte","MONOCYTE ACTIVATION","Infection only"
"105","AZU1","Infection",6,"Monocytes","MONOCYTES","Infection only"
"106","AZU1","Infection",6,"Neutrophil","NEUTROPHIL","Infection only"
"107","AZU1","Infection",6,"Killing of bacterium, Neutrophil","NEUTROPHIL-MEDIATED KILLING OF BACTERIUM","Infection only"
"108","B2M","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"109","B2M","Infection",2,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"110","B2M","Infection",2,"APP, MHC I, endogenous peptide","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","Infection only"
"111","B2M","Infection",2,"APP, MHC II, exogenous peptide","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","Infection only"
"112","B2M","Infection",2,"APP, MHC IB, exogenous peptide, TAP-dependent","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PROTEIN ANTIGEN VIA MHC CLASS IB, TAP-DEPENDENT","Infection only"
"113","B2M","Infection",2,"APP, MHC I, Peptide antigen","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","Infection only"
"114","B2M","Infection",2,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"115","B2M","Infection",2,"Antigen recognition processing and presentation","ARPP","Infection only"
"116","B2M","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"117","B2M","Infection",2,"Immune response","IMMUNE RESPONSE","Infection only"
"118","B2M","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"119","B2M","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"120","B2M","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"121","B2M","Infection",2,"MHCII, Peptide complex","PEPTIDE ANTIGEN ASSEMBLY WITH MHC CLASS II PROTEIN COMPLEX","Infection only"
"122","B2M","Infection",2,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"123","B2M","Infection",2,"T cell-mediated cytotoxicity","T CELL MEDIATED CYTOTOXICITY","Infection only"
"124","B2M","Infection",2,"T cells","T CELLS","Infection only"
"125","B4GALT1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"126","B4GALT1","Infection",1,"Migration, Macrophage","MACROPHAGE MIGRATION","Infection only"
"127","BANK1","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"128","BANK1","Infection",4,"Activation, B cell","B CELL ACTIVATION","Infection only"
"129","BANK1","Infection",4,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"130","BANK1","Infection",4,"B cells","B CELLS","Infection only"
"131","BATF2","Infection",4,"Dendritic cells","DENDRITIC CELLS","Infection only"
"132","BATF2","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"133","BATF2","Infection",4,"Differentiation, Myeloid Dendritic cell","MYELOID DENDRITIC CELL DIFFERENTIATION","Infection only"
"134","BCL10","Infection",6,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"135","BCL10","Infection",6,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"136","BCL10","Infection",6,"Antifungal innate immune response","ANTIFUNGAL INNATE IMMUNE RESPONSE","Infection only"
"137","BCL10","Infection",6,"Antigen recognition processing and presentation","ARPP","Infection only"
"138","BCL10","Infection",6,"B cells","B CELLS","Infection only"
"139","BCL10","Infection",6,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"140","BCL10","Infection",6,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"141","BCL10","Infection",6,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"142","BCL10","Infection",6,"IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Infection only"
"143","BCL10","Infection",6,"Ig, Immune response","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","Infection only"
"144","BCL10","Infection",6,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"145","BCL10","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"146","BCL10","Infection",6,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"147","BCL10","Infection",6,"T cells","T CELLS","Infection only"
"148","BCL10","Infection",6,"PRR, TLR, Pathway","TOLL-LIKE RECEPTOR SIGNALING PATHWAY","Infection only"
"149","BCL2","Infection",4,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"150","BCL2","Infection",4,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"151","BCL2","Infection",4,"Homeostasis, B cell","B CELL HOMEOSTASIS","Infection only"
"152","BCL2","Infection",4,"Lineage commitment, B cell","B CELL LINEAGE COMMITMENT","Infection only"
"153","BCL2","Infection",4,"Proliferation, B cell","B CELL PROLIFERATION","Infection only"
"154","BCL2","Infection",4,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"155","BCL2","Infection",4,"B cells","B CELLS","Infection only"
"156","BCL2","Infection",4,"Lineage commitment, CD8+, abT cell","CD8-POSITIVE, ALPHA-BETA T CELL LINEAGE COMMITMENT","Infection only"
"157","BCL2","Infection",4,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"158","BCL2","Infection",4,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"159","BCL2","Infection",4,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Infection only"
"160","BCL2","Infection",4,"Immune system, Development","IMMUNE SYSTEM DEVELOPMENT","Infection only"
"161","BCL2","Infection",4,"Homeostasis, Leukocyte","LEUKOCYTE HOMEOSTASIS","Infection only"
"162","BCL2","Infection",4,"Homeostasis, Lymphocyte","LYMPHOCYTE HOMEOSTASIS","Infection only"
"163","BCL2","Infection",4,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"164","BCL2","Infection",4,"Differentiation, T cell","T CELL DIFFERENTIATION","Infection only"
"165","BCL2","Infection",4,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"166","BCL2","Infection",4,"Homeostasis, T cell","T CELL HOMEOSTASIS","Infection only"
"167","BCL2","Infection",4,"Lineage commitment, T cell","T CELL LINEAGE COMMITMENT","Infection only"
"168","BCL2","Infection",4,"T cells","T CELLS","Infection only"
"169","BCL2","Infection",4,"Development, Thymocyte","THYMUS DEVELOPMENT","Infection only"
"170","BCL3","Infection",9,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"171","BCL3","Infection",9,"Antimicrobial humoral response","ANTIMICROBIAL HUMORAL RESPONSE","Infection only"
"172","BCL3","Infection",9,"B cells","B CELLS","Infection only"
"173","BCL3","Infection",9,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"174","BCL3","Infection",9,"Formation, Germinal center","GERMINAL CENTER FORMATION","Infection only"
"175","BCL3","Infection",9,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"176","BCL3","Infection",9,"Ig, Humoral immune response","HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","Infection only"
"177","BCL3","Infection",9,"Differentiation, B cell, Marginal zone","MARGINAL ZONE B CELL DIFFERENTIATION","Infection only"
"178","BCL3","Infection",9,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"179","BCL3","Infection",9,"Immune response, Th1","T-HELPER 1 TYPE IMMUNE RESPONSE","Infection only"
"180","BCL3","Infection",9,"Differentiation, Th2 cell","T-HELPER 2 CELL DIFFERENTIATION","Infection only"
"181","BCL6","Infection",9,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"182","BCL6","Infection",9,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"183","BCL6","Infection",9,"Proliferation, B cell","B CELL PROLIFERATION","Infection only"
"184","BCL6","Infection",9,"B cells","B CELLS","Infection only"
"185","BCL6","Infection",9,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"186","BCL6","Infection",9,"Formation, Germinal center","GERMINAL CENTER FORMATION","Infection only"
"187","BCL6","Infection",9,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"188","BCL6","Infection",9,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"189","BCL6","Infection",9,"Isotype switching, IgE","ISOTYPE SWITCHING TO IGE ISOTYPES","Infection only"
"190","BCL6","Infection",9,"Differentiation, Plasma cell","PLASMA CELL DIFFERENTIATION","Infection only"
"191","BCL6","Infection",9,"T cells","T CELLS","Infection only"
"192","BCL6","Infection",9,"Differentiation, Th2 cell","T-HELPER 2 CELL DIFFERENTIATION","Infection only"
"193","BCL6","Infection",9,"Immune response, Th2","TYPE 2 IMMUNE RESPONSE","Infection only"
"194","BCR","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"195","BCR","Infection",3,"Migration, Macrophage","MACROPHAGE MIGRATION","Infection only"
"196","BCR","Infection",3,"Neutrophil","NEUTROPHIL","Infection only"
"197","BCR","Infection",3,"Degranulation, Neutrophil","NEUTROPHIL DEGRANULATION","Infection only"
"198","BMI1","Infection",1,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Infection only"
"199","BMPR1A","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"200","BMX","Infection",8,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"201","BMX","Infection",8,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"202","BMX","Infection",8,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"203","BMX","Infection",8,"B cells","B CELLS","Infection only"
"204","BPI","Infection",11,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"205","BPI","Infection",11,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"206","BPI","Infection",11,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"207","BPI","Infection",11,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"208","BPI","Infection",11,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"209","BSG","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"210","BSG","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"211","BSG","Infection",1,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"212","BST1","Infection",7,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Infection only"
"213","BTLA","Infection",1,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"214","BTLA","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"215","BTLA","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"216","BTN2A1","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"217","BTN2A1","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"218","BTN2A1","Infection",1,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"219","BTN2A1","Infection",1,"T cells","T CELLS","Infection only"
"220","BTNL8","Infection",2,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Infection only"
"221","BTNL8","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"222","BTNL8","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"223","BTNL8","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"224","BTNL8","Infection",2,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"225","BTNL8","Infection",2,"T cells","T CELLS","Infection only"
"226","BTNL9","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"227","BTNL9","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"228","BTNL9","Infection",1,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"229","BTNL9","Infection",1,"T cells","T CELLS","Infection only"
"230","C1R","Infection",9,"Activation, Complement","COMPLEMENT ACTIVATION","Infection only"
"231","C1R","Infection",9,"Complement, Classical pathway","COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","Infection only"
"232","C1R","Infection",9,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"233","C1R","Infection",9,"Immune response","IMMUNE RESPONSE","Infection only"
"234","C1R","Infection",9,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"235","C1R","Infection",9,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"236","C1R","Infection",9,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"237","C5AR1","Infection",1,"Complement, C5a pathway","COMPLEMENT COMPONENT C5A SIGNALING PATHWAY","Infection only"
"238","C5AR1","Infection",1,"Complement immune system","COMPLEMENT IMMUNE SYSTEM","Infection only"
"239","C5AR1","Infection",1,"Complement, Pathway","COMPLEMENT RECEPTOR MEDIATED SIGNALING PATHWAY","Infection only"
"240","C5AR1","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"241","C5AR1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"242","C5AR1","Infection",1,"Activation, Microglial cell","MICROGLIAL CELL ACTIVATION","Infection only"
"243","C5AR1","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"244","C5AR1","Infection",1,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Infection only"
"245","CACNB3","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"246","CACNB3","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"247","CACNB3","Infection",1,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Infection only"
"248","CACNB3","Infection",1,"T cells","T CELLS","Infection only"
"249","CACNB4","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"250","CACNB4","Infection",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"251","CACNB4","Infection",3,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"252","CACNB4","Infection",3,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"253","CACNB4","Infection",3,"Development, Thymocyte","THYMUS DEVELOPMENT","Infection only"
"254","CAMLG","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"255","CAMLG","Infection",1,"Homeostasis, B cell","B CELL HOMEOSTASIS","Infection only"
"256","CAMLG","Infection",1,"B cells","B CELLS","Infection only"
"257","CAMP","Infection",10,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"258","CAMP","Infection",10,"Antifungal humoral response","ANTIFUNGAL HUMORAL RESPONSE","Infection only"
"259","CAMP","Infection",10,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"260","CAMP","Infection",10,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"261","CAMP","Infection",10,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"262","CAMP","Infection",10,"Innate immune response, mucosa","INNATE IMMUNE RESPONSE IN MUCOSA","Infection only"
"263","CAMP","Infection",10,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"264","CAMP","Infection",10,"Neutrophil","NEUTROPHIL","Infection only"
"265","CAMP","Infection",10,"Activation, Neutrophil","NEUTROPHIL ACTIVATION","Infection only"
"266","CASP1","Infection",3,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"267","CASP1","Infection",3,"Antigen recognition processing and presentation","ARPP","Infection only"
"268","CASP1","Infection",3,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"269","CASP1","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"270","CASP1","Infection",3,"Signaling, PRR","PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","Infection only"
