Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BBIBP (V3, D14)","ChAd-BNT (V2, D7)",0.124,66,60,406,126,472,"A2M, ARL4C, BCL2A1, BCL3, BCL6, BIRC2, BRI3, C1QA, CCDC150, CCL20, CD83, CHAF1A, CHAF1B, CLEC4A, CNTNAP3, CXCL2, DACH1, ESCO2, F2RL3, FCAR, FCRL5, FFAR2, FKBP14, G0S2, GPR84, ICAM1, IL1B, IL1RN, IL23A, ITGB8, KCNN3, KLF4, LAPTM5, LGALS3, LY96, MAFB, MAP3K8, MARCKS, MCM7, MPP1, NFKB2, NFKBIA, NFKBID, NINJ1, NLRP3, NRBP1, P2RY2, PDE4B, PLEK, PTX3, RARA, RBP7, RELB, RHOH, RIPK2, RRAGD, S100A8, SGK1, SLC31A2, SMARCD3, SNCA, TNFAIP3, TNFAIP6, TRIB1, TSHR, ZMYND11",52.38,13.98,3.8601122401914625e-44,43.41340006719687
"BBIBP (V3, D14)",I (D0),0.081,30,96,246,126,276,"A2M, ASGR2, ATF3, BIRC2, BRI3, C1QA, CHAF1A, CHAF1B, CLEC4A, CNTNAP3, ESCO2, FFAR2, GIMAP2, GPR84, HHLA2, IFIH1, IL1RN, ITGB4, ITGB8, KLF4, LGALS3, LY96, MARCKS, MMP8, PDE4B, PTGER2, RRAGD, SGK1, SLCO2B1, TNFAIP6",23.81,10.87,1.0663665536932484e-62,61.97209348491289
"BBIBP (V3, D14)","I (D10, moderate)",0.11,58,68,399,126,457,"A2M, ABHD12, ANXA1, ARL4C, ATF3, BCL2A1, BCL3, BCL6, BIRC2, BRI3, CCDC150, CCR3, CD58, CLEC4A, CXCL2, DACH1, DUSP1, EMP1, EREG, ESCO2, FCAR, GATA3, GLP2R, GPR84, GYPE, HMGB2, IFIH1, IL10RA, IL1RN, ITGB8, ITM2A, JUN, KCNMB3, KCNN3, KLF4, LGALS3, LY96, MAP3K8, MARCKS, MMP8, NFKBIA, P2RY2, PTGER2, PTX3, RBP7, RRAGD, S100A8, SGK1, SLC24A1, SLCO2B1, SMARCD3, TGFA, TNFAIP3, TNFAIP6, TRIB1, TSHR, UPP1, ZMYND11",46.03,12.69,1.0091539733505553e-50,49.99604256550257
"BBIBP (V3, D14)","I (D10, severe)",0.095,51,75,412,126,463,"A2M, ABCA6, ABHD12, ANXA1, BCL2A1, BCL3, BCL6, BRI3, CCL20, CCR3, CD58, CXCL2, DACH1, DUSP1, EREG, FCAR, GATA3, GLP2R, HHLA2, HLA-DMA, HMGB2, ICOS, IL1A, ITGB8, LAPTM5, LY96, MAP3K8, MARCKS, MMP8, MPP1, NAV1, NFKBIA, NLRP3, NRBP1, ORM1, P2RY2, RBP7, RRAGD, S100A8, SGK1, SLC24A1, SMARCD3, SVIL, TFF3, TGFA, TMEM71, TNFAIP3, TNFAIP6, TRIB1, UPP1, ZMYND11",40.48,11.02,5.3349737199132675e-58,57.27286771556936
"BBIBP (V3, D14)",I (D2),0.069,29,97,295,126,324,"A2M, ASGR2, ATF3, BIRC2, BRI3, C1QA, CHAF1A, CHAF1B, CNTNAP3, CXCL2, DACH1, ESCO2, FCAR, GPR82, GPR84, HHLA2, IFIH1, IL1RN, ITGB8, KLF4, LGALS3, LY96, MARCKS, NFKBID, ORM1, PDE4B, RHOH, SGK1, SLCO2B1",23.02,8.95,1.2363757577276187e-69,68.9078495189665
"BBIBP (V3, D14)","I (D26, moderate)",0.101,46,80,328,126,374,"A2M, ANXA1, ARL4C, ASGR2, BCL2A1, BCL6, BRI3, CCDC150, CD58, CHAF1B, CXCL2, DACH1, DUSP1, EREG, ESCO2, FCAR, GATA3, GPR84, GYPE, HMGB2, IL10RA, IL23A, ITGB8, ITM2A, KLF4, LAPTM5, LGALS3, LY96, MAFB, MARCKS, MMP8, MPP1, MS4A3, NFKBIA, PTGER2, RBP7, RRAGD, S100A8, SLC24A1, SLC31A2, SMARCD3, TFF3, TRIB1, TSHR, UPP1, ZMYND11",36.51,12.3,1.935005547915525e-56,55.71331778546386
"BBIBP (V3, D14)","I (D26, severe)",0.111,56,70,377,126,433,"A2M, ABCA6, ABHD12, ANXA1, BCL2A1, BCL3, BCL6, BRI3, C1QA, CCDC150, CCL20, CCR3, CD58, CD69, CHAF1B, CXCL2, DACH1, DUSP1, EREG, ESCO2, GATA3, GPR82, GPR84, HMGB2, IL10RA, ITGB8, JUN, KCNN3, KLF4, LY96, MAP3K8, MARCKS, MMP8, MPP1, MS4A3, NAV1, NFKBIA, NRBP1, ORM1, P2RY2, PLEK, PTX3, RRAGD, S100A8, SFXN3, SLC24A1, SMARCD3, SVIL, TFF3, TMEM71, TNFAIP3, TNFAIP6, TRIB1, TSHR, UPP1, ZMYND11",44.44,12.93,3.998762616251735e-51,50.39807437668968
"BBIBP (V3, D14)",I-I (D3),0.021,3,123,17,126,20,"A2M, OSBPL10, SLCO2B1",2.38,15,2.495550060706215e-19,18.602833713768042
"BBIBP (V3, D14)","ZF2001 (V3, D14)",0.166,48,78,163,126,211,"A2M, ABCA6, ABHD12, BIRC2, BRI3, CHAF1B, CXCL2, DUSP1, F2RL3, FFAR2, FKBP14, G0S2, GIMAP2, GLP2R, GP1BB, GPR82, GXYLT2, IFIH1, IL1B, IL1RN, ITGB4, ITGB8, KCNE4, KCNMB3, KLF4, LAPTM5, LRRTM4, LY96, MARCKS, NEDD4, NFKBIA, NOX4, ORM1, OSBPL10, PLEK, PTGER2, PTX3, S100A8, SCN1A, SGK1, SLC24A1, SLC31A2, SLCO2B1, TFF3, TM4SF20, TNFAIP6, TRIB1, ZMYND11",38.1,22.75,2.051480125197991e-37,36.68793268613487
"BBIBP (V3, D14)",BNT-I (D0),0.068,38,88,429,126,467,"ABHD12, ANXA1, ARL4C, ASGR2, ATF3, BCL3, BCL6, CD69, CHAF1A, CHAF1B, DUSP1, ESCO2, FFAR2, FKBP14, GATA3, GPR84, GYPE, IFIH1, IL10RA, IL1RN, ITGB8, ITM2A, JUN, KLF4, MARCKS, MMP8, NCF4, NFKBIA, NINJ1, P2RY2, RARA, RELB, RHOH, SGK1, SMARCD3, SVIL, TRIB1, TSPAN5",30.16,8.14,2.1156419433699885e-72,71.67455783152185
"BBIBP (V3, D14)",BNT-I (D1),0.058,20,106,216,126,236,"ASGR2, CD58, CXCL2, EMP1, FCRL5, GPR84, HHLA2, KLF4, LGALS3, MAFB, MCM7, MMP8, NAV1, NEDD4, OSBPL10, PDE4B, PTX3, RHOH, SGK1, SLCO2B1",15.87,8.47,2.0607806900916595e-68,67.68596822372339
"BBIBP (V3, D14)",BNT-I (D2),0.08,39,87,361,126,400,"ARL4C, ASGR2, ATF3, BCL3, BRI3, CHAF1A, CHAF1B, DUSP1, ESCO2, G0S2, GIMAP2, GPR84, HHLA2, ICAM1, IFIH1, IL1RN, KLF4, LGALS3, MARCKS, MMP8, MPP1, NCF4, NFKB2, NFKBIA, NINJ1, NLRP3, NRBP1, PLEK, RARA, RELB, RHOH, SFXN3, SLCO2B1, SMARCD3, SNCA, SVIL, TNFAIP3, TRIB1, UPP1",30.95,9.75,6.365834591615293e-66,65.19614465017654
"BBIBP (V3, D14)",I (D1),0.075,37,89,370,126,407,"ARL4C, ASGR2, ATF3, BCL2A1, BIRC2, BRI3, C1QA, CD58, CHAF1A, CHAF1B, FFAR2, FKBP14, GLP2R, GPR84, HHLA2, IFIH1, IL1RN, KLF4, LY96, MARCKS, MCM7, MMP8, NEDD4, NFKBIA, NRBP1, OSBPL10, PLEK, RARA, RELB, RHOH, S100A8, SGK1, SLCO2B1, SMARCD3, TNFAIP6, TRIB1, UPP1",29.37,9.09,9.810784963136557e-69,68.0082962432296
"BBIBP (V3, D14)","I (D51, severe)",0.135,52,74,260,126,312,"ABCA6, BCL2A1, BCL3, BCL6, BIRC2, BRI3, CCL20, CCR3, CHAF1B, CXCL2, DUSP1, EREG, ESCO2, FCAR, GATA3, GPR84, HMGB2, ICAM1, IFIH1, IFNG, IL1A, IL1RN, ITGB8, LAPTM5, LGALS3, LY96, MAP3K8, MARCKS, MMP8, NAV1, NFKB2, NFKBIA, NFKBID, NINJ1, NRBP1, P2RY2, PDE4B, PLEK, PTX3, RBP7, RELB, RIPK2, S100A8, SFXN3, SLC24A1, SMARCD3, TFF3, TNFAIP3, TNFAIP6, TRIB1, UPP1, ZMYND11",41.27,16.67,2.058871702070815e-45,44.68637071546002
"BBIBP (V3, D14)","BNT-I-BNT (D51, mild)",0.061,13,113,86,126,99,"ANXA1, BRI3, FCRL5, IL10RA, LGALS3, MMP8, MS4A3, OSBPL10, PTGER2, SLC24A1, SMARCD3, UPP1, ZMYND11",10.32,13.13,7.510499302160035e-46,45.124331189897994
"BBIBP (V3, D14)","BNT-MO (V3, D1)",0.052,9,117,46,126,55,"BRI3, CD58, FLRT2, KCNN3, MARCKS, MMP8, RBP7, S100A8, SLCO2B1",7.14,16.36,3.888279978301844e-33,32.41024247094388
"BBIBP (V3, D14)","ChAd (V1, D6)",0.043,8,118,61,126,69,"ASGR2, BRI3, EREG, LAPTM5, MMP8, RBP7, S100A8, SMARCD3",6.35,11.59,7.021280050309752e-41,40.153583704378995
"BBIBP (V3, D14)","I (D51, moderate)",0.031,5,121,34,126,39,"GYPE, KLF4, LGALS3, MMP8, SNCA",3.97,12.82,8.552517924036015e-30,29.06790600696438
"BBIBP (V3, D14)","ZF2001 (V3, D28)",0.111,25,101,100,126,125,"BIRC2, CCL20, CXCL2, DACH1, DUSP1, G0S2, GATA3, GLP2R, IFIH1, IFNG, IL1B, IL1RN, ITGB4, ITM2A, KCNMB3, MARCKS, NFKBIA, ORM1, P2RY2, PTGER2, PTX3, TFF3, TNFAIP3, UPP1, ZMYND11",19.84,20,1.0308528281290533e-40,39.986803333255544
"BBIBP (V3, D14)","ZF2001 (V3, D07)",0.195,88,38,325,126,413,"ABCA6, ABHD12, ARL4C, BCL2A1, BCL3, BCL6, BIRC2, BRI3, CCDC150, CCL20, CD69, CD83, CHAF1B, CHRM2, CHRNB4, CLEC4A, CNTNAP3, CXCL2, DACH1, DUSP1, EMP1, EREG, ESCO2, FCRL5, FFAR2, FKBP14, FLRT2, G0S2, GLP2R, GNG10, GP1BB, GPR82, GPR84, GXYLT2, GYPE, HHLA2, ICAM1, IFIH1, IL10RA, IL1A, IL1B, IL1RN, IL23A, ITGB4, ITGB8, ITM2A, KCNE4, KCNN3, LAPTM5, LGALS3, LRRTM4, LY96, LYZ, MAFB, MAP3K8, MARCKS, MPP1, NAV1, NEDD4, NFKBIA, NINJ1, NLRP3, NOX4, NRBP1, NRXN3, OSBPL10, PDE4B, PLEK, PTGER2, PTX3, RARA, RBP7, RELB, RHOH, RIPK2, ROBO2, RRAGD, S100A8, SCN1A, SGK1, SLC24A1, SLC31A2, SLCO2B1, SMARCD3, TM4SF20, TNFAIP3, TNFAIP6, TRIB1",69.84,21.31,8.8039694488918e-24,23.055321473183742
"BBIBP (V3, D14)",BNT-I (D3),0.05,17,109,213,126,230,"ARL4C, ASGR2, CHAF1A, CHAF1B, FKBP14, GATA3, GIMAP2, IFIH1, IL1B, JUN, KLF4, NCF4, NINJ1, PDE4B, RARA, RHOH, SFXN3",13.49,7.39,3.449019673497166e-71,70.46230432837343
"BBIBP (V3, D14)","BNT (V1, D6)",0.044,8,118,55,126,63,"ARL4C, CXCL2, DUSP1, GPR84, GYPE, IL1B, RBP7, SLCO2B1",6.35,12.7,3.2078407732837633e-38,37.49378719680946
"BBIBP (V3, D14)",I-I (D5),0.024,6,120,121,126,127,"BIRC2, CNTNAP3, ESCO2, IFIH1, ORM1, TNFAIP6",4.76,4.72,6.923311358993023e-64,63.15968613661738
"BBIBP (V3, D14)",I-BNT (D5),0.008,1,125,1,126,2,IL1B,0.79,50,0.015748031496063002,1.8027737252919753
"BBIBP (V3, D14)",I (D3),0.035,7,119,76,126,83,"C1QA, CHAF1B, DACH1, ESCO2, IFIH1, SGK1, SLCO2B1",5.56,8.43,5.799418982186684e-48,47.23661551427669
"BBIBP (V3, D14)",I-I (D1),0.062,12,114,66,126,78,"ATF3, BIRC2, DUSP1, EREG, ESCO2, IFIH1, IL1RN, KLF4, MARCKS, NFKBIA, PTGER2, TNFAIP6",9.52,15.38,1.5797765145707714e-39,38.801404346813705
"BBIBP (V3, D14)","BBIBP (V3, D07)",0.304,49,77,35,126,84,"ANXA1, ATF3, BCL3, BCL6, BRI3, C1QA, CCL20, CD69, CD83, CHAF1A, CXCL2, DUSP1, EMP1, EREG, G0S2, GATA3, GPR84, HLA-DMA, ICAM1, ICOS, IFIH1, IFNG, IL1B, ITGB8, ITM2A, JUN, KLF4, LAPTM5, LGALS3, MAFB, MAP3K8, MARCKS, NFKB2, NFKBIA, NINJ1, NLRP3, PDE4B, PLEK, PTGER2, PTX3, RELB, RHOH, RIPK2, SGK1, SLC24A1, SMARCD3, TNFAIP3, TRIB1, UPP1",38.89,58.33,1.735013133059437e-12,11.760697233499242
"BBIBP (V3, D14)","BNT-I (D51, severe)",0,0,126,9,126,9,,0,0,3.1994906472565394e-14,13.494919155021632
"BBIBP (V3, D14)","ChAd (V2, D1)",0.02,3,123,22,126,25,"ARL4C, EREG, ZMYND11",2.38,12,2.398970723299376e-23,22.619975052068483
"BBIBP (V3, D14)",I-I (D2),0.013,2,124,29,126,31,"CHAF1B, IFIH1",1.59,6.45,2.0364810820325105e-29,28.691119619954144
"BBIBP (V3, D14)",I (D4),0,0,126,25,126,25,,0,0,4.26502639814998e-29,28.370078276445955
"BBIBP (V3, D14)",I-I (D0),0,0,126,17,126,17,,0,0,2.18907900061947e-22,21.65973856510452
"BBIBP (V3, D14)","ChAd-BNT (V3, D1)",0,0,126,5,126,5,,0,0,3.360185065015021e-9,8.47363680281805
"BBIBP (V3, D14)","BNT-I-BNT (D51, severe)",0.03,4,122,9,126,13,"IL10RA, IL1A, KLF4, LGALS3",3.17,30.77,2.2876358127884308e-11,10.640613113220551
"BBIBP (V3, D28)","BBIBP (V3, D14)",0.369,65,61,50,126,115,"A2M, ANXA1, ARL4C, ASGR2, ATF3, BCL3, BCL6, CCL20, CD58, CD69, CD83, CXCL2, DACH1, DUSP1, EMP1, EREG, F2RL3, FCRL5, G0S2, GATA3, GP1BB, GPR82, GPR84, GXYLT2, GYPE, HLA-DMA, HMGB2, ICAM1, IFIH1, IFNG, IL10RA, IL1A, IL1B, IL1RN, IL23A, ITGB8, JUN, KCNMB3, KLF4, LAPTM5, LRRTM4, MAP3K8, MARCKS, MPP1, NFKB2, NFKBIA, NINJ1, NLRP3, ORM1, P2RY2, PDE4B, PLEK, PTGER2, PTX3, RHOH, RIPK2, SGK1, SLC24A1, SNCA, TGFA, TNFAIP3, TRIB1, TSPAN5, UPP1, ZMYND11",51.59,56.52,5.155936251393767e-12,11.28769246095383
"BBIBP (V3, D28)","BNT (V2, D1)",0.069,19,96,162,115,181,"A2M, ARL4C, BPI, CXCL2, EREG, GYPE, JUN, LCN2, LHFPL2, MARCKS, MPP1, NFE2, NLRP3, PDE4B, PDZK1IP1, RASGRP1, RIPK2, SGK1, TGFA",16.52,10.5,1.1321660912180176e-55,54.94608985653271
"BBIBP (V3, D28)","BNT-I (D10, mild)",0.072,36,79,383,115,419,"A2M, ANXA1, ARL4C, ASGR2, ATF3, BCL3, BCL6, BPI, CD58, DACH1, EREG, GATA3, GPM6B, GPR84, HMGB2, IFIH1, IGFBP7, IL10RA, IL1RN, ITGB8, KLF12, KLF4, LCN2, LHFPL2, MARCKS, MBOAT2, NFE2, RASGRP1, RBBP8, RHOH, RIPK2, SLC24A1, SUCNR1, TGFA, UPP1, ZMYND11",31.3,8.59,4.51687085438606e-64,63.345162326536084
"BBIBP (V3, D28)","BNT-I (D10, severe)",0.079,49,66,507,115,556,"A2M, ADRB2, ANXA1, ARL4C, ASGR2, BCL3, BCL6, BPI, CD58, CMTM2, CXCL2, DACH1, DUSP1, EREG, GATA3, GPM6B, GPR82, GPR84, HMGB2, IFIH1, IGFBP7, IL10RA, IL1B, IL1RN, ITGB8, KCNMB3, KLF12, KLF4, LAPTM5, LCN2, LHFPL2, MAP3K8, MARCKS, MBOAT2, NFE2, NFKBIA, P2RY2, RASGRP1, RBBP8, REPS2, RIPK2, SGK1, SLC24A1, TGFA, TMEM140, TNF, TRIB1, UPP1, ZMYND11",42.61,8.81,6.999784524068607e-58,57.154915328764076
"BBIBP (V3, D28)","BNT-I (D26, mild)",0.078,28,87,244,115,272,"A2M, ANXA1, ASGR2, BCL3, BCL6, BPI, CD58, DUSP1, GATA3, GPM6B, GPR84, HMGB2, IGFBP7, IL10RA, KLF12, KLF4, LCN2, MARCKS, MBOAT2, MPP1, NFKBIA, PLEK, PTGER2, SLC24A1, TGFA, TRIB1, UPP1, ZMYND11",24.35,10.29,4.2581721473005395e-59,58.370776785097924
"BBIBP (V3, D28)","BNT-I (D26, severe)",0.11,24,91,104,115,128,"A2M, ADRB2, ANXA1, BCL3, BPI, CMTM2, CXCL2, DUSP1, FOSB, GPM6B, IGFBP7, IL10RA, JUN, KLF4, LCN2, MAP3K8, MARCKS, MBOAT2, NFKBIA, PDZK1IP1, PPBP, RIPK2, SLC24A1, TRIB1",20.87,18.75,2.081895671362001e-39,38.68154103778756
"BBIBP (V3, D28)","ChAd (V1, D3)",0.073,50,65,568,115,618,"A2M, ASGR2, ATF3, CCL20, CD58, CMTM2, CXCL5, DACH1, ELOVL7, G0S2, GATA3, GPR82, GPR84, GRAP2, GYPE, HLA-DMA, IFIH1, IGFBP7, IL10RA, IL23A, IL6, ITGB8, JAM3, KLF12, LHFPL2, LRRC32, MARCKS, MBOAT2, MME, MPP1, NFE2, NFKBIA, NLRP3, P2RY2, PCSK6, PDE4B, PDZK1IP1, PTGER2, PTGS1, RASGRP1, RBBP8, RHOH, SLC24A1, SNCA, SPARC, SUCNR1, TM2D2, TRIB1, UPP1, ZMYND11",43.48,8.09,1.294293237575092e-59,58.887967317922985
"BBIBP (V3, D28)","ChAd (V1, D7)",0.093,42,73,337,115,379,"A2M, ACTN1, ANXA1, ARL4C, ATF3, BPI, CCL20, CD69, CD83, CMTM2, CXCL2, CXCR2, DUSP1, FCRL5, FOS, FOSB, GPR82, HMGB2, IFIH1, IFNG, IGFBP7, IL1B, IL6, JUN, KCNMB3, KLF4, LCN2, MARCKS, MME, NFKBIA, P2RY2, PDE4B, PTGER2, PTX3, SERINC5, SLC24A1, SNCA, TM2D2, TNF, TNFAIP3, UPP1, ZMYND11",36.52,11.08,1.4635669647953438e-54,53.83458740184258
"BBIBP (V3, D28)","ChAd (V2, D3)",0.067,12,103,65,115,77,"A2M, ADRB2, FOSB, GPR82, IFNG, ITGB8, KLF4, LAMB3, NFKB2, PDGFA, SERINC5, TNF",10.43,15.58,4.413137247908553e-37,36.35525256584933
"BBIBP (V3, D28)","ChAd (V2, D7)",0.107,15,100,25,115,40,"A2M, ATF3, CD83, FOSB, G0S2, GPR84, ITGB8, KCNMB3, KLF4, LAMB3, NFKB2, RIPK2, SGK1, SLC24A1, TRIB1",13.04,37.5,1.355736379114168e-17,16.867824750163958
"BBIBP (V3, D28)","ChAd-BNT (V2, D3)",0.108,63,52,468,115,531,"A2M, ACTN1, ARL4C, ASGR2, ATF3, AVPR1A, BCL3, CA2, CD58, CD69, CLU, CMTM2, CXCL5, CXCR2, DAB2, DUSP1, EGF, ELOVL7, EREG, F2RL3, FOS, GPM6B, GPR82, GRAP2, HLA-DMA, IFIH1, IFNG, IL10RA, IL1RN, IL23A, IL6, ITGB3, JAM3, JUNB, KLF4, LAMB3, LAPTM5, LHFPL2, LRRC32, MARCKS, MME, NFKB2, NLRP3, NRGN, PCSK6, PDE4B, PDGFA, PDZK1IP1, PPBP, PTGER2, PTGS1, RBBP8, RHOH, SELP, SNCA, SPARC, SUCNR1, TM2D2, TMEM140, TNF, TNFAIP3, UPP1, ZMYND11",54.78,11.86,2.3569927637342985e-42,41.627641750812586
"BBIBP (V3, D28)","ChAd-BNT (V2, D7)",0.138,71,44,401,115,472,"A2M, ACTN1, ARL4C, AVPR1A, BCL3, BCL6, CA2, CCL20, CD83, CLU, CMTM2, CXCL2, CXCL5, CXCR2, DACH1, DUSP6, EGF, ELOVL7, F2RL3, FCRL5, G0S2, GPM6B, GPR84, GRAP2, ICAM1, IL1B, IL1RN, IL23A, IL6, ITGB3, ITGB8, JAM3, KLF4, LAMB3, LAPTM5, LHFPL2, LRRC32, MAP3K8, MARCKS, MBOAT2, MME, MPP1, NFE2, NFKB2, NFKBIA, NINJ1, NLRP3, NRGN, P2RY2, PCSK6, PDE4B, PDGFA, PDZK1IP1, PLEK, PPBP, PTGS1, PTX3, REPS2, RHOH, RIPK2, SELP, SGK1, SNCA, SPARC, SUCNR1, TM2D2, TMEM140, TNF, TNFAIP3, TRIB1, ZMYND11",61.74,15.04,9.987656633328492e-33,32.000536396718566
