Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue	log_q
BBIBP (V3, D14)	BNT-MO (V3, D1)	3	4	192	7	195	FFAR2, IDO2, CCL3	42.86	1.54	5.52126664924156e-7	4.42584107332754e-7	6.35400418512546
BBIBP (V3, D14)	ChAd (V1, D3)	2	5	135	7	137	ALOX15, IDO2	28.57	1.46	4.68674323742789e-8	3.82646005552836e-8	7.41720281591722
BBIBP (V3, D14)	ChAd (V1, D6)	0	7	85	7	85	NA	0	0	1.14148031044039e-10	9.9901761986704e-11	10.0004268519707
BBIBP (V3, D14)	ChAd (V1, D7)	1	6	36	7	37	CCL3	14.29	2.7	1.14820845035491e-6	9.14169614680685e-7	6.03897321795788
BBIBP (V3, D14)	ChAd (V2, D1)	2	5	142	7	144	FFAR2, IDO2	28.57	1.39	3.67209885554509e-8	3.0120049281968e-8	7.52114432188471
BBIBP (V3, D14)	ChAd (V2, D3)	0	7	11	7	11	NA	0	0	3.14228255404726e-5	2.40410857953915e-5	4.61904592168185
BBIBP (V3, D14)	ChAd (V2, D7)	0	7	1	7	1	NA	0	0	0.125	0.0738491415654358	1.13165454863316
BBIBP (V3, D14)	ChAd-BNT (V2, D3)	1	6	181	7	182	IDO2	14.29	0.55	1.23730707223104e-10	1.08020429478914e-10	9.966494100338
BBIBP (V3, D14)	ChAd-BNT (V2, D7)	2	5	115	7	117	FFAR2, CCL3	28.57	1.71	1.01308322694834e-7	8.21420689779353e-8	7.08543436242242
BBIBP (V3, D14)	ChAd-BNT (V3, D1)	2	5	242	7	244	IDO2, CCL3	28.57	0.82	2.7412671903426303e-9	2.3020346018772103e-9	8.63788815277773
BBIBP (V3, D14)	I (D10, moderate)	1	6	483	7	484	ALOX15	14.29	0.21	3.75490372460626e-13	3.55058360930078e-13	12.449700256109
BBIBP (V3, D14)	I (D10, severe)	2	5	533	7	535	ALOX15, NLRP9	28.57	0.37	5.591092337171329e-11	4.9547684341582696e-11	10.3049766378724
BBIBP (V3, D14)	I (D26, moderate)	0	7	315	7	315	NA	0	0	1.49953119933801e-14	1.4856457936529302e-14	13.8280847223376
BBIBP (V3, D14)	I (D26, severe)	1	6	526	7	527	NLRP9	14.29	0.19	2.26116216435533e-13	2.1613002972877399e-13	12.6652848867983
BBIBP (V3, D14)	I (D51, moderate)	0	7	13	7	13	NA	0	0	1.28998968008256e-5	1.00660149398077e-5	4.99714242936594
BBIBP (V3, D14)	I (D51, severe)	1	6	374	7	375	WNT4	14.29	0.27	1.71420105958895e-12	1.59106503584334e-12	11.7983120679143
BBIBP (V3, D14)	I-BNT-I (D2)	0	7	1	7	1	NA	0	0	0.125	0.0738491415654358	1.13165454863316
BBIBP (V3, D14)	I-I (D1)	0	7	14	7	14	NA	0	0	8.59993120055039e-6	6.72555617559955e-6	5.1722717954882
BBIBP (V3, D14)	I-I (D5)	0	7	1	7	1	NA	0	0	0.125	0.0738491415654358	1.13165454863316
BBIBP (V3, D14)	ZF2001 (V3, D07)	4	3	226	7	230	FFAR2, ALOX15, IDO2, CCL3	57.14	1.74	1.6817576385432e-5	1.30079343303044e-5	4.88579166425142
BBIBP (V3, D14)	ZF2001 (V3, D14)	2	5	31	7	33	WNT4, IDO2	28.57	6.06	4.18375031378129e-5	3.18022280018159e-5	4.4975424531288
BBIBP (V3, D14)	ZF2001 (V3, D28)	1	6	16	7	17	CCL3	14.29	5.88	6.93433187712364e-5	5.23718013711151e-5	4.28090248792627
BBIBP (V3, D28)	BNT (V1, D6)	0	1	2	1	2	NA	0	0	0.333333333333333	0.195620355028575	0.708585957234247
BBIBP (V3, D28)	BNT (V2, D1)	0	1	114	1	114	NA	0	0	0.00869565217391306	0.00570071925192374	2.24407034653184
BBIBP (V3, D28)	BNT (V3, D1)	0	1	139	1	139	NA	0	0	0.00714285714285713	0.00478047574026188	2.32052888140263
BBIBP (V3, D28)	BNT-I (D1)	0	1	161	1	161	NA	0	0	0.00617283950617285	0.00419495587569307	2.37727260290293
BBIBP (V3, D28)	BNT-I (D10, mild)	0	1	641	1	641	NA	0	0	0.00155763239875388	0.00114693611468767	2.94046077199526
BBIBP (V3, D28)	BNT-I (D10, severe)	1	0	654	1	655	CXCL8	100	0.15	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	BNT-I (D26, mild)	0	1	358	1	358	NA	0	0	0.00278551532033428	0.00198878745568845	2.70141162801381
BBIBP (V3, D28)	BNT-I (D26, severe)	0	1	79	1	79	NA	0	0	0.0125	0.00798694520191398	2.09761929523299
BBIBP (V3, D28)	BNT-I (D3)	0	1	110	1	110	NA	0	0	0.00900900900900898	0.00586256274918589	2.23191249583689
BBIBP (V3, D28)	BNT-I (D4)	0	1	22	1	22	NA	0	0	0.0434782608695652	0.0267625388964657	1.57247268849683
BBIBP (V3, D28)	BNT-I-BNT (D51, mild)	0	1	67	1	67	NA	0	0	0.0147058823529412	0.0092621717467574	2.03328717022428
BBIBP (V3, D28)	BNT-I-BNT (D51, severe)	0	1	15	1	15	NA	0	0	0.0625	0.0379414264325002	1.4208863455581
BBIBP (V3, D28)	BNT-MO (V3, D1)	0	1	195	1	195	NA	0	0	0.00510204081632652	0.00351466338604633	2.45411626284415
BBIBP (V3, D28)	ChAd (V1, D3)	1	0	136	1	137	CXCL8	100	0.73	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	ChAd (V1, D6)	0	1	85	1	85	NA	0	0	0.0116279069767442	0.00748394797395437	2.12586924023978
BBIBP (V3, D28)	ChAd (V1, D7)	0	1	37	1	37	NA	0	0	0.0263157894736842	0.0163987121125405	1.78519025831693
BBIBP (V3, D28)	ChAd (V2, D1)	0	1	144	1	144	NA	0	0	0.00689655172413792	0.00465093294806516	2.33245992161409
BBIBP (V3, D28)	ChAd (V2, D3)	0	1	11	1	11	NA	0	0	0.0833333333333334	0.0495648538668524	1.30482616992373
BBIBP (V3, D28)	ChAd (V2, D7)	0	1	1	1	1	NA	0	0	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	ChAd-BNT (V2, D3)	0	1	182	1	182	NA	0	0	0.00546448087431693	0.00374241073920655	2.42684854928347
BBIBP (V3, D28)	ChAd-BNT (V2, D7)	1	0	116	1	117	CXCL8	100	0.85	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	ChAd-BNT (V3, D1)	0	1	244	1	244	NA	0	0	0.0040816326530612	0.00284507138917901	2.54590683171618
BBIBP (V3, D28)	I (D10, moderate)	1	0	483	1	484	CXCL8	100	0.21	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	I (D10, severe)	0	1	535	1	535	NA	0	0	0.00186567164179106	0.00136237871248	2.86570215095612
BBIBP (V3, D28)	I (D26, moderate)	0	1	315	1	315	NA	0	0	0.00316455696202531	0.0022367741820129	2.65037785875364
BBIBP (V3, D28)	I (D26, severe)	0	1	527	1	527	NA	0	0	0.00189393939393942	0.0013744836486646	2.86186042230794
BBIBP (V3, D28)	I (D51, moderate)	0	1	13	1	13	NA	0	0	0.0714285714285714	0.0427726776760273	1.36883356097718
BBIBP (V3, D28)	I (D51, severe)	1	0	374	1	375	CXCL8	100	0.27	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	I-BNT-I (D2)	0	1	1	1	1	NA	0	0	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	I-I (D1)	0	1	14	1	14	NA	0	0	0.0666666666666667	0.0401941310674099	1.39583735564971
BBIBP (V3, D28)	I-I (D5)	0	1	1	1	1	NA	0	0	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	ZF2001 (V3, D07)	1	0	229	1	230	CXCL8	100	0.43	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	ZF2001 (V3, D14)	1	0	32	1	33	CXCL8	100	3.03	1	0.55984682558178	0.251930779965426
BBIBP (V3, D28)	ZF2001 (V3, D28)	1	0	16	1	17	CXCL8	100	5.88	1	0.55984682558178	0.251930779965426
BNT (V1, D6)	BNT (V2, D1)	1	1	113	2	114	IFI27	50	0.88	0.0173913043478261	0.0109339998486095	1.96122093645764
BNT (V1, D6)	BNT (V3, D1)	1	1	138	2	139	IFI27	50	0.72	0.0142857142857143	0.00907859717159645	2.04198125364878
BNT (V1, D6)	BNT-I (D1)	0	2	161	2	161	NA	0	0	7.57403620389306e-5	5.70809632291096e-5	4.24350870686858
BNT (V1, D6)	BNT-I (D10, mild)	1	1	640	2	641	IFI27	50	0.16	0.00311526479750781	0.00221525160861047	2.65457693940691
BNT (V1, D6)	BNT-I (D10, severe)	1	1	654	2	655	IFI27	50	0.15	0.00304878048780483	0.00217235464471863	2.6630692731571
BNT (V1, D6)	BNT-I (D26, mild)	0	2	358	2	358	NA	0	0	1.54750851129682e-5	1.20222834448127e-5	4.92001303705057
BNT (V1, D6)	BNT-I (D26, severe)	0	2	79	2	79	NA	0	0	3.0864197530864e-4	2.3014609931127e-4	3.63799638145627
BNT (V1, D6)	BNT-I (D3)	0	2	110	2	110	NA	0	0	1.6087516087516e-4	1.2046970769103e-4	3.9191221434336
BNT (V1, D6)	BNT-I (D4)	0	2	22	2	22	NA	0	0	0.0036231884057971	0.00255582246461247	2.59246931691308
BNT (V1, D6)	BNT-I-BNT (D51, mild)	0	2	67	2	67	NA	0	0	4.2625745950554e-4	3.1717826565059e-4	3.49869657996544
BNT (V1, D6)	BNT-I-BNT (D51, severe)	0	2	15	2	15	NA	0	0	0.00735294117647058	0.00488400770073835	2.31122365996353
BNT (V1, D6)	BNT-MO (V3, D1)	0	2	195	2	195	NA	0	0	5.17973686936704e-5	3.92041056546855e-5	4.40666844905593
BNT (V1, D6)	ChAd (V1, D3)	1	1	136	2	137	IFI27	50	0.73	0.0144927536231884	0.00919360598781463	2.03651411283116
BNT (V1, D6)	ChAd (V1, D6)	2	0	83	2	85	IFI27, IGLV3-10	100	2.35	1	0.55984682558178	0.251930779965426
BNT (V1, D6)	ChAd (V1, D7)	1	1	36	2	37	IFI27	50	2.7	0.0526315789473684	0.0323403172672402	1.49025572386265
BNT (V1, D6)	ChAd (V2, D1)	1	1	143	2	144	IFI27	50	0.69	0.0137931034482759	0.00878136437486671	2.05643800181127
BNT (V1, D6)	ChAd (V2, D3)	0	2	11	2	11	NA	0	0	0.0128205128205128	0.00817692539798121	2.08740996450702
BNT (V1, D6)	ChAd (V2, D7)	0	2	1	2	1	NA	0	0	0.333333333333333	0.195620355028575	0.708585957234247
BNT (V1, D6)	ChAd-BNT (V2, D3)	1	1	181	2	182	IFI27	50	0.55	0.0109289617486339	0.00708581445107122	2.14961022427647
BNT (V1, D6)	ChAd-BNT (V2, D7)	0	2	117	2	117	NA	0	0	1.4242985329725e-4	1.0711195688491e-4	3.9701620462616
BNT (V1, D6)	ChAd-BNT (V3, D1)	0	2	244	2	244	NA	0	0	3.31840053094409e-5	2.53335818626083e-5	4.5963034018719
BNT (V1, D6)	I (D10, moderate)	1	1	483	2	484	IFI27	50	0.21	0.00412371134020622	0.002868732590061	2.54230993278346
BNT (V1, D6)	I (D10, severe)	1	1	534	2	535	IFI27	50	0.19	0.00373134328358209	0.00262686194861413	2.58056275040788
BNT (V1, D6)	I (D26, moderate)	0	2	315	2	315	NA	0	0	1.99656590664058e-5	1.53419560672211e-5	4.81411926522128
BNT (V1, D6)	I (D26, severe)	1	1	526	2	527	IFI27	50	0.19	0.00378787878787875	0.00265983803290468	2.57514480831531
BNT (V1, D6)	I (D51, moderate)	0	2	13	2	13	NA	0	0	0.00952380952380952	0.00618615276885945	2.20857935917063
BNT (V1, D6)	I (D51, severe)	0	2	375	2	375	NA	0	0	1.41091483718043e-5	1.09853112900633e-5	4.95918763199415
BNT (V1, D6)	I-BNT-I (D2)	0	2	1	2	1	NA	0	0	0.333333333333333	0.195620355028575	0.708585957234247
BNT (V1, D6)	I-I (D1)	0	2	14	2	14	NA	0	0	0.00833333333333334	0.0055248041998202	2.25768310885452
BNT (V1, D6)	I-I (D5)	0	2	1	2	1	NA	0	0	0.333333333333333	0.195620355028575	0.708585957234247
BNT (V1, D6)	ZF2001 (V3, D07)	0	2	230	2	230	NA	0	0	3.73190028362441e-5	2.84288184043233e-5	4.54624119064886
BNT (V1, D6)	ZF2001 (V3, D14)	0	2	33	2	33	NA	0	0	0.00168067226890756	0.00123495623290098	2.90834843361598
BNT (V1, D6)	ZF2001 (V3, D28)	0	2	17	2	17	NA	0	0	0.00584795321637427	0.00399727435645906	2.39823604253121
BNT (V2, D1)	BNT (V3, D1)	100	14	39	114	139	IFIT1, IFIT3, OAS2, ACOD1, FAS, CLEC6A, ZBP1, BATF2, SECTM1, MX1, COLEC12, IL27, MARCO, IL31RA, AIM2, EDNRB, STAT1, STAT2, IRF1, TNFAIP6, ISG20, CTSL, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, CYBB, TAP1, TAP2, IDO1, CFB, IDO2, NUB1, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, RIPK2, CCL8, TRPV4, FCGR1A, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QA, C1QB, C1QC, OASL, GBP7, GCH1, PML, RSAD2, LIF, GBP1, OAS1, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, TRAFD1, DTX3L, TIFA, SLIT2, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	87.72	71.94	0.0214126462047127	0.0134382833864038	1.87165620475144
BNT (V2, D1)	BNT-I (D1)	1	113	160	114	161	CD276	0.88	0.62	5.256063293292879e-78	2.9425903498069298e-77	76.5312701936263
BNT (V2, D1)	BNT-I (D10, mild)	59	55	582	114	641	IFIT1, IFIT3, OAS2, FAS, ZBP1, BATF2, MX1, IL36A, AIM2, STAT2, TNFAIP6, IRF9, DDX60, CXCL10, CXCL11, GBP2, IFITM3, TAP1, CFB, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT5, TRIM21, EIF2AK2, TRIM6, RIPK2, FCGR1A, PARP9, GBP6, CD274, ISG15, C1QB, C1QC, OASL, GCH1, PML, RSAD2, GBP1, OAS1, TRIM22, LAMP3, TNFSF13B, OAS3, PARP14, TRAFD1, DTX3L, TIFA, NMI, PLSCR1, CEACAM1, WDFY1, USP18, HERC5	51.75	9.2	7.44234598709602e-50	1.79790512241569e-49	48.7452332302327
BNT (V2, D1)	BNT-I (D10, severe)	73	41	582	114	655	IFIT1, IFIT3, OAS2, FAS, ZBP1, BATF2, MX1, IL27, IL36A, AIM2, EDNRB, STAT1, STAT2, TNFAIP6, CTSL, DDX60, CXCL10, CXCL11, GBP2, APOL1, IFITM3, TAP1, CFB, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, TRIM21, EIF2AK2, TRIM6, RIPK2, FCGR1A, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, C1QA, C1QB, C1QC, OASL, PML, RSAD2, GBP1, OAS1, TRIM22, LAMP3, GBP5, TNFSF10, TNFSF13B, OAS3, PARP14, TRAFD1, DTX3L, TIFA, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, HERC5	64.04	11.15	5.37077512725509e-36	1.0184361213557099e-35	34.9920662057534
BNT (V2, D1)	BNT-I (D26, mild)	2	112	356	114	358	MARCO, CCL2	1.75	0.56	1.2315183912620397e-107	2.4131158169777197e-106	105.61742183372
BNT (V2, D1)	BNT-I (D26, severe)	1	113	78	114	79	RIPK2	0.88	1.27	6.40995892792424e-54	1.76626167928283e-53	52.7529449533918
BNT (V2, D1)	BNT-I (D3)	10	104	100	114	110	SECTM1, EDNRB, IRF1, CXCL17, GBP2, FCGR1A, SFRP1, GBP6, GBP5, CEACAM1	8.77	9.09	6.16132190315632e-50	1.49870331075022e-49	48.8242843333005
BNT (V2, D1)	BNT-I (D4)	0	114	22	114	22	NA	0	0	7.81341756247174e-26	1.14349366064551e-25	24.9417662387129
BNT (V2, D1)	BNT-I-BNT (D51, mild)	0	114	67	114	67	NA	0	0	2.55117901378314e-51	6.33668850412063e-51	50.1981376411889
BNT (V2, D1)	BNT-I-BNT (D51, severe)	0	114	15	114	15	NA	0	0	6.686390679716999e-20	8.04885118048693e-20	19.094266102437
BNT (V2, D1)	BNT-MO (V3, D1)	100	14	95	114	195	IFIT1, IFIT3, OAS2, ACOD1, FAS, CLEC6A, ZBP1, BATF2, SECTM1, MX1, IL27, IL31RA, IL36A, AIM2, BST2, STAT1, STAT2, IRF1, TNFAIP6, IRF9, ISG20, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, CYBB, TAP1, TAP2, IDO1, IDO2, NUB1, IFI16, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, ORM1, TRIM21, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, RIPK2, CCL8, TRPV4, FCGR1A, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QA, C1QB, C1QC, OASL, GBP7, GCH1, PML, RSAD2, LIF, GBP1, OAS1, SAMD9, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, PARP14, TRAFD1, DTX3L, TIFA, SLIT2, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	87.72	51.28	1.4934744569524e-4	1.1207524857483e-4	3.95049028922718
BNT (V2, D1)	ChAd (V1, D3)	58	56	79	114	137	IFIT1, IFIT3, OAS2, CLEC6A, BATF2, SECTM1, MX1, COLEC12, IL27, MARCO, IL31RA, IL36A, AIM2, EDNRB, STAT1, CTSL, DDX60, CXCL10, CXCL11, CXCL9, IFITM3, IDO1, CFB, IDO2, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, CD276, CCL2, TRPV4, FCGR1A, PARP9, C2, PDCD1LG2, ISG15, SLAMF8, C1QA, C1QB, C1QC, OASL, GBP7, CCL25, RSAD2, GBP1, OAS1, LAMP3, GBP5, TNFSF10, OAS3, TLR7, SLIT2, PLSCR1, IRF7, USP18, GBP4	50.88	42.34	9.15174626637224e-17	9.7518215719873e-17	16.0109142535556
BNT (V2, D1)	ChAd (V1, D6)	1	113	84	114	85	IFI27	0.88	1.18	3.61609033392824e-56	1.06283976459501e-55	54.9735322054651
BNT (V2, D1)	ChAd (V1, D7)	3	111	34	114	37	CXCL10, IFI27, CCL25	2.63	8.11	2.2825047000452e-30	3.81539050586896e-30	29.4184610053199
BNT (V2, D1)	ChAd (V2, D1)	88	26	56	114	144	IFIT1, IFIT3, OAS2, CLEC6A, ZBP1, BATF2, MX1, IL27, MARCO, IL31RA, AIM2, BST2, STAT1, STAT2, TNFAIP6, IRF9, ISG20, DDX60, CXCL10, CXCL11, GBP2, APOL1, IFITM3, TAP1, TAP2, IDO1, CFB, IDO2, NUB1, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, TRIM21, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, CCL8, FCGR1A, PARP9, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QB, C1QC, OASL, GCH1, PML, RSAD2, LIF, GBP1, OAS1, SAMD9, TRIM22, LAMP3, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, TRAFD1, DTX3L, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	77.19	61.11	1.6588590562739e-5	1.28590196779735e-5	4.8907921390848
BNT (V2, D1)	ChAd (V2, D3)	0	114	11	114	11	NA	0	0	5.39289297259338e-16	5.51331080344196e-16	15.258587524224
BNT (V2, D1)	ChAd (V2, D7)	0	114	1	114	1	NA	0	0	0.00869565217391305	0.00570071925192374	2.24407034653184
BNT (V2, D1)	ChAd-BNT (V2, D3)	78	36	104	114	182	IFIT1, IFIT3, OAS2, CLEC6A, ZBP1, BATF2, SECTM1, MX1, COLEC12, IL27, MARCO, IL31RA, AIM2, BST2, STAT1, STAT2, CTSL, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, CYBB, TAP1, IDO1, CFB, IDO2, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, DHX58, CCL2, EIF2AK2, TRIM5, CCL8, TRPV4, FCGR1A, PARP9, C2, PDCD1LG2, CD274, ISG15, SLAMF8, C1QB, C1QC, OASL, GBP7, GCH1, CCL25, RSAD2, GBP1, OAS1, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, DTX3L, SLIT2, NMI, PLSCR1, IRF7, RNF213, USP18, GBP4, HERC5	68.42	42.86	3.1937885267888797e-12	2.9334906042458997e-12	11.5326152984586
BNT (V2, D1)	ChAd-BNT (V2, D7)	13	101	104	114	117	IFIT1, IFIT3, BATF2, TNFAIP6, CXCL10, CXCL11, SERPING1, IFIT2, CCL2, CCL8, FCGR1A, CCRL2, RSAD2	11.4	11.11	3.4497674588145397e-48	8.111633715413109e-48	47.090891668337
BNT (V2, D1)	ChAd-BNT (V3, D1)	96	18	148	114	244	IFIT1, IFIT3, OAS2, FAS, CLEC6A, ZBP1, BATF2, SECTM1, MX1, IL27, MARCO, IL31RA, AIM2, BST2, STAT1, STAT2, IRF1, TNFAIP6, IRF9, ISG20, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, TAP1, TAP2, IDO1, CFB, IDO2, NUB1, IFI16, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, TRIM21, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, RIPK2, CCL8, TRPV4, FCGR1A, PARP9, C2, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QA, C1QB, C1QC, OASL, GCH1, PML, RSAD2, LIF, GBP1, OAS1, SAMD9, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, TRAFD1, DTX3L, TIFA, SLIT2, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	84.21	39.34	1.37754477506779e-7	1.11436895351751e-7	6.95297099592351
BNT (V2, D1)	I (D10, moderate)	66	48	418	114	484	IFIT1, IFIT3, OAS2, CLEC6A, ZBP1, BATF2, MX1, MARCO, IL36A, AIM2, EDNRB, STAT2, TNFAIP6, CTSL, DDX60, CXCL10, CXCL11, GBP2, TAP1, CFB, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, EIF2AK2, TRIM6, TRPV4, FCGR1A, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, C1QA, C1QB, C1QC, OASL, GCH1, PML, RSAD2, GBP1, OAS1, SAMD9, TRIM22, LAMP3, TNFSF10, TNFSF13B, OAS3, PARP14, TRAFD1, DTX3L, TIFA, NMI, PLSCR1, CEACAM1, USP18, HERC5	57.89	13.64	5.96132980211044e-37	1.16810104808516e-36	35.9325195863952
BNT (V2, D1)	I (D10, severe)	19	95	516	114	535	ZBP1, IL31RA, IL36A, AIM2, TNFAIP6, IDO1, IFI16, IFI27, ORM1, CCL2, EIF2AK2, PARP9, SFRP1, OASL, TRIM22, TLR7, PLSCR1, ORM2, GBP4	16.67	3.55	4.241965610477769e-94	4.40045917114536e-93	92.3565020041751
BNT (V2, D1)	I (D26, moderate)	6	108	309	114	315	CLEC6A, MARCO, IL36A, EDNRB, SFRP1, GBP4	5.26	1.9	2.5928474261714796e-94	2.77123140145089e-93	92.5573272085457
BNT (V2, D1)	I (D26, severe)	21	93	506	114	527	FAS, IL36A, AIM2, IFI27, IFI44, IFI44L, DHX58, ORM1, EIF2AK2, TRPV4, FCGR1A, PARP9, CCRL2, SFRP1, C1QA, TRIM22, TLR7, TIFA, PLSCR1, CEACAM1, IRF7	18.42	3.98	1.45395624975341e-90	1.2507694104983398e-89	88.9028227486429
BNT (V2, D1)	I (D51, moderate)	0	114	13	114	13	NA	0	0	5.25741347159458e-18	5.88669248568622e-18	17.2301286506593
BNT (V2, D1)	I (D51, severe)	31	83	344	114	375	FAS, ZBP1, BATF2, SECTM1, IL27, IL36A, AIM2, STAT1, IRF1, TNFAIP6, ISG20, GBP2, TAP1, IFIH1, RHBDF2, SOCS1, EIF2AK2, RIPK2, FCGR1A, PARP9, SFRP1, GBP6, CD274, GCH1, GBP1, TRIM22, PARP14, TIFA, NMI, PLSCR1, RNF213	27.19	8.27	1.19894435465609e-65	5.15697402844082e-65	64.2876050557822
BNT (V2, D1)	I-BNT-I (D2)	0	114	1	114	1	NA	0	0	0.00869565217391305	0.00570071925192374	2.24407034653184
BNT (V2, D1)	I-I (D1)	0	114	14	114	14	NA	0	0	5.750295984556609e-19	6.738038273950479e-19	18.1714665264332
BNT (V2, D1)	I-I (D5)	0	114	1	114	1	NA	0	0	0.00869565217391305	0.00570071925192374	2.24407034653184
