id,cos2,dimension
"Extravasation, Neutrophil",0.02462274656992766,PC1
Antifungal humoral response,0.020547188180073204,PC1
"Hypersensitivity, Type I",0.015834336172066563,PC1
"Activation, Inflammatory response, Leukocyte",0.014099544418794366,PC1
"Migration, Inflammatory response, Leukocyte",0.010458032531508267,PC1
Adaptive Immune response,0.009872551834717242,PC1
"Activation, T cell",0.008705896303171052,PC1
Antimicrobial humoral response,0.005070749007523378,PC1
"Killing of bacterium, Neutrophil",4.473046692268107e-6,PC1
Antimicrobial immune response,0.18361615255627967,PC2
Humoral adaptive immune system,0.10605619374322438,PC2
Antimicrobial peptide-mediated immune response,0.10117892984422279,PC2
Antimicrobial humoral response,0.6824638066611313,PC2
Antibacterial humoral response,0.48925175848229224,PC2
"Innate immune response, mucosa",0.24602998118641367,PC2
"Immune system, Process",0.013602280396636551,PC2
"Differentiation, Myeloid Dendritic cell",0.028444921974422124,PC2
Antifungal humoral response,0.5541587799053843,PC2
Cellular response to Interferon II,0.15957895121396848,PC2
"Signaling, Interferon I, Pathway",0.05528529144304938,PC2
Innate immune response,5.007744329764988e-4,PC2
General,0.0031454960025343332,PC2
Antiviral and Interferon,0.0256450957388345,PC2
Antiviral innate immune response,0.013032106338502195,PC2
Neutrophil,0.10434368078761291,PC2
"Fc-gR signaling, phagocytosis",0.0982625708927013,PC2
"Antigen receptors, processing and presentation",1.6324084694851817e-4,PC2
Immune response,0.011279851672957752,PC2
"Biosynthesis, Antibacterial peptides against Gram-",0.5355298996686508,PC2
"Killing of fungus, Neutrophil",0.5355298996686507,PC2
Cellular response to Interferon I,0.0012079088978486216,PC2
Response to Interferon II,0.002306103484465988,PC2
"Chemotaxis, Inflammatory response, Leukocyte",0.0026295312051496157,PC2
"Activation, Monocyte",0.056767145469230604,PC2
"Extravasation, Th cell",0.10204013254749797,PC2
"killing of Gram- bacterium, Neutrophil",0.07815069370172831,PC2
"Activation, Immune response, Microglial cell",0.06435328610140177,PC2
Macrophage,0.02350490998328164,PC2
"Activation, B cell",0.10550029027873885,PC2
"Activation, Immune response, Macrophage",0.027316039310257556,PC2
"PRR, TLR4, Pathway",0.0012467136184699495,PC2
Adaptive Immune response,0.1887028867997326,PC2
"Selection-, T cell, Thymic",0.5765387293567296,PC2
"Extravasation, Neutrophil",0.40286668235120293,PC2
Response to Interferon I,0.0073727042408780795,PC2
Establishment of T cell polarity,0.5744200132316222,PC2
T cell,0.15779534491155997,PC2
"Hypersensitivity, Type I",0.23784683707889237,PC2
"Activation, T cell",0.5238563741488332,PC2
"Signaling, Interferon II, Pathway",0.025551967556908927,PC2
"Migration, Inflammatory response, Leukocyte",0.46313284528774873,PC2
Cellular adaptive immune system,0.13768536986181917,PC2
"Killing of bacterium, Neutrophil",0.5016780890020107,PC2
"Chemotaxis, B cell",0.023935650348625596,PC2
"APP, MHC IB, Endogenous lipid antigen",0.025888260033564914,PC2
Monocyte,2.930835724189739e-4,PC2
"APP, MHC IB, Exogenous lipid antigen",0.024995649707874896,PC2
"Signaling, Interferon III, Pathway",0.034402869924577674,PC2
"Activation, Microglial cell",0.1917852491265811,PC2
"Activation, Inflammatory response, Leukocyte",0.04487158828534031,PC2
"Activation, Neutrophil",0.14760859376116625,PC2
"Chemotaxis, Monocyte",0.023022096671954387,PC2
"Chemotaxis, Lymphocyte",0.13757860914475373,PC2
Eosinophil,0.1640286528116891,PC2
"APP, MHC I, exogenous peptide",0.05199823009209062,PC2
"Chemotaxis, Eosinophil",0.18495166232205815,PC2
"Chemotaxis, Neutrophil",0.0028634348131866875,PC2
Antifungal innate immune response,0.07749634322807424,PC2
"Clearance, Neutrophil",0.0632408910710629,PC2
"Cytotoxicity, NK cell",0.09857971122046684,PC2
B cell,0.005945611053676477,PC2
Ig-mediated response,0.005945611053676477,PC2
"Migration, Thymocyte",0.005839827064035445,PC2
"Tolerance, Induction, immune response",0.015925288824127273,PC2
"Chemotaxis, Dendritic cell",0.0218107581492649,PC2
"Homeostasis, Monocyte",0.025747243123686644,PC2
