cond1	cond2	shared	not_shared_cond1	not_shared_cond2	total_genes_cond1	total_genes_cond2	genes_names	percentage_shared_cond1	percentage_shared_cond2	pvalue	qvalue	vaccine	covid_other	microbe_type	target_pathogen_disease	disease_vac	type	regimen	day_total	day_month	month	week	dose	infection
BNT-I (D3)	MONOV INFLUENZA A (D1)	18	115	32	133	50	ADM,BCL3,BCL6,FCAR,FCGR1A,FCGR2A,FPR1,GBP2,HP,IRF1,LILRA5,RGS1,S100A12,IL1R2,MAP2K6,JAK3,ANXA3,GBP6	13.53	36	1.30260082310208e-21	1.30260082310208e-21	BNT	COVID	VIRUS	SARS	I	I	V-I	3	3	1	1	1	1
BNT-I (D4)	MONOV INFLUENZA A (D1)	1	132	5	133	6	PDE4B	0.75	16.67	1.54794443659636e-8	1.54794443659636e-8	BNT	COVID	VIRUS	SARS	I	I	V-I	4	4	1	1	1	1
BNT-I-BNT (D51, mild)	MONOV INFLUENZA A (D1)	5	128	30	133	35	AZU1,CD40,PTK2,BPI,CD22	3.76	14.29	6.3893501731136296e-28	6.3893501731136296e-28	BNT	COVID	VIRUS	SARS	I	RNA	V-I-V	51	21	2	7	2	1
BNT-I-BNT (D51, severe)	MONOV INFLUENZA A (D1)	0	133	7	133	7	NA	0	0	5.56814545538262e-12	5.56814545538262e-12	BNT	COVID	VIRUS	SARS	I	RNA	V-I-V	51	21	2	7	2	1
BNT-MO (V3, D1)	MONOV INFLUENZA A (D1)	49	84	42	133	91	APOBEC3A,BATF2,CASP1,CCR1,CLEC4G,CLEC6A,DDX60,FCGR1A,GBP1,GBP2,GCH1,HP,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,IL27,IL31RA,IRF1,LILRA5,MX1,OAS2,PARP9,PSMB9,RGS1,STAT1,STAT2,TAP1,TNFSF10,IFITM1,RNF213,TAP2,CCL2,PML,BST2,RIGI,EIF2AK2,GBP6,GPR65,IRF9,MDK,PDE4B,PIK3AP1,TRIM21,TRIM22	36.84	53.85	5.74421120639843e-15	5.74421120639843e-15	MO	COVID	VIRUS	SARS	V	RNA	HE	1	1	1	1	3	0
ChAd (V1, D3)	MONOV INFLUENZA A (D1)	37	96	36	133	73	AIF1,APOBEC3A,BATF2,SCIMP,CLEC6A,DDX60,FCER1G,FCGR1A,GBP1,IDO1,IFI30,IFI35,IFI6,IFIT1,IFITM3,IL15,IL27,IL31RA,LILRA5,LILRB1,LILRB4,MX1,OAS2,PARP9,PSMB9,SRC,STAT1,TNFSF10,IL1R1,IL1R2,CX3CR1,CXCL6,CXCL8,CFB,IFITM1,CCL2,CD1E	27.82	50.68	1.1314589921457599e-16	1.1314589921457599e-16	ChAd	COVID	VIRUS	SARS	V	VV	HO	3	3	1	1	1	0
ChAd (V1, D6)	MONOV INFLUENZA A (D1)	0	133	40	133	40	NA	0	0	3.28611257157061e-40	3.28611257157061e-40	ChAd	COVID	VIRUS	SARS	V	VV	HO	6	6	1	1	1	0
ChAd (V1, D7)	MONOV INFLUENZA A (D1)	2	131	16	133	18	CD38,AZU1	1.5	11.11	1.24996800511259e-19	1.24996800511259e-19	ChAd	COVID	VIRUS	SARS	V	VV	HO	7	7	1	1	1	0
ChAd (V2, D1)	MONOV INFLUENZA A (D1)	43	90	16	133	59	APOBEC3A,BATF2,CASP1,CCR1,CLEC6A,DDX60,FCGR1A,FCGR2C,GBP1,GBP2,GCH1,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,IL27,IL31RA,MX1,NCF1,OAS2,PARP9,STAT1,STAT2,TAP1,TNFSF10,CFB,IFITM1,RNF213,TAP2,CCL2,PML,BST2,RIGI,EIF2AK2,GBP6,IRF9,MDK,TRIM21,TRIM22	32.33	72.88	8.96323535627522e-8	8.96323535627522e-8	ChAd	COVID	VIRUS	SARS	V	VV	HO	1	1	1	1	2	0
ChAd (V2, D3)	MONOV INFLUENZA A (D1)	0	133	5	133	5	NA	0	0	2.57990739432729e-9	2.57990739432729e-9	ChAd	COVID	VIRUS	SARS	V	VV	HO	3	3	1	1	2	0
ChAd (V2, D7)	MONOV INFLUENZA A (D1)	0	133	1	133	1	NA	0	0	0.00746268656716418	0.00746268656716418	ChAd	COVID	VIRUS	SARS	V	VV	HO	7	7	1	1	2	0
ChAd-BNT (V2, D3)	MONOV INFLUENZA A (D1)	39	94	42	133	81	APOBEC3A,BATF2,SCIMP,CD38,CLEC4G,CLEC6A,DDX60,FCGR1A,FCGR2C,GBP1,GBP2,GCH1,IDO1,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,IL27,IL31RA,MX1,NCF1,OAS2,PARP9,STAT1,STAT2,TAP1,TNFSF10,IL1R1,IL1R2,CFB,RNF213,CCL2,CLU,BST2,EIF2AK2,GSDMD,TRIM22	29.32	48.15	3.7590468311855e-18	3.7590468311855e-18	BNT	COVID	VIRUS	SARS	V	RNA	HE	3	3	1	1	2	0
ChAd-BNT (V2, D7)	MONOV INFLUENZA A (D1)	15	118	41	133	56	ADM,BATF2,CCR1,CD38,FCGR1A,FPR1,FPR2,IFIT1,IFIT2,IL1RN,IL1R2,CXCL6,CXCL8,CCL2,CLU	11.28	26.79	1.25851167112674e-27	1.25851167112674e-27	BNT	COVID	VIRUS	SARS	V	RNA	HE	7	7	1	1	2	0
ChAd-BNT (V3, D1)	MONOV INFLUENZA A (D1)	56	77	50	133	106	APOBEC3A,BATF2,SCIMP,CASP1,CLEC6A,DDX60,FCGR1A,FCGR2C,GBP1,GBP2,GCH1,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL15,IL1RN,IL27,IL31RA,IRF1,LILRB1,LILRB4,MX1,OAS2,PARP9,PSMB9,RGS1,STAT1,STAT2,TAP1,TNFSF10,CD40,CD7,CFB,IFITM1,NLRC5,RNF213,TAP2,CCL2,FCGR2B,PML,BST2,CIITA,RIGI,EIF2AK2,GBP6,HLA-DMA,HLA-DMB,IRF9,PDE4B,PIK3AP1,TRIM21,TRIM22	42.11	52.83	2.1605787605109704e-15	2.1605787605109704e-15	BNT	COVID	VIRUS	SARS	V	RNA	HE	1	1	1	1	3	0
ZF2001 (V3, D07)	MONOV INFLUENZA A (D1)	12	121	71	133	83	ADM,BCL3,BCL6,CCR2,IL1RN,RGS1,CX3CR1,CXCL8,IRF2BP2,SPNS2,PDE4B,CSF1	9.02	14.46	9.238372592617938e-43	9.238372592617938e-43	ZF2001	COVID	VIRUS	SARS	V	SU	HE	7	7	1	1	3	0
ZF2001 (V3, D14)	MONOV INFLUENZA A (D1)	4	129	9	133	13	ADM,IL1RN,CXCL8,CSF1	3.01	30.77	1.4316658078268799e-11	1.4316658078268799e-11	ZF2001	COVID	VIRUS	SARS	V	SU	HE	14	14	1	2	3	0
ZF2001 (V3, D28)	MONOV INFLUENZA A (D1)	3	130	6	133	9	FPR2,CXCL8,CSF1	2.26	33.33	9.354484365042781e-9	9.354484365042781e-9	ZF2001	COVID	VIRUS	SARS	V	SU	HE	28	28	1	4	3	0
BBIBP (V3, D14)	PANDEMRIX (D1)	0	33	4	33	4	NA	0	0	1.51411916117799e-5	1.51411916117799e-5	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D28)	PANDEMRIX (D1)	0	33	1	33	1	NA	0	0	0.0294117647058823	0.0294117647058823	BBIBP	COVID	VIRUS	SARS	V	IN	HO	28	28	1	4	3	0
BNT (V1, D6)	PANDEMRIX (D1)	0	33	2	33	2	NA	0	0	0.00168067226890756	0.00168067226890756	BNT	COVID	VIRUS	SARS	V	RNA	HO	6	6	1	1	1	0
BNT (V2, D1)	PANDEMRIX (D1)	6	27	42	33	48	IDO1,IRF1,IRF9,STAT1,TAP1,CXCL9	18.18	12.5	6.034624540797381e-15	6.034624540797381e-15	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	2	0
BNT (V3, D1)	PANDEMRIX (D1)	5	28	57	33	62	IDO1,IRF1,STAT1,TAP1,CXCL9	15.15	8.06	1.5327277656488099e-18	1.5327277656488099e-18	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	3	0
BNT-I (D1)	PANDEMRIX (D1)	3	30	64	33	67	CD22,CXCR5,CD3G	9.09	4.48	5.48707686973013e-22	5.48707686973013e-22	BNT	COVID	VIRUS	SARS	I	I	V-I	1	1	1	1	1	1
BNT-I (D10, mild)	PANDEMRIX (D1)	22	11	255	33	277	BANK1,CD19,CD22,CD79A,CD79B,CFH,CNR2,CXCR5,MS4A1,CD28,HDAC4,MCOLN2,IRF9,TAP1,CD247,CD3G,CD8B,PLCG1,PRF1,PRKCQ,RASGRP1,ZAP70	66.67	7.94	8.29023005720812e-12	8.29023005720812e-12	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D10, severe)	PANDEMRIX (D1)	18	15	251	33	269	CFH,CNR2,CXCR5,CD28,CD38,HDAC4,MCOLN2,CD40,STAT1,TAP1,TLR4,CD247,CD3G,CD8B,PLCG1,PRKCQ,RASGRP1,ZAP70	54.55	6.69	3.13285805766098e-16	3.13285805766098e-16	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D26, mild)	PANDEMRIX (D1)	15	18	145	33	160	BANK1,CD19,CD22,CD79A,CD79B,CNR2,CXCR5,MS4A1,CD40,CD247,CD3G,PLCG1,PRF1,RASGRP1,ZAP70	45.45	9.38	5.02107175481281e-16	5.02107175481281e-16	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
BNT-I (D26, severe)	PANDEMRIX (D1)	2	31	33	33	35	CD79B,CD40	6.06	5.71	1.64832993480895e-16	1.64832993480895e-16	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
BNT-I (D3)	PANDEMRIX (D1)	1	32	49	33	50	IRF1	3.03	2	5.55563833117907e-22	5.55563833117907e-22	BNT	COVID	VIRUS	SARS	I	I	V-I	3	3	1	1	1	1
BNT-I (D4)	PANDEMRIX (D1)	0	33	6	33	6	NA	0	0	3.0650185448947e-7	3.0650185448947e-7	BNT	COVID	VIRUS	SARS	I	I	V-I	4	4	1	1	1	1
BNT-I-BNT (D51, mild)	PANDEMRIX (D1)	6	27	29	33	35	BANK1,CD22,CD79A,CXCR5,MS4A1,CD40	18.18	17.14	4.39252278221232e-12	4.39252278221232e-12	BNT	COVID	VIRUS	SARS	I	RNA	V-I-V	51	21	2	7	2	1
BNT-I-BNT (D51, severe)	PANDEMRIX (D1)	0	33	7	33	7	NA	0	0	5.36378245356571e-8	5.36378245356571e-8	BNT	COVID	VIRUS	SARS	I	RNA	V-I-V	51	21	2	7	2	1
BNT-MO (V3, D1)	PANDEMRIX (D1)	6	27	85	33	91	IDO1,IRF1,IRF9,STAT1,TAP1,CXCL9	18.18	6.59	3.48068509151201e-21	3.48068509151201e-21	MO	COVID	VIRUS	SARS	V	RNA	HE	1	1	1	1	3	0
ChAd (V1, D3)	PANDEMRIX (D1)	3	30	70	33	73	IDO1,STAT1,CXCL9	9.09	4.11	6.532670486546939e-23	6.532670486546939e-23	ChAd	COVID	VIRUS	SARS	V	VV	HO	3	3	1	1	1	0
ChAd (V1, D6)	PANDEMRIX (D1)	0	33	40	33	40	NA	0	0	1.58493703697012e-21	1.58493703697012e-21	ChAd	COVID	VIRUS	SARS	V	VV	HO	6	6	1	1	1	0
ChAd (V1, D7)	PANDEMRIX (D1)	1	32	17	33	18	CD38	3.03	5.56	1.82789748267208e-12	1.82789748267208e-12	ChAd	COVID	VIRUS	SARS	V	VV	HO	7	7	1	1	1	0
ChAd (V2, D1)	PANDEMRIX (D1)	4	29	55	33	59	IDO1,IRF9,STAT1,TAP1	12.12	6.78	2.7051712944753196e-19	2.7051712944753196e-19	ChAd	COVID	VIRUS	SARS	V	VV	HO	1	1	1	1	2	0
ChAd (V2, D3)	PANDEMRIX (D1)	0	33	5	33	5	NA	0	0	1.99226205418156e-6	1.99226205418156e-6	ChAd	COVID	VIRUS	SARS	V	VV	HO	3	3	1	1	2	0
ChAd (V2, D7)	PANDEMRIX (D1)	0	33	1	33	1	NA	0	0	0.0294117647058823	0.0294117647058823	ChAd	COVID	VIRUS	SARS	V	VV	HO	7	7	1	1	2	0
ChAd-BNT (V2, D3)	PANDEMRIX (D1)	5	28	76	33	81	IDO1,CD38,STAT1,TAP1,CXCL9	15.15	6.17	2.90530828505602e-21	2.90530828505602e-21	BNT	COVID	VIRUS	SARS	V	RNA	HE	3	3	1	1	2	0
ChAd-BNT (V2, D7)	PANDEMRIX (D1)	1	32	55	33	56	CD38	3.03	1.79	3.32851984924215e-23	3.32851984924215e-23	BNT	COVID	VIRUS	SARS	V	RNA	HE	7	7	1	1	2	0
ChAd-BNT (V3, D1)	PANDEMRIX (D1)	9	24	97	33	106	IDO1,CD40,IRF1,IRF9,STAT1,TAP1,CD247,CXCL9,PRF1	27.27	8.49	4.2415093288332396e-19	4.2415093288332396e-19	BNT	COVID	VIRUS	SARS	V	RNA	HE	1	1	1	1	3	0
ZF2001 (V3, D07)	PANDEMRIX (D1)	0	33	83	33	83	NA	0	0	1.0097005721835599e-29	1.0097005721835599e-29	ZF2001	COVID	VIRUS	SARS	V	SU	HE	7	7	1	1	3	0
ZF2001 (V3, D14)	PANDEMRIX (D1)	0	33	13	33	13	NA	0	0	9.82644234965871e-12	9.82644234965871e-12	ZF2001	COVID	VIRUS	SARS	V	SU	HE	14	14	1	2	3	0
ZF2001 (V3, D28)	PANDEMRIX (D1)	0	33	9	33	9	NA	0	0	2.2426964962644203e-9	2.2426964962644203e-9	ZF2001	COVID	VIRUS	SARS	V	SU	HE	28	28	1	4	3	0
BBIBP (V3, D14)	HIV-1 GAG-POL NEF (D3)	0	44	4	44	4	NA	0	0	5.13927433446397e-6	5.13927433446397e-6	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D28)	HIV-1 GAG-POL NEF (D3)	0	44	1	44	1	NA	0	0	0.0222222222222222	0.0222222222222222	BBIBP	COVID	VIRUS	SARS	V	IN	HO	28	28	1	4	3	0
BNT (V1, D6)	HIV-1 GAG-POL NEF (D3)	1	43	1	44	2	IFI27	2.27	50	0.0444444444444444	0.0444444444444444	BNT	COVID	VIRUS	SARS	V	RNA	HO	6	6	1	1	1	0
BNT (V2, D1)	HIV-1 GAG-POL NEF (D3)	20	24	28	44	48	RIGI,DDX60,EIF2AK2,GBP1,GCH1,IFI27,IFI6,IFIT1,IFIT2,IFITM3,IRF9,MX1,OAS2,PARP9,PML,STAT1,TAP1,TNFSF10,TRIM21,TRIM22	45.45	41.67	2.76595912434683e-7	2.76595912434683e-7	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	2	0
BNT (V3, D1)	HIV-1 GAG-POL NEF (D3)	19	25	43	44	62	RIGI,DDX60,EIF2AK2,GBP1,GCH1,IFI27,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,MX1,OAS2,PARP9,PML,STAT1,TAP1,TNFSF10,TRIM22	43.18	30.65	4.67162927406642e-10	4.67162927406642e-10	BNT	COVID	VIRUS	SARS	V	RNA	HO	1	1	1	1	3	0
BNT-I (D1)	HIV-1 GAG-POL NEF (D3)	2	42	65	44	67	CXCR5,IL1R2	4.55	2.99	3.35732499831256e-28	3.35732499831256e-28	BNT	COVID	VIRUS	SARS	I	I	V-I	1	1	1	1	1	1
BNT-I (D10, mild)	HIV-1 GAG-POL NEF (D3)	28	16	249	44	277	AZU1,KIR2DL1,PIK3R1,CNR2,CXCR5,IL1R2,CX3CR1,DDX60,EIF2AK2,GBP1,GCH1,IFI27,IFI6,IFIT1,IFITM1,IFITM3,IL1RN,IRF9,LGALS9,MERTK,MX1,MX2,OAS2,PARP9,PML,TAP1,TRIM21,TRIM22	63.64	10.11	4.484011436836421e-15	4.484011436836421e-15	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D10, severe)	HIV-1 GAG-POL NEF (D3)	28	16	241	44	269	AZU1,PIK3R1,CNR2,CXCR5,IL1R2,CX3CR1,DDX60,EIF2AK2,FCGR3A,GBP1,IFI27,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IL1RN,MERTK,MX1,MX2,OAS2,PARP9,PML,STAT1,TAP1,TNFSF10,TRIM21,TRIM22	63.64	10.41	7.066587108686011e-15	7.066587108686011e-15	BNT	COVID	VIRUS	SARS	I	I	V-I	10	10	1	2	1	1
BNT-I (D26, mild)	HIV-1 GAG-POL NEF (D3)	4	40	156	44	160	CNR2,CXCR5,IL1R2,MERTK	9.09	2.5	6.62148967630418e-38	6.62148967630418e-38	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
BNT-I (D26, severe)	HIV-1 GAG-POL NEF (D3)	0	44	35	44	35	NA	0	0	3.07039507083267e-23	3.07039507083267e-23	BNT	COVID	VIRUS	SARS	I	I	V-I	26	26	1	4	1	1
BNT-I (D3)	HIV-1 GAG-POL NEF (D3)	1	43	49	44	50	IL1R2	2.27	2	6.98918058098123e-26	6.98918058098123e-26	BNT	COVID	VIRUS	SARS	I	I	V-I	3	3	1	1	1	1
BNT-I (D4)	HIV-1 GAG-POL NEF (D3)	0	44	6	44	6	NA	0	0	6.29298898097629e-8	6.29298898097629e-8	BNT	COVID	VIRUS	SARS	I	I	V-I	4	4	1	1	1	1
BNT-I-BNT (D51, mild)	HIV-1 GAG-POL NEF (D3)	2	42	33	44	35	AZU1,CXCR5	4.55	5.71	9.459887213235509e-20	9.459887213235509e-20	BNT	COVID	VIRUS	SARS	I	RNA	V-I-V	51	21	2	7	2	1
BNT-I-BNT (D51, severe)	HIV-1 GAG-POL NEF (D3)	0	44	7	44	7	NA	0	0	8.637435856242011e-9	8.637435856242011e-9	BNT	COVID	VIRUS	SARS	I	RNA	V-I-V	51	21	2	7	2	1
BNT-MO (V3, D1)	HIV-1 GAG-POL NEF (D3)	23	21	68	44	91	CCR1,RIGI,DDX60,EIF2AK2,GBP1,GCH1,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IL1RN,IRF9,MX1,MX2,OAS2,PARP9,PML,STAT1,TAP1,TNFSF10,TRIM21,TRIM22	52.27	25.27	7.04082345738662e-11	7.04082345738662e-11	MO	COVID	VIRUS	SARS	V	RNA	HE	1	1	1	1	3	0
ChAd (V1, D3)	HIV-1 GAG-POL NEF (D3)	17	27	56	44	73	IL1R2,CX3CR1,DDX60,GBP1,GRN,IFI27,IFI6,IFIT1,IFITM1,IFITM3,LGALS9,MX1,MX2,OAS2,PARP9,STAT1,TNFSF10	38.64	23.29	3.57969412050232e-13	3.57969412050232e-13	ChAd	COVID	VIRUS	SARS	V	VV	HO	3	3	1	1	1	0
ChAd (V1, D6)	HIV-1 GAG-POL NEF (D3)	1	43	39	44	40	IFI27	2.27	2.5	5.4971771088921e-23	5.4971771088921e-23	ChAd	COVID	VIRUS	SARS	V	VV	HO	6	6	1	1	1	0
ChAd (V1, D7)	HIV-1 GAG-POL NEF (D3)	3	41	15	44	18	AZU1,SFTPD,IFI27	6.82	16.67	2.04534003027709e-11	2.04534003027709e-11	ChAd	COVID	VIRUS	SARS	V	VV	HO	7	7	1	1	1	0
ChAd (V2, D1)	HIV-1 GAG-POL NEF (D3)	25	19	34	44	59	CCR1,RIGI,DDX60,EIF2AK2,GBP1,GCH1,IFI27,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IL1RN,IRF9,LGALS9,MX1,MX2,OAS2,PARP9,PML,STAT1,TAP1,TNFSF10,TRIM21,TRIM22	56.82	42.37	2.24600900358999e-6	2.24600900358999e-6	ChAd	COVID	VIRUS	SARS	V	VV	HO	1	1	1	1	2	0
ChAd (V2, D3)	HIV-1 GAG-POL NEF (D3)	0	44	5	44	5	NA	0	0	5.2441574841469e-7	5.2441574841469e-7	ChAd	COVID	VIRUS	SARS	V	VV	HO	3	3	1	1	2	0
ChAd (V2, D7)	HIV-1 GAG-POL NEF (D3)	0	44	1	44	1	NA	0	0	0.0222222222222222	0.0222222222222222	ChAd	COVID	VIRUS	SARS	V	VV	HO	7	7	1	1	2	0
ChAd-BNT (V2, D3)	HIV-1 GAG-POL NEF (D3)	21	23	60	44	81	PIK3R1,IL1R2,DDX60,EIF2AK2,FPR3,GBP1,GCH1,IFI27,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,MX1,MX2,OAS2,PARP9,STAT1,TAP1,TNFSF10,TRIM22	47.73	25.93	2.9286833139439e-11	2.9286833139439e-11	BNT	COVID	VIRUS	SARS	V	RNA	HE	3	3	1	1	2	0
ChAd-BNT (V2, D7)	HIV-1 GAG-POL NEF (D3)	6	38	50	44	56	IL1R2,CCR1,FPR2,IFIT1,IFIT2,IL1RN	13.64	10.71	2.41412513176634e-20	2.41412513176634e-20	BNT	COVID	VIRUS	SARS	V	RNA	HE	7	7	1	1	2	0
ChAd-BNT (V3, D1)	HIV-1 GAG-POL NEF (D3)	24	20	82	44	106	TRBV6-4,RIGI,DDX60,EIF2AK2,FPR3,GBP1,GCH1,IFI6,IFIT1,IFIT2,IFITM1,IFITM3,IL1RN,IRF9,MX1,MX2,OAS2,PARP9,PML,STAT1,TAP1,TNFSF10,TRIM21,TRIM22	54.55	22.64	2.0703234573704797e-11	2.0703234573704797e-11	BNT	COVID	VIRUS	SARS	V	RNA	HE	1	1	1	1	3	0
ZF2001 (V3, D07)	HIV-1 GAG-POL NEF (D3)	2	42	81	44	83	CX3CR1,IL1RN	4.55	2.41	2.78546804123017e-31	2.78546804123017e-31	ZF2001	COVID	VIRUS	SARS	V	SU	HE	7	7	1	1	3	0
ZF2001 (V3, D14)	HIV-1 GAG-POL NEF (D3)	1	43	12	44	13	IL1RN	2.27	7.69	2.3281498264803098e-11	2.3281498264803098e-11	ZF2001	COVID	VIRUS	SARS	V	SU	HE	14	14	1	2	3	0
ZF2001 (V3, D28)	HIV-1 GAG-POL NEF (D3)	1	43	8	44	9	FPR2	2.27	11.11	1.19595265701812e-8	1.19595265701812e-8	ZF2001	COVID	VIRUS	SARS	V	SU	HE	28	28	1	4	3	0
BBIBP (V3, D14)	FLUARIX FLUVIRIN (D3)	0	135	4	135	4	NA	0	0	6.71518341919145e-8	6.71518341919145e-8	BBIBP	COVID	VIRUS	SARS	V	IN	HO	14	14	1	2	3	0
BBIBP (V3, D28)	FLUARIX FLUVIRIN (D3)	0	135	1	135	1	NA	0	0	0.00735294117647059	0.00735294117647059	BBIBP	COVID	VIRUS	SARS	V	IN	HO	28	28	1	4	3	0
BNT (V1, D6)	FLUARIX FLUVIRIN (D3)	0	135	2	135	2	NA	0	0	1.0734220695577e-4	1.0734220695577e-4	BNT	COVID	VIRUS	SARS	V	RNA	HO	6	6	1	1	1	0
