Source,Target,Type,Id,Label,Weight,value
TNF,Interspecies interaction,Undirected,159,NA,3,
MMP17,"ChAd-BNT (V2, D3)",Undirected,160,NA,2,
"ChAd (V1, D3)",CXCL10,Undirected,161,NA,2,1
TRBV9,Reg. of BP,Undirected,162,NA,2,
"ChAd (V1, D3)",CXCL11,Undirected,163,NA,2,1
Metabolism,BMI1,Undirected,164,NA,3,1
SIPA1L1,FLUMIST (D3),Undirected,165,NA,2,
Reg. of BP,RAB3B,Undirected,166,NA,3,1
FLUMIST (D3),DCTN2,Undirected,167,NA,2,1
HELZ2,"BNT (V2, D1)",Undirected,168,NA,2,
MONOV INFLUENZA A (D1),ANO5,Undirected,169,NA,2,1
STAT6,Immune system,Undirected,170,NA,3,
MONOV INFLUENZA A (D1),ANO6,Undirected,171,NA,2,1
Reg. of BP,RAB34,Undirected,172,NA,3,1
Reg. of BP,ACKR2,Undirected,173,NA,2,1
FLUMIST (D3),DDX20,Undirected,174,NA,2,1
Reg. of BP,ACKR3,Undirected,175,NA,3,1
CALHM6,"BNT (V3, D1)",Undirected,176,NA,2,
Interspecies interaction,CRK,Undirected,177,NA,2,1
FLUMIST (D3),DDX24,Undirected,178,NA,2,1
TBX21,"ChAd-BNT (V3, D1)",Undirected,179,NA,2,
CPNE2,BNT-I (D1),Undirected,180,NA,2,
NMUR1,"ChAd-BNT (V3, D1)",Undirected,181,NA,2,
TRAV13-2,Interspecies interaction,Undirected,182,NA,3,
FLUMIST (D3),DENND1B,Undirected,183,NA,2,1
"ChAd-BNT (V3, D1)",BATF2,Undirected,184,NA,2,1
STAMARIL (D10),GNG7,Undirected,185,NA,2,-1
"ChAd-BNT (V3, D1)",BATF3,Undirected,186,NA,2,1
MSL3P1,BNT-I (D1),Undirected,187,NA,2,
SKA3,"ChAd-BNT (V2, D7)",Undirected,188,NA,2,
PLAGL1,"ChAd-BNT (V3, D1)",Undirected,189,NA,2,
"ZF2001 (V3, D14)",FRMD4A,Undirected,190,NA,2,1
RAB34,BNT-I (D1),Undirected,191,NA,2,
GGNBP2,FLUMIST (D3),Undirected,192,NA,2,
"ZF2001 (V3, D07)",FAM135B,Undirected,193,NA,2,1
Reg. of BP,PPP2R3C,Undirected,194,NA,2,1
PRR7,Immune system,Undirected,195,NA,3,
TNFRSF14,Interspecies interaction,Undirected,196,NA,3,
PSMB9,"ChAd (V1, D3)",Undirected,197,NA,2,
"ChAd (V2, D3)",ADGRG2,Undirected,198,NA,2,1
MVA85A (D2),CASP1,Undirected,199,NA,2,1
Immune system,BTN1A1,Undirected,200,NA,3,1
PANDEMRIX (D7),CXCL10,Undirected,201,NA,2,-1
Reg. of BP,RAB29,Undirected,202,NA,2,1
SARM1,Cellular,Undirected,203,NA,2,
FYB2,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,204,NA,2,
IL4I1,"ChAd-BNT (V2, D3)",Undirected,205,NA,2,
FLUMIST (D3),DDX18,Undirected,206,NA,2,1
STAMARIL (D7),ERGIC1,Undirected,207,NA,2,-1
WNK1,Metabolism,Undirected,208,NA,3,
GADD45A,BNT-I (D3),Undirected,209,NA,2,
Interspecies interaction,CR2,Undirected,210,NA,3,1
IGSF6,HIV-1 GAG-POL NEF (D3),Undirected,211,NA,2,
Interspecies interaction,CR1,Undirected,212,NA,3,1
GPR32,Cellular,Undirected,213,NA,2,
JAG1,HPV-VLP (M2),Undirected,214,NA,2,
TICAM1,STAMARIL (D7),Undirected,215,NA,2,
TACC1,FLUMIST (D3),Undirected,216,NA,2,
Reg. of BP,RNF185,Undirected,217,NA,3,1
NOD2,Immune system,Undirected,218,NA,3,
MPL,B CELLS,Undirected,219,NA,2,
YF VAX (ANY),RPS10,Undirected,220,NA,2,-1
FLUARIX FLUVIRIN (D3),ACER3,Undirected,221,NA,2,1
YF VAX (ANY),RPS13,Undirected,222,NA,2,-1
MONOV INFLUENZA A (D1),FANCA,Undirected,223,NA,2,1
BCL2L11,ADAPTIVE IMMUNE SYSTEM,Undirected,224,NA,2,
TTC4,INNATE IMMUNE SYSTEM,Undirected,225,NA,2,
Interspecies interaction,GPER1,Undirected,226,NA,2,1
"ZF2001 (V3, D07)",IRS2,Undirected,227,NA,2,-1
STAMARIL (D3),KIAA0319L,Undirected,228,NA,2,1
PIM3,FLUARIX FLUVIRIN (D3),Undirected,229,NA,2,
DHRS9,"BNT (V2, D1)",Undirected,230,NA,2,
STAMARIL (D7),PINK1,Undirected,231,NA,2,-1
REL,Cellular,Undirected,232,NA,3,
"BBIBP (V3, D14)",ADRA2B,Undirected,233,NA,2,1
TTLL1,OTHER,Undirected,234,NA,2,
NR1H2,BNT-I (D1),Undirected,235,NA,2,
Interspecies interaction,EPRS1,Undirected,236,NA,3,1
TNF,MVA85A (D2),Undirected,237,NA,2,
Interspecies interaction,CFP,Undirected,238,NA,3,1
Immune system,ADGRG3,Undirected,239,NA,3,1
LCP1,Cellular,Undirected,240,NA,2,
YF VAX (ANY),RPS21,Undirected,241,NA,2,-1
SNORA7B,"ChAd (V2, D1)",Undirected,242,NA,2,
SAR1A,FLUMIST (D3),Undirected,243,NA,2,
PLAUR,BNT-I (D3),Undirected,244,NA,2,
Cellular,COLEC10,Undirected,245,NA,2,1
HPV-VLP (M2),BHLHE40,Undirected,246,NA,2,1
"ZF2001 (V3, D07)",ANTXR1,Undirected,247,NA,2,1
Cellular,COLEC12,Undirected,248,NA,3,1
S100A9,Cellular,Undirected,249,NA,3,
PTN,Cellular,Undirected,250,NA,2,
DELEC1,"BNT-MO (V3, D1)",Undirected,251,NA,2,
Immune system,AZI2,Undirected,252,NA,2,1
IFITM5,"ChAd-BNT (V2, D3)",Undirected,253,NA,2,
HPV-VLP (M2),APOC2,Undirected,254,NA,2,-1
SEMA3B,BNT-I (D3),Undirected,255,NA,2,
PDLIM4,"ChAd (V2, D3)",Undirected,256,NA,2,
SRMS,Metabolism,Undirected,257,NA,2,
HPV-VLP (M2),APOC1,Undirected,258,NA,2,-1
KMT2E,Immune system,Undirected,259,NA,2,
INNATE IMMUNE SYSTEM,CX3CL1,Undirected,260,NA,2,1
Immune system,ADGRF5,Undirected,261,NA,2,1
LAMP3,"BNT (V2, D1)",Undirected,262,NA,2,
MONOV INFLUENZA A (D1),BMERB1,Undirected,263,NA,2,-1
MSH3,Cellular,Undirected,264,NA,3,
UBAP2L,FLUARIX FLUVIRIN (D3),Undirected,265,NA,2,
LFNG,Immune system,Undirected,266,NA,3,
Interspecies interaction,CFD,Undirected,267,NA,3,1
EMP2,Cellular,Undirected,268,NA,2,
Interspecies interaction,CFB,Undirected,269,NA,3,1
GSTO2,BNT-I (D1),Undirected,270,NA,2,
Immune system,CDC42,Undirected,271,NA,3,1
"ZF2001 (V3, D07)",KCNMB1,Undirected,272,NA,2,1
"ChAd-BNT (V2, D7)",BATF2,Undirected,273,NA,2,-1
Interspecies interaction,CFI,Undirected,274,NA,2,1
Interspecies interaction,CFH,Undirected,275,NA,3,1
STAMARIL (D7),NAGK,Undirected,276,NA,2,1
PAFAH1B1,Immune system,Undirected,277,NA,2,
PANDEMRIX (D30),CCL5,Undirected,278,NA,2,1
Interspecies interaction,APOBEC3C,Undirected,279,NA,2,1
Immune system,ADGRE5,Undirected,280,NA,3,1
TNFSF15,Cellular,Undirected,281,NA,2,
Interspecies interaction,APOBEC3D,Undirected,282,NA,3,1
Interspecies interaction,APOBEC3A,Undirected,283,NA,3,1
Interspecies interaction,APOBEC3B,Undirected,284,NA,3,1
LGALS1,Immune system,Undirected,285,NA,3,
Interspecies interaction,APOBEC3G,Undirected,286,NA,3,1
Immune system,ADGRE1,Undirected,287,NA,2,1
MACROPHAGES,CKLF,Undirected,288,NA,2,1
Immune system,ADGRE2,Undirected,289,NA,3,1
TASOR,FLUARIX FLUVIRIN (D3),Undirected,290,NA,2,
STAMARIL (D7),NAGA,Undirected,291,NA,2,1
Interspecies interaction,APOBEC3F,Undirected,292,NA,3,1
PLAUR,BNT-I (D1),Undirected,293,NA,2,
Metabolism,CDC42,Undirected,294,NA,3,1
HPV-VLP (M2),CACNA1A,Undirected,295,NA,2,1
GSTO2,BNT-I (D3),Undirected,296,NA,2,
TRIM55,Immune system,Undirected,297,NA,2,
HPV-VLP (M2),FKBPL,Undirected,298,NA,2,1
SENP3,FLUARIX FLUVIRIN (D3),Undirected,299,NA,2,
FLUMIST (D3),DDX60,Undirected,300,NA,2,1
POLL,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,301,NA,2,
WETVAX (D5-7),CASP7,Undirected,302,NA,2,1
WETVAX (D5-7),CASP5,Undirected,303,NA,2,1
WETVAX (D5-7),CASP4,Undirected,304,NA,2,1
ITGB2,INNATE IMMUNE SYSTEM,Undirected,305,NA,2,
MONOV INFLUENZA A (D1),FANCL,Undirected,306,NA,2,1
"ZF2001 (V3, D07)",DCLK1,Undirected,307,NA,2,1
WETVAX (D5-7),CASP1,Undirected,308,NA,2,1
PSME2,"ChAd (V1, D3)",Undirected,309,NA,2,
Reg. of BP,RNF19B,Undirected,310,NA,3,1
ITGA6,HPV-VLP (M2),Undirected,311,NA,2,
"ChAd (V1, D3)",ATF5,Undirected,312,NA,2,1
SEMA3B,BNT-I (D1),Undirected,313,NA,2,
ARPP,AP3B1,Undirected,314,NA,2,1
NFATC2,Immune system,Undirected,315,NA,3,
TRAV26-2,Interspecies interaction,Undirected,316,NA,2,
STAMARIL (D10),RPL22,Undirected,317,NA,2,-1
FLUMIST (D3),AGTRAP,Undirected,318,NA,2,1
"ZF2001 (V3, D07)",SOX18,Undirected,319,NA,2,1
CD81,ADAPTIVE IMMUNE SYSTEM,Undirected,320,NA,2,
STAMARIL (D3),LAP3,Undirected,321,NA,2,1
ZNF696,BNT-I (D1),Undirected,322,NA,2,
SLC34A3,"ChAd (V1, D3)",Undirected,323,NA,2,
THBS1,OTHER,Undirected,324,NA,2,
PSTPIP2,"BNT-MO (V3, D1)",Undirected,325,NA,2,
TICAM1,STAMARIL (D3),Undirected,326,NA,2,
TYR,Cellular,Undirected,327,NA,2,
NUP43,BNT-I (D1),Undirected,328,NA,2,
"ZF2001 (V3, D07)",SOX11,Undirected,329,NA,2,1
OPTN,Interspecies interaction,Undirected,330,NA,2,
OAS3,"ChAd (V1, D3)",Undirected,331,NA,2,
OTHER,ADGRE5,Undirected,332,NA,2,1
"ZF2001 (V3, D07)",IRX2,Undirected,333,NA,2,1
MONOV INFLUENZA A (D1),ICAM1,Undirected,334,NA,2,1
MONOV INFLUENZA A (D1),IKZF4,Undirected,335,NA,2,1
TNFAIP2,"BNT-MO (V3, D1)",Undirected,336,NA,2,
"ZF2001 (V3, D07)",IRX4,Undirected,337,NA,2,1
HUMORAL ADAPTIVE IMMUNE SYSTEM,DLL1,Undirected,338,NA,2,1
"ZF2001 (V3, D14)",ZBED2,Undirected,339,NA,2,1
PLD3,Cellular,Undirected,340,NA,2,
Reg. of BP,MIF,Undirected,341,NA,2,1
Reg. of BP,CFHR5,Undirected,342,NA,2,1
TUBB,Cellular,Undirected,343,NA,2,
ELOVL3,"ChAd-BNT (V2, D3)",Undirected,344,NA,2,
HPV-VLP (M2),CEBPD,Undirected,345,NA,2,-1
GZMM,Cellular,Undirected,346,NA,3,
PBX1,"ChAd-BNT (V2, D7)",Undirected,347,NA,2,
INNATE IMMUNE SYSTEM,CX3CR1,Undirected,348,NA,2,1
CFAP58,BNT-I (D3),Undirected,349,NA,2,
FCHO1,Cellular,Undirected,350,NA,3,
TRIM22,"BNT-MO (V3, D1)",Undirected,351,NA,2,
PRDX2,INFLAMMATION,Undirected,352,NA,2,
NEUTROPHIL,DNASE1L3,Undirected,353,NA,2,1
PELI1,Cellular,Undirected,354,NA,3,
SNORA79B,"ChAd (V2, D1)",Undirected,355,NA,2,
GPR174,ADAPTIVE IMMUNE SYSTEM,Undirected,356,NA,2,
AKT1,ADAPTIVE IMMUNE SYSTEM,Undirected,357,NA,2,
OTOF,"BNT (V2, D1)",Undirected,358,NA,2,
UNG,Immune system,Undirected,359,NA,3,
OAS1,MONOV INFLUENZA A (D3),Undirected,360,NA,2,
PRKCE,ADAPTIVE IMMUNE SYSTEM,Undirected,361,NA,2,
DAAM2,BNT-I (D1),Undirected,362,NA,2,
Immune system,EDN3,Undirected,363,NA,2,1
Reg. of BP,IGHG4,Undirected,364,NA,2,1
Reg. of BP,IGHG3,Undirected,365,NA,3,1
RNF213,Metabolism,Undirected,366,NA,3,
Reg. of BP,IGHG2,Undirected,367,NA,2,1
HNRNPA3,FLUARIX FLUVIRIN (D3),Undirected,368,NA,2,
Reg. of BP,IGHG1,Undirected,369,NA,3,1
Immune system,EDN1,Undirected,370,NA,2,1
NEDD4,Interspecies interaction,Undirected,371,NA,2,
Reg. of BP,RNF135,Undirected,372,NA,3,1
"ZF2001 (V3, D14)",KLF6,Undirected,373,NA,2,-1
"ZF2001 (V3, D14)",KLF5,Undirected,374,NA,2,-1
"ZF2001 (V3, D14)",KLF4,Undirected,375,NA,2,-1
CRYBA1,BNT-I (D3),Undirected,376,NA,2,
TYR,Immune system,Undirected,377,NA,2,
Reg. of BP,LAT2,Undirected,378,NA,3,1
WNT5A,Interspecies interaction,Undirected,379,NA,2,
SDC3,"ChAd-BNT (V2, D3)",Undirected,380,NA,2,
LVS F TULARENSIS (H48),HLA-DRB1,Undirected,381,NA,2,1
HBA2,"ChAd-BNT (V2, D7)",Undirected,382,NA,2,
LVS F TULARENSIS (H18),CD80,Undirected,383,NA,2,1
PPP4C,BNT-I (D4),Undirected,384,NA,2,
LVS F TULARENSIS (H18),CD81,Undirected,385,NA,2,1
NDUFA8,FLUARIX FLUVIRIN (D3),Undirected,386,NA,2,
STAT6,ADAPTIVE IMMUNE SYSTEM,Undirected,387,NA,2,
PHB2,Interspecies interaction,Undirected,388,NA,2,
LVS F TULARENSIS (H18),CD83,Undirected,389,NA,2,-1
DZIP1L,"ChAd (V2, D1)",Undirected,390,NA,2,
LVS F TULARENSIS (H18),CD86,Undirected,391,NA,2,1
IGHE,Cellular,Undirected,392,NA,2,
HCK,FLUARIX FLUVIRIN (D3),Undirected,393,NA,2,
SYK,INNATE IMMUNE SYSTEM,Undirected,394,NA,2,
SAMD7,"ChAd (V1, D7)",Undirected,395,NA,2,
PDE4B,MONOV INFLUENZA A (D1),Undirected,396,NA,2,
WETVAX (D5-7),LY6E,Undirected,397,NA,2,1
KLRC4-KLRK1,INNATE IMMUNE SYSTEM,Undirected,398,NA,2,
"ChAd-BNT (V2, D3)",ALPL,Undirected,399,NA,2,-1
RPS4Y1,BNT-I (D4),Undirected,400,NA,2,
MAP4,FLUMIST (D3),Undirected,401,NA,2,
PDIA6,FLUMIST (D3),Undirected,402,NA,2,
Interspecies interaction,AIM2,Undirected,403,NA,2,1
HUMORAL ADAPTIVE IMMUNE SYSTEM,ERBB2,Undirected,404,NA,2,1
TP53I3,BNT-I (D1),Undirected,405,NA,2,
OAS1,INNATE IMMUNE SYSTEM,Undirected,406,NA,2,
Interspecies interaction,IFNA21,Undirected,407,NA,3,1
Metabolism,IL18RAP,Undirected,408,NA,3,1
"ZF2001 (V3, D07)",FHOD3,Undirected,409,NA,2,1
Metabolism,IRF2BP2,Undirected,410,NA,3,1
OAS1,MONOV INFLUENZA A (D1),Undirected,411,NA,2,
LVS F TULARENSIS (H18),CD74,Undirected,412,NA,2,1
POLR3E,INNATE IMMUNE SYSTEM,Undirected,413,NA,2,
NUDT8,"BNT-MO (V3, D1)",Undirected,414,NA,2,
"ZF2001 (V3, D07)",IRX6,Undirected,415,NA,2,1
MGST2,FLUARIX FLUVIRIN (D3),Undirected,416,NA,2,
NDEL1,FLUARIX FLUVIRIN (D3),Undirected,417,NA,2,
CPD,BNT-I (D3),Undirected,418,NA,2,
"ZF2001 (V3, D07)",NOTUM,Undirected,419,NA,2,1
Interspecies interaction,IFNA17,Undirected,420,NA,3,1
FLUMIST (D3),EP300,Undirected,421,NA,2,1
LEF1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,422,NA,2,
YF VAX (ANY),RPS3A,Undirected,423,NA,2,-1
FLUMIST (D3),CARD16,Undirected,424,NA,2,1
BNT-I (D3),ADAM23,Undirected,425,NA,2,-1
TLR4,Metabolism,Undirected,426,NA,3,
PODXL2,Immune system,Undirected,427,NA,2,
LYL1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,428,NA,2,
STK17A,FLUMIST (D3),Undirected,429,NA,2,
"ZF2001 (V3, D14)",PCDHGC4,Undirected,430,NA,2,1
RFPL3,Immune system,Undirected,431,NA,2,
RBX1,HPV-VLP (M2),Undirected,432,NA,2,
CYP7B1,ADAPTIVE IMMUNE SYSTEM,Undirected,433,NA,2,
RUNDC3A,HPV-VLP (M2),Undirected,434,NA,2,
SYAP1,BNT-I (D4),Undirected,435,NA,2,
MAVS,Interspecies interaction,Undirected,436,NA,2,
SULT1A2,BNT-I (D1),Undirected,437,NA,2,
Interspecies interaction,IFNA10,Undirected,438,NA,3,1
Interspecies interaction,AIF1,Undirected,439,NA,3,1
Interspecies interaction,IFNA16,Undirected,440,NA,3,1
Interspecies interaction,IFNA14,Undirected,441,NA,3,1
SPI1,B CELLS,Undirected,442,NA,2,
SCARF1,MONOV INFLUENZA A (D1),Undirected,443,NA,2,
"ZF2001 (V3, D07)",TSKU,Undirected,444,NA,2,1
SH2D1B,ADAPTIVE IMMUNE SYSTEM,Undirected,445,NA,2,
TREML2,Immune system,Undirected,446,NA,2,
LCP2,Cellular,Undirected,447,NA,2,
STAT5B,MVA85A (D2),Undirected,448,NA,2,
PDZD8,BNT-I (D1),Undirected,449,NA,2,
PF4,NEUTROPHIL,Undirected,450,NA,2,
PRKD1,Interspecies interaction,Undirected,451,NA,2,
"ZF2001 (V3, D07)",EDIL3,Undirected,452,NA,2,1
