"source","target","value","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","annotation","id"
"BNT (V2, D1)","CXCL9",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GBP2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","APOL1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFITM3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CYBB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TAP1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TAP2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IDO1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CFB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IDO2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","NUB1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFI16",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFI27",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFI35",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","SERPING1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFI6",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFIH1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFIT2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IFIT5",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","DHX58",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TRIM21",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CD276",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CCL2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","EIF2AK2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TRIM5",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TRIM6",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","RIGI",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","RIPK2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CCL8",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","FCGR1A",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","PARP9",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","C2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GBP6",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","PDCD1LG2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CD274",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","ISG15",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","FCGR1BP",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","C1QA",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","C1QB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","C1QC",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","OASL",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GBP7",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GCH1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","PML",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","CCL25",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","RSAD2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","LIF",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GBP1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","OAS1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","SAMD9",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TRIM22",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","LAMP3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","P2RX7",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GBP5",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TNFSF10",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TNFSF13B",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","OAS3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TLR7",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","PARP14",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","DTX3L",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","TIFA",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","NMI",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","IRF7",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","RNF213",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GEM",-1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","GBP4",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V2, D1)","HERC5",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,2,0,"ConditionCOVID","BNT (V2, D1)"
"BNT (V3, D1)","GBP1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFITM3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CCL2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TNFSF10",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CFB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFITM1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","RSAD2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","HP",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","PML",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","FOSL1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CXCL9",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","PARP14",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","GBP2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","FAS",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","DEFA3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CTSL",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CXCL11",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","MX1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","OAS3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","DDX60",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","APOBEC3B",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFIT1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","DEFA1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CCL8",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFI27",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","MAFB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TLR7",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","ENPP1",-1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TRIM5",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFIT2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CRISP3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","C2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFI6",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFI35",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TAP2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TRIM6",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","RIGI",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","DHX58",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CCL3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","PRTN3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TIFA",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","LAMP3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","GCH1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CCL3L1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CCL3L3",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","FCGR1A",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","PIK3AP1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","APOL1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IDO2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","OAS1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","LCN2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CPLX2",-1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","BATF2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IDO1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IL31RA",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","GBP5",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","CLEC6A",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","RAB20",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","BMX",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","GBP7",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","OASL",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","OLR1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","IFI30",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","EIF2AK2",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","SERPING1",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","C1QB",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","TRIM22",1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
"BNT (V3, D1)","XCR1",-1,"BNT","COVID","VIRUS","SARS","V","RNA","HO",1,1,1,1,3,0,"ConditionCOVID","BNT (V3, D1)"
