"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"Chemotaxis Monocyte","-1.312303",NA," 1.630964",NA,NA,NA," 1.647808",NA,NA,NA,NA,NA,NA," 1.569818"," 1.787522",NA,NA,NA," 1.651931"," 1.930912"," 1.779690","-1.644043",NA,"-1.590435"
"Chemotaxis Neutrophil","-1.312303",NA," 1.714063"," 1.788008"," 1.685743",NA,NA,NA," 1.737217",NA," 1.890942","-1.942349",NA,NA,NA,"-2.376528",NA,NA," 1.490372"," 1.940490"," 1.732200","-2.424908","-1.619093","-2.023723"
"Chemotaxis T cell","-1.312303",NA,NA,NA,NA,NA,NA,NA,NA," 1.323756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.587873",NA,"-1.271605"
"Complement Alternative pathway",NA,NA,NA,NA,NA,NA,NA,NA,"-1.318629","-1.318341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Complement Classical pathway",NA,NA,NA,NA,NA,NA,NA,NA,"-1.318629","-1.318341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Complement Pathway",NA,NA,NA,NA,NA,NA,NA,NA,"-1.318629","-1.318341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.283136"
"Complement immune system",NA,NA,NA,NA,NA,NA,NA,NA,"-1.318629","-1.318341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.283136"
"Cytotoxicity NK cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.700189",NA,NA,"-1.725559",NA,NA
"Degranulation Eosinophil","-1.312303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.304332",NA,NA,NA,"-1.325936",NA,"-1.290915",NA,NA,"-1.428655",NA,"-1.271605"
"Degranulation Mast cell",NA,NA,NA,NA,NA,"-1.729818","-1.759627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendritic cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.327760",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.113221",NA,NA
"Development Lymph node",NA,NA,NA,NA,NA,NA,NA,"-1.723484","-1.295725","-1.517717",NA,NA,NA,NA,NA,NA,NA,NA,"-1.842617",NA,"-1.567177",NA,NA,NA
"Development Spleen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.620171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Differentiation B cell",NA,NA,NA,NA,NA,NA,NA,NA,"-1.505755","-1.571217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.472048",NA,NA
"Differentiation B cell Immature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.464909",NA,NA
"Differentiation B cell Marginal zone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.303783",NA,NA
"Differentiation CD4+ T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.306745",NA,NA
"Differentiation CD8+ abT cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.378934",NA,NA
"Differentiation Immune response B cell Mature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.283049",NA,NA
"Differentiation Langerhans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.317541",NA,NA,NA,NA,NA,NA
"Differentiation Lymphocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.464909",NA,NA
"Differentiation Myeloid Dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.720080",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.464909",NA,NA
"Differentiation Plasma cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.291935",NA,NA
"Differentiation T cell",NA,NA,NA,NA,NA,NA,"-1.628015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.666918",NA,NA,"-2.171461",NA,NA
"Differentiation T cell Thymus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.780227",NA,NA
"Differentiation Th cell Follicular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.283049",NA,NA
"Differentiation Th17 cell",NA,NA,NA,NA,NA,"-1.454351","-1.521056",NA,"-1.295725",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Differentiation Th2 cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.68882",NA,NA
"Differentiation pro-T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.455245",NA,NA
"Eosinophil","-1.312303",NA," 1.755874"," 1.699834",NA,NA,NA,NA,NA,NA," 1.737868",NA,"-1.766819"," 1.648354"," 1.714803",NA,NA,"-1.725618",NA,NA,NA,NA,NA,"-1.271605"
"Establishment of T cell polarity",NA,NA,NA,NA,NA,NA,"-1.465860",NA,"-1.317538",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.488238",NA,NA,NA,NA,NA
"Extravasation Neutrophil",NA,NA,NA,NA,NA,NA,"1.690526","1.327223",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.328342","1.577172",NA,"1.304539","1.265099",NA,NA
"Extravasation Th cell",NA,NA," 1.334494",NA,NA,NA,NA,"-1.314414",NA,NA,NA," 1.314459",NA,NA," 1.362390",NA,NA,"-1.330189",NA,NA,NA,NA,NA,NA
"Fc-gR signaling phagocytosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.600884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Formation Germinal center",NA,NA,NA,NA,NA,NA,NA," 1.516937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.679152",NA,NA
"Formation Granuloma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.269586",NA,NA
"Formation Immunological synapse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.685876",NA,NA,NA,NA
"Homeostasis B-1 B cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.313924","-1.415322",NA,NA
"Homeostasis Dendritic cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.283049",NA,NA
"Homeostasis Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.325157",NA,NA,NA,NA,NA,NA
"Homeostasis Macrophage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.277126","-1.295246",NA
"Homeostasis Monocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.277126","-1.295246",NA
"Homeostasis Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.522037","-1.295246",NA
"Humoral immune response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.779754",NA,NA
"Hypersensitivity Type I",NA,NA,NA,NA,NA,NA,"-1.336528",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.325936","-1.328608","-1.290915",NA,"-1.342917",NA,NA,NA
"Ig Humoral immune response",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.303783",NA,NA
"Immune response","-1.312303",NA," 1.873142"," 1.689866",NA,NA,NA,NA,"-1.564944",NA," 1.877128",NA,NA," 1.756270",NA,"-2.335460",NA,NA,NA,"-1.556767"," 1.697863",NA,"-2.096402","-2.023723"
"Immune response Th1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.562547",NA,NA
"Immune response Th2",NA,NA,NA,NA,NA,NA,NA,"1.516937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Immune system Process",NA," 1.2846154"," 2.7127746"," 2.2741610",NA," 1.7482620"," 1.7424279"," 1.6615858",NA," 1.4945921"," 2.4347412"," 3.1289942",NA," 2.3747155"," 2.1112488",NA,NA,NA,NA,NA," 1.5546608","-0.9151304",NA,"-1.5807619"
"Immunity Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.317936","-1.292808","-1.302712",NA,NA,NA,NA
"Induction of Bacterial agglutination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.326651",NA,NA,NA,NA,NA
"Inflammation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.625398",NA,NA
"Inflammatory response Antigenic stimulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.625398",NA,NA
"Innate immune response",NA," 1.284615"," 2.663235"," 2.278736",NA," 2.411561"," 2.251250"," 2.398190",NA," 1.952911"," 2.402228"," 2.984868",NA," 2.406865"," 2.184775",NA," 1.798847"," 1.589770"," 1.920527",NA," 2.032529",NA,"-1.672281","-1.580762"
"Innate immune response mucosa",NA,NA,NA,NA,NA," 2.030422"," 2.047681"," 1.695712",NA," 1.639824",NA," 1.557124",NA,NA,NA,NA,NA," 1.543340"," 1.911656"," 1.885688"," 1.471736","-1.470907",NA,NA
"Isotype switching IgE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.291935",NA,NA
"Killing of bacterium Neutrophil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.320987",NA,NA,"1.501108",NA,NA,NA,NA,NA,"1.321885",NA,NA,NA,NA,NA
"Killing of fungus Neutrophil",NA,NA,NA,NA,NA,NA,"1.323015",NA,NA,NA,NA,NA,"1.311423",NA,NA,NA,NA,NA,"1.325698",NA,NA,NA,NA,NA
"Lineage commitment Th cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.28271",NA,NA,NA,NA,NA
"MHCII Peptide complex",NA,NA,"1.618334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Migration Inflammatory response Leukocyte",NA,NA,NA,NA,NA,"1.608967",NA,NA,NA,NA,NA,NA,"1.311423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Migration Leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.804834",NA,NA,NA,"-1.304321",NA,NA
"Migration Lymphonode Lymphocyte",NA,NA,NA,NA,NA,NA,NA,NA,"-1.317538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.271471",NA,NA
"Migration Myeloid leukocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.295246",NA
"Migration Neutrophil",NA,NA,NA,NA,NA,NA,NA,"1.327223",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.328342","1.446476","1.312949","1.304539",NA,NA,NA
"Migration T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.835040",NA,NA,"-1.512437",NA,"-1.304350"
"Migration Thymocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.325755",NA,NA," 1.329566","-1.314284",NA,"-1.304350"
"Monocytes","-1.312303",NA," 1.656327",NA,NA,NA," 1.872918",NA,NA," 1.320987",NA,NA,NA," 1.569818"," 1.780605",NA,NA,NA," 1.852243"," 1.930912"," 1.929959","-1.825923","-1.295246","-1.785623"
"NK cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.759994",NA,NA,"-1.915743",NA,NA
"Neutrophil","-1.312303",NA," 1.724126"," 1.847286",NA," 2.017953"," 2.163171",NA," 1.737217"," 1.630611"," 1.927562","-1.782570",NA,NA,NA,"-2.256535",NA," 1.785460"," 2.461964"," 2.093497"," 2.336351",NA,"-1.688108","-2.104936"
"Opsonization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.312881",NA,"-1.305624",NA
"PRR NOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.309168",NA,NA
"PRR NOD1",NA,NA,NA,NA,NA,NA,NA," 1.322036"," 1.305614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.298801"," 1.311838","-1.308630","-1.311852","-1.266148"
"PRR NOD2",NA,NA,NA,NA,NA,NA,NA," 1.322036"," 1.305614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.298801",NA,"-1.351739","-1.311852","-1.266148"
"PRR TLR MyD88 indep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.290858",NA,NA
"PRR TLR Pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.701195",NA,NA
"PRR TLR TRIF dep Pathway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.290858",NA,NA
"PRR TLR4 Pathway",NA,NA,NA,NA,NA,NA," 1.503718"," 1.322036"," 1.305614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.311852","-1.266148"
"Proliferation B cell",NA,NA,NA,NA,NA,"-1.780309",NA,NA,"-1.463893","-1.794028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Proliferation Lymphocyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.432003",NA,NA
"Proliferation T cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 1.617846",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.396995",NA,NA
"Proliferation T cell Activated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.46701",NA,NA
"Regulation+ glyProtein Immunological synapse",NA,NA,NA,NA,NA,NA,NA,NA,"-1.317538",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.294701",NA,NA,NA,NA,NA
"Response to Interferon I",NA,NA,NA,NA,NA,NA,"1.576154",NA,"1.324909",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.319979",NA,"1.423271",NA,NA,NA
