"","Cond1","Cond2","Shared","Percentage_Shared_Cond1","Genes_Names","pvalue","-log(p)"
"13","MONOV INFLUENZA A_UP","CHAD63-KH_UP",296,78.51,"ACSL1, ADAMTSL4, ADAP2, ADM, ADPRH, AIF1, AIM2, AK4, ALDH1A1, ANKRD22, ANO5, APOBEC3A, APOBEC3B, APOL1, APOL2, APOL3, APOL4, APOL6, BMAL2, ASGR2, ATF3, ATF5, ATP6V1B2, BACH1, BATF2, BATF3, BCL3, BLVRA, SMCO4, SCIMP, C1QA, C1QB, C2, C3AR1, FAM241A, CARD16, CARD17P, CASP1, CASP5, CASP7, CCDC149, CCR1, CCR2, CCRL2, CD14, CD274, CD300E, CD36, CD38, CDC42EP2, CDHR5, CDKN1A, CES1, CLEC4D, CLEC4E, CLEC5A, CLEC6A, CMPK2, CTSB, CTSL, CTSS, CXCL10, CXCL16, CXCR2P1, DDO, DDX60, DHRS9, DMXL2, DOCK4, DPYD, DRAM1, DTX3L, DUSP1, DUSP3, DUSP6, DYSF, EMILIN2, EPB41L3, EPSTI1, ETV7, EXOC3L1, EXT1, GASK1B, FAM20A, FAM20C, CALHM6, FAM72A, FBXO6, FCER1G, FCGR1A, FCGR1BP, FCGR2A, FCGR2C, FCN1, FFAR2, FGL2, FPR2, FRMD3, FZD5, GBP1, GBP1P1, GBP2, GBP3, GBP4, GBP5, GCA, GCH1, GLUL, GM2A, GNB4, GPBAR1, HCAR2, GPR84, HBEGF, HCK, HERC5, H2BC18, HLX, HORMAD1, HSPA6, HSPA7, ICAM1, IDO1, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IFNGR2, IGF2BP3, IGSF6, IL15, IL15RA, IL1B, IL1RN, IL27, IL31RA, IL4I1, IRF1, IRF7, ISG15, ITPRIPL2, JAK2, KCNJ15, KCNJ2, KCTD12, SHTN1, KLF4, KREMEN1, KYNU, LACTB, LAMP3, LAP3, LHFPL2, LILRA1, LILRA5, LILRA6, LILRB1, LILRB2, LILRB3, LILRB4, LILRB5, LMNB1, LMO2, LPCAT2, LRRK2, LTBR, LYN, LYZ, MAFB, MARCKS, MARCO, MCTP1, MEFV, SLC49A3, MNDA, MPEG1, MPZL2, MS4A4A, MSR1, MT2A, MTHFD2, MUC1, MX1, MYOF, NAMPT, NCF1, NCF1B, NCF1C, NEXN, NFAM1, NGFR, NHSL1, NLRC4, NLRP3, NMI, NOD2, NPC2, OAS1, OAS2, OAS3, OASL, ODF3B, P2RX7, P2RY12, P2RY13, PARP14, PARP9, PLA2G4A, PLA2G7, PLEKHO1, PLSCR1, PLXDC2, PRLR, PRRG4, PSMA4, PSMB9, PSME2, PSTPIP2, RAB20, RAB31, RAB39A, RASGEF1B, RBM47, RGS1, RHOQP3, RNF217, RSAD2, RTP4, RUFY4, SAMD4A, SAMD9L, SBNO2, SCARB2, SCARF1, SCO2, SDC3, SDSL, SECTM1, MSRB1, SERPINA1, SERPING1, SIGLEC1, SIGLEC11, SIGLEC16, SLAMF8, SLC1A3, SLC22A16, SLC31A1, SLC31A2, SLC6A12, SLC8A1, SMAD1, SMTNL1, SNX10, SOD2, SORT1, SQOR, SRC, SRGN, STAT1, STAT2, STK32B, STX11, TAP1, TCN2, TFEC, TGM2, TLR1, TLR2, TLR4, TMEM106A, TMEM150B, TMEM51, TNFAIP2, TNFAIP6, TNFSF10, TNFSF13B, TRAFD1, TRPV4, TYMP, UBE2D1, UBE2L6, VAMP5, VDR, VRK2, WARS1, WDFY3, XAF1, ZEB2-AS1, ZNF702P",4.77403544011971e-64,63.3211143613261
"14","MONOV INFLUENZA A_UP","INACTIVATED INFLUENZA_UP",8,2.12,"ASAP2, CD38, CES1, GASK1B, FRMD3, GBP5, GM2A, PSMA4",0,0
"15","MONOV INFLUENZA A_UP","RVSV ZEBOV_UP",6,1.59,"CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2",2.42991428598852e-07,6.6144090456522
"16","MONOV INFLUENZA A_UP","LVS F TULARENSIS_UP",13,3.45,"CCR1, CCR2, FCER1G, FCGR1A, FCGR2A, ICAM1, LILRB4, NOD2, SOD2, TAP1, TLR1, TLR2, TLR4",4.15427292620174e-59,58.3815049747124
"17","MONOV INFLUENZA A_UP","CN54GP140_UP",2,0.53,"CCR2, MYOF",1.72465108594199e-132,131.763298753795
"18","MONOV INFLUENZA A_UP","HIV-1 GAG-POL NEF_UP",266,70.56,"ACP3, ACSL1, ADAM9, ADAMTSL4, ADAP2, ADM, ADPRH, AIM2, ANKRD22, APOL1, APOL2, APOL3, APOL4, APOL6, AQP9, ASGR2, ATF3, ATF5, ATP6V1B2, BACH1, BATF2, BATF3, BCL2A1, BCL6, BEST1, BLVRA, BST1, SMCO4, SCIMP, MCEMP1, C1QB, C2, C3AR1, CARD16, CASP1, CASP5, CASP7, CCR1, CCR2, CCRL2, CD14, CD274, CD300E, CD36, CD38, CDC42EP2, CDKN1A, CES1, CHST15, CLEC4D, CLEC5A, CLEC6A, CMPK2, CREB5, CTSB, CTSL, CXCL10, CXCL16, DDX60, DHRS9, DMXL2, DRAM1, DSE, DTX3L, DUSP3, DUSP6, DYSF, EMILIN2, EPB41L3, EPSTI1, ETV7, EXT1, FAM151B, GASK1B, CALHM6, FBXO6, FCAR, FCER1G, FCGR2A, FCN1, FFAR2, FGD4, FGL2, FPR1, FPR2, FRMD3, GBP1, GBP2, GBP3, GBP4, GBP5, GCA, GCH1, GLT1D1, GLUL, GM2A, GNB4, GPBAR1, HCAR2, GPR84, GRINA, HCK, HERC5, HLX, HP, HSPA6, ICAM1, IDO1, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IFNGR2, IGF2BP3, IGSF6, IL15, IL15RA, IL1RN, IL27, IL4I1, IRF1, IRF7, ISG15, ITPRIPL2, JAK2, KCNJ15, KCNJ2, KCTD12, SHTN1, KLF4, KYNU, LACTB, LAMP3, LAP3, LHFPL2, LILRA1, LILRA3, LILRA5, LILRA6, LILRB1, LILRB2, LILRB3, LILRB4, LMNB1, LMO2, LPCAT2, LRRC4, LRRK2, LTBR, LYN, MAFB, MARCKS, MARCO, MCTP1, MEFV, SLC49A3, MIR22HG, MNDA, MPZL2, MS4A4A, MSR1, MT2A, MTHFD2, MX1, MYOF, NAMPT, NEXN, NFAM1, NLRC4, NLRP3, NMI, NOD2, NPC2, OAS1, OAS2, OAS3, OASL, ODF3B, P2RX7, P2RY12, P2RY13, PARP14, PARP9, PFKFB3, PLA2G7, PLEKHO1, PLSCR1, PLXDC2, PLXNC1, PRRG4, PSMA4, PSMB9, PSME2, PSTPIP2, NECTIN2, RAB20, RAB31, RAB39A, RASGEF1B, RBM47, RNF217, RSAD2, RTP4, RUFY4, S100A9, SAMD4A, SAMD9L, SBNO2, SCARB2, SCO2, SDC3, SDSL, SECTM1, MSRB1, SERPINA1, SERPING1, SIGLEC1, SLAMF8, SLC24A4, SLC31A1, SLC31A2, SLC6A12, SLC8A1, SMAD1, SNX10, SOCS3, SORT1, SQOR, SRC, STAT1, STAT2, STX11, TAP1, TCN2, TFEC, TGM2, TLR1, TLR2, TLR4, TMEM106A, TMEM150B, TMEM176A, TMEM176B, TNFAIP2, TNFAIP6, TNFSF10, TNFSF13B, TRAFD1, TRIB1, TRPV4, TYMP, UBE2D1, UBE2L6, VAMP5, VDR, VRK2, WARS1, WDFY3, XAF1, XKR8",4.63732150576314e-59,58.3337327933993
"19","MONOV INFLUENZA A_UP","HPV-VLP_UP",96,25.46,"ACSL1, AIM2, APOBEC3B, APOL1, APOL3, APOL6, BMAL2, ATF5, BATF3, C1QA, C1QB, C2, CASP1, CASP5, CD38, CDKN1A, CXCL10, DSE, DUSP6, EGR2, ETV7, FCGR1A, FFAR2, FGL2, FPR2, GBP1, GCH1, GPRC5C, HBEGF, HERC5, HLX, ICAM1, IDO1, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT3, IFITM3, IGF2BP3, IL15, IL15RA, IL1B, IL1RN, IRF1, IRF7, ISG15, JAK2, KCNJ15, KCNJ2, LAMP3, LAP3, LMNB1, LMO2, MNDA, MT2A, MTHFD2, MUC1, MX1, MYOF, NAMPT, NMI, OAS1, OAS2, OAS3, OASL, P2RY13, PLSCR1, PRRG4, PSMB9, PSME2, NECTIN2, RGS1, RTP4, SCO2, SEPTIN4, SERPING1, SIGLEC1, SLC31A2, SLC6A12, SRC, TFEC, TLR1, TLR2, TMEM176A, TNFAIP6, TNFSF10, TRAFD1, TYMP, UBE2L6, VAMP5, VDR, VRK2, WARS1, XAF1",6.7282711628989e-132,131.172096513914
"20","MONOV INFLUENZA A_UP","FLUARIX FLUVIRIN_UP",49,13,"ACP3, ADAP2, AIF1, APOBEC3B, ATF3, ATP6V1B2, BCL2A1, BCL3, BCL6, BLVRA, C3AR1, CASP1, CCR2, CD36, CD38, CDKN1A, CTSL, CXCL16, DUSP1, EGR2, EGR3, EPB41L3, CALHM6, FCER1G, FGD4, FOS, GPBAR1, HBEGF, ICAM1, IL1B, KLF4, LILRB2, LYN, MAFB, MIR22HG, MS4A4A, NAMPT, NLRC4, NLRP3, PFKFB3, RAB20, RASGEF1B, RGS1, SLC8A1, SOCS3, SORT1, TRIB1, VRK2, ZNF703",0,0
"21","MONOV INFLUENZA A_UP","FLUZONE_UP",6,1.59,"BATF2, FCGR1A, FCGR1BP, IDO1, IFIT3, SERPING1",1.17357463483651e-22,21.9304892857271
"22","MONOV INFLUENZA A_UP","FLUMIST_UP",103,27.32,"ACSL1, ADAP2, AIF1, ALDH1A1, APOL3, AQP9, ATP6V1B2, BACH1, BCL2A1, BCL3, BCL6, BLVRA, SMCO4, C3AR1, CARD16, CASP1, CCR2, CD14, CD36, CHST15, CTSB, CTSS, CXCL10, DDX60, DOCK4, DPYD, DTX3L, EGR2, EGR3, EMILIN2, EPB41L3, GASK1B, FCER1G, FCGR1BP, FCN1, FGD4, FGL2, FPR1, FPR2, GLUL, GPBAR1, HBEGF, HCK, ICAM1, IFI30, IFI35, IFI6, IFIT3, IL1B, IRF7, ITPRIPL2, JAK2, KCTD12, SHTN1, KYNU, LILRA1, LILRB1, LMO2, LRG1, MARCO, MEGF9, MIR22HG, MNDA, MPEG1, MS4A4A, MX1, MYOF, NAMPT, NLRC4, OAS1, OAS2, OAS3, P2RX7, PARP14, PFKFB3, PLBD1, PLSCR1, PSMB9, RAB20, RASGEF1B, RGS1, SAMD9L, SCARB2, SLC24A4, SLC31A1, SLC46A2, SOCS3, SOD2, SQOR, SRGN, STAT1, STAT2, STX11, TFEC, TNFAIP6, TNFSF10, TNFSF13B, TREM1, TRIB1, VCAN, VRK2, XAF1, XKR8",0,0
"23","MONOV INFLUENZA A_UP","FLUENZ_UP",0,0,"",2.09547293242234e-18,17.678717944649
"24","MONOV INFLUENZA A_UP","MENACTRA_UP",5,1.33,"C1QA, C1QB, C2, IL1B, SERPING1",9.44147931740598e-49,48.0249599538955
"25","MONOV INFLUENZA A_UP","ZOSTAVAX_UP",3,0.8,"IFI44L, MX1, SLC22A16",4.33095721477009e-27,26.3634161066144
"26","MONOV INFLUENZA A_UP","YF17D_UP",29,7.69,"C3AR1, CD38, CXCL10, DDX60, HERC5, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IRF7, ISG15, LAMP3, MX1, MYOF, NEXN, OAS1, OAS2, OAS3, OASL, PARP9, PLSCR1, RSAD2, SAMD9L, SERPING1, STAT1, XAF1",6.64724061423395e-18,17.1773586005184
"27","MONOV INFLUENZA A_UP","STAMARIL_UP",107,28.38,"ADAP2, AIM2, ANKRD22, APOBEC3A, APOL3, ATF3, ATF5, BATF2, BLVRA, SMCO4, SCIMP, C1QA, C1QB, C3AR1, CASP1, CASP5, CCR1, CD36, CD38, CDKN1A, CMPK2, CTSL, CXCL10, DDX60, DHRS9, EMILIN2, EPB41L3, EPSTI1, CALHM6, FBXO6, FCER1G, FCN1, FFAR2, FRMD3, GBP1, GBP2, GBP4, GBP5, GCH1, GPBAR1, HERC5, IDO1, IFI30, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IL15, IL1RN, IRF7, ISG15, KYNU, LAMP3, LAP3, LHFPL2, LILRB1, LMO2, MAFB, MARCKS, MARCO, MT2A, MX1, MYOF, NEXN, NLRP3, NMI, NOD2, NPC2, OAS1, OAS2, OAS3, OASL, PARP14, PARP9, PLSCR1, PSME2, RSAD2, RTP4, SAMD4A, SAMD9L, SCARB2, SCO2, SEPTIN4, SERPING1, SLC31A2, SORT1, SQOR, SRC, STAT1, STAT2, TAP1, TCN2, TMEM51, TNFAIP6, TNFSF10, TNFSF13B, TRAFD1, TYMP, UBE2L6, VAMP5, WARS1, XAF1",2.04984951857495e-84,83.6882780197498
"28","MONOV INFLUENZA A_UP","MMR II_UP",156,41.38,"AANAT, ACSL1, ADM, ADPRH, AIM2, AK4, ANKRD22, APOBEC3A, APOBEC3B, APOL1, APOL2, APOL3, APOL6, BMAL2, ATF3, ATF5, BATF2, BATF3, C2, CARD17P, CASP1, CASP5, CASP7, CCR1, CCRL2, CD274, CD38, CDC42EP2, CDKN1A, CES1, CMPK2, CTSL, CXCL10, DDX60, DRAM1, DTX3L, DUSP1, DUSP6, DYSF, EGR2, EPSTI1, ETV7, EXOC3L1, CALHM6, FAM72A, FBXO6, FFAR2, FRMD3, GBP1, GBP2, GBP3, GBP4, GBP5, GCH1, GPBAR1, HCAR2, HERC5, H2BC18, HLX, ICAM1, IDO1, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM3, IGF2BP3, IL15, IL15RA, IL1RN, IL27, IL4I1, IRF1, IRF7, ISG15, JAK2, KCNJ2, LAMP3, LAP3, LHFPL2, LILRA3, LILRA5, LILRA6, LILRB2, LILRB4, LMNB1, LYN, MEFV, MSR1, MT2A, MUC1, MX1, NCF1, NEXN, NFIX, NGFR, NMI, NOD2, OAS1, OAS2, OAS3, OASL, P2RX7, PARP14, PARP9, PKMYT1, PLSCR1, PRLR, PRRG4, PSMB9, NECTIN2, RAB20, RAB39A, RASGEF1B, RGS1, RSAD2, RTP4, RUFY4, SAMD4A, SAMD9L, SCARB2, SCO2, SDC3, SECTM1, SERPING1, SIGLEC1, SLC22A16, SLC31A2, SLC8A1, SMTNL1, SNX10, SQOR, SRC, STAT1, STAT2, STX11, TAP1, TCN2, TFEC, TLR2, TMEM106A, TMEM150B, TMTC1, TNFAIP6, TNFSF10, TNFSF13B, TRAFD1, UBE2L6, VAMP5, VRK2, WARS1, XAF1",5.0362078572786e-138,137.297896353742
"29","MONOV INFLUENZA A_UP","PREVNAR_UP",6,1.59,"APOL4, CD274, FGL2, GBP4, GBP5, SERPING1",1.07981597489476e-124,123.966650251826
"30","MONOV INFLUENZA A_UP","DRYVAX_UP",9,2.39,"CD14, GPBAR1, GPR84, HERC5, HSPA6, MPEG1, NEXN, S100A8, S100A9",5.19702329532597e-67,66.2842453364754
"31","MONOV INFLUENZA A_UP","BCG_UP",33,8.75,"APOL1, APOL3, AQP9, BATF3, BCL2A1, CD38, CXCL10, EPSTI1, GBP1, GBP2, GBP4, GBP5, IDO1, IFI44L, IFIH1, IFIT3, IL1B, IRF1, ISG15, LAMP3, MT2A, MX1, NAMPT, OAS3, PARP9, PSMB9, PSME2, SERPINA1, SOD2, STAT1, TNFAIP6, UBE2L6, WARS1",4.01297899067735e-71,70.3965331139409
"32","MONOV INFLUENZA A_UP","PPD_UP",18,4.77,"ACSL1, AQP9, BCL2A1, EPB41L3, GBP1, GBP2, GBP4, GBP5, IDO1, IL1B, LAMP3, MARCKS, MT2A, NAMPT, PARP9, SERPINA1, SOD2, TNFAIP6",4.30905905781905e-68,67.3656175536468
"33","MONOV INFLUENZA A_UP","TC-83_UP",66,17.51,"ANKRD22, APOBEC3A, APOL6, BATF2, BLVRA, CCR1, CD274, CMPK2, CXCL10, DDX60, DOCK4, EPSTI1, ETV7, CALHM6, FBXO6, FRMD3, GBP1, GBP3, GBP4, GBP5, GCH1, HERC5, IFI35, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IL1RN, IRF7, ISG15, LAMP3, LAP3, LYZ, MAFB, MS4A4A, MT2A, MTHFD2, MX1, NEXN, OAS1, OAS2, OAS3, OASL, PARP14, PARP9, PLSCR1, PSMA4, RSAD2, RTP4, SAMD4A, SAMD9L, SCO2, SERPING1, SIGLEC1, STAT1, STAT2, TFEC, TNFAIP6, TNFSF10, TNFSF13B, UBE2L6, WARS1, XAF1",1.55527571267706e-208,207.80819260993
"34","IMUVAC_UP","FLUAD_UP",17,38.64,"ANKRD22, BATF2, CD274, ETV7, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, GK, ICAM1, IDO1, KREMEN1, P2RY14, PSTPIP2, SERPING1, WARS1",1.84169720069126e-07,6.73478177201041
"35","IMUVAC_UP","TIV INFLUENZA_UP",0,0,"",1.1356536720381e-51,50.9447540905041
"36","IMUVAC_UP","MENVEO ACWYVAX_UP",0,0,"",3.22660904359359e-44,43.4912536532809
"37","IMUVAC_UP","MVA85A_UP",11,25,"ANKRD22, ETV7, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, ICAM1, IDO1, SERPING1, WARS1",1.22241552364252e-31,30.912781143561
"38","IMUVAC_UP","INFLUENZA_UP",0,0,"",6.61386760899042e-36,35.1795445026882
"39","IMUVAC_UP","PANDEMRIX_UP",2,4.55,"IRF1, NOD2",3.24996897015632e-24,23.4881207855301
"40","IMUVAC_UP","FLUARIX_UP",0,0,"",6.49898799064413e-30,29.1871542655567
"41","IMUVAC_UP","PFALCIPARUM RTSS_UP",1,2.27,"SERPING1",2.25651444720401e-09,8.64656188158948
"42","IMUVAC_UP","ATTENUVAX_UP",0,0,"",3.99158129484937e-28,27.3988550212107
"43","IMUVAC_UP","WETVAX_UP",12,27.27,"ANKRD22, ETV7, FAS, FCGR1A, GBP1, GK, ICAM1, IDO1, IRF1, SERPING1, SIRPB1, WARS1",1.28036966298721e-40,39.8926646245571
"44","IMUVAC_UP","YF VAX_UP",3,6.82,"GBP5, SERPING1, TNFAIP2",1.05981531959659e-52,51.9747698070635
"45","IMUVAC_UP","CHAD63-KH_UP",25,56.82,"ANKRD22, BATF2, CD274, ETV7, FAS, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, GK, GK3, ICAM1, IDO1, IRF1, KREMEN1, LPCAT2, NOD2, P2RY14, PRRG4, PSTPIP2, RAB20, SERPING1, TNFAIP2, WARS1",3.1772141130038e-34,33.4979535170071
"46","IMUVAC_UP","INACTIVATED INFLUENZA_UP",2,4.55,"FKBP5, GBP5",5.37783167947688e-76,75.2693927948644
"47","IMUVAC_UP","RVSV ZEBOV_UP",0,0,"",4.17873045778516e-11,10.3789556414125
"48","IMUVAC_UP","LVS F TULARENSIS_UP",5,11.36,"CCR3, FAS, FCGR1A, ICAM1, NOD2",1.83779970407631e-24,23.7357018227402
"49","IMUVAC_UP","CN54GP140_UP",0,0,"",5.329228559387e-45,44.2733356533842
"50","IMUVAC_UP","HIV-1 GAG-POL NEF_UP",24,54.55,"ANKRD22, BATF2, CD274, ETV7, FAS, GBP1, GBP4, GBP5, GK, GK3, ICAM1, IDO1, IRF1, LPCAT2, NOD2, PRRG4, PSTPIP2, RAB20, RAPGEF2, SERPING1, SIRPB1, SNX27, TNFAIP2, WARS1",2.39608879244656e-30,29.620497092228
"51","IMUVAC_UP","HPV-VLP_UP",12,27.27,"ETV7, FAS, FCGR1A, GBP1, ICAM1, IDO1, IRF1, PRRG4, RAPGEF2, SERPING1, TSPAN5, WARS1",3.60110194150976e-42,41.4435645842637
"52","IMUVAC_UP","FLUARIX FLUVIRIN_UP",5,11.36,"ICAM1, RAB20, RAPGEF2, SNX27, UCP2",8.08597792972913e-76,75.0922674483857
"53","IMUVAC_UP","FLUZONE_UP",5,11.36,"BATF2, FCGR1A, FCGR1BP, IDO1, SERPING1",1.36015112013426e-10,9.8664128364869
"54","IMUVAC_UP","FLUMIST_UP",8,18.18,"FCGR1BP, FKBP5, GK, ICAM1, RAB20, RAPGEF2, SNX27, UCP2",8.68074436523896e-78,77.0614430329047
"55","IMUVAC_UP","FLUENZ_UP",0,0,"",2.25651444720401e-10,9.64656188158948
"56","IMUVAC_UP","MENACTRA_UP",1,2.27,"SERPING1",1.32578977332103e-23,22.8775253353014
"57","IMUVAC_UP","ZOSTAVAX_UP",0,0,"",5.09691119579386e-17,16.2926929331197
"58","IMUVAC_UP","YF17D_UP",1,2.27,"SERPING1",8.86085764811611e-25,24.052524240436
"59","IMUVAC_UP","STAMARIL_UP",10,22.73,"ANKRD22, BATF2, GBP1, GBP4, GBP5, IDO1, MS4A3, NOD2, SERPING1, WARS1",1.26010661064765e-39,38.899592710075
"60","IMUVAC_UP","MMR II_UP",19,43.18,"ANKRD22, BATF2, CD274, ETV7, FAS, GBP1, GBP4, GBP5, ICAM1, IDO1, IRF1, NOD2, PRRG4, RAB20, RAPGEF2, SERPING1, TMOD1, TSPAN5, WARS1",3.03295313666832e-38,37.5181343000895
"61","IMUVAC_UP","PREVNAR_UP",5,11.36,"CD274, CTSW, GBP4, GBP5, SERPING1",9.98993034744682e-36,35.0004375397845
"62","IMUVAC_UP","DRYVAX_UP",1,2.27,"ADORA3",5.5648754247753e-31,30.2545445533308
"63","IMUVAC_UP","BCG_UP",6,13.64,"GBP1, GBP4, GBP5, IDO1, IRF1, WARS1",2.05071093342472e-31,30.6880955531207
"64","IMUVAC_UP","PPD_UP",4,9.09,"GBP1, GBP4, GBP5, IDO1",1.23201141659989e-29,28.9093852677046
"65","IMUVAC_UP","TC-83_UP",9,20.45,"ANKRD22, BATF2, CD274, ETV7, GBP1, GBP4, GBP5, SERPING1, WARS1",1.52080674626511e-53,52.8179259696176
"66","FLUAD_UP","TIV INFLUENZA_UP",0,0,"",1.81156420111589e-48,47.7419462701327
"67","FLUAD_UP","MENVEO ACWYVAX_UP",1,2.5,"TYMP",2.32551889577964e-39,38.6334801273202
"68","FLUAD_UP","MVA85A_UP",19,47.5,"ANKRD22, CALHM6, CXCL10, ETV7, FBXO6, FCGR1A, FCGR1BP, GBP1, GBP4, GBP5, ICAM1, IDO1, IFI35, IFI44L, RSAD2, SERPING1, STAT1, TYMP, WARS1",3.96039433414487e-19,18.4022615694743
"69","FLUAD_UP","INFLUENZA_UP",0,0,"",5.70841509692018e-34,33.2434844539619
"70","FLUAD_UP","PANDEMRIX_UP",1,2.5,"STAT1",1.50323424237108e-24,23.8229733399436
"71","FLUAD_UP","FLUARIX_UP",0,0,"",2.03445550237876e-28,27.691551804598
