"","condition","genes"
"268","CN54GP140 (D1)","SMIM30"
"269","CN54GP140 (D1)","SNORD13"
"270","CN54GP140 (D1)","SNORD3D"
"271","CN54GP140 (D1)","SNTA1"
"272","CN54GP140 (D1)","SNX14"
"273","CN54GP140 (D1)","SOD2"
"274","CN54GP140 (D1)","OT1"
"275","CN54GP140 (D1)","SPINK2"
"276","CN54GP140 (D1)","SRGAP2C"
"277","CN54GP140 (D1)","STAR"
"278","CN54GP140 (D1)","SUMO1"
"279","CN54GP140 (D1)","SYP"
"280","CN54GP140 (D1)","TAFAZZIN"
"281","CN54GP140 (D1)","TMEM106B"
"282","CN54GP140 (D1)","TMEM191A"
"283","CN54GP140 (D1)","TMEM70"
"284","CN54GP140 (D1)","TMSB4X"
"285","CN54GP140 (D1)","TTC30A"
"286","CN54GP140 (D1)","ZNF160"
"287","CN54GP140 (D1)","ZNF320"
"288","CN54GP140 (D1)","ZNF93"
"289","CN54GP140 (D1)","ACD"
"290","CN54GP140 (D1)","ACLY"
"291","CN54GP140 (D1)","ACO2"
"292","CN54GP140 (D1)","ACTB"
"293","CN54GP140 (D1)","ADD1"
"294","CN54GP140 (D1)","GRK2"
"295","CN54GP140 (D1)","AFF4"
"296","CN54GP140 (D1)","ANTXR2"
"297","CN54GP140 (D1)","ARAP1"
"298","CN54GP140 (D1)","ARF1"
"299","CN54GP140 (D1)","ARF3"
"300","CN54GP140 (D1)","ARHGAP1"
"301","CN54GP140 (D1)","ARHGAP30"
"302","CN54GP140 (D1)","ARID3A"
"303","CN54GP140 (D1)","ARPC4"
"304","CN54GP140 (D1)","ATP6AP1"
"305","CN54GP140 (D1)","ATP6V1B2"
"306","CN54GP140 (D1)","BANP"
"307","CN54GP140 (D1)","BABAM2"
"308","CN54GP140 (D1)","MIDEAS"
"309","CN54GP140 (D1)","CACNA1S"
"310","CN54GP140 (D1)","CAP1"
"311","CN54GP140 (D1)","CLASP1"
"312","CN54GP140 (D1)","CREBBP"
"313","CN54GP140 (D1)","CTCF"
"314","CN54GP140 (D1)","DPEP2"
"315","CN54GP140 (D1)","DPF2"
"316","CN54GP140 (D1)","DVL3"
"317","CN54GP140 (D1)","FBXL18"
"318","CN54GP140 (D1)","FLII"
"319","CN54GP140 (D1)","FOXJ3"
"320","CN54GP140 (D1)","FRA10AC1"
"321","CN54GP140 (D1)","GALNT10"
"322","CN54GP140 (D1)","GBA1"
"323","CN54GP140 (D1)","WLS"
"324","CN54GP140 (D1)","GRK6"
"325","CN54GP140 (D1)","HARS2"
"326","CN54GP140 (D1)","HGS"
"327","CN54GP140 (D1)","HNRNPK"
"328","CN54GP140 (D1)","IDH3B"
"329","CN54GP140 (D1)","LAMP1"
"330","CN54GP140 (D1)","LAPTM5"
"331","CN54GP140 (D1)","LASP1"
"332","CN54GP140 (D1)","MAST3"
"333","CN54GP140 (D1)","KMT2D"
"334","CN54GP140 (D1)","MTMR3"
"335","CN54GP140 (D1)","KAT6A"
"336","CN54GP140 (D1)","NDRG3"
"337","CN54GP140 (D1)","PGD"
"338","CN54GP140 (D1)","PPP1CA"
"339","CN54GP140 (D1)","PRRC2C"
"340","CN54GP140 (D1)","RABGEF1"
"341","CN54GP140 (D1)","RALY"
"342","CN54GP140 (D1)","RASSF5"
"343","CN54GP140 (D1)","RCSD1"
"344","CN54GP140 (D1)","RIC8A"
"345","CN54GP140 (D1)","MAP7D1"
"346","CN54GP140 (D1)","SAP130"
"347","CN54GP140 (D1)","SEC16A"
"348","CN54GP140 (D1)","SEC23B"
"349","CN54GP140 (D1)","SF3B2"
"350","CN54GP140 (D1)","SH2D3C"
"351","CN54GP140 (D1)","SON"
"352","CN54GP140 (D1)","SORL1"
"353","CN54GP140 (D1)","SPEN"
"354","CN54GP140 (D1)","SRRM1"
"355","CN54GP140 (D1)","STK24"
"356","CN54GP140 (D1)","STK4"
"357","CN54GP140 (D1)","STX2"
"358","CN54GP140 (D1)","TAF4"
"359","CN54GP140 (D1)","TBC1D22A"
"360","CN54GP140 (D1)","UBA1"
"361","CN54GP140 (D1)","UPF1"
"362","CN54GP140 (D1)","VPS8"
"363","CN54GP140 (D1)","WDR1"
"364","CN54GP140 (D1)","YWHAZ"
"365","CN54GP140 (D1)","ZAN"
"366","CN54GP140 (D1)","ZNF106"
"367","CN54GP140 (D1)","ZNF341"
"368","CN54GP140 (D3)","AFF4"
"369","CN54GP140 (D3)","AMDHD2"
"370","CN54GP140 (D3)","ARAP3"
"371","CN54GP140 (D3)","ARPC1B"
"372","CN54GP140 (D3)","ATG4B"
"373","CN54GP140 (D3)","ATP6V1A"
"374","CN54GP140 (D3)","TTI2"
"375","CN54GP140 (D3)","ZNG1F"
"376","CN54GP140 (D3)","CHMP2A"
"377","CN54GP140 (D3)","DNAJB12"
"378","CN54GP140 (D3)","DNTTIP1"
"379","CN54GP140 (D3)","DPEP2"
"380","CN54GP140 (D3)","WLS"
"381","CN54GP140 (D3)","HBP1"
"382","CN54GP140 (D3)","KCTD2"
"383","CN54GP140 (D3)","MAEA"
"384","CN54GP140 (D3)","MAPRE1"
"385","CN54GP140 (D3)","NUDT5"
"386","CN54GP140 (D3)","OSTF1"
"387","CN54GP140 (D3)","PARN"
"388","CN54GP140 (D3)","PGAM1"
"389","CN54GP140 (D3)","PPP1CA"
"390","CN54GP140 (D3)","PSMC1"
"391","CN54GP140 (D3)","PSMD13"
"392","CN54GP140 (D3)","RAB7A"
"393","CN54GP140 (D3)","RAI2"
"394","CN54GP140 (D3)","S100A4"
"395","CN54GP140 (D3)","SCAND1"
"396","CN54GP140 (D3)","TMLHE"
"397","CN54GP140 (D3)","TRIM63"
"398","CN54GP140 (D3)","ZAN"
"399","CN54GP140 (D3)","AMY1B"
"400","CN54GP140 (D3)","BCAN"
"401","CN54GP140 (D3)","BMP8B"
"402","CN54GP140 (D3)","MROH8"
"403","CN54GP140 (D3)","CAMK1G"
"404","CN54GP140 (D3)","CASTOR1"
"405","CN54GP140 (D3)","SPICE1"
"406","CN54GP140 (D3)","COL6A3"
"407","CN54GP140 (D3)","EML2"
"408","CN54GP140 (D3)","RTL8B"
"409","CN54GP140 (D3)","FRMPD2B"
"410","CN54GP140 (D3)","G6PC1"
"411","CN54GP140 (D3)","GCK"
"412","CN54GP140 (D3)","GDF1"
"413","CN54GP140 (D3)","HBE1"
"414","CN54GP140 (D3)","IGFBP1"
"415","CN54GP140 (D3)","ING3"
"416","CN54GP140 (D3)","CLUH"
"417","CN54GP140 (D3)","LINC01618"
"418","CN54GP140 (D3)","MIR7"
"419","CN54GP140 (D3)","3HG"
"420","CN54GP140 (D3)","MPI"
"421","CN54GP140 (D3)","EEF1AKMT1"
"422","CN54GP140 (D3)","NECAP2"
"423","CN54GP140 (D3)","OR11A1"
"424","CN54GP140 (D3)","OR2A20P"
"425","CN54GP140 (D3)","PCYOX1"
"426","CN54GP140 (D3)","PKP2"
"427","CN54GP140 (D3)","RFX4"
"428","CN54GP140 (D3)","RNU4"
"429","CN54GP140 (D3)","1"
"430","CN54GP140 (D3)","2"
"431","CN54GP140 (D3)","SCX"
"432","CN54GP140 (D3)","STAR"
"433","CN54GP140 (D3)","TMEM191A"
"434","CN54GP140 (D3)","TMEM70"
"435","CN54GP140 (D3)","TMSB4X"
"436","CN54GP140 (D3)","TTC30A"
"437","CN54GP140 (D3)","XRCC3"
"438","CN54GP140 (D3)","ZNF320"
"439","CN54GP140 (D3)","ZNF93"
"440","CN54GP140 (D7)","IDH3B"
"441","CN54GP140 (D7)","NUDT16L1"
"442","CN54GP140 (D7)","PAX2"
"443","CN54GP140 (D7)","PDXDC1"
"444","CN54GP140 (D7)","PRKCZ"
"445","CN54GP140 (D7)","SMPD2"
"446","CN54GP140 (D7)","UQCR10"
"447","CN54GP140 (D7)","ALDH8A1"
"448","CN54GP140 (D7)","ICA1L"
"449","CN54GP140 (D7)","AMY1B"
"450","CN54GP140 (D7)","BMP8B"
"451","CN54GP140 (D7)","C9orf64"
"452","CN54GP140 (D7)","CAMK2A"
"453","CN54GP140 (D7)","EXO5"
"454","CN54GP140 (D7)","DTNA"
"455","CN54GP140 (D7)","RTL8B"
"456","CN54GP140 (D7)","FRMPD2B"
"457","CN54GP140 (D7)","GGT2P"
"458","CN54GP140 (D7)","GOLGA6L7"
"459","CN54GP140 (D7)","HBE1"
"460","CN54GP140 (D7)","HECA"
"461","CN54GP140 (D7)","HSP90AA2P"
"462","CN54GP140 (D7)","HTR2A"
"463","CN54GP140 (D7)","IGFBP1"
"464","CN54GP140 (D7)","ING3"
"465","CN54GP140 (D7)","ITM2B"
"466","CN54GP140 (D7)","KCTD7"
"467","CN54GP140 (D7)","NME2"
"468","CN54GP140 (D7)","PCYOX1"
"469","CN54GP140 (D7)","RAD51"
"470","CN54GP140 (D7)","RASSF6"
"471","CN54GP140 (D7)","RFX4"
"472","CN54GP140 (D7)","SCX"
"473","CN54GP140 (D7)","SIGLEC6"
"474","CN54GP140 (D7)","SLC26A4"
"475","CN54GP140 (D7)","AS1"
"476","CN54GP140 (D7)","SOD2"
"477","CN54GP140 (D7)","OT1"
"478","CN54GP140 (D7)","STAR"
"479","CN54GP140 (D7)","TAOK3"
"480","CN54GP140 (D7)","TMEM156"
"481","CN54GP140 (D7)","TMEM191A"
"482","CN54GP140 (D7)","TMEM70"
"483","CN54GP140 (D7)","TMSB4X"
"484","CN54GP140 (D7)","TTC30A"
"485","CN54GP140 (D7)","ZNF160"
"486","CN54GP140 (D7)","ZNF320"
"487","CN54GP140 (D7)","ZNF568"
"488","CN54GP140 (D7)","ZNF93"
"489","CN54GP140 (H6)","ACTRT1"
"490","CN54GP140 (H6)","SLC35G6"
"491","CN54GP140 (H6)","ART1"
"492","CN54GP140 (H6)","ATP1A3"
"493","CN54GP140 (H6)","ATP6AP1L"
"494","CN54GP140 (H6)","B4GALT3"
"495","CN54GP140 (H6)","BDNF"
"496","CN54GP140 (H6)","MYG1"
"497","CN54GP140 (H6)","R3HDM4"
"498","CN54GP140 (H6)","C1QTNF2"
"499","CN54GP140 (H6)","HMCES"
"500","CN54GP140 (H6)","CMTM3"
"501","CN54GP140 (H6)","CRLF2"
"502","CN54GP140 (H6)","DDIT4"
"503","CN54GP140 (H6)","DDX19A"
"504","CN54GP140 (H6)","DNA2"
"505","CN54GP140 (H6)","DPF1"
"506","CN54GP140 (H6)","EXOG"
"507","CN54GP140 (H6)","ST13P4"
"508","CN54GP140 (H6)","FGF23"
"509","CN54GP140 (H6)","FKBP5"
"510","CN54GP140 (H6)","FRA10AC1"
"511","CN54GP140 (H6)","GFRA4"
"512","CN54GP140 (H6)","GMPPB"
"513","CN54GP140 (H6)","GOLGA8M"
"514","CN54GP140 (H6)","TPRA1"
"515","CN54GP140 (H6)","GUK1"
"516","CN54GP140 (H6)","HOXB6"
"517","CN54GP140 (H6)","HRH1"
"518","CN54GP140 (H6)","IDH3B"
"519","CN54GP140 (H6)","IGHMBP2"
"520","CN54GP140 (H6)","IRF3"
"521","CN54GP140 (H6)","ITPRIPL1"
"522","CN54GP140 (H6)","KCNJ10"
"523","CN54GP140 (H6)","LSP1"
"524","CN54GP140 (H6)","MED1"
"525","CN54GP140 (H6)","MEGF10"
"526","CN54GP140 (H6)","MEGF8"
"527","CN54GP140 (H6)","OR51D1"
"528","CN54GP140 (H6)","PDRG1"
"529","CN54GP140 (H6)","PMEPA1"
"530","CN54GP140 (H6)","PRDM9"
"531","CN54GP140 (H6)","PRR5"
"532","CN54GP140 (H6)","PSENEN"
"533","CN54GP140 (H6)","PTK6"
"534","CN54GP140 (H6)","PTPN7"
"535","CN54GP140 (H6)","RELL1"
"536","CN54GP140 (H6)","RFX5"
"537","CN54GP140 (H6)","RGS10"
"538","CN54GP140 (H6)","SAP30"
"539","CN54GP140 (H6)","SEPTIN5"
"540","CN54GP140 (H6)","SGCA"
"541","CN54GP140 (H6)","SLC25A39"
"542","CN54GP140 (H6)","SLC39A13"
"543","CN54GP140 (H6)","SPRYD3"
"544","CN54GP140 (H6)","TBC1D21"
"545","CN54GP140 (H6)","TSC22D3"
"546","CN54GP140 (H6)","UBB"
"547","CN54GP140 (H6)","UBL4A"
"548","CN54GP140 (H6)","UBXN6"
"549","CN54GP140 (H6)","ZNF580"
"550","CN54GP140 (H6)","AP1M2"
"551","CN54GP140 (H6)","ATG3"
"552","CN54GP140 (H6)","C4orf3"
"553","CN54GP140 (H6)","FAM200A"
"554","CN54GP140 (H6)","CIAO1"
"555","CN54GP140 (H6)","CREB1"
"556","CN54GP140 (H6)","NALF2"
"557","CN54GP140 (H6)","FUT6"
"558","CN54GP140 (H6)","FUT8"
"559","CN54GP140 (H6)","AS1"
"560","CN54GP140 (H6)","ING3"
"561","CN54GP140 (H6)","IPP"
"562","CN54GP140 (H6)","KIAA2026"
"563","CN54GP140 (H6)","KRR1"
"564","CN54GP140 (H6)","LYPLAL1"
"565","CN54GP140 (H6)","SLC25A51"
"566","CN54GP140 (H6)","MIR25"
"567","CN54GP140 (H6)","MYOF"
"568","CN54GP140 (H6)","NFKBIZ"
"569","CN54GP140 (H6)","OTP"
"570","CN54GP140 (H6)","PCYOX1"
"571","CN54GP140 (H6)","PHAX"
"572","CN54GP140 (H6)","PTGR2"
"573","CN54GP140 (H6)","PTPRO"
"574","CN54GP140 (H6)","RAB18"
"575","CN54GP140 (H6)","RAPSN"
"576","CN54GP140 (H6)","RASSF6"
"577","CN54GP140 (H6)","RPN2"
"578","CN54GP140 (H6)","SEM1"
"579","CN54GP140 (H6)","SLC4A4"
"580","CN54GP140 (H6)","SLU7"
"581","CN54GP140 (H6)","SPTY2D1"
"582","CN54GP140 (H6)","TAF15"
"583","CN54GP140 (H6)","TMSB4X"
"584","CN54GP140 (H6)","UFSP2"
"585","CN54GP140 (H6)","ZFYVE27"
"586","HIV-1 GAG-POL NEF (D1)","AAK1"
"587","HIV-1 GAG-POL NEF (D1)","ABCB1"
"588","HIV-1 GAG-POL NEF (D1)","ABCC5"
"589","HIV-1 GAG-POL NEF (D1)","ABCD2"
"590","HIV-1 GAG-POL NEF (D1)","ABHD14A"
"591","HIV-1 GAG-POL NEF (D1)","ABHD14B"
"592","HIV-1 GAG-POL NEF (D1)","ABI2"
"593","HIV-1 GAG-POL NEF (D1)","ABLIM1"
"594","HIV-1 GAG-POL NEF (D1)","ACADSB"
"595","HIV-1 GAG-POL NEF (D1)","ACO1"
"596","HIV-1 GAG-POL NEF (D1)","ACP6"
"597","HIV-1 GAG-POL NEF (D1)","ACSL6"
"598","HIV-1 GAG-POL NEF (D1)","ACVR2A"
"599","HIV-1 GAG-POL NEF (D1)","ACVR2B"
"600","HIV-1 GAG-POL NEF (D1)","ADAM28"
"601","HIV-1 GAG-POL NEF (D1)","ADGRE3"
"602","HIV-1 GAG-POL NEF (D1)","ADGRG1"
