"","Cond1","Cond2","Shared","Percentage_Shared_Cond1","Genes_Names","pvalue","-log(p)"
"17","MONOV INFLUENZA A_DOWN","FLUENZ_DOWN",0,0,"",2.22400735879555e-07,6.65286378009402
"18","MONOV INFLUENZA A_DOWN","MENACTRA_DOWN",0,0,"",5.4451424769165e-15,14.2639907520645
"19","MONOV INFLUENZA A_DOWN","WETVAX_DOWN",0,0,"",3.90792486273075e-50,49.4080537950083
"20","MONOV INFLUENZA A_DOWN","STAMARIL_DOWN",0,0,"",1.09137791958978e-44,43.9620248369715
"21","MONOV INFLUENZA A_DOWN","MMR II_DOWN",5,14.29,"ADAMTS7, KCNJ5-AS1, DPEP3, NOG, NRCAM",3.7293771897344e-49,48.4283636898122
"22","MONOV INFLUENZA A_DOWN","PREVNAR_DOWN",0,0,"",1.51973836184362e-06,5.81823117375793
"23","MONOV INFLUENZA A_DOWN","BCG_DOWN",0,0,"",5.0501157401606e-46,45.2966986684681
"24","MONOV INFLUENZA A_DOWN","PPD_DOWN",1,2.86,"SPRY2",8.09934465616759e-39,38.0915501198527
"25","MONOV INFLUENZA A_DOWN","TC-83_DOWN",0,0,"",1.83331147543323e-22,21.7367637431283
"26","MONOV INFLUENZA A_DOWN","MVA85A_DOWN",0,0,"",1.91382428741307e-11,10.718097938299
"27","TIV INFLUENZA_DOWN","MENVEO ACWYVAX_DOWN",10,2.88,"AGAP6, ALDH2, , KLF4, NCOA1, PSMC4, TCHP, TCP1, TMEM69, USP48",3.22020762868845e-151,150.492116125482
"28","TIV INFLUENZA_DOWN","INFLUENZA_DOWN",3,0.86,", FCGR3B, ZMYND15",1.9923123909875e-64,63.700642563982
"29","TIV INFLUENZA_DOWN","ATTENUVAX_DOWN",0,0,"",4.7683566580237e-32,31.3216312681968
"30","TIV INFLUENZA_DOWN","YF VAX_DOWN",6,1.73,"CCT7, EGLN2, FAR2, KDELR1, RABL6, RGL2",6.05824709283632e-159,158.217653017423
"31","TIV INFLUENZA_DOWN","RVSV EBOV_DOWN",0,0,"",4.16049222065488e-13,12.3808552857029
"32","TIV INFLUENZA_DOWN","CHAD63-KH_DOWN",23,6.63,"ABAT, ABCG1, AGO3, ANKZF1, , BRD1, DIP2A, FKTN, FRA10AC1, FYN, IDS, IL16, MINDY2, NBPF3, NDRG3, NLRP12, NUBPL, PPP1R12B, PRKCZ, PRKDC, SRPK2, SULT1A2, USP48",0,0
"33","TIV INFLUENZA_DOWN","INACTIVATED INFLUENZA_DOWN",59,17,"AGAP6, AKAP13, ALDH2, ALDOA, , ANXA11, APOBR, ARHGAP9, ARRDC3, ATG4B, CBX4, CDK5RAP3, CDKN1C, CNPY3, COMT, CSF2RA, CSGALNACT2, CSNK1D, CTNNA1, CXCL16, DIP2A, FKTN, FYN, GIT2, GRN, MACROH2A1, H3-5, IFFO1, IL18, IQSEC1, KDELR1, KIAA0319L, KIR2DL3, KLF6, LILRB3, MILR1, NBPF3, NCF4, NLRP1, NUP62, PATL2, PGAM1, PI4KAP1, PLAUR, PNPT1, POLR2J3, PPP1CA, PRAM1, PRXL2A, PSMC4, SERPINA1, SF1, SPG21, SRPK2, SULT1A2, SULT1A3, TUBA1C, USP4, ZMYND15",4.05864706921994e-233,232.391618712308
"34","TIV INFLUENZA_DOWN","FLUARIX_DOWN",0,0,"",3.75432407119035e-38,37.4254682420356
"35","TIV INFLUENZA_DOWN","LVS F TULARENSIS_DOWN",2,0.58,"FCGR2B, FCGR3A",5.85202697660484e-57,56.2326936805365
"36","TIV INFLUENZA_DOWN","CN54GP140_DOWN",20,5.76,", ARHGAP30, ATG4B, DDX19A, DNTTIP1, FCGR3A, FRA10AC1, GALNT10, HNRNPK, LAPTM5, LSP1, MTMR3, NDRG3, PGAM1, PPP1CA, PRKCZ, PRR5, RASSF5, SEC23B, WDR1",3.92008309424306e-110,109.406704727115
"37","TIV INFLUENZA_DOWN","HIV-1 GAG-POL NEF_DOWN",9,2.59,", FYN, HNRNPA3, IL16, NDRG3, PBXIP1, PRKDC, SRPK2, UBE4B",6.25202782289111e-310,309.203979097943
"38","TIV INFLUENZA_DOWN","HPV-VLP_DOWN",7,2.02,"CD14, GRN, HPSE, MARCO, PRKCZ, RNF130, RTN3",3.37960514427225e-204,203.471134037498
"39","TIV INFLUENZA_DOWN","PANDEMRIX_DOWN",2,0.58,"PSMB8, SERPINA1",2.71586755405865e-43,42.5660914133105
"40","TIV INFLUENZA_DOWN","FLUZONE_DOWN",2,0.58,"H3C13, PLAUR",8.95222655562373e-37,36.0480689355713
"41","TIV INFLUENZA_DOWN","FLUMIST_DOWN",4,1.15,", MGAM2, SERPINA1, VPS41",1.9173462086459e-30,29.7172994609722
"42","TIV INFLUENZA_DOWN","FLUENZ_DOWN",1,0.29,"TLR1",1.45201178500855e-10,9.83802985874377
"43","TIV INFLUENZA_DOWN","MENACTRA_DOWN",0,0,"",4.7683566580237e-32,31.3216312681968
"44","TIV INFLUENZA_DOWN","WETVAX_DOWN",17,4.9,", ASH2L, COMT, DTX2, HSPA4, IL16, IL18, KEAP1, LMAN2, NUP62, PSEN1, RBM4, SLC25A20, SRPK2, STYXL1, TM9SF1, TRO",1.90042896712602e-171,170.721148358506
"45","TIV INFLUENZA_DOWN","STAMARIL_DOWN",7,2.02,", CPPED1, DCAF6, ERGIC1, MGAM, PRKDC, TP53INP2",1.8685182432052e-152,151.728502657576
"46","TIV INFLUENZA_DOWN","MMR II_DOWN",21,6.05,"ALDH2, , APLP2, ARPIN, CD14, CPVL, FCGR2B, MACROH2A1, HAL, IL16, LRRC25, MGAM, NLRP1, NLRP12, PID1, PRAM1, RNF130, STAB1, STK32B, SYK, TNFRSF8",4.96920418001297e-249,248.303713158128
"47","TIV INFLUENZA_DOWN","PREVNAR_DOWN",2,0.58,"CD14, CD163",1.46115945925411e-06,5.83530238605394
"48","TIV INFLUENZA_DOWN","BCG_DOWN",10,2.88,"ABCG1, ANXA11, CAPG, CD63, CORO1C, CXCL16, PKM, RNF130, STAB1, ZMYND15",1.2609056269112e-155,154.89931741719
"49","TIV INFLUENZA_DOWN","PPD_DOWN",7,2.02,"ABCG1, ANXA11, CD63, CORO1C, GRN, RNF130, STAB1",1.1686084151133e-130,129.932330990673
"50","TIV INFLUENZA_DOWN","TC-83_DOWN",2,0.58,"ABAT, DIP2A",2.48421063531473e-51,50.6048115832633
"51","TIV INFLUENZA_DOWN","MVA85A_DOWN",1,0.29,"",5.1221629475728e-20,19.2905466097594
"52","MENVEO ACWYVAX_DOWN","INFLUENZA_DOWN",1,0.41,"",3.58921324840003e-61,60.4450007378629
"53","MENVEO ACWYVAX_DOWN","ATTENUVAX_DOWN",1,0.41,"RIN2",6.53324664461386e-27,26.1848709459166
"54","MENVEO ACWYVAX_DOWN","YF VAX_DOWN",2,0.82,"CCT4, VPS35",2.08908275341428e-141,140.680044356267
"55","MENVEO ACWYVAX_DOWN","RVSV EBOV_DOWN",0,0,"",3.13287678896301e-12,11.5040566848903
"56","MENVEO ACWYVAX_DOWN","CHAD63-KH_DOWN",28,11.48,"ABLIM1, PXYLP1, AHCTF1, ALG13, ARID2, CAMK2G, CEP95, CD96, CDC14A, CXCR6, ATOSA, IKZF5, INPP4A, MPPE1, MRI1, PHOSPHO2, PKIA, PRKCH, PSIP1, PTGDR, , S100PBP, SEC22C, SGK1, SSBP2, THEMIS, USP48, ZNF567",7.91986754748128e-265,264.101282081527
"57","MENVEO ACWYVAX_DOWN","INACTIVATED INFLUENZA_DOWN",25,10.25,"AGAP6, ALDH1A1, ALDH2, CAMK2G, CASP8, CRTAP, ELMO2, HERPUD1, IKZF5, JAK1, MAF, MAU2, MRI1, NBPF11, PSMC4, PUM1, RELCH, , SEC22C, SGK1, TLR6, WWP2, ZFP36L2, ZMIZ1, ZNF274",1.2093800087836e-219,218.917437214618
"58","MENVEO ACWYVAX_DOWN","FLUARIX_DOWN",1,0.41,"HPRT1",2.55000866241378e-32,31.5934583442593
"59","MENVEO ACWYVAX_DOWN","LVS F TULARENSIS_DOWN",0,0,"",2.07270935131607e-55,54.6834615932122
"60","MENVEO ACWYVAX_DOWN","CN54GP140_DOWN",3,1.23,"RELL1, , TSC22D3",4.06706487447012e-118,117.390718900032
"61","MENVEO ACWYVAX_DOWN","HIV-1 GAG-POL NEF_DOWN",25,10.25,"ABLIM1, AFF3, AHCTF1, ANAPC16, ARID2, AXIN2, BANK1, CEP95, CD8A, CD96, CDC14A, ATOSA, FCRL3, FCRLA, IKZF3, OSBPL10, PRKCH, PSIP1, PTGDR, , SSBP2, ST6GAL1, THEMIS, TRGV3, ZFP36L2",6.62182056604118e-216,215.179022591665
"62","MENVEO ACWYVAX_DOWN","HPV-VLP_DOWN",3,1.23,"ABLIM1, ALDH1A1, CD96",3.87925234532007e-176,175.41125196863
"63","MENVEO ACWYVAX_DOWN","PANDEMRIX_DOWN",1,0.41,"GBP1",4.38104439083846e-41,40.35842234632
"64","MENVEO ACWYVAX_DOWN","FLUZONE_DOWN",1,0.41,"PHOSPHO2",2.29915334651414e-35,34.6384320616477
"65","MENVEO ACWYVAX_DOWN","FLUMIST_DOWN",1,0.41,"",2.37873942389345e-33,32.6236531296161
"66","MENVEO ACWYVAX_DOWN","FLUENZ_DOWN",1,0.41,"CD8A",7.83219197240753e-10,9.10611667621826
"67","MENVEO ACWYVAX_DOWN","MENACTRA_DOWN",0,0,"",2.48412419947294e-29,28.6048266944064
"68","MENVEO ACWYVAX_DOWN","WETVAX_DOWN",7,2.87,"ABLIM1, CD8A, MAX, PRKCH, , TARP, VPS35",3.41954486741743e-156,155.46603169357
"69","MENVEO ACWYVAX_DOWN","STAMARIL_DOWN",12,4.92,"ABHD5, ANAPC16, BANK1, ATOSA, FBXO7, FCRLA, HSD17B11, LMBRD1, MPZL1, RBM47, , SGK1",2.110210116207e-119,118.675674299316
"70","MENVEO ACWYVAX_DOWN","MMR II_DOWN",11,4.51,"ALDH1A1, ALDH2, CRTAP, DPYD, EVI2B, LIPA, PPT1, PTGDR, , SLC40A1, TLR6",2.27596302223198e-213,212.64283479824
"71","MENVEO ACWYVAX_DOWN","PREVNAR_DOWN",0,0,"",1.30536532873459e-10,9.88426792660191
"72","MENVEO ACWYVAX_DOWN","BCG_DOWN",3,1.23,"CA2, CPQ, ZMIZ1",2.04801136628321e-142,141.688667637393
"73","MENVEO ACWYVAX_DOWN","PPD_DOWN",2,0.82,"CA2, ZMIZ1",2.88444317338301e-120,119.539938012688
"74","MENVEO ACWYVAX_DOWN","TC-83_DOWN",1,0.41,"SGK1",4.40528376103397e-48,47.3560261117963
"75","MENVEO ACWYVAX_DOWN","MVA85A_DOWN",2,0.82,", SGK1",2.56383036614624e-16,15.5911107129612
"76","INFLUENZA_DOWN","ATTENUVAX_DOWN",0,0,"",1.96947361546285e-18,17.7056498329486
"77","INFLUENZA_DOWN","YF VAX_DOWN",0,0,"",9.60983155047774e-64,63.0172842249578
"78","INFLUENZA_DOWN","RVSV EBOV_DOWN",0,0,"",1.33378916911977e-08,7.87491281354101
"79","INFLUENZA_DOWN","CHAD63-KH_DOWN",8,13.11,"PTPN22, PURA, TRAV16, CXCL8, TRGJP1, RNU6-1, THBD, ",4.85508762165152e-91,90.3138029278041
"80","INFLUENZA_DOWN","INACTIVATED INFLUENZA_DOWN",4,6.56,"MXD1, OSM, , ZMYND15",1.01071675366456e-87,86.9953705353641
"81","INFLUENZA_DOWN","FLUARIX_DOWN",0,0,"",3.06796685778884e-21,20.5131493362345
"82","INFLUENZA_DOWN","LVS F TULARENSIS_DOWN",0,0,"",5.62152407277805e-31,30.2501459252379
"83","INFLUENZA_DOWN","CN54GP140_DOWN",1,1.64,"",1.20520805062671e-54,53.9189379759606
"84","INFLUENZA_DOWN","HIV-1 GAG-POL NEF_DOWN",6,9.84,"CASP6, PTPN22, SP4, TRAV16, TRGJP1, ",3.76898588788492e-82,81.4237754886648
"85","INFLUENZA_DOWN","HPV-VLP_DOWN",1,1.64,"VNN3P",4.26558085214556e-72,71.3700218217754
"86","INFLUENZA_DOWN","PANDEMRIX_DOWN",0,0,"",1.50966328100789e-25,24.8211199080097
"87","INFLUENZA_DOWN","FLUZONE_DOWN",1,1.64,"CXCL8",7.72272208178341e-21,20.1122295938706
"88","INFLUENZA_DOWN","FLUMIST_DOWN",1,1.64,"",7.6699171444721e-20,19.1152093275625
"89","INFLUENZA_DOWN","FLUENZ_DOWN",0,0,"",1.33378916911977e-08,7.87491281354101
"90","INFLUENZA_DOWN","MENACTRA_DOWN",0,0,"",1.96947361546285e-18,17.7056498329486
"91","INFLUENZA_DOWN","WETVAX_DOWN",1,1.64,"",1.01903349751289e-68,67.9918115396973
"92","INFLUENZA_DOWN","STAMARIL_DOWN",2,3.28,"PI3, ",5.47450375223105e-58,57.2616552422295
"93","INFLUENZA_DOWN","MMR II_DOWN",3,4.92,"KCNJ15, THBD, ",7.45011505834239e-82,81.1278370200279
"94","INFLUENZA_DOWN","PREVNAR_DOWN",0,0,"",1.42270844706109e-07,6.84688408994077
"95","INFLUENZA_DOWN","BCG_DOWN",2,3.28,"FPR3, ZMYND15",4.79621258620267e-60,59.3191015755797
"96","INFLUENZA_DOWN","PPD_DOWN",1,1.64,"FPR3",1.20520805062671e-54,53.9189379759606
"97","INFLUENZA_DOWN","TC-83_DOWN",3,4.92,"CXCL8, PI3, THBD",1.32153482371684e-23,22.8789213883031
"98","INFLUENZA_DOWN","MVA85A_DOWN",1,1.64,"",6.57963126758852e-12,11.1817984442187
"99","ATTENUVAX_DOWN","YF VAX_DOWN",0,0,"",2.30534253360181e-29,28.6372645369117
"100","ATTENUVAX_DOWN","RVSV EBOV_DOWN",0,0,"",5.64652738565782e-06,5.24821856119008
"101","ATTENUVAX_DOWN","CHAD63-KH_DOWN",1,5.26,"XPC",1.20773770734822e-42,41.9180273741751
"102","ATTENUVAX_DOWN","INACTIVATED INFLUENZA_DOWN",0,0,"",3.30523684270665e-41,40.480797414909
"103","ATTENUVAX_DOWN","FLUARIX_DOWN",0,0,"",1.24926226089869e-12,11.9033463794763
"104","ATTENUVAX_DOWN","LVS F TULARENSIS_DOWN",0,0,"",5.77946958320266e-17,16.2381120175758
"105","ATTENUVAX_DOWN","CN54GP140_DOWN",0,0,"",5.60861954179783e-27,26.2511440191636
"106","ATTENUVAX_DOWN","HIV-1 GAG-POL NEF_DOWN",0,0,"",7.47157825963546e-41,40.1265876502526
"107","ATTENUVAX_DOWN","HPV-VLP_DOWN",0,0,"",3.50109510261249e-33,32.4557960920402
"108","ATTENUVAX_DOWN","PANDEMRIX_DOWN",0,0,"",1.30957964444831e-14,13.8828680840333
"109","ATTENUVAX_DOWN","FLUZONE_DOWN",1,5.26,"IFNA1",1.10730064034202e-11,10.955734448936
"110","ATTENUVAX_DOWN","FLUMIST_DOWN",0,0,"",7.09808102783347e-13,12.1488590472905
"111","ATTENUVAX_DOWN","FLUENZ_DOWN",0,0,"",5.64652738565782e-06,5.24821856119008
"112","ATTENUVAX_DOWN","MENACTRA_DOWN",0,0,"",5.65846675050139e-11,10.24730123171
"113","ATTENUVAX_DOWN","WETVAX_DOWN",0,0,"",5.31207597892564e-32,31.2747357218569
"114","ATTENUVAX_DOWN","STAMARIL_DOWN",0,0,"",5.7633169071124e-29,28.2393274992411
"115","ATTENUVAX_DOWN","MMR II_DOWN",4,21.05,"RBP1, ERBB3, HGF, NOTCH3",3.87047705425536e-28,27.412235502872
"116","ATTENUVAX_DOWN","PREVNAR_DOWN",0,0,"",2.35271974402409e-05,4.62842980290168
"117","ATTENUVAX_DOWN","BCG_DOWN",0,0,"",1.03298376782896e-29,28.9859065028731
"118","ATTENUVAX_DOWN","PPD_DOWN",0,0,"",5.60861954179783e-27,26.2511440191636
"119","ATTENUVAX_DOWN","TC-83_DOWN",0,0,"",4.89044857737648e-16,15.3106513033009
"120","ATTENUVAX_DOWN","MVA85A_DOWN",0,0,"",7.08614143832018e-09,8.14959018346362
"121","YF VAX_DOWN","RVSV EBOV_DOWN",0,0,"",3.05798730396788e-12,11.5145643220068
"122","YF VAX_DOWN","CHAD63-KH_DOWN",29,10.1,"ARL4C, C12orf57, CBX7, KIF22, KLRB1, LDHB, RPL13, RPL23A, TMC6, ZAP70, COL6A2, EIF4B, ADCY9, BCR, CD244, CTNNBIP1, DBP, EIF3F, EIF3L, ITGA6, RPL3, RPL5, RPS3, RPS6, SFI1, TNRC6C, TOP2B, VPS51, ZNF681",6.69092258321766e-264,263.174513995061
"123","YF VAX_DOWN","INACTIVATED INFLUENZA_DOWN",29,10.1,"KIF22, TMEM259, BRAT1, NDUFV1, ARHGAP27, ARHGAP4, CCM2, CHFR, FAAP100, GJC1, GTPBP6, JMJD8, KDELR1, MCM7, MMS19, NCLN, NME3, NPEPL1, POLM, PPP1R12C, CYTH4, PSTPIP1, RHOT2, RPL10, MAP7D1, SPSB3, STX4, TCF25, TRABD",1.08754465007738e-213,212.963552903675
"124","YF VAX_DOWN","FLUARIX_DOWN",0,0,"",8.66603953686081e-35,34.062179333926
"125","YF VAX_DOWN","LVS F TULARENSIS_DOWN",0,0,"",1.73908832559054e-55,54.759678360296
"126","YF VAX_DOWN","CN54GP140_DOWN",7,2.44,"B4GALT3, CORO1A, BANP, GUK1, MEGF8, PMEPA1, MAP7D1",8.8513952766684e-111,110.052988264534
"127","YF VAX_DOWN","HIV-1 GAG-POL NEF_DOWN",49,17.07,"ARL4C, C12orf57, CBX7, CD3D, KLRB1, LDHB, LTB, RPL13, RPS15A, RPS21, ZAP70, EIF4B, RPS13, CD244, CXXC5, EEF1G, EEF2, EIF3E, EIF3F, EIF3L, HMGB1, ITGA6, LTA4H, NKG7, PNRC1, PRRC2B, RACK1, RPL11, RPL15, RPL18, RPL22, RPL3, RPL35A, RPL37A, RPL5, RPL6, RPS14, RPS15, RPS3, RPS4X, RPS5, RPS6, SRSF5, SNHG29, SNRNP200, TNRC6C, TOP2B, UBA52, VPS51",4.32026342859507e-180,179.364489771218
"128","YF VAX_DOWN","HPV-VLP_DOWN",13,4.53,"ICAM3, RPL13, TSPAN4, ACP5, CACNA2D3, CHGA, DBP, EEF1D, ITGA6, LRP1, NME3, SGSH, VPS51",1.47301149077149e-157,156.831793865269
"129","YF VAX_DOWN","PANDEMRIX_DOWN",0,0,"",1.39386005734025e-43,42.855780826938
"130","YF VAX_DOWN","FLUZONE_DOWN",0,0,"",7.64180282580806e-38,37.1168041721917
"131","YF VAX_DOWN","FLUMIST_DOWN",0,0,"",8.02411068227864e-36,35.095603089413
"132","YF VAX_DOWN","FLUENZ_DOWN",0,0,"",3.05798730396788e-12,11.5145643220068
"133","YF VAX_DOWN","MENACTRA_DOWN",0,0,"",2.30534253360181e-29,28.6372645369117
"134","YF VAX_DOWN","WETVAX_DOWN",31,10.8,"ARL4C, B4GALT3, C12orf57, CBX7, CD3D, EEF1B2, ICAM3, KIF22, KLRB1, LDHB, LTB, RPL10A, RPL13, RPL23A, RPL9, RPS10, RPS15A, RPS21, RPS3A, TCF3, TMC6, TSPAN4, ZAP70, CORO1A, CACNA2D3, CCT3, EIF3F, IL24, PRPF6, SRSF5, VPS35",1.10222404646718e-120,119.957730118502
"135","YF VAX_DOWN","STAMARIL_DOWN",38,13.24,"C12orf57, CBX7, EEF1B2, ICAM3, KLRB1, LDHB, RPL10A, RPL13, RPL9, RPS10, RPS15A, RPS3A, EIF4B, RPS13, BTF3, EEF2, EIF3F, EIF3L, GUK1, RPL11, RPL18, RPL22, RPL3, RPL35A, RPL37A, RPL39, RPL5, RPL7A, RPS14, RPS17, RPS27A, RPS3, RPS4X, RPS5, RPS6, SLC4A1, SNHG29, TOMM7",1.14400350808655e-86,85.941572643777
"136","YF VAX_DOWN","MMR II_DOWN",21,7.32,"C12orf57, CBX7, KLRB1, RPS3A, TSPAN4, EIF4B, ACP5, AKR7A2, ARHGAP4, CTNNBIP1, DBP, EIF3F, EIF3L, LRP1, LTA4H, PPFIA4, PSTPIP1, RPL10, RPL22, TOMM7, TOP2B",3.31188199137072e-196,195.479925146347
"137","YF VAX_DOWN","PREVNAR_DOWN",0,0,"",1.2792580221599e-10,9.89304185090941
"138","YF VAX_DOWN","BCG_DOWN",3,1.05,"LRP1, CYTH4, SNAI3",1.00755579264948e-142,141.996730895788
"139","YF VAX_DOWN","PPD_DOWN",1,0.35,"LRP1",7.84338043816664e-123,122.105496719302
"140","YF VAX_DOWN","TC-83_DOWN",1,0.35,"SLC4A1",3.78699832088887e-48,47.4217048874403
"141","YF VAX_DOWN","MVA85A_DOWN",0,0,"",7.48810797314685e-21,20.1256279020098
"142","RVSV EBOV_DOWN","CHAD63-KH_DOWN",0,0,"",1.57715170395336e-17,16.8021265305005
"143","RVSV EBOV_DOWN","INACTIVATED INFLUENZA_DOWN",0,0,"",4.9483664682301e-16,15.3055381446863
"144","RVSV EBOV_DOWN","FLUARIX_DOWN",0,0,"",1.6841396151741e-06,5.77362190833141
"145","RVSV EBOV_DOWN","LVS F TULARENSIS_DOWN",0,0,"",4.35587878112057e-08,7.36092421464238
"146","RVSV EBOV_DOWN","CN54GP140_DOWN",0,0,"",1.82585345038803e-11,10.7385340834512
"147","RVSV EBOV_DOWN","HIV-1 GAG-POL NEF_DOWN",0,0,"",6.41228433733369e-16,15.1929872281462
"148","RVSV EBOV_DOWN","HPV-VLP_DOWN",0,0,"",1.79798668829151e-13,12.7452135279659
"149","RVSV EBOV_DOWN","PANDEMRIX_DOWN",0,0,"",3.0650185448947e-07,6.51356689343885
"150","RVSV EBOV_DOWN","FLUZONE_DOWN",0,0,"",9.02879100876878e-07,6.04437039956163
"151","RVSV EBOV_DOWN","FLUMIST_DOWN",0,0,"",1.35817710901136e-06,5.86704359349365
"152","RVSV EBOV_DOWN","FLUENZ_DOWN",0,0,"",0.00216450216450217,2.66464197555613
"153","RVSV EBOV_DOWN","MENACTRA_DOWN",0,0,"",5.64652738565782e-06,5.24821856119008
"154","RVSV EBOV_DOWN","WETVAX_DOWN",0,0,"",4.30753841391726e-13,12.3657708408961
"155","RVSV EBOV_DOWN","STAMARIL_DOWN",0,0,"",4.11541437068035e-12,11.3855864302355
"156","RVSV EBOV_DOWN","MMR II_DOWN",0,0,"",4.22815733728622e-15,14.3738488601906
"157","RVSV EBOV_DOWN","PREVNAR_DOWN",0,0,"",0.00216450216450217,2.66464197555613
"158","RVSV EBOV_DOWN","BCG_DOWN",0,0,"",2.35811378145101e-12,11.6274352435734
"159","RVSV EBOV_DOWN","PPD_DOWN",0,0,"",1.82585345038803e-11,10.7385340834512
"160","RVSV EBOV_DOWN","TC-83_DOWN",0,0,"",9.31309151518692e-08,7.03090612942504
"161","RVSV EBOV_DOWN","MVA85A_DOWN",0,0,"",5.38677009265244e-05,4.26867155974699
"162","CHAD63-KH_DOWN","INACTIVATED INFLUENZA_DOWN",89,4.7,"AAK1, ACAD11, ADAM19, ADHFE1, ANKRD36, ANKRD36B, AXIN1, CAMK2G, CBLB, CD1C, CD99, CERK, CMTM4, CNNM3, COQ10A, COX19, CREBZF, DEF8, DGKA, DIP2A, DMAP1, DPEP2, EPM2AIP1, EXOSC2, FKTN, FYN, GK5, GOLGA8B, ADGRG1, GSTM2, IKZF5, IL32, PATJ, , KIF22, KLHL3, KRT72, KRT73, LUC7L, MCM8, MEGF6, MIAT, MMP23B, MRI1, MTX3, NAA16, NBPF3, NISCH, NKTR, NR2C1, NSUN5P1, NSUN5P2, PABPC1, PCED1B, PLCH2, RNF216, SEC22C, SEPTIN7P2, SGK1, SGSM2, SLC26A11, SLC7A6, SPG7, SPOCK2, SPTAN1, SRPK2, STAG3L1, STAG3L2, STAG3L3, STMN3, SUGP2, SULT1A2, SUN1, TRAF1, TUBGCP5, TXK, VIPR1, WDR54, ZBTB40, TUT4, ZNF514, ZNF548, ZNF573, ZNF746, ZNF786, ZNF827, ZNF839, ZSCAN18, ZXDC",0,0
"163","CHAD63-KH_DOWN","FLUARIX_DOWN",0,0,"",1.27476970053482e-55,54.8945682676386
"164","CHAD63-KH_DOWN","LVS F TULARENSIS_DOWN",2,0.11,"CD44, ICOS",2.92137850958481e-89,88.5344121698411
"165","CHAD63-KH_DOWN","CN54GP140_DOWN",7,0.37,"HMCES, DDIT4, DPEP2, FRA10AC1, , NDRG3, PRKCZ",2.97264085330736e-246,245.526857557949
