"","genes","process","gene_set_short","go_term","immune_system","immune_sub_system","immune_tissue","set_size"
"11","RHOA","ALPHA-BETA T CELL LINEAGE COMMITMENT","Lineage commitment, abT cell","GO:0002363","Adaptive","Cellular","T cell",1
"12","CLEC4G,PTPRC","ALPHA-BETA T CELL PROLIFERATION","Proliferation, abT cell","GO:0046633","Adaptive","Cellular","T cell",2
"13","HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1","ANTIBACTERIAL HUMORAL RESPONSE","Antibacterial humoral response","GO:0019731","General","Humoral","Undefined",28
"14","TFEB","ANTIBACTERIAL INNATE IMMUNE RESPONSE","Antibacterial innate immune response","GO:0140367","Innate","Innate","Undefined",1
"15","LGALS4","ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS","Biosynthetic process, Antibacterial peptide","GO:0002780","Innate","Innate","Undefined",1
"16","FCGR3A,FCGR1A","ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","ADCC","GO:0001788","General","ADCC","Undefined",2
"17","FAM3A,TAC1,DEFA4,CAMP","ANTIFUNGAL HUMORAL RESPONSE","Antifungal humoral response","GO:0019732","General","Humoral","Antimicrobial",4
"18","CX3CR1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A","ANTIFUNGAL INNATE IMMUNE RESPONSE","Antifungal innate immune response","GO:0061760","Innate","Antifungal","Undefined",6
"19","HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A","ANTIGEN PROCESSING AND PRESENTATION","APP","GO:0019882","Innate","APP","All",20
"20","TAP2,TAP1,ERAP2,B2M,IDE","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","APP, MHC I, endogenous peptide","GO:0019885","Innate","APP","All",5
"21","TAP2","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-DEPENDENT","APP, MHC I, endogenous peptide, TAP-dependent","GO:0002485","Innate","APP","All",1
"22","HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","APP, MHC I, endogenous peptide, TAP-independent","GO:0002486","Innate","APP","All",6
"23","HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","APP, MHC IB, endogenous peptide","GO:0002476","Innate","APP","All",6
"24","TAP2","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB VIA ER PATHWAY, TAP-DEPENDENT","APP, MHC IB, endogenous peptide, TAP-dependent","GO:0002489","Innate","APP","All",1
"25","PSME1,FCGR1A","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN","APP, Exogenous antigen","GO:0019884","Innate","APP","APC",2
"26","FCGR1A,FCER1G,IFI30,MFSD6","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","APP, MHC I, exogenous peptide","GO:0042590","Innate","APP","All",4
"27","HLA-F,HLA-E","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","APP, MHC IB, exogenous peptide","GO:0002477","Innate","APP","All",2
"28","IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","APP, MHC II, exogenous peptide","GO:0019886","Innate","APP","APC",13
"29","B2M,TAP2","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PROTEIN ANTIGEN VIA MHC CLASS IB, TAP-DEPENDENT","APP, MHC IB, exogenous peptide, TAP-dependent","GO:0002481","Innate","APP","All",2
"30","SLC11A1,CTSS","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN","APP, Peptide antigen","GO:0048002","Innate","APP","All",2
"31","HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","APP, MHC I, Peptide antigen","GO:0002474","Innate","APP","All",7
"32","HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II","APP, MHC II, polysacharide or peptide","GO:0002504","Innate","APP","APC",6
"33","CD1D,CD1B,CD1E,CD1C","ANTIGEN PROCESSING AND PRESENTATION, ENDOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","APP, MHC IB, Endogenous lipid antigen","GO:0048006","Innate","APP","All",4
"34","CD1B,AP3B1,CD1E,CD1D,CD1C","ANTIGEN PROCESSING AND PRESENTATION, EXOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","APP, MHC IB, Exogenous lipid antigen","GO:0048007","Innate","APP","All",5
"35","CD19,BCAR1,LAX1","ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY","Signaling, Antigen receptor, Pathway","GO:0050851","General","Undefined","Undefined",3
"36","GP2","ANTIGEN TRANSCYTOSIS BY M CELLS IN MUCOSAL-ASSOCIATED LYMPHOID TISSUE","Antigen transcytosis, M cells, Mucosa, Lymphoid tissue","GO:0002412","Innate","M cells","M cells",1
"37","CXCL14,CXCL12,CAMP,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,TAC1,NTS,CXCL2,HAMP,S100A12,DEFA4,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,FAM3A,ADM,CCL18","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Antimicrobial peptide-mediated immune response","GO:0061844","General","Humoral","Antimicrobial",55
"38","PRTN3,BCL3,DEFA4,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1","ANTIMICROBIAL HUMORAL RESPONSE","Antimicrobial humoral response","GO:0019730","General","Humoral","Antimicrobial",9
"39","IFIT1,STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100,IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2,RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1","ANTIVIRAL AND INTERFERON","Antiviral and inteferon","Manual","Innate","Interferon and antiviral","All",NA
"40","RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12","ANTIVIRAL INNATE IMMUNE RESPONSE","Antiviral innate immune response","GO:0140374","Innate","Antiviral","Undefined",17
"41","TAP2,TAP2,TICAM1,TAP2,TIRAP,SCIMP,PSME1,FCGR1A,HLA-F,HLA-E,B2M,TAP2,SLC11A1,CTSS,MAP2K6,TNFAIP3,CALR,PDIA3,PIK3AP1,TNIP2,PIK3AP1,SCIMP,TNIP2,PIK3AP1,MBL2,LBP,CD14,NFKBIA,TLR4,XIAP,TNIP2,SCIMP,TICAM1,PRKCE,TICAM2,RAB11FIP2,FCGR1A,FCER1G,IFI30,MFSD6,CD1D,CD1B,CD1E,CD1C,MAVS,RIGI,CGAS,STING1,CASP1,LACC1,CGAS,STING1,RNF135,PHB1,RIGI,LSM14A,TICAM2,TICAM1,TLR4,CD40,TAP2,TAP1,ERAP2,B2M,IDE,CD1B,AP3B1,CD1E,CD1D,CD1C,TLR4,REG3G,HSPD1,TIRAP,BTK,HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F,HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E,HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA,HLA-DRB3,HLA-DMB,HLA-DMA,B2M,HLA-DRB4,HLA-DPA1,HLA-DOB,HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2,SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,TLR4,CD14,NAGLU,PIK3AP1,NFKBIA,SCIMP,TIRAP,RELA,AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS,IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M,HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A","ARPP","Antigen recognition processing and presentation","Manual","Innate","APC","All",NA
"42","PSEN1,LRP1,GRN","ASTROCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE","Activation, Astrocyte","GO:0002265","Innate","Innate","Astrocyte",3
"43","TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4","B CELL ACTIVATION","Activation, B cell","GO:0042113","Adaptive","Humoral","B cell",25
"44","GPR183","B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","Activation, Immune response, B cell","GO:0002312","Adaptive","Humoral","B cell",1
"45","BTK","B CELL AFFINITY MATURATION","Affinity maturation, B cell","GO:0002344","Adaptive","Humoral","B cell",1
"46","CH25H","B CELL CHEMOTAXIS","Chemotaxis, B cell","GO:0035754","Adaptive","Humoral","B cell",1
"47","PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17","B CELL DIFFERENTIATION","Differentiation, B cell","GO:0030183","Adaptive","Humoral","B cell",47
"48","SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3","B CELL HOMEOSTASIS","Homeostasis, B cell","GO:0001782","Adaptive","Humoral","B cell",12
"49","BAX,RAG2","B CELL HOMEOSTATIC PROLIFERATION","Homeostatic proliferation, B cell","GO:0002358","Adaptive","Humoral","B cell",2
"50","TCF3,BCL2,RAG2,PRKDC","B CELL LINEAGE COMMITMENT","Lineage commitment, B cell","GO:0002326","Adaptive","Humoral","B cell",4
"51","CD40,MSH2,CD70,CD19","B CELL MEDIATED IMMUNITY","Immunity, B cell","GO:0019724","Adaptive","Humoral","B cell",4
"52","BAX","B CELL NEGATIVE SELECTION","Negative selection, B cell","GO:0002352","Adaptive","Humoral","B cell",1
"53","TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A","B CELL PROLIFERATION","Proliferation, B cell","GO:0042100","Adaptive","Humoral","B cell",26
"54","ABL1,CD19,TLR4,GAPT","B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","Proliferation, Immune response, B cell","GO:0002322","Adaptive","Humoral","B cell",4
"55","BAX","B CELL RECEPTOR APOPTOTIC SIGNALING PATHWAY","Apoptotic signaling, BCR, B cell","GO:1990117","Adaptive","Humoral","B cell",1
"56","CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1","B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","GO:0050853","Adaptive","Humoral","B cell",31
"57","GPR183,BTK,CH25H,BAX,BAX,CD19,YY1,HSPD1,IL2RG,ST3GAL1,HLA-G,LRRC8A,ABL1,BAX,RAG2,TNFAIP3,ABL1,WNT4,CLEC4G,BCL6,STAT6,RAG1,RAG2,GATA3,SPI1,MLH1,MSH2,CDH17,SPI1,IRF8,BCL3,ZP3,CD81,TCF3,PRKDC,LIG4,SHLD3,SHLD1,SHLD2,TCF3,BCL2,RAG2,PRKDC,CD40,MSH2,CD70,CD19,ABL1,CD19,TLR4,GAPT,FCGR2B,IRF8,SPI1,PLCG2,CDH17,BCL3,LFNG,NOTCH2,RAG2,GPR183,C17orf99,FCGR2B,SPI1,PRKDC,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,UNG,MLH1,MSH2,MSH6,PMS2,MSH2,MSH6,MLH1,UNG,PMS2,MSH3,LIG4,MSH2,MLH1,ERCC1,CD40LG,UNG,RNF168,SANBR,MSH6,SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3,LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A,CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1,PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17,IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","B CELLS","B cells","Manual","Adaptive","Humoral","B cell",NA
"58","CD19","B-1 B CELL DIFFERENTIATION","Differentiation, B-1 B cell","GO:0001923","Adaptive","Humoral","B cell",1
"59","TNFAIP3,ABL1","B-1 B CELL HOMEOSTASIS","Homeostasis, B-1 B cell","GO:0001922","Adaptive","Humoral","B cell",2
"60","VEGFA","BASOPHIL CHEMOTAXIS","Chemotaxis, Basophil","GO:0002575","Innate","Innate","Basophil",1
"61","MPL","BASOPHIL HOMEOSTASIS","Homeostasis, Basophil","GO:1990960","Innate","Innate","Basophil",1
