"","process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"11","ALPHA-BETA T CELL ACTIVATION","CD247,CD3G","GO:0046631","Adaptive","Cellular","Activation, abT cell","T cell",3
"12","ALPHA-BETA T CELL DIFFERENTIATION","RPL22,BRAF,GLI3,ADA,ABL1,ZAP70","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"13","ALPHA-BETA T CELL LINEAGE COMMITMENT","RHOA","GO:0002363","Adaptive","Cellular","Lineage commitment, abT cell","T cell",1
"14","ALPHA-BETA T CELL PROLIFERATION","CLEC4G,PTPRC","GO:0046633","Adaptive","Cellular","Proliferation, abT cell","T cell",2
"15","ANTIBACTERIAL HUMORAL RESPONSE","HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"16","ANTIBACTERIAL INNATE IMMUNE RESPONSE","TFEB","GO:0140367","Innate","Innate","Antibacterial innate immune response","Undefined",1
"17","ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS","LGALS4","GO:0002780","Innate","Innate","Biosynthetic process, Antibacterial peptide","Undefined",1
"18","ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","FCGR3A,FCGR1A","GO:0001788","General","ADCC","ADCC","Undefined",2
"19","ANTIFUNGAL HUMORAL RESPONSE","FAM3A,TAC1,DEFA4,CAMP","GO:0019732","General","Humoral","Antifungal humoral response","Antimicrobial",4
"20","ANTIFUNGAL INNATE IMMUNE RESPONSE","CX3CR1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"21","ANTIGEN PROCESSING AND PRESENTATION","HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A","GO:0019882","Innate","APP","APP","All",20
"22","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","TAP2,TAP1,ERAP2,B2M,IDE","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"23","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-DEPENDENT","TAP2","GO:0002485","Innate","APP","APP, MHC I, endogenous peptide, TAP-dependent","All",1
"24","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"25","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E","GO:0002476","Innate","APP","APP, MHC IB, endogenous peptide","All",6
"26","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB VIA ER PATHWAY, TAP-DEPENDENT","TAP2","GO:0002489","Innate","APP","APP, MHC IB, endogenous peptide, TAP-dependent","All",1
"27","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN","PSME1,FCGR1A","GO:0019884","Innate","APP","APP, Exogenous antigen","APC",2
"28","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","FCGR1A,FCER1G,IFI30,MFSD6","GO:0042590","Innate","APP","APP, MHC I, exogenous peptide","All",4
"29","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-F,HLA-E","GO:0002477","Innate","APP","APP, MHC IB, exogenous peptide","All",2
"30","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M","GO:0019886","Innate","APP","APP, MHC II, exogenous peptide","APC",13
"31","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PROTEIN ANTIGEN VIA MHC CLASS IB, TAP-DEPENDENT","B2M,TAP2","GO:0002481","Innate","APP","APP, MHC IB, exogenous peptide, TAP-dependent","All",2
"32","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN","SLC11A1,CTSS","GO:0048002","Innate","APP","APP, Peptide antigen","All",2
"33","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2","GO:0002474","Innate","APP","APP, MHC I, Peptide antigen","All",7
"34","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II","HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1","GO:0002504","Innate","APP","APP, MHC II, polysacharide or peptide","APC",6
"35","ANTIGEN PROCESSING AND PRESENTATION, ENDOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","CD1D,CD1B,CD1E,CD1C","GO:0048006","Innate","APP","APP, MHC IB, Endogenous lipid antigen","All",4
"36","ANTIGEN PROCESSING AND PRESENTATION, EXOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","CD1B,AP3B1,CD1E,CD1D,CD1C","GO:0048007","Innate","APP","APP, MHC IB, Exogenous lipid antigen","All",5
"37","ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY","CD19,BCAR1,LAX1","GO:0050851","General","Undefined","Signaling, Antigen receptor, Pathway","Undefined",3
"38","ANTIGEN TRANSCYTOSIS BY M CELLS IN MUCOSAL-ASSOCIATED LYMPHOID TISSUE","GP2","GO:0002412","Innate","M cells","Antigen transcytosis, M cells, Mucosa, Lymphoid tissue","M cells",1
"39","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","CXCL14,CXCL12,CAMP,DEFA1,FAU,CCL20,DEFB130A,TOR2A,CXCL1,DEFA3,DEFB131A,REG1B,H2BC10,ROMO1,TAC1,NTS,CXCL2,HAMP,S100A12,DEFA4,CXCL8,CXCL9,REG3A,GNLY,RNASE3,RPS19,BPI,REG3G,RPL30,DEFB1,LGALS3,PF4V1,H2BC12L,SPAG11A,CCL1,HTN1,DEFB103A,DEFA5,DEFA6,B2M,SPAG11B,CXCL6,CXCL3,NPPB,CXCL5,XCL1,CCL8,RPL39,HTN3,S100A7,DCD,F2,FAM3A,ADM,CCL18","GO:0061844","General","Humoral","Antimicrobial peptide-mediated immune response","Antimicrobial",55
"40","ANTIMICROBIAL HUMORAL RESPONSE","PRTN3,BCL3,DEFA4,LYZ,CST9LP1,CST9,SLC11A1,PRSS3,AZU1","GO:0019730","General","Humoral","Antimicrobial humoral response","Antimicrobial",9
"41","ANTIVIRAL AND INTERFERON","IFIT1,STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100,IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2,RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12,IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS,DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1","Manual","Innate","Interferon and antiviral","Antiviral and inteferon","All",NA
"42","ANTIVIRAL INNATE IMMUNE RESPONSE","RNF135,PHB1,TRIM65,UBE2N,MAVS,NMB,RIGI,NMBR,IFIT1,EIF2AK2,STING1,MBL2,NCK1,IFIT2,NLRP6,MX1,PDE12","GO:0140374","Innate","Antiviral","Antiviral innate immune response","Undefined",17
"43","ARPP","TAP2,TAP2,TICAM1,TAP2,TIRAP,SCIMP,PSME1,FCGR1A,HLA-F,HLA-E,B2M,TAP2,SLC11A1,CTSS,MAP2K6,TNFAIP3,CALR,PDIA3,PIK3AP1,TNIP2,PIK3AP1,SCIMP,TNIP2,PIK3AP1,MBL2,LBP,CD14,NFKBIA,TLR4,XIAP,TNIP2,SCIMP,TICAM1,PRKCE,TICAM2,RAB11FIP2,FCGR1A,FCER1G,IFI30,MFSD6,CD1D,CD1B,CD1E,CD1C,MAVS,RIGI,CGAS,STING1,CASP1,LACC1,CGAS,STING1,RNF135,PHB1,RIGI,LSM14A,TICAM2,TICAM1,TLR4,CD40,TAP2,TAP1,ERAP2,B2M,IDE,CD1B,AP3B1,CD1E,CD1D,CD1C,TLR4,REG3G,HSPD1,TIRAP,BTK,HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F,HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E,HLA-DRB3,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA,HLA-DRB3,HLA-DMB,HLA-DMA,B2M,HLA-DRB4,HLA-DPA1,HLA-DOB,HLA-G,HLA-E,B2M,HLA-F,HLA-C,ACE,ERAP2,SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1,TLR4,CD14,NAGLU,PIK3AP1,NFKBIA,SCIMP,TIRAP,RELA,AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS,IFI30,HLA-DOB,DNM2,HLA-DMB,HLA-DPA1,CTSE,FCGR2B,CTSS,HLA-DMA,HLA-DRB3,FCER1G,HLA-DRB4,B2M,HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A","Manual","Innate","APC","Antigen recognition processing and presentation","All",NA
"44","ASTROCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE","PSEN1,LRP1,GRN","GO:0002265","Innate","Innate","Activation, Astrocyte","Astrocyte",3
"45","B CELL ACTIVATION","TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CD40,GAPT,PHB1,CHRNA7,MS4A1,LAX1,RASGRP1,HSPD1,BTK,ZAP70,CD86,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4","GO:0042113","Adaptive","Humoral","Activation, B cell","B cell",25
"46","B CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","GPR183","GO:0002312","Adaptive","Humoral","Activation, Immune response, B cell","B cell",1
"47","B CELL AFFINITY MATURATION","BTK","GO:0002344","Adaptive","Humoral","Affinity maturation, B cell","B cell",1
"48","B CELL CHEMOTAXIS","CH25H","GO:0035754","Adaptive","Humoral","Chemotaxis, B cell","B cell",1
"49","B CELL DIFFERENTIATION","PLCG2,PTPRC,PAX5,TOP2B,IFNA8,PIK3R1,RAG1,MSH2,RAG2,IL2RG,ADGRG3,FZD9,MS4A1,EP300,PTPRJ,YY1,STAT5B,PTPN2,LYL1,SYK,CEBPG,JAK3,CD79B,CD79A,CR2,BCL6,KIT,SP3,ZBTB7A,NFAM1,ITGA4,CD40LG,IL10,IL11,BCL2,HDAC4,TPD52,TCF3,RBPJ,FOSL2,IFNE,HHEX,FLT3,VCAM1,ADAM17,IL9,CDH17","GO:0030183","Adaptive","Humoral","Differentiation, B cell","B cell",47
"50","B CELL HOMEOSTASIS","SPNS2,BAX,BCL2,GAPT,CAMLG,MEF2C,IL7R,RC3H1,SOS2,SOS1,NCKAP1L,CASP3","GO:0001782","Adaptive","Humoral","Homeostasis, B cell","B cell",12
"51","B CELL HOMEOSTATIC PROLIFERATION","BAX,RAG2","GO:0002358","Adaptive","Humoral","Homeostatic proliferation, B cell","B cell",2
"52","B CELL LINEAGE COMMITMENT","TCF3,BCL2,RAG2,PRKDC","GO:0002326","Adaptive","Humoral","Lineage commitment, B cell","B cell",4
"53","B CELL MEDIATED IMMUNITY","CD40,MSH2,CD70,CD19","GO:0019724","Adaptive","Humoral","Immunity, B cell","B cell",4
"54","B CELL NEGATIVE SELECTION","BAX","GO:0002352","Adaptive","Humoral","Negative selection, B cell","B cell",1
"55","B CELL PROLIFERATION","TICAM1,BCL2,MEF2C,CD70,TLR4,IL9,CD40,BCL6,RASGRP1,PTPRC,MS4A1,CD79A,HSPD1,CD40LG,IFNA8,IL10,ABL1,IL7,CR2,PRKCD,CTPS1,IL7R,CD38,IFNE,FOSL2,WNT3A","GO:0042100","Adaptive","Humoral","Proliferation, B cell","B cell",26
"56","B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","ABL1,CD19,TLR4,GAPT","GO:0002322","Adaptive","Humoral","Proliferation, Immune response, B cell","B cell",4
"57","B CELL RECEPTOR APOPTOTIC SIGNALING PATHWAY","BAX","GO:1990117","Adaptive","Humoral","Apoptotic signaling, BCR, B cell","B cell",1
"58","B CELL RECEPTOR SIGNALING PATHWAY","CD79A,BTK,ABL1,BCAR1,BCL2,CTLA4,CD79B,SYK,GRB2,CD19,MEF2C,MNDA,PLCG2,PTPRC,NCKAP1L,SOS1,ITK,MAPK1,BMX,NFKBIA,PTPN6,MS4A1,TEC,CD38,NFAM1,NFKB1,BANK1","GO:0050853","Adaptive","Humoral","Signaling, BCR, B cell","B cell",31
