process,genes,immune_set,set_size,immune_system,immune_subsystem,cells
ADAPTIVE IMMUNE SYSTEM,CD96,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GZMM,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GZMH,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TIGIT,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GZMK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ITM2A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GPR171,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL32,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TARP,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,THEMIS,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TCF7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MS4A1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTPN22,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TXK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IKZF1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CAMK4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,DPP4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,RHOH,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD8A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ITPR3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD8B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CRTAM,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,KLRK1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL21R,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CORO1A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLAMF7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLAMF1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SP140,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CCR5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,STAT4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CXCR3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IFNG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL18R1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTPN7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,KLF12,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ATP8B2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ZMYND11,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GLYR1 /// SEPT6,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CHST15,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LIME1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD24,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GRAP2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,THEM4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LAT /// SPNS1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NOG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LRRN3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SPOCK2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FASLG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ABLIM1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BCL2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PKIA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HNRPLL,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TGFB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,AES,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FAM108A1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,UBE2M,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,DEF6,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,H1FX,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CCDC22,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ACAP1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TECR,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HGS,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SIPA1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CLPTM1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TSC2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SH2B1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,APEH,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CBX4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,STXBP2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BRD2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ATP5D,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,DGKZ,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NRBP1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MAZ,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GNB2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NR1H2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CNOT3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL2RA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,JUNB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FOS,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FOSB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,EGR1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,JUN,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TNF,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TNFRSF4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ATF3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TNFRSF9,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL2RB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FOSL1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TNFRSF18,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CXADR,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LILRB4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD40LG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LILRB2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LILRB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TYROBP,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ITGA4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,VCAM1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LILRB3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL23A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FYN,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IFI30,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD37,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MAPK14,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ARHGDIB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LCP1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SELL,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SPI1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GFI1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LPXN,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LAG3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTPN6,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,UNC93B1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LTB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,JAK3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MGC16121,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TCF4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLC40A1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,APBB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CHI3L2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ASRGL1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PCSK5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLC38A1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HOPX,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,DENND2D,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TC2N,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PLEKHF1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CLEC2D,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FGFBP2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LBH,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TRGC2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC439949,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NPDC1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ANKH,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD320,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLC37A3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,C6orf129,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NDFIP2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CXCR6,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TMEM106C,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,C12orf23,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GIMAP2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,F2R,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TMEM200A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GPR19,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TSPAN5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SV2A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GPR114,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GPR15,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CLDND1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SLC4A7,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL17RB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CTLA4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CCL4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FCER2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CAMK2D,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CSF3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,OSM,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGHD,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BLK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD200,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IL1A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,KIT,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD79A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MEF2C,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,DTX3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GAB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SH2D2A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ADARB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LARGE,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FAM69B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CTGF,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PRKCZ,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CLIP4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BANK1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,DHCR24,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NAV1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD19,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FKBP14,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTK2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD1B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,EBF1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GPM6B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ICOSLG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,VPREB1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD9,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,VPREB3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC100132741,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PSD3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SAMD13,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,RGL1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SCD,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NDST3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ELOVL4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,NTRK2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC100130458,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,RNF150,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LRP12,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ACPL2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TCL1A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GXYLT2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,STK32B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ACCN2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,GH1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC284757,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ADCY9,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,VSIG10,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,OGN,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FAM150B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CSRP2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HHIP,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TNFSF13,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LIF,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HHEX,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CEBPE,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CBFA2T3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LTA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TLR4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LYN,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,STAP1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD72,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TSPAN13,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BCL11A,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,C13orf18,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,KIAA0125,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD79B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,P2RX5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BTLA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,AFF3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PPAPDC1B,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGHM,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC90925,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FCRLA,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,SPIB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FAM129C,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ABCB4,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FCRL1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FCRL5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,KLHL14,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CXCR5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PCDH9,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,RALGPS2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CD22,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGH@,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGKV3-20,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,MACROD2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PNOC,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,ADAM28,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC283663,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CR2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PAX5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,E2F5,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PLEKHG1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PKIG,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FCRL2,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGLJ3,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,HLA-DOB,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,PTPRK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGHA1,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC642838,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,LOC642424,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,IGK@,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,TPD52,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,CDK14,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,BLNK,BTM,588,NA,NA,NA
ADAPTIVE IMMUNE SYSTEM,FCGR2B,BTM,588,NA,NA,NA
