process,immune_system,immune_subsystem,cells,set_size,genes,immune_set
CORO1A-DEF6 network (II) (M32.4),Adaptive,Cellular,T cell,15,"DGKZ,NRBP1,MAZ,UBE2M,DEF6,H1FX,ACAP1,GNB2,CORO1A,NR1H2,SH2B1,CNOT3,HGS,FAM108A1,BRD2",BTM by Modules
signaling in T cells (I) (M35.0),Adaptive,Cellular,T cell,14,"IL2RA,JUNB,GZMB,FOS,IFNG,FOSB,EGR1,JUN,TNF,FASLG,PRF1,TNFRSF4,ATF3,TNFRSF9",BTM by Modules
signaling in T cells (II) (M35.1),Adaptive,Cellular,T cell,11,"IL2RA,IL2RB,GZMB,IFNG,TNF,FOSL1,PRF1,TNFRSF4,FASLG,TNFRSF18,TNFRSF9",BTM by Modules
"T cell surface, activation (M36)",Adaptive,Cellular,T cell,12,"CXADR,LILRB4,CD40LG,LILRB2,LILRB1,TYROBP,ITGA4,VCAM1,CD8A,LILRB3,CD3D,CD3E",BTM by Modules
T cell signaling and costimulation (M44),Adaptive,Cellular,T cell,10,"IL7R,TCF7,IL23A,FYN,IFI30,CD37,MAPK14,ARHGDIB,LCP1,LCK",BTM by Modules
T cell activation (IV) (M52),Adaptive,Cellular,T cell,13,"SELL,SPI1,GFI1,LPXN,XCL1,GATA3,LAG3,CD5,PTPN6,PTPRC,UNC93B1,LCK,CD3E",BTM by Modules
"IL2, IL7, TCR network (M65)",Adaptive,Cellular,T cell,12,"IL7R,PTPRCAP,ITK,TRAC,IL2RG,LTB,TRA@ /// TRAC /// TRAJ17 /// TRAV20,TRBC1,JAK3,CCR7,LCK,BCL2",BTM by Modules
double positive thymocytes (M126),Adaptive,Cellular,T cell,13,"MGC16121,TCF4,UBASH3A,SLC40A1,SH2D1A,APBB1,BCL11B,CD4,CHI3L2,ASRGL1,PCSK5,LAT /// SPNS1,CD3E",BTM by Modules
enriched in T cells (II) (M223),Adaptive,Cellular,T cell,13,"SLC38A1,HOPX,CD40LG,DENND2D,TC2N,PLEKHF1,LRRN3,CLEC2D,FGFBP2,LBH,TRGC2,DPP4,LOC439949",BTM by Modules
T cell surface signature (S0),Adaptive,Cellular,T cell,27,"NPDC1,ANKH,LAG3,CD6,CD2,CD320,SLC37A3,C6orf129,NDFIP2,CXCR6,SIT1,SIRPG,ICOS,CD28,SLC38A1,TMEM106C,PTPRCAP,FLT3LG,C12orf23,GIMAP2,LRRN3,CLEC2D,CD3E,ITM2A,GPR171,MAL,CD3G",BTM by Modules
CD4 T cell surface signature Th1-stimulated (S6),Adaptive,Cellular,Th1,9,"F2R,TMEM200A,C6orf129,GPR19,LAG3,NDFIP2,TSPAN5,SV2A,GPR114",BTM by Modules
CD4 T cell surface signature Th2-stimulated (S7),Adaptive,Cellular,Th2,13,"SLC37A3,GPR15,CD28,CLDND1,TMEM200A,SLC4A7,IL17RB,ITM2A,GPR171,SIT1,C6orf129,MAL,CD3G",BTM by Modules
"immuregulation - monocytes, T and B cells (M57)",Adaptive,General,Lymphocyte,13,"CTLA4,IL23A,CCL4,FCER2,CAMK2D,CSF3,OSM,IGHD,BLK,CD200,IL1A,KIT,CD79A",BTM by Modules
lymphocyte generic cluster (M60),Adaptive,General,Lymphocyte,17,"MEF2C,CD28,DTX3,GAB1,SH2D2A,ADARB1,LARGE,FAM69B,CTGF,PRKCZ,CHI3L2,CD2,CLIP4,BANK1,DHCR24,NAV1,CD19",BTM by Modules
"T & B cell development, activation (M62.0)",Adaptive,General,Lymphocyte,44,"FKBP14,PTK2,CD1B,EBF1,CD3G,GAB1,CD7,GPM6B,ICOSLG,VPREB1,CD9,VPREB3,LOC100132741,PSD3,TRAT1,SAMD13,RGL1,SCD,NDST3,ELOVL4,NTRK2,NAV1,LOC100130458,RNF150,UBASH3A,LRP12,ACPL2,CAMK2D,TCL1A,GXYLT2,STK32B,ACCN2,GH1,LOC284757,ADCY9,MAL,VSIG10,CTGF,OGN,FAM150B,SH2D1A,CSRP2,CD3E,HHIP",BTM by Modules
B cell development (M9),Adaptive,Humoral,B cell,11,"TNFSF13,LIF,HHEX,CEBPE,CBFA2T3,LTA,SPI1,TLR4,CCR7,LYN,TNF",BTM by Modules
enriched in B cells (I) (M47.0),Adaptive,Humoral,B cell,53,"STAP1,BLK,CD72,TSPAN13,BCL11A,C13orf18,KIAA0125,CD200,CD79B,VPREB3,CD79A,P2RX5,BTLA,AFF3,PPAPDC1B,IGHM,LOC90925,FCRLA,SPIB,FAM129C,ABCB4,LOC100130458,FCRL1,BANK1,MS4A1,FCRL5,TCF4,KLHL14,CXCR5,PCDH9,RALGPS2,CD22,TCL1A,CD24,IGH@,IGKV3-20,IGHD,MACROD2,EBF1,PNOC,ADAM28,LOC283663,CR2,PAX5,E2F5,PLEKHG1,FCER2,PKIG,FCRL2,IGLJ3,HLA-DOB,PTPRK,CD19",BTM by Modules
enriched in B cells (II) (M47.1),Adaptive,Humoral,B cell,43,"LOC90925,IGHA1,BCL11A,LOC642838,KIAA0125,LOC642424,IGK@,CD79B,CD79A,TPD52,CDK14,CXCR5,BANK1,MS4A1,FCRL5,BLNK,TCF4,SP140,KLHL14,RALGPS2,FCRLA,FCGR2B,TCL1A,CELSR1,CD24,IGH@,DENND5B,EBF1,PNOC,PAWR,CD180,IGHM,CR2,PAX5,LOC100130100,PLEKHG1,POU2AF1,PKIG,FAM30A,HLA-DOB,KLF8,PTPRK,CD19",BTM by Modules
enriched in B cells (III) (M47.2),Adaptive,Humoral,B cell,37,"LOC90925,LOC652493,IGHA1,LOC642838,KIAA0125,LOC642424,IGK@,IGKC,VPREB3,MEF2C,TPD52,LOC284749,CDK14,FCRL3,FCRL5,HHEX,TBC1D9,FCRLA,ALOX5,FCGR2B,CELSR1,CD24,IGH@,IGHD,CD69,PNOC,PAWR,CD180,FAIM3,LOC100130100,IGLV1-44,FAM30A,IGL@,HLA-DOA,HLA-DQA1,BTK,DENND5B",BTM by Modules
enriched in B cells (IV) (M47.3),Adaptive,Humoral,B cell,16,"FAIM3,LOC284749,CPNE5,TPD52,CIITA,IGHA1,TLR10,IGHG1,CELSR1,FAM30A,CDK14,PAWR,CD180,MEF2C,BTK,HLA-DOA",BTM by Modules
enriched in B cells (V) (M47.4),Adaptive,Humoral,B cell,11,"GPR18,FAIM3,FCRL3,FCGR2B,LY9,CELSR1,CD37,TLR10,CD69,CD180,FCRL5",BTM by Modules
BCR signaling (M54),Adaptive,Humoral,B cell,12,"INPP5D,SYK,PIK3CD,VAV1,PLCG2,PIK3R5,PIK3R3,RAC2,LYN,PTPN6,BTK,BLNK",BTM by Modules
B cell development/activation (M58),Adaptive,Humoral,B cell,11,"TCF4,JAM3,NEDD4,GAB2,PIK3CD,SPIB,BCL2,LYN,DUSP6,BTK,BLNK",BTM by Modules
enriched in B cells (VI) (M69),Adaptive,Humoral,B cell,20,"CR2,PCDH9,TSPAN13,HLA-DOB,CD72,PTPRK,CD22,P2RX5,BTLA,MS4A1,PPAPDC1B,CXCR5,ABCB4,CD200,FCRL1,FCRL2,CD79A,CD79B,ADAM28,CD19",BTM by Modules
enriched in naive and memory B cells (M83),Adaptive,Humoral,B cell,10,"NR3C2,PCDH9,NRXN3,PKIG,FCGR2B,CD37,MEF2C,BANK1,MS4A1,LY86",BTM by Modules
enriched in B cell differentiation (M123),Adaptive,Humoral,B cell,13,"ICOSLG,HBEGF,LOC144481,NR4A1,GAB1,DLL1,LOC100288911,NR4A3,EBF1,FAM150B,BCL11B,VPREB1,VPREB3",BTM by Modules
"plasma cells & B cells, immunoglobulins (M156.0)",Adaptive,Humoral,"B cell, Plasma cell",43,"CD52,IGKV4-1,LOC652493,IGHG1,C13orf18,LOC100287723,LOC100289053,IGKC,IGKV1D-13,VPREB3,ITM2C,LOC96610,IGLV4-60,IGLV3-19,P2RX5,CPNE5,ADAM28,STAP1,ABCB4,FCRL1,FCRL2,PCDH9,CD22,IGL@,LOC91316,SPIB,IGKV3-20,IGHD,BLK,LOC100290557,IGLV2-23,IGJ,OSBPL10,CYAT1,E2F5,LOC100293440,TNFRSF17,IGLV1-44,IGLJ3,GNG7,IGLL3,MGC29506,IGLL5",BTM by Modules
"plasma cells, immunoglobulins (M156.1)",Adaptive,Humoral,Plasma cell,36,"IGKV4-1,LOC652493,IGHA1,IGHG1,TNFRSF17,LOC100287723,LOC100289053,IGK@,IGKC,IGKV1D-13,LOC96610,IGLV3-19,TXNDC5,DERL3,LOC100290557,MUTED,CD27,IGL@,LOC91316,IGH@,IGKV3-20,IGHD,IGHV3-48,PNOC,IGLV2-23,IGHM,CYAT1,LOC100130100,IGKV1-5,LOC100293440,POU2AF1,IGLV1-44,IGLJ3,IGLV4-60,MGC29506,IGLL5",BTM by Modules
B cell surface signature (S2),Adaptive,Humoral,B cell,169,"SSPN,AVPR1A,KCNE4,TSPAN13,CD37,HEPACAM2,GYPA,SEMA4B,EGF,GPR37,MS4A1,C11orf87,USH2A,PPP1R3A,OR12D3,POPDC3,DCC,SLC12A1,GP5,CDH5,SLITRK6,HLA-DPB1,PCDHA3,TRHDE,FAIM3,CD22,GHR,LY9,TAS2R13,FLRT2,TPTE,TMEM100,GYPE,PLD4,ADAM7,KCNMB3,FCRL3,GPR6,CSPG4,SYT2,ROBO2,NRXN3,FREM2,TRPC1,GPR116,TMEM47,SCN3A,NPY1R,LPPR4,NOX4,PDZK1IP1,CCR9,CD200,GABBR1,EDNRB,GJC1,LHCGR,PCDHB8,NT5E,PDPN,PCDHB4,CLDN8,LRRTM4,HRH4,NMBR,NCAM2,GRM5,TM4SF20,IL5RA,JAM2,JAM3,IL28RA,MC3R,F2RL3,ASTN1,MOGAT2,SLC26A7,SLC24A1,TACR3,CR2,IL13RA2,IMPG2,LRRC19,TMEFF2,ITM2C,PCDH10,BTC,GPR98,AGTR1,CD19,TMEM133,CD72,UGT2A3,OR11A1,TLR10,CSMD1,TRPC7,CCR6,GABRA5,PLP1,CD79B,CLCA4,CD79A,CNR1,EPHA3,SLC30A10,SGCE,BTLA,CHRNB4,PCDHB10,PCDHB16,PCDHB15,PCDHB14,CADM2,GPR85,SLC6A15,GPR87,NLGN1,SLC13A1,CELSR1,OR1E1,GABRB1,CD180,ADAM28,CXADR,TAAR2,HHLA2,SLC17A6,CNTNAP3,SLC6A16,HLA-DOA,HLA-DOB,HLA-DPA1,ABCA8,CD52,OR2J2,CHL1,TMEM156,SLC5A7,P2RX5,OR2W1,LPHN3,LPHN2,HLA-DRA,LRP1B,CXCR5,ABCB4,FCRL1,FCRL2,PCDH20,FCRL5,KCND2,SLC44A5,ITGB6,NLGN4Y,FCGR2B,CHRM2,PTH2R,HEPH,CD24,PCDH9,BAI3,PTPRR,SELE,FAM26F,SCN1A,HTR1E,PTPRK,HLA-DMA",BTM by Modules
Plasma cell surface signature (S3),Adaptive,Humoral,Plasma cell,24,"PPAP2C,KCNG2,SLC5A4,CAV1,TEK,TMEM37,GP1BB,SLC16A14,ICAM2,SLC44A1,CCR10,CHRM1,CLPTM1L,KCNN3,HM13,GPR25,KCNH1,TXNDC15,SDC1,DRD4,KRTCAP2,TRAM2,SCARB2,AMIGO3",BTM by Modules
Naive B cell surface signature (S8),Adaptive,Humoral,B cell,54,"LGR4,KCNE4,TSPAN13,UGT2A3,CD37,TRHR,CNTNAP3,PPAPDC1B,CCR6,CD200,GABBR1,EDNRB,GHSR,CLCA4,CNR1,CD72,P2RY14,BTLA,HRH4,PCDHB4,SLC38A11,C4orf34,PCDHB16,CXCR4,TMEM56,GRM5,PCDH20,CDH5,KCNJ16,JAM2,ITGB6,CHRNB4,PCDHB14,SLC24A1,SLC26A3,HTR1E,MUC15,OR1G1,IL13RA2,KCNMB3,FCRL3,IMPG2,GPR6,HHLA2,TAS2R7,HVCN1,NRXN3,FAM26F,HLA-DOA,BTC,SELE,GABRE,GPR116,HLA-DMA",BTM by Modules
Memory B cell surface signature (S9),Adaptive,Humoral,B cell,37,"SSPN,CD52,CLDN17,SORCS3,EPHA3,OR11A1,TNFRSF17,CSMD1,NOX4,CHL1,CCR9,NCAM2,LINGO1,TACR3,JAM3,NKAIN4,CADM2,PCDHA3,TRHDE,NLGN1,FCGR2B,NLGN4Y,TAS2R10,ASTN1,GRAMD1C,GYPA,TNFRSF13B,CXADR,ADAM2,PTPRR,NPY1R,GJC1,ITM2C,FREM2,ABCA8,SCN1A,GLP2R",BTM by Modules
complement activation (I) (M112.0),Complement,Complement,Complement,17,"CR1,CFH,CFI,SERPING1,C3AR1,CFD,C1QC,C1QB,C1QA,C3,CFB,C5AR1,C2,C1S,C1R,C7,A2M",BTM by Modules
complement activation (II) (M112.1),Complement,Complement,Complement,10,"CFH,CFI,PROS1,CFB,C3,IL33,CLU,C1S,C1R,C7",BTM by Modules
immune activation - generic cluster (M37.0),General,General,Generic,347,"ELANE,SAMD13,CAMK4,GPR109B,BANK1,DYSF,MACROD2,MS4A4A,PRRG4,ORM1,C19orf59,ERI2,LAT,PPIL4,CSRP2,MAL,CD1B,RASGRP4,MGST1,PRG2,VPREB1,VPREB3,ENG,GRAP2,NCAPD2,NCAPD3,BLM,TCN1,SLC22A4,ANPEP,SIRPB1,CD19,RETN,MBOAT2,CLEC5A,PLA2G7,CIITA,PTX3,SMC4,P2RY13,S100A8,RNF150,KIAA0513,C10orf10,MANSC1,LTF,PRAM1,SLC27A2,ACPP,F5,HMGB2,CHAF1A,CHAF1B,HLA-DRA,SULF2,CDK14,CXCR2,KLF5,DEFA4,DEFA1,JAG1,FPR2,SLC24A4,CTSG,TCL1A,C3AR1,NUP37,CA4,OGN,CMTM2,LILRA5,LILRA3,LIN7A,HNRPLL,DKFZp451A211,MARCH1,CHI3L2,CHI3L1,CYP4F2,CYP4F3,B3GNT5,ORC6L,ROPN1L,CRISPLD2,CENPL,CRISP3,BARD1,FAM69B,CCDC150,RBBP8,LY96,ACCN2,GH1,AZU1,DBF4,CD300C,LOC90925,EMR1,VANGL1,ARHGEF10L,OSCAR,MGAM,CCNE1,CEACAM1,CEACAM6,TACSTD2,BMX,PLXDC2,G0S2,JAM3,VNN2,VNN1,IGFBP7,BLVRB,GALNT6,STK32B,C15orf23,MEF2C,DTYMK,GPR97,BTK,CD72,CXorf50B,RFC2,PRKAR2B,TREM1,MCTP1,GAS2L1,NLRP3,ADAP2,RANBP1,FGD4,ACPL2,LOC81691,CLC,GXYLT2,UNG,GAB1,TM6SF1,FAM43A,LOC284757,SLC22A15,BASP1,PTK2,SVIL,LCN2,BPI,MSH2,MEGF9,F13A1,VSTM1,IQGAP3,ARAP3,RAD54B,C13orf34,RGL1,CAMP,RGL4,LOC100130458,ST3GAL6,FCGR2C,MGC5566,PADI2,EBF1,DHCR24,CLEC4D,PFKFB4,ZNF467,TUBG1,MOSC1,MMP8,MMP9,SAC3D1,FKBP14,PTGS2,AMICA1,LOC643332,CLEC14A,TXNDC3,FAM46A,PSD3,INHBA,PRTN3,FCAR,BRCA2,HAL,LRRC4,CREB5,AQP9,TMEM176A,TMEM176B,CTSS,CXCL1,PSRC1,SMPDL3A,ADCY9,RUNX2,BST1,PID1,CD3E,CD3G,CSF2RB,MARCH3,DOCK5,LARGE,TSHR,ICOSLG,QPCT,JUP,NFE2,PAX5,CORO2A,CR1,PROK2,PEX5L,PRTFDC1,LOC100289612,SH2D1A,CD177,CD7,CD2,OLFM4,CCR9,CD9,SLC8A1,GPR84,KIF16B,ABCA13,LGALS3,BCL11B,RAD51C,SLPI,LRP1,CDA,SGK1,STX11,HLA-DOA,AGPAT9,CYFIP1,CDKN2C,FCGR3A,S100P,FCGR3B,FOXO1,NLRC4,ALDH1A1,MLLT4,CHIT1,SLCO4C1,LOC728606,LPCAT2,HK3,ITGAM,ANXA3,ANXA5,NRGN,MCM7,MCM3,IL18RAP,UPP1,SAMHD1,CEBPE,OLR1,IMPA2,KCNK5,CKAP2,BCL6,KCNE3,LAT2,PKMYT1,FBP1,MS4A7,MS4A3,GSN,VSIG10,NDST3,LYZ,NAV1,LYN,MYB,PYGL,RNASE3,RNASE2,ENTPD1,RNASE6,CD22,TSPAN2,RBP7,CACNA2D3,ACSL1,TLR1,TLR7,ATP8B4,SLC19A2,GGTA1,CLEC12A,HP,GPBAR1,IL1R2,FLJ10357,BEX1,LRRK2,SCD,PCBP3,SERPINB10,TLR5,RHOU,SLC26A8,ARG1,TNFAIP6,ELOVL4,FAM105A,FAM150B,NCF4,GAS2L3,GNAI1,LGALS12,SLA2,C11orf75,DUSP6,FAM49A,EMILIN2,CTGF,CSE1L,STEAP4,MYCL1,TFF3,APOB48R,UBASH3A,RAB32,ESCO2,TRAT1,DOK3,IL1R1,NACC2,LRP12,PDGFC,KCNJ15,DACH1,LRG1,ACTN1,SLC40A1,SIGLEC9,SIGLEC5,FOLR3,ZNF608,MYO7B",BTM by Modules
chemokine cluster (I) (M27.0),General,Signaling,Generic,26,"CCL2,CCL1,CCL7,CCL4,CCL5,CCL8,PF4,XCL1,PPBP,CCL20,CCL23,IFNG,CXCL2,CXCL11,CXCL10,CXCL13,CXCL12,CXCL1,CXCL3,CCL13,CXCL5,CXCL6,CCL18,CCL19,CXCL9,IL8",BTM by Modules
chemokine cluster (II) (M27.1),General,Signaling,Generic,15,"ANXA1,CCL2,CXCL5,CCL7,CCL4,CCL5,CXCL9,CXCL6,CCR1,XCL1,CCR5,CXCL10,CXCL11,CCL20,CXCL13",BTM by Modules
chemokines and receptors (M38),General,Signaling,Generic,11,"CCL2,CCL4,CCL5,DOCK2,TNF,CXCR6,ICAM1,CXCR4,HCK,IL8,CCR5",BTM by Modules
cytokines - recepters cluster (M115),General,Signaling,Generic,11,"IL7R,IL2RA,LIF,IL23A,IFNG,IL15,CSF2,CSF3,IL6,IL10,IL15RA",BTM by Modules
regulation of antigen presentation and immune response (M5.0),Innate,APP,All,81,"NCKAP1L,THEMIS,HLA-DPB1,JUN,NFKBIA,PTPN6,TLR5,HLA-DRA,CD4,PRKCQ,PLCG1,CD247,TRBC1,FCGR1B,CCR7,TLR6,TLR10,FYB,TLR2,FCER1G,TRAT1,LILRB2,LILRB1,CLEC7A,BTLA,FYN,FGR,CD86,GRAP2,HLA-DQB1,ZAP70,PAG1,MNDA,IRAK3,LCK,DUSP6,PTPN22,PAK1,CTSH,CTLA4,LCP2,TLR4,CSK,FOS,LAT2,CARD11,HLA-DRB1,CHUK,CD24,UBASH3A,MAP2K6,TLR7,LY96,HCK,VASP,LYN,LIME1,MAPK14,MYD88,INPP5D,ITK,TRAC,SLA2,KLRK1,HLA-DMB,RPS6KA1,HLA-DQA1,MEF2C,SYK,MEF2A,TLR1,PTPRC,HLA-DOA,HLA-DOB,HLA-DMA,HLA-DPA1,CD19,CD3D,CD3E,BTK,CD3G",BTM by Modules
antigen presentation (lipids and proteins) (M28),Innate,APP,All,11,"CD1D,CD1E,CD1B,CD1C,CD1A,HLA-DRB1,HLA-DRA,CD36,HLA-DRB4,CCR7,CD8A",BTM by Modules
enriched in antigen presentation (I) (M71),Innate,APP,All,18,"CD74,HLA-DPB1,HLA-DRA,CYP1B1,PLAUR,PTGS2,HMOX1,HLA-DRB1,ASPH,RTN1,HLA-DRB4,HLA-DQB1,FAR2,HLA-DPA1,ITPR3,HLA-DQA1,AGPAT9,SLC27A2",BTM by Modules
enriched in antigen presentation (II) (M95.0),Innate,APP,All,24,"CD53,IL10RA,ITGA4,FYB,HLA-DRA,HLA-DRB1 /// HLA-DRB4,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,HCLS1,PTPRC,HLA-DPB1,ITGB2,HLA-DRB1,GIMAP6,EVI2B,PLEK,SLA,SELL,IRF8,FGL2,ITGAL,ITGAM,AIF1,HLA-DMA",BTM by Modules
enriched in antigen presentation (III) (M95.1),Innate,APP,All,15,"FYB,CD53,HLA-DRA,ITGB2,ICAM1,PLEK,HLA-DRB1,LAPTM5,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,PTPRC,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,EVI2B,HLA-DMB,AIF1,HLA-DMA",BTM by Modules
MHC-TLR7-TLR8 cluster (M146),Innate,APP,All,17,"CD74,HLA-DPB1,HLA-DRA,HLA-C,HLA-B,HLA-A,HLA-DRB1,HLA-G,HLA-F,HLA-DRB4,CD4,HLA-DQB1,HLA-E,HLA-DPA1,TLR8,HLA-DQA1,TLR7",BTM by Modules
antigen processing and presentation (M200),Innate,APP,All,11,"HLA-DPB1,CD1D,LOC100294224,WDFY4,LOC100294318,HLA-DPA1,LOC100294317,HLA-DMB,METTL7A,HLA-DQA2,HLA-DMA",BTM by Modules
complement and other receptors in DCs (M40),Innate,DCs,DCs,13,"ITGAX,SIRPA,OLR1,TYROBP,CD58,C1QC,C1QB,C1QA,CD86,HLA-DQB1,LY96,TLR8,HLA-DQA1",BTM by Modules
"myeloid, dendritic cell activation via NFkB (I) (M43.0)",Innate,Cells,DCs,15,"MAP3K8,IL23A,CCL5,CD83,NFKBID,FUT7,CTGF,TNF,VCAM1,ICAM1,SAMSN1,RELB,NFKB2,EBI3,BCL3",BTM by Modules
"myeloid, dendritic cell activation via NFkB (II) (M43.1)",Innate,Cells,DCs,14,"IL1RN,IL23A,CCL5,NFKBIA,BIRC3,PRKCD,FUT7,LTB,TNIP3,ICAM1,RELB,NFKB2,EBI3,BCL3",BTM by Modules
CD1 and other DC receptors (M50),Innate,Cells,DCs,10,"CD1E,CD1B,CD1C,CD1A,CSF1R,IL1R2,CSF2RA,ANPEP,CD9,IL1R1",BTM by Modules
activated dendritic cells (M67),Innate,Cells,DCs,12,"CD38,DDX58,IRF7,PLSCR1,BIRC3,C1QC,IFIH1,SERPING1,DDX60,C2,IGKC,RSAD2",BTM by Modules
enriched in activated dendritic cells (I) (M119),Innate,Cells,DCs,11,"IL1RN,CXCL2,RGL1,CD83,PRKCD,CD86,RIN2,SLAMF8,IL4I1,ATP1B1,PLXDC2",BTM by Modules
enriched in activated dendritic cells (II) (M165),Innate,Cells,DCs,35,"CSF2RB,IFIH1,CSF2RA,TNFAIP6,HESX1,CCL8,MX2,DOCK4,PDGFRL,MGST1,IFNGR2,IFIT3,IFIT2,IFIT1,HLX,SERPING1,RSAD2,CCL20,ST3GAL6,RBM47,IFI27,DAPK1,PRRG4,PDGFC,PARP9,LAMP3,CXCL11,DSE,IL18,BCL2A1,FAM20C,PRKAR2B,HERC5,SIGLEC1,ATF3",BTM by Modules
enriched in dendritic cells (M168),Innate,Cells,DCs,19,"CLEC10A,B3GNT5,PGD,JAG1,FCER1A,EMILIN2,CLEC5A,CA2,CTSB,FAM20C,ADAM9,RRAGD,TACSTD2,CTSL1,IL1R1,GGTA1,DAB2,CAPG,AGPAT9",BTM by Modules
DC surface signature (S5),Innate,Cells,DCs,82,"CSF2RB,TM2D2,CD1E,CD1B,PPAP2B,SLC7A8,CD1A,KMO,CD58,LRFN4,CCRL2,SIGLEC1,CD151,ADAM12,TM7SF4,SLC36A1,PDCD1LG2,PSEN2,GPR137B,C19orf28,TMEM158,PTGFRN,IL1R1,SLC6A6,SPINT2,LRP11,FZD5,TSPAN33,DIRC2,ALCAM,CD83,GJB2,GPNMB,ABHD12,CD9,EMP1,TFRC,HLA-DQB1,LHFPL2,TACSTD2,COLEC12,JAG1,SUCNR1,TMEM51,TGFA,SLC38A6,ITPRIPL2,CALCRL,CLDN23,ATP1B2,GRINA,FPR3,RAMP1,ATP1B1,TREM2,SRD5A3,SLC41A2,FAM70A,LAMP2,ABCC3,DENND1B,P2RY6,NRP1,NRP2,CXCL16,PRRG4,CRIM1,GPR157,OLR1,CD274,SDC2,SLCO2B1,SLC7A11,ADAM9,ABCA6,MSR1,ACE,AGPAT3,SLAMF8,SLC1A3,HLA-DQA1,TNFRSF11A",BTM by Modules
