"","Cond1","Cond2","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","qvalue"
"26","MONOV INFLUENZA A (D1)","FLUARIX (D0)",19,114,47,133,66,"BCL6,CLEC6A,LYZ,NCF1,AZU1,CXCL8,NRROS,IFITM1,ADARB1,APOBEC3F,CD22,CIITA,EIF2AK2,GSDMD,HLA-DMA,HLA-DMB,PSMB8,PSME1,IRF8",14.29,28.79,3.31282250266025e-28,3.31282250266025e-28
"27","MONOV INFLUENZA A (D1)","FLUARIX (D28 VS D3)",0,133,3,133,3,"",0,0,2.43878645985758e-06,2.43878645985758e-06
"28","MONOV INFLUENZA A (D1)","FLUARIX FLUVIRIN (D1)",6,127,9,133,15,"FCGR1A,LILRB1,STAT1,STAT2,TLR4,IRF9",4.51,40,1.00216606547881e-10,1.00216606547881e-10
"29","MONOV INFLUENZA A (D1)","FLUMIST (D7)",57,76,280,133,337,"BCL3,BCL6,CASP1,CCR1,CCR2,DDX60,FCAR,FCGR1A,FCGR2C,FPR1,FPR2,GBP1,IFI30,IFI6,IFIT1,IFITM3,IL15,IL1RN,LILRA3,LILRB1,LILRB2,LYZ,MNDA,MX1,NCF1,OAS2,RGS1,STAT1,TNFSF10,IL1R2,FCER1A,MYB,CRTC3,CX3CR1,CXCL8,IFITM1,PTK2,RNF213,ADARB1,APOBEC3F,CD1E,CLU,HLA-DOB,JAK3,PML,ANXA3,BST2,CD22,RIGI,ERAP2,GPR65,LIMK1,PDE4B,PSMB8,ZC3HAV1,CSF1,IRF8",42.86,16.91,8.92877751021014e-47,8.92877751021014e-47
"30","MONOV INFLUENZA A (D1)","MENACTRA (D3)",15,118,33,133,48,"AIF1,BCL3,BCL6,FCER1G,GCH1,IL1RN,TLR4,IL1R1,IL1R2,CXCL8,CFB,HLA-DMA,HLA-DMB,PDE4B,SERPINB9",11.28,31.25,1.56811744035107e-23,1.56811744035107e-23
"31","MONOV INFLUENZA A (D1)","MMR II (Y7)",76,57,125,133,201,"ADM,AIF1,APOBEC3A,BATF2,BST1,CASP1,CCR1,CCR2,CD14,CD38,DDX60,FCGR1A,FCGR2A,FCGR2C,FPR1,FPR2,GBP1,GBP2,GCH1,IDO1,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL15,IL1RN,IL27,IRF1,LILRA3,LILRA5,LILRA6,LILRB2,LILRB4,LYZ,MX1,NCF1,NFAM1,OAS2,PARP9,PSMB9,RGS1,S100A12,SRC,STAT1,STAT2,TAP1,TNFSF10,IL1R1,FCER1A,CXCL6,CD40,CFB,IFITM1,RNF213,TAP2,APOBEC3F,CCL2,FCGR2B,HLA-DOB,PML,BST2,RIGI,EIF2AK2,GBP6,HLA-DMA,HLA-DMB,LIPA,CGAS,MDK,PDE4B,SERPINB9,TMEM229B,TRIM21,TRIM22,CSF1",57.14,37.81,2.21953080844108e-20,2.21953080844108e-20
"32","MONOV INFLUENZA A (D1)","MVA85A (D0)",1,132,3,133,4,"CD14",0.75,25,9.7551458394303e-06,9.7551458394303e-06
"33","MONOV INFLUENZA A (D1)","MVA85A (D2)",19,114,19,133,38,"APOBEC3A,CASP1,FCGR1A,FPR2,IFI35,IFI6,IFIT1,IFIT2,IFITM3,MX1,PARP9,PSMB9,SRC,STAT1,TNFSF10,CCL2,BST2,EIF2AK2,IRF9",14.29,50,4.87642923645299e-14,4.87642923645299e-14
"34","MONOV INFLUENZA A (D1)","TICE BGC RBCG (D14)",0,133,9,133,9,"",0,0,2.00232980115647e-14,2.00232980115647e-14
"35","MONOV INFLUENZA A (D1)","IMUVAC (D1)",5,128,5,133,10,"BATF2,FCGR1A,GBP1,IDO1,IRF1",3.76,50,6.50136663370474e-07,6.50136663370474e-07
"36","MONOV INFLUENZA A (D1)","TIV INFLUENZA (M12-13)",5,128,37,133,42,"CD14,RNF213,FCGR2B,BST2,PSMB8",3.76,11.9,2.39941294943024e-32,2.39941294943024e-32
"37","MONOV INFLUENZA A (D1)","MENVEO ACWYVAX (D7)",5,128,22,133,27,"AIF1,FPR2,GBP1,LILRB2,LIPA",3.76,18.52,2.81795317889841e-22,2.81795317889841e-22
"38","MONOV INFLUENZA A (D1)","MVA85A (H6)",8,125,12,133,20,"ADM,CD14,GBP1,IL1RN,SRC,STAT1,TAP1,CCL2",6.02,40,1.11509056167852e-12,1.11509056167852e-12
"39","MONOV INFLUENZA A (D1)","FLUVIRIN PANDEMRIX (D7)",1,132,5,133,6,"CD38",0.75,16.67,1.54794443659636e-08,1.54794443659636e-08
"40","MONOV INFLUENZA A (D1)","FLUARIX (D28)",32,101,87,133,119,"ADM,BCL3,BCL6,SCIMP,CCR1,CCR2,CD38,FCAR,FCGR2C,FPR2,IFI30,IFIT2,IFNGR2,IGSF6,LILRB1,LILRB4,LYZ,NCF1,SRC,TLR4,IL1R1,AZU1,CXCL8,NRROS,CD40,BPI,CD22,CIITA,HLA-DMA,HLA-DMB,SERPINB9,IRF8",24.06,26.89,1.79235699405114e-34,1.79235699405114e-34
"41","MONOV INFLUENZA A (D1)","INFLUENZA (D28)",0,133,2,133,2,"",0,0,0.000110558319513543,0.000110558319513543
"42","MONOV INFLUENZA A (D1)","FLUARIX (D3)",8,125,36,133,44,"ADM,BCL3,BCL6,NRROS,APOBEC3F,BPI,CIITA,EIF2AK2",6.02,18.18,2.29686661028199e-29,2.29686661028199e-29
"43","MONOV INFLUENZA A (D1)","INFLUENZA (D3)",25,108,52,133,77,"ADM,AIF1,APOBEC3A,BST1,CD14,FPR1,HCK,IFI30,IFNGR2,IGSF6,LILRA3,LILRA5,LILRA6,LILRB2,LILRB4,LTBR,LYZ,MNDA,NCF1,NFAM1,S100A12,TLR4,FCER1A,CXCL8,CIITA",18.8,32.47,3.37674571849195e-27,3.37674571849195e-27
"44","MONOV INFLUENZA A (D1)","FLUZONE (D1)",5,128,0,133,5,"BATF2,FCGR1A,GBP1,IDO1,IFIT1",3.76,100,1,1
"45","MONOV INFLUENZA A (D1)","BCG (D56)",2,131,10,133,12,"IFIT1,LIMK1",1.5,16.67,9.24152215918371e-14,9.24152215918371e-14
"46","MONOV INFLUENZA A (D1)","ZOSTAVAX (D1)",8,125,31,133,39,"CCR2,CD14,CTSS,FPR1,LILRA5,LILRB2,IL1R2,GPR65",6.02,20.51,2.28889564934133e-26,2.28889564934133e-26
"47","MONOV INFLUENZA A (D1)","ZOSTAVAX (D14)",4,129,11,133,15,"CCR2,CD14,LILRA5,CX3CR1",3.01,26.67,1.46003214667659e-13,1.46003214667659e-13
"48","MONOV INFLUENZA A (D1)","ZOSTAVAX (D28)",10,123,46,133,56,"CASP1,CCR2,CD14,FCAR,LILRA5,LILRA6,TLR4,IRF2BP2,PSMB10,ZC3HAV1",7.52,17.86,2.61093950574689e-33,2.61093950574689e-33
"49","MONOV INFLUENZA A (D1)","YF17D (D7)",1,132,6,133,7,"RGS1",0.75,14.29,7.79540363753566e-10,7.79540363753566e-10
"50","MONOV INFLUENZA A (D1)","ZOSTAVAX (D9)",0,133,12,133,12,"",0,0,8.8520327195246e-18,8.8520327195246e-18
"51","MONOV INFLUENZA A (D1)","ZOSTAVAX (H72)",0,133,8,133,8,"",0,0,3.15923146404687e-13,3.15923146404687e-13
"52","MONOV INFLUENZA A (D1)","ZOSTAVAX (D3)",14,119,13,133,27,"AIF1,CCR1,CTSS,FCER1G,IGSF6,LILRB2,LYZ,MX1,CX3CR1,CCL2,CLU,ERAP2,LIPA,PIK3AP1",10.53,51.85,1.5809845634757e-11,1.5809845634757e-11
"53","MONOV INFLUENZA A (D1)","ZOSTAVAX (H6)",18,115,46,133,64,"BCL3,CCR1,FCGR1A,FCGR2A,FPR1,GBP1,IDO1,IFNGR2,IRF1,LILRB2,LYZ,TLR4,MYB,CXCL8,CCL2,JAK3,GPR65,SERPINB9",13.53,28.12,2.64099136575711e-28,2.64099136575711e-28
"54","MONOV INFLUENZA A (D1)","INFLUENZA (D0)",0,133,4,133,4,"",0,0,7.12054440834329e-08,7.12054440834329e-08
"55","MONOV INFLUENZA A (D1)","PANDEMRIX (D7)",15,118,18,133,33,"APOBEC3A,CD38,GBP1,GBP2,IDO1,IFI30,IFI35,IFIT1,IFIT2,IFNGR2,MX1,OAS2,IFITM1,PSMB8,TRIM22",11.28,45.45,1.14473705627931e-14,1.14473705627931e-14
"56","MONOV INFLUENZA A (D1)","PFALCIPARUM RTSS (D1)",1,132,2,133,3,"IFI6",0.75,33.33,0.000331674958540631,0.000331674958540631
"57","MONOV INFLUENZA A (D1)","ATTENUVAX (D14)",1,132,6,133,7,"CIITA",0.75,14.29,7.79540363753566e-10,7.79540363753566e-10
"58","MONOV INFLUENZA A (D1)","WETVAX (ANY)",17,116,6,133,23,"FPR2,IFI30,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,MX1,OAS2,PSMB9,TAP1,TNFSF10,IFITM1,IRF9,PSME1,TRIM21,TRIM22",12.78,73.91,1.12417515856902e-05,1.12417515856902e-05
"59","MONOV INFLUENZA A (D1)","YF VAX (ANY)",17,116,12,133,29,"FPR2,IFI30,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,MX1,OAS2,PSMB9,TAP1,TNFSF10,IFITM1,IRF9,PSME1,TRIM21,TRIM22",12.78,58.62,4.59384514630324e-10,4.59384514630324e-10
"60","MONOV INFLUENZA A (D1)","CHAD63-KH (H24)",103,30,216,133,319,"ADM,AIF1,APOBEC3A,BATF2,BCL3,SCIMP,CASP1,CCR1,CCR2,CD14,CD38,CLEC6A,CTSS,DDX60,FCER1G,FCGR1A,FCGR2A,FCGR2C,FPR2,GBP1,GBP2,GCH1,HCK,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IFNGR2,IGSF6,IL15,IL1RN,IL27,IL31RA,IRF1,LILRA5,LILRA6,LILRB1,LILRB2,LILRB4,LTBR,LYZ,MNDA,MX1,NCF1,NFAM1,OAS2,PARP9,PSMB9,RGS1,SRC,STAT1,STAT2,TAP1,TLR4,TNFSF10,MAP2K6,MYB,CXCL6,CXCL8,KIT,CD40,CFB,IFITM1,NLRC5,RNF213,TAP2,APOBEC3F,CCL2,CD1E,FCGR2B,IL12RB1,JAK3,PML,ANXA3,BST2,CIITA,RIGI,EIF2AK2,ERAP2,GBP6,GPR65,GSDMD,HLA-DMA,HLA-DMB,IRF9,LIMK1,LIPA,CGAS,MDK,PDE4B,PIK3AP1,PSMB10,PSMB8,PSME1,SERPINB9,TMEM229B,TRIM21,TRIM22,ZC3HAV1,IRF8",77.44,32.29,2.81260227015695e-14,2.81260227015695e-14
"61","MONOV INFLUENZA A (D1)","INACTIVATED INFLUENZA (D28)",21,112,63,133,84,"BCL3,FCER1G,FCGR2A,IFITM3,IRF1,LILRA3,LILRA6,LILRB1,LYZ,MNDA,MX1,NCF1,STAT2,IRF2BP2,NRROS,NLRC5,PTK2,BTLA,HLA-DMA,IRF9,TRIM22",15.79,25,1.89913541703083e-33,1.89913541703083e-33
"62","MONOV INFLUENZA A (D1)","INACTIVATED INFLUENZA (D7)",17,116,105,133,122,"BCL3,CD38,FCGR2A,LILRA3,LILRA6,MNDA,NCF1,MYB,IRF2BP2,NRROS,NLRC5,BST2,BTLA,GPR65,HLA-DMA,IRF9,TRIM22",12.78,13.93,5.84143389814619e-50,5.84143389814619e-50
"63","MONOV INFLUENZA A (D1)","INACTIVATED INFLUENZA (D2)",5,128,21,133,26,"BCL3,IRF1,LILRA3,LILRA6,BTLA",3.76,19.23,1.61771386196019e-21,1.61771386196019e-21
"64","MONOV INFLUENZA A (D1)","PFALCIPARUM RTSS (D56)",1,132,21,133,22,"CD7",0.75,4.55,5.41041425404748e-25,5.41041425404748e-25
"65","MONOV INFLUENZA A (D1)","LVS F TULARENSIS (H336)",13,120,22,133,35,"CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,LILRB4,TAP1,TLR4,FCER1A,TAP2,FCGR2B,HLA-DMA,HLA-DMB",9.77,37.14,5.15328972703812e-18,5.15328972703812e-18
"66","MONOV INFLUENZA A (D1)","LVS F TULARENSIS (H48)",15,118,35,133,50,"CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,LILRA6,LILRB4,TAP1,TLR4,FCER1A,CD40,TAP2,FCGR2B,HLA-DMA,HLA-DMB",11.28,30,1.3693640322427e-24,1.3693640322427e-24
"67","MONOV INFLUENZA A (D1)","HIV LIPO 5 (D1)",0,133,1,133,1,"",0,0,0.00746268656716418,0.00746268656716418
"68","MONOV INFLUENZA A (D1)","HIV LIPO 5 (W14)",8,125,4,133,12,"GBP1,IDO1,IFI35,PSMB9,STAT1,TAP1,CXCL6,TAP2",6.02,66.67,3.52466948212992e-05,3.52466948212992e-05
"69","MONOV INFLUENZA A (D1)","FLUMIST (D3)",23,110,78,133,101,"AIF1,CASP1,CD14,CTSS,DDX60,FCER1G,HCK,IFI30,IFI35,LILRB1,MX1,OAS2,PSMB9,STAT1,STAT2,TNFSF10,IRF2BP2,BST2,CIITA,HLA-DMB,PIK3AP1,PSMB10,TRIM22",17.29,22.77,2.42859755688276e-37,2.42859755688276e-37
"70","MONOV INFLUENZA A (D1)","TC-83 (H24)",10,123,10,133,20,"CD38,IFIT2,IL15,OAS2,STAT1,TLR4,TNFSF10,CXCL8,RIGI,EIF2AK2",7.52,50,2.58701010309416e-10,2.58701010309416e-10
"71","MONOV INFLUENZA A (D1)","RVSV ZEBOV (D7)",2,131,2,133,4,"IFIT1,CCL2",1.5,50,0.00066334991708126,0.00066334991708126
"72","MONOV INFLUENZA A (D1)","LVS F TULARENSIS (H18)",13,120,20,133,33,"CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,LILRB4,TAP1,TLR4,FCER1A,TAP2,FCGR2B,HLA-DMA,HLA-DMB",9.77,39.39,1.03368929230588e-16,1.03368929230588e-16
"73","MONOV INFLUENZA A (D1)","LVS F TULARENSIS (H192)",12,121,20,133,32,"CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,LILRB4,TAP1,TLR4,FCER1A,TAP2,FCGR2B,HLA-DMA",9.02,37.5,4.07210933332622e-17,4.07210933332622e-17
"74","MONOV INFLUENZA A (D1)","CN54GP140 (D1)",0,133,8,133,8,"",0,0,3.15923146404687e-13,3.15923146404687e-13
"75","MONOV INFLUENZA A (D1)","CN54GP140 (D3)",0,133,4,133,4,"",0,0,7.12054440834329e-08,7.12054440834329e-08
"76","MONOV INFLUENZA A (D1)","HPV-VLP (M2)",19,114,63,133,82,"CASP1,CD14,CD38,FPR2,GCH1,IDO1,IL15,IL1RN,MNDA,PSMB9,RGS1,TNFSF10,IL1R2,CD40,CFB,IFITM1,TAP2,CD1E,RIGI",14.29,23.17,1.14405748013906e-34,1.14405748013906e-34
"77","MONOV INFLUENZA A (D1)","INFLUENZA (D1)",13,120,23,133,36,"CLEC6A,DDX60,FCGR1A,GCH1,IFIT1,LILRA5,OAS2,S100A12,AZU1,FLT1,GBP6,HLA-DMA,HLA-DMB",9.77,36.11,1.18922070623956e-18,1.18922070623956e-18
"78","MONOV INFLUENZA A (D1)","FLUARIX FLUVIRIN (D28)",2,131,18,133,20,"IFI35,OAS2",1.5,10,2.0970765648688e-21,2.0970765648688e-21
"79","MONOV INFLUENZA A (D1)","MONOV INFLUENZA A (D28)",6,127,9,133,15,"IFI30,IFNGR2,IGSF6,FCER1A,CIITA,HLA-DMB",4.51,40,1.00216606547881e-10,1.00216606547881e-10
"80","MONOV INFLUENZA A (D1)","MONOV INFLUENZA A (D3)",19,114,2,133,21,"BATF2,CCR1,DDX60,FCGR1A,GBP1,GCH1,IFI35,IFI6,IFIT1,IFIT2,IFITM3,MX1,NCF1,OAS2,BST2,EIF2AK2,GBP6,LIPA,TRIM22",14.29,90.48,0.0232172470978441,0.0232172470978441
"81","MONOV INFLUENZA A (D1)","PANDEMRIX (D3)",1,132,2,133,3,"CXCL8",0.75,33.33,0.000331674958540631,0.000331674958540631
"82","MONOV INFLUENZA A (D1)","PANDEMRIX (D30)",1,132,2,133,3,"CXCL8",0.75,33.33,0.000331674958540631,0.000331674958540631
"83","MONOV INFLUENZA A (D1)","FLUAD (D7)",3,130,27,133,30,"LILRA6,LILRB1,RGS1",2.26,10,1.39457735158934e-27,1.39457735158934e-27
"84","MONOV INFLUENZA A (D1)","INFLUENZA (D7)",12,121,32,133,44,"ADM,BATF2,IDO1,IFI6,IFITM3,OAS2,S100A12,KIT,CD40,BTLA,GBP6,LIMK1",9.02,27.27,1.52173797756344e-24,1.52173797756344e-24
"85","MONOV INFLUENZA A (D1)","FLUZONE (D30)",1,132,0,133,1,"TMEM229B",0.75,100,1,1
"86","MONOV INFLUENZA A (D1)","FLUZONE (D7)",3,130,5,133,8,"FCAR,CXCL8,CCL2",2.26,37.5,1.44474814082328e-07,1.44474814082328e-07
"87","MONOV INFLUENZA A (D1)","FLUMIST (D1)",0,133,1,133,1,"",0,0,0.00746268656716418,0.00746268656716418
"88","MONOV INFLUENZA A (D1)","FLUENZ (D3-4)",0,133,3,133,3,"",0,0,2.43878645985758e-06,2.43878645985758e-06
"89","MONOV INFLUENZA A (D1)","FLUMIST (D30)",0,133,1,133,1,"",0,0,0.00746268656716418,0.00746268656716418
"90","MONOV INFLUENZA A (D1)","FLUENZ (D6-7)",1,132,3,133,4,"CXCL8",0.75,25,9.7551458394303e-06,9.7551458394303e-06
"91","MONOV INFLUENZA A (D1)","MENACTRA (D7)",0,133,2,133,2,"",0,0,0.000110558319513543,0.000110558319513543
"92","MONOV INFLUENZA A (D1)","WETVAX (D2-4)",13,120,7,133,20,"ADM,BCL6,FCGR1A,FPR1,GBP2,GCH1,IFIT1,IL15,IRF1,MX1,STAT1,FCGR2B,ANXA3",9.77,65,4.3164263570126e-07,4.3164263570126e-07
"93","MONOV INFLUENZA A (D1)","WETVAX (D5-7)",50,83,57,133,107,"ADM,AIF1,BCL6,BST1,CASP1,CCR1,CTSS,FCGR1A,FPR1,FPR2,GBP1,GBP2,GCH1,HCK,HP,IDO1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IFNGR2,IGSF6,IL15,IL1RN,IRF1,LILRA3,LILRB1,LTBR,MNDA,MX1,NCF1,OAS2,PSMB9,STAT1,STAT2,TAP1,TNFSF10,CD40,IFITM1,TAP2,FCGR2B,GSDMD,IRF9,LIPA,PSMB10,PSME1,TRIM21,TRIM22",37.59,46.73,1.0247804690157e-18,1.0247804690157e-18
"94","MONOV INFLUENZA A (D1)","WETVAX (D50-60)",9,124,31,133,40,"ADM,CCR2,HCK,TNFSF10,CX3CR1,CXCL8,CLU,PDE4B,TRIM21",6.77,22.5,1.01728695526282e-25,1.01728695526282e-25
"95","MONOV INFLUENZA A (D1)","BCG (D7)",0,133,1,133,1,"",0,0,0.00746268656716418,0.00746268656716418
"96","MONOV INFLUENZA A (D1)","YF17D (D3)",12,121,3,133,15,"CD38,DDX60,IFI6,IFIT1,IFIT2,MX1,OAS2,PARP9,STAT1,RIGI,EIF2AK2,TRIM22",9.02,80,0.0011096478392352,0.0011096478392352
"97","MONOV INFLUENZA A (D1)","YF VAX (D4-7)",24,109,43,133,67,"APOBEC3A,FPR2,IFI30,IFI6,IFIT1,IFIT2,IFITM3,IL1RN,LILRB2,MX1,OAS2,PARP9,PSMB9,SRC,TAP1,TNFSF10,CX3CR1,IFITM1,RIGI,EIF2AK2,IRF9,PSME1,TRIM21,TRIM22",18.05,35.82,4.41754239386418e-24,4.41754239386418e-24
"98","MONOV INFLUENZA A (D1)","STAMARIL (D10)",38,95,19,133,57,"BATF2,CASP1,CCR1,CD38,DDX60,GBP1,GBP2,GCH1,IFI30,IFI35,IFI6,IFIT1,IFIT2,IFITM3,IL15,IL1RN,MX1,OAS2,PARP9,SRC,STAT1,STAT2,TAP1,TNFSF10,IL1R2,FCER1A,CX3CR1,IFITM1,TAP2,APOBEC3F,PML,BST2,RIGI,EIF2AK2,IRF9,TRIM21,TRIM22,ZC3HAV1",28.57,66.67,8.78818522540558e-10,8.78818522540558e-10
"99","MONOV INFLUENZA A (D1)","STAMARIL (D14)",1,132,9,133,10,"CD38",0.75,10,2.00232980115646e-13,2.00232980115646e-13
"100","MONOV INFLUENZA A (D1)","STAMARIL (D28)",4,129,4,133,8,"FCER1G,IL1RN,MX1,IRF9",3.01,50,4.98438108584031e-06,4.98438108584031e-06
