id,immune_system,immune_subsystem,cells,module_title,composite_name,module_size_4,module_category,annotation_level,web_link,module_member_genes,top_matched_pathway_in_kegg_pid_and_biocarta,jaccard_index_10,enrichment_p_value_11,pathway_size,overlap_size_13,top_matched_chaussabel_module,jaccard_index_15,enrichment_p_value_16,module_size_17,overlap_size_18,top_matched_transcription_factor,jaccard_index_20,enrichment_p_value_21,gene_set_size,overlap_size_23,top_matched_gene_ontology_terms_number_of_matched_genes
M32.4,Adaptive,Cellular,T cell,CORO1A-DEF6 network (II),CORO1A-DEF6 network (II) (M32.4),15,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M32.4.htm,"DGKZ,NRBP1,MAZ,UBE2M,DEF6,H1FX,ACAP1,GNB2,CORO1A,NR1H2,SH2B1,CNOT3,HGS,FAM108A1,BRD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALPHACP1_01,0.03,1.1799999999999998e-7,189,5,"protein binding (13), cytoplasm (10), nucleus (8)"
M35.0,Adaptive,Cellular,T cell,signaling in T cells (I),signaling in T cells (I) (M35.0),14,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M35.0.htm,"IL2RA,JUNB,GZMB,FOS,IFNG,FOSB,EGR1,JUN,TNF,FASLG,PRF1,TNFRSF4,ATF3,TNFRSF9",[PID]Downstream signaling in na&#xef;ve CD8+ T cells,0.39,1.57e-34,29,12,NA,NA,NA,NA,NA,SRF_01,0.07,1.73e-8,47,4,"protein binding (11), regulation of transcription, DNA-dependent (7), nucleus (7)"
M35.1,Adaptive,Cellular,T cell,signaling in T cells (II),signaling in T cells (II) (M35.1),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M35.1.htm,"IL2RA,IL2RB,GZMB,IFNG,TNF,FOSL1,PRF1,TNFRSF4,FASLG,TNFRSF18,TNFRSF9",[PID]Downstream signaling in na&#xef;ve CD8+ T cells,0.38,2.13e-33,29,11,[Chaussabel.v2]M3.6,0.07,5.7400000000000004e-9,47,4,NFKAPPAB_01,0.01,1.0300000000000001e-4,194,3,"protein binding (9), plasma membrane (7), external side of plasma membrane (7)"
M36,Adaptive,Cellular,T cell,"T cell surface, activation","T cell surface, activation (M36)",12,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M36.htm,"CXADR,LILRB4,CD40LG,LILRB2,LILRB1,TYROBP,ITGA4,VCAM1,CD8A,LILRB3,CD3D,CD3E",KEGG_PRIMARY_IMMUNODEFICIENCY,0.09,2.5300000000000006e-9,35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (12), plasma membrane (11), regulation of immune response (10)"
M44,Adaptive,Cellular,T cell,T cell signaling and costimulation,T cell signaling and costimulation (M44),10,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M44.htm,"IL7R,TCF7,IL23A,FYN,IFI30,CD37,MAPK14,ARHGDIB,LCP1,LCK",BIOCARTA_IL7_PATHWAY,0.13,4.45e-8,17,3,NA,NA,NA,NA,NA,ELK1_01,0.05,1.74e-21,191,10,"protein binding (8), plasma membrane (5), cytosol (5)"
M52,Adaptive,Cellular,T cell,T cell activation (IV),T cell activation (IV) (M52),13,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M52.htm,"SELL,SPI1,GFI1,LPXN,XCL1,GATA3,LAG3,CD5,PTPN6,PTPRC,UNC93B1,LCK,CD3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PEA3_Q6,0.07,4.85e-28,182,13,"protein binding (9), plasma membrane (5), membrane (5)"
M65,Adaptive,Cellular,T cell,"IL2, IL7, TCR network","IL2, IL7, TCR network (M65)",12,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M65.htm,"IL7R,PTPRCAP,ITK,TRAC,IL2RG,LTB,TRA@ /// TRAC /// TRAJ17 /// TRAV20,TRBC1,JAK3,CCR7,LCK,BCL2",BIOCARTA_IL7_PATHWAY,0.21,1.0800000000000001e-13,17,5,[Chaussabel.v2]M4.1,0.04,3.6499999999999998e-6,58,3,NA,NA,NA,NA,NA,"protein binding (7), plasma membrane (6), signal transduction (4)"
M126,Adaptive,Cellular,T cell,double positive thymocytes,double positive thymocytes (M126),13,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M126.htm,"MGC16121,TCF4,UBASH3A,SLC40A1,SH2D1A,APBB1,BCL11B,CD4,CHI3L2,ASRGL1,PCSK5,LAT /// SPNS1,CD3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFMUE1_Q6,0.03,4.4100000000000003e-10,181,6,"protein binding (9), nucleus (5), cytoplasm (5)"
M223,Adaptive,Cellular,T cell,enriched in T cells (II),enriched in T cells (II) (M223),13,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M223.htm,"SLC38A1,HOPX,CD40LG,DENND2D,TC2N,PLEKHF1,LRRN3,CLEC2D,FGFBP2,LBH,TRGC2,DPP4,LOC439949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (7), plasma membrane (5), nucleus (4)"
S0,Adaptive,Cellular,T cell,T cell surface signature,T cell surface signature (S0),27,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S0.htm,"NPDC1,ANKH,LAG3,CD6,CD2,CD320,SLC37A3,C6orf129,NDFIP2,CXCR6,SIT1,SIRPG,ICOS,CD28,SLC38A1,TMEM106C,PTPRCAP,FLT3LG,C12orf23,GIMAP2,LRRN3,CLEC2D,CD3E,ITM2A,GPR171,MAL,CD3G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (20), membrane (16), plasma membrane (15)"
S6,Adaptive,Cellular,Th1,CD4 T cell surface signature Th1-stimulated,CD4 T cell surface signature Th1-stimulated (S6),9,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S6.htm,"F2R,TMEM200A,C6orf129,GPR19,LAG3,NDFIP2,TSPAN5,SV2A,GPR114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (9), membrane (7), protein binding (4)"
S7,Adaptive,Cellular,Th2,CD4 T cell surface signature Th2-stimulated,CD4 T cell surface signature Th2-stimulated (S7),13,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S7.htm,"SLC37A3,GPR15,CD28,CLDND1,TMEM200A,SLC4A7,IL17RB,ITM2A,GPR171,SIT1,C6orf129,MAL,CD3G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"membrane (9), integral to membrane (8), plasma membrane (7)"
M57,Adaptive,General,Lymphocyte,"immuregulation - monocytes, T and B cells","immuregulation - monocytes, T and B cells (M57)",13,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M57.htm,"CTLA4,IL23A,CCL4,FCER2,CAMK2D,CSF3,OSM,IGHD,BLK,CD200,IL1A,KIT,CD79A",KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.04,1.6e-7,88,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (8), immune response (6), extracellular region (6)"
M60,Adaptive,General,Lymphocyte,lymphocyte generic cluster,lymphocyte generic cluster (M60),17,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M60.htm,"MEF2C,CD28,DTX3,GAB1,SH2D2A,ADARB1,LARGE,FAM69B,CTGF,PRKCZ,CHI3L2,CD2,CLIP4,BANK1,DHCR24,NAV1,CD19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (10), cytoplasm (6), plasma membrane (5)"
M62.0,Adaptive,General,Lymphocyte,"T & B cell development, activation","T & B cell development, activation (M62.0)",44,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M62.0.htm,"FKBP14,PTK2,CD1B,EBF1,CD3G,GAB1,CD7,GPM6B,ICOSLG,VPREB1,CD9,VPREB3,LOC100132741,PSD3,TRAT1,SAMD13,RGL1,SCD,NDST3,ELOVL4,NTRK2,NAV1,LOC100130458,RNF150,UBASH3A,LRP12,ACPL2,CAMK2D,TCL1A,GXYLT2,STK32B,ACCN2,GH1,LOC284757,ADCY9,MAL,VSIG10,CTGF,OGN,FAM150B,SH2D1A,CSRP2,CD3E,HHIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (28), plasma membrane (15), membrane (14)"
M9,Adaptive,Humoral,B cell,B cell development,B cell development (M9),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm,"TNFSF13,LIF,HHEX,CEBPE,CBFA2T3,LTA,SPI1,TLR4,CCR7,LYN,TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU1_Q6,0.03,1.55e-8,182,5,"protein binding (8), immune response (6), signal transduction (5)"
M47.0,Adaptive,Humoral,B cell,enriched in B cells (I),enriched in B cells (I) (M47.0),53,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.0.htm,"STAP1,BLK,CD72,TSPAN13,BCL11A,C13orf18,KIAA0125,CD200,CD79B,VPREB3,CD79A,P2RX5,BTLA,AFF3,PPAPDC1B,IGHM,LOC90925,FCRLA,SPIB,FAM129C,ABCB4,LOC100130458,FCRL1,BANK1,MS4A1,FCRL5,TCF4,KLHL14,CXCR5,PCDH9,RALGPS2,CD22,TCL1A,CD24,IGH@,IGKV3-20,IGHD,MACROD2,EBF1,PNOC,ADAM28,LOC283663,CR2,PAX5,E2F5,PLEKHG1,FCER2,PKIG,FCRL2,IGLJ3,HLA-DOB,PTPRK,CD19",NA,NA,NA,NA,NA,[Chaussabel.v2]M4.10,0.37,4.810000000000001e-56,32,23,NA,NA,NA,NA,NA,"protein binding (32), plasma membrane (21), integral to membrane (15)"
M47.1,Adaptive,Humoral,B cell,enriched in B cells (II),enriched in B cells (II) (M47.1),43,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.1.htm,"LOC90925,IGHA1,BCL11A,LOC642838,KIAA0125,LOC642424,IGK@,CD79B,CD79A,TPD52,CDK14,CXCR5,BANK1,MS4A1,FCRL5,BLNK,TCF4,SP140,KLHL14,RALGPS2,FCRLA,FCGR2B,TCL1A,CELSR1,CD24,IGH@,DENND5B,EBF1,PNOC,PAWR,CD180,IGHM,CR2,PAX5,LOC100130100,PLEKHG1,POU2AF1,PKIG,FAM30A,HLA-DOB,KLF8,PTPRK,CD19",NA,NA,NA,NA,NA,[Chaussabel.v2]M4.10,0.21,2.4199999999999996e-28,32,13,NA,NA,NA,NA,NA,"protein binding (28), plasma membrane (17), integral to membrane (12)"
M47.2,Adaptive,Humoral,B cell,enriched in B cells (III),enriched in B cells (III) (M47.2),37,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.2.htm,"LOC90925,LOC652493,IGHA1,LOC642838,KIAA0125,LOC642424,IGK@,IGKC,VPREB3,MEF2C,TPD52,LOC284749,CDK14,FCRL3,FCRL5,HHEX,TBC1D9,FCRLA,ALOX5,FCGR2B,CELSR1,CD24,IGH@,IGHD,CD69,PNOC,PAWR,CD180,FAIM3,LOC100130100,IGLV1-44,FAM30A,IGL@,HLA-DOA,HLA-DQA1,BTK,DENND5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (21), plasma membrane (10), integral to membrane (8)"
M47.3,Adaptive,Humoral,B cell,enriched in B cells (IV),enriched in B cells (IV) (M47.3),16,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.3.htm,"FAIM3,LOC284749,CPNE5,TPD52,CIITA,IGHA1,TLR10,IGHG1,CELSR1,FAM30A,CDK14,PAWR,CD180,MEF2C,BTK,HLA-DOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (13), plasma membrane (7), nucleus (5)"
M47.4,Adaptive,Humoral,B cell,enriched in B cells (V),enriched in B cells (V) (M47.4),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M47.4.htm,"GPR18,FAIM3,FCRL3,FCGR2B,LY9,CELSR1,CD37,TLR10,CD69,CD180,FCRL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (10), protein binding (7), plasma membrane (7)"
M54,Adaptive,Humoral,B cell,BCR signaling,BCR signaling (M54),12,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M54.htm,"INPP5D,SYK,PIK3CD,VAV1,PLCG2,PIK3R5,PIK3R3,RAC2,LYN,PTPN6,BTK,BLNK",KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.16,8.69e-31,75,12,NA,NA,NA,NA,NA,OCT1_Q6,0.02,3.62e-6,210,4,"protein binding (11), plasma membrane (9), cytosol (9)"
M58,Adaptive,Humoral,B cell,B cell development/activation,B cell development/activation (M58),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm,"TCF4,JAM3,NEDD4,GAB2,PIK3CD,SPIB,BCL2,LYN,DUSP6,BTK,BLNK",KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.05,3.88e-8,75,4,NA,NA,NA,NA,NA,OCT1_Q6,0.05,4.1399999999999993e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)"
M69,Adaptive,Humoral,B cell,enriched in B cells (VI),enriched in B cells (VI) (M69),20,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M69.htm,"CR2,PCDH9,TSPAN13,HLA-DOB,CD72,PTPRK,CD22,P2RX5,BTLA,MS4A1,PPAPDC1B,CXCR5,ABCB4,CD200,FCRL1,FCRL2,CD79A,CD79B,ADAM28,CD19",KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.07,4.51e-11,75,6,[Chaussabel.v2]M4.10,0.21,1.2899999999999998e-21,32,9,NA,NA,NA,NA,NA,"plasma membrane (17), protein binding (14), integral to membrane (13)"
M83,Adaptive,Humoral,B cell,enriched in naive and memory B cells,enriched in naive and memory B cells (M83),10,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M83.htm,"NR3C2,PCDH9,NRXN3,PKIG,FCGR2B,CD37,MEF2C,BANK1,MS4A1,LY86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IRF1_Q6,0.05,2.93e-21,201,10,"protein binding (6), integral to membrane (5), plasma membrane (4)"
M123,Adaptive,Humoral,B cell,enriched in B cell differentiation,enriched in B cell differentiation (M123),13,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M123.htm,"ICOSLG,HBEGF,LOC144481,NR4A1,GAB1,DLL1,LOC100288911,NR4A3,EBF1,FAM150B,BCL11B,VPREB1,VPREB3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PAX3_B,0.05,4.6799999999999996e-8,65,4,"protein binding (9), signal transduction (4), regulation of transcription, DNA-dependent (4)"
M156.0,Adaptive,Humoral,"B cell, Plasma cell","plasma cells & B cells, immunoglobulins","plasma cells & B cells, immunoglobulins (M156.0)",43,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M156.0.htm,"CD52,IGKV4-1,LOC652493,IGHG1,C13orf18,LOC100287723,LOC100289053,IGKC,IGKV1D-13,VPREB3,ITM2C,LOC96610,IGLV4-60,IGLV3-19,P2RX5,CPNE5,ADAM28,STAP1,ABCB4,FCRL1,FCRL2,PCDH9,CD22,IGL@,LOC91316,SPIB,IGKV3-20,IGHD,BLK,LOC100290557,IGLV2-23,IGJ,OSBPL10,CYAT1,E2F5,LOC100293440,TNFRSF17,IGLV1-44,IGLJ3,GNG7,IGLL3,MGC29506,IGLL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (24), plasma membrane (9), integral to membrane (7)"
M156.1,Adaptive,Humoral,Plasma cell,"plasma cells, immunoglobulins","plasma cells, immunoglobulins (M156.1)",36,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M156.1.htm,"IGKV4-1,LOC652493,IGHA1,IGHG1,TNFRSF17,LOC100287723,LOC100289053,IGK@,IGKC,IGKV1D-13,LOC96610,IGLV3-19,TXNDC5,DERL3,LOC100290557,MUTED,CD27,IGL@,LOC91316,IGH@,IGKV3-20,IGHD,IGHV3-48,PNOC,IGLV2-23,IGHM,CYAT1,LOC100130100,IGKV1-5,LOC100293440,POU2AF1,IGLV1-44,IGLJ3,IGLV4-60,MGC29506,IGLL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (20), extracellular region (9), immune response (8)"
S2,Adaptive,Humoral,B cell,B cell surface signature,B cell surface signature (S2),169,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S2.htm,"SSPN,AVPR1A,KCNE4,TSPAN13,CD37,HEPACAM2,GYPA,SEMA4B,EGF,GPR37,MS4A1,C11orf87,USH2A,PPP1R3A,OR12D3,POPDC3,DCC,SLC12A1,GP5,CDH5,SLITRK6,HLA-DPB1,PCDHA3,TRHDE,FAIM3,CD22,GHR,LY9,TAS2R13,FLRT2,TPTE,TMEM100,GYPE,PLD4,ADAM7,KCNMB3,FCRL3,GPR6,CSPG4,SYT2,ROBO2,NRXN3,FREM2,TRPC1,GPR116,TMEM47,SCN3A,NPY1R,LPPR4,NOX4,PDZK1IP1,CCR9,CD200,GABBR1,EDNRB,GJC1,LHCGR,PCDHB8,NT5E,PDPN,PCDHB4,CLDN8,LRRTM4,HRH4,NMBR,NCAM2,GRM5,TM4SF20,IL5RA,JAM2,JAM3,IL28RA,MC3R,F2RL3,ASTN1,MOGAT2,SLC26A7,SLC24A1,TACR3,CR2,IL13RA2,IMPG2,LRRC19,TMEFF2,ITM2C,PCDH10,BTC,GPR98,AGTR1,CD19,TMEM133,CD72,UGT2A3,OR11A1,TLR10,CSMD1,TRPC7,CCR6,GABRA5,PLP1,CD79B,CLCA4,CD79A,CNR1,EPHA3,SLC30A10,SGCE,BTLA,CHRNB4,PCDHB10,PCDHB16,PCDHB15,PCDHB14,CADM2,GPR85,SLC6A15,GPR87,NLGN1,SLC13A1,CELSR1,OR1E1,GABRB1,CD180,ADAM28,CXADR,TAAR2,HHLA2,SLC17A6,CNTNAP3,SLC6A16,HLA-DOA,HLA-DOB,HLA-DPA1,ABCA8,CD52,OR2J2,CHL1,TMEM156,SLC5A7,P2RX5,OR2W1,LPHN3,LPHN2,HLA-DRA,LRP1B,CXCR5,ABCB4,FCRL1,FCRL2,PCDH20,FCRL5,KCND2,SLC44A5,ITGB6,NLGN4Y,FCGR2B,CHRM2,PTH2R,HEPH,CD24,PCDH9,BAI3,PTPRR,SELE,FAM26F,SCN1A,HTR1E,PTPRK,HLA-DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (140), plasma membrane (123), protein binding (93)"
S3,Adaptive,Humoral,Plasma cell,Plasma cell surface signature,Plasma cell surface signature (S3),24,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S3.htm,"PPAP2C,KCNG2,SLC5A4,CAV1,TEK,TMEM37,GP1BB,SLC16A14,ICAM2,SLC44A1,CCR10,CHRM1,CLPTM1L,KCNN3,HM13,GPR25,KCNH1,TXNDC15,SDC1,DRD4,KRTCAP2,TRAM2,SCARB2,AMIGO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (18), protein binding (14), plasma membrane (14)"
