"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"ADAPTIVE IMMUNE RESPONSE","TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17,ALCAM,ANXA1,ARG1,PRDM1,CAMK4,CD1A,CD3D,CD3E,CD4,CD8A,CTSL,ADGRE1,PTK2B,FCGR1BP,FGA,FGB,FYN,HLA-B,HLA-DOA,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNG,IFNW1,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,JCHAIN,IGKC,IGLC1,IGLC3,IGLC6,IL17A,JAK2,KLRD1,LYN,SH2D1A,MICB,PDCD1,PIK3CD,PRKCB,SIPA1,SLAMF1,TRAV6,TRGC1,TRGC2,TRGV1,TRGV2,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9,TRGV10,TRGV11,TSC1,LAT2,TNFRSF14,RIPK2,TNFRSF11A,CD84,TNFSF18,CLEC4M,LILRB5,LILRA1,LILRB3,RAPGEF4,BTN3A1,ICOSLG,TNFRSF13B,PRKD2,LAT,LAMP3,SIT1,TNFRSF21,IGKV1-5,IGHV8-51-1,IGHV3-38-3,IGHV1-38-4,IGHJ1,IGHD1-1,TRDV3,TRDV2,TRDV1,TRDJ1,TRDD1,TRDC,TRBV30,TRBV29-1,TRBV28,TRBV27,TRBV25-1,TRBV24-1,TRBV23-1,TRBV20-1,TRBV19,TRBV18,TRBV17,TRBV16,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV9,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV3-1,TRBV2,TRBJ2-7,TRBJ2-6,TRBJ2-5,TRBJ2-4,TRBJ2-3,TRBJ2-2,TRBJ2-1,TRBJ1-6,TRBJ1-5,TRBJ1-4,TRBJ1-3,TRBJ1-2,TRBJ1-1,TRBD1,TRBC2,TRBC1,TRAV41,TRAV40,TRAV39,TRAV38-2DV8,TRAV38-1,TRAV36DV7,TRAV35,TRAV34,TRAV30,TRAV29DV5,TRAV27,TRAV26-2,TRAV26-1,TRAV25,TRAV24,TRAV23DV6,TRAV22,TRAV21,TRAV20,TRAV19,TRAV18,TRAV17,TRAV16,TRAV14DV4,TRAV13-2,TRAV13-1,TRAV12-3,TRAV12-2,TRAV12-1,TRAV10,TRAV9-2,TRAV9-1,TRAV8-6,TRAV8-4,TRAV8-3,TRAV8-2,TRAV8-1,TRAV7,TRAV5,TRAV4,TRAV3,TRAV2,TRAV1-2,TRAV1-1,TRAJ42,TRAJ31,TRAJ3,TRAC,IGLV11-55,IGLV10-54,IGLV9-49,IGLV8-61,IGLV7-46,IGLV7-43,IGLV6-57,IGLV5-52,IGLV5-48,IGLV5-45,IGLV5-39,IGLV5-37,IGLV4-69,IGLV4-60,IGLV4-3,IGLV3-32,IGLV3-27,IGLV3-25,IGLV3-22,IGLV3-21,IGLV3-19,IGLV3-16,IGLV3-12,IGLV3-10,IGLV3-9,IGLV3-1,IGLV2-33,IGLV2-23,IGLV2-18,IGLV2-14,IGLV2-11,IGLV2-8,IGLV1-51,IGLV1-50,IGLV1-47,IGLV1-44,IGLV1-40,IGLV1-36,IGLJ1,IGLC7,IGKV6D-41,IGKV6D-21,IGKV3D-20,IGKV3D-15,IGKV3D-11,IGKV3D-7,IGKV2D-30,IGKV2D-29,IGKV2D-28,IGKV2D-26,IGKV2D-24,IGKV1D-43,IGKV1D-42,IGKV1D-39,IGKV1D-37,IGKV1D-33,IGKV1D-17,IGKV1D-13,IGKV1D-12,IGKV1D-8,IGKV6-21,IGKV5-2,IGKV4-1,IGKV3-20,IGKV3-15,IGKV3-7,IGKV2-40,IGKV2-30,IGKV2-29,IGKV2-28,IGKV2-24,IGKV1-39,IGKV1-37,IGKV1-27,IGKV1-17,IGKV1-16,IGKV1-13,IGKV1-12,IGKV1-9,IGKV1-8,IGKV1-6,IGKJ1,DBNL,CD274,CD209,TRAT1,CLEC4A,CD244,ERAP1,TREM1,TRPM4,LIME1,RNF125,AKIRIN2,OTUB1,PAG1,CTNNBL1,IFNK,MCOLN1,SLAMF7,DCLRE1C,PDCD1LG2,PRR7,FCRL4,JAM3,FCAMR,HAVCR2,ORAI1,SIGLEC10,IL17F,TNFRSF13C,SH2D1B,CLEC4C,MARCHF8,IL4I1,CLEC4D,EIF2AK4,KLRC4-KLRK1","GO:0002250","Adaptive","General","Adaptive Immune response","Lymphocyte",330
"ADAPTIVE IMMUNE RESPONSE","TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17,ALCAM,ANXA1,ARG1,PRDM1,CAMK4,CD1A,CD3D,CD3E,CD4,CD8A,CTSL,ADGRE1,PTK2B,FCGR1BP,FGA,FGB,FYN,HLA-B,HLA-DOA,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB5,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNG,IFNW1,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,JCHAIN,IGKC,IGLC1,IGLC3,IGLC6,IL17A,JAK2,KLRD1,LYN,SH2D1A,MICB,PDCD1,PIK3CD,PRKCB,SIPA1,SLAMF1,TRAV6,TRGC1,TRGC2,TRGV1,TRGV2,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9,TRGV10,TRGV11,TSC1,LAT2,TNFRSF14,RIPK2,TNFRSF11A,CD84,TNFSF18,CLEC4M,LILRB5,LILRA1,LILRB3,RAPGEF4,BTN3A1,ICOSLG,TNFRSF13B,PRKD2,LAT,LAMP3,SIT1,TNFRSF21,IGKV1-5,IGHV8-51-1,IGHV3-38-3,IGHV1-38-4,IGHJ1,IGHD1-1,TRDV3,TRDV2,TRDV1,TRDJ1,TRDD1,TRDC,TRBV30,TRBV29-1,TRBV28,TRBV27,TRBV25-1,TRBV24-1,TRBV23-1,TRBV20-1,TRBV19,TRBV18,TRBV17,TRBV16,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV9,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV3-1,TRBV2,TRBJ2-7,TRBJ2-6,TRBJ2-5,TRBJ2-4,TRBJ2-3,TRBJ2-2,TRBJ2-1,TRBJ1-6,TRBJ1-5,TRBJ1-4,TRBJ1-3,TRBJ1-2,TRBJ1-1,TRBD1,TRBC2,TRBC1,TRAV41,TRAV40,TRAV39,TRAV38-2DV8,TRAV38-1,TRAV36DV7,TRAV35,TRAV34,TRAV30,TRAV29DV5,TRAV27,TRAV26-2,TRAV26-1,TRAV25,TRAV24,TRAV23DV6,TRAV22,TRAV21,TRAV20,TRAV19,TRAV18,TRAV17,TRAV16,TRAV14DV4,TRAV13-2,TRAV13-1,TRAV12-3,TRAV12-2,TRAV12-1,TRAV10,TRAV9-2,TRAV9-1,TRAV8-6,TRAV8-4,TRAV8-3,TRAV8-2,TRAV8-1,TRAV7,TRAV5,TRAV4,TRAV3,TRAV2,TRAV1-2,TRAV1-1,TRAJ42,TRAJ31,TRAJ3,TRAC,IGLV11-55,IGLV10-54,IGLV9-49,IGLV8-61,IGLV7-46,IGLV7-43,IGLV6-57,IGLV5-52,IGLV5-48,IGLV5-45,IGLV5-39,IGLV5-37,IGLV4-69,IGLV4-60,IGLV4-3,IGLV3-32,IGLV3-27,IGLV3-25,IGLV3-22,IGLV3-21,IGLV3-19,IGLV3-16,IGLV3-12,IGLV3-10,IGLV3-9,IGLV3-1,IGLV2-33,IGLV2-23,IGLV2-18,IGLV2-14,IGLV2-11,IGLV2-8,IGLV1-51,IGLV1-50,IGLV1-47,IGLV1-44,IGLV1-40,IGLV1-36,IGLJ1,IGLC7,IGKV6D-41,IGKV6D-21,IGKV3D-20,IGKV3D-15,IGKV3D-11,IGKV3D-7,IGKV2D-30,IGKV2D-29,IGKV2D-28,IGKV2D-26,IGKV2D-24,IGKV1D-43,IGKV1D-42,IGKV1D-39,IGKV1D-37,IGKV1D-33,IGKV1D-17,IGKV1D-13,IGKV1D-12,IGKV1D-8,IGKV6-21,IGKV5-2,IGKV4-1,IGKV3-20,IGKV3-15,IGKV3-7,IGKV2-40,IGKV2-30,IGKV2-29,IGKV2-28,IGKV2-24,IGKV1-39,IGKV1-37,IGKV1-27,IGKV1-17,IGKV1-16,IGKV1-13,IGKV1-12,IGKV1-9,IGKV1-8,IGKV1-6,IGKJ1,DBNL,CD274,CD209,TRAT1,CLEC4A,CD244,ERAP1,TREM1,TRPM4,LIME1,RNF125,AKIRIN2,OTUB1,PAG1,CTNNBL1,IFNK,MCOLN1,SLAMF7,DCLRE1C,PDCD1LG2,PRR7,FCRL4,JAM3,FCAMR,HAVCR2,ORAI1,SIGLEC10,IL17F,TNFRSF13C,SH2D1B,CLEC4C,MARCHF8,IL4I1,CLEC4D,EIF2AK4,KLRC4-KLRK1",NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RHOA,GPR183,BTK,CH25H,BAX,CD19,BRAF,CDH26,CD81,TOX,EOMES,KLRC1,RAB27A,ABL1,IL15,FCER1G,CCL2,YY1,HSPD1,IL2RG,ST3GAL1,TNFSF4,ITGAL,DOCK8,THEMIS,HLA-G,CCR7,LRRC8A,CD28,ADAR,MYO1G,CD1D,CCR2,ZFPM1,LILRB4,PSG9,FCER1A,CLEC4G,PTPRC,RAG2,TNFAIP3,CD83,PRKCQ,FUT7,HLA-E,WDFY4,BCL2,CRKL,CRK,WNT4,BCL6,STAT6,GATA3,SPNS2,LGALS1,RAG1,SPI1,MLH1,MSH2,APBB1IP,XG,CD99,LIG4,PRKDC,RC3H1,HMGB1,CEBPB,RORC,RORA,CCL20,CORO1A,ACOD1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,ZAP70,SYK,PSMB11,IRF1,TNFSF8,CRTAM,MYH9,CDH17,IRF8,BCL3,ZP3,TCF3,FUT4,ARTN,SHLD3,SHLD1,SHLD2,LILRB1,SLC11A1,RELB,IL4R,SPN,MTOR,STAT3,NOTCH1,PHB1,PTGER4,ATP7A,IL12B,ITPKB,CD40,CD70,TLR4,GAPT,FCGR2B,PLCG2,TCF7,LAX1,AXL,TYRO3,MERTK,LFNG,NOTCH2,C17orf99,IL7,IL6R,IL6ST,JAK1,IL10,IL33,LRRC17,ASXL1,LIPA,HOXB4,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,SRF,UNG,MSH6,PMS2,IL18BP,HMGB2,RPL22,GLI3,ADA,MEF2C,UNC13D,ADAM17,NFKB2,CD6,MSN,PRF1,EPHB1,IMPDH2,HPRT1,FLT3,PURA,MSH3,ITK,CXADR,JAML,SOS1,TNFRSF17,SKIL,PACS1,SOS2,CXCL12,CCL3,DEFA4,SLC12A2,PIK3CG,DEFA1,MYB,MEN1,KMT2A,ERCC1,CD40LG,RNF168,SANBR,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,CD46,JAG1,CR2,BTN3A2,GNL1,CR1,GPR15,S1PR1,ITGB7,GZMM,CTSH,TAP2,PPP3CB,EMP2,CTSC,IL7R,B2M,CAMLG,NCKAP1L,CASP3,LIMK1,VAV2,SRC,VAV1,PRKCE,HCK,PTK2,PRKCD,FGR,PLPP4,NKX2-5,EPB42,CDKN2B,PBX1,NKX3-2,NKX2-3,CACNB4,CCL18,CCL4,CCL7,XCL1,ADAM8,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL23,PPP2CA,CHST3,JAK3,ZC3H8,PPP2R1A,IL20RB,CCNB2,PRDX2,CD86,PTPN6,CAV1,PTPN11,DPP4,MAP3K8,KLRK1,CD160,CD24,CD80,PIK3CA,EFNB1,EFNB2,CSK,NKAP,CTNNB1,ZFP36L2,NCAPH2,ZFP36L1,CDK6,JMJD6,TESPA1,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CHRNA7,MS4A1,RASGRP1,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,MAP2K1,HAND2,MAP2K2,FOXI3,SOD1,TGFBR1,MAPK3,EPHB3,LMO4,MAPK1,TYR,IL9,CTPS1,CD38,FOSL2,WNT3A,PSMB10,FKBP1B,KITLG,LMBR1L,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,KDELR1,DTX1,SOX4,PTPN2,LEPR,GPR89A,LEP,EGR1,PKNOX1,PIK3R1,NRARP,SP3,GPR89B,BCAR1,CTLA4,CD79B,GRB2,MNDA,BMX,NFKBIA,TEC,NFAM1,NFKB1,WAS,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,FKBP1A,MFAP3,TNFAIP8L2,CD7,CD276,CD44,DCAF12,CD8B,DDOST,PAX5,TOP2B,ADGRG3,FZD9,EP300,PTPRJ,LYL1,CEBPG,ZBTB7A,ITGA4,IL11,TPD52,RBPJ,HHEX,VCAM1,SKAP1,THEMIS2,KHDRBS1,CACNB3,PDE4B,PDE4D,UBE2N,NFKBID,DENND1B,TXK,VTCN1,FYB2,BTNL8,BCL10,BTNL10P,ZNF683,PLCG1,EIF2B2,BTNL9,BTNL3,BTN2A1,HLA-DRB3,IL9R,MPL,IL2RB,CD27,CSF2RB,HLA-DOB,FBXO38,P0DOX7,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,HLA-DMB,NLRP10,P0DOX6,P0DOX8,CTSS,RAPGEF3,CX3CR1,LILRA6,BTLA,KLRC2,RAP1GAP2,TAP1,LAIR1,RAP1GAP,ARG2,ERAP2,MCOLN2,LILRA3,RNF19B,CD1E,P0DOX5,HLA-DRB4,P0DOX2,CD8B2,CLEC10A,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,HLA-DMA,P0DOX3,FGL1,TFE3","Manual","Adaptive","General","Adaptive immune system","General",676
"ALPHA-BETA T CELL ACTIVATION","CD247,CD3G,CD3D,CD3E,INS,TRBC2,TRBC1,TRAC","GO:0046631","Adaptive","Cellular","Activation, abT cell","T cell",3
"ALPHA-BETA T CELL ACTIVATION","CD247,CD3G,CD3D,CD3E,INS,TRBC2,TRBC1,TRAC",NA,NA,NA,NA,NA,NA
"ALPHA-BETA T CELL DIFFERENTIATION","RPL22,BRAF,GLI3,ADA,ABL1,ZAP70,ANXA1,SHH,BCL11B,PRR7","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL DIFFERENTIATION","RPL22,BRAF,GLI3,ADA,ABL1,ZAP70,ANXA1,SHH,BCL11B,PRR7",NA,NA,NA,NA,NA,NA
"ALPHA-BETA T CELL LINEAGE COMMITMENT","RHOA","GO:0002363","Adaptive","Cellular","Lineage commitment, abT cell","T cell",1
"ALPHA-BETA T CELL PROLIFERATION","CLEC4G,PTPRC,DOCK2","GO:0046633","Adaptive","Cellular","Proliferation, abT cell","T cell",2
"ALPHA-BETA T CELL PROLIFERATION","CLEC4G,PTPRC,DOCK2",NA,NA,NA,NA,NA,NA
"ANTIBACTERIAL HUMORAL RESPONSE","HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1,ANG,HLA-A,IGHA1,IGHA2,IGHM,JCHAIN,LTF,PLA2G1B,RNASE6,SEMG1,SLPI,TF,H2BC8,H2BC7,H2BC6,H2BC4,H2BC21,PLA2G6,H2BC11,WFDC2,IGKV3-20,BPIFA1,RNASE7,H2BC12,WFDC12,WFDC10A,WFDC5,DEFA1B","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","HLA-E,TAC1,DEFA4,B2M,DEFB1,SEMG2,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,RNASE4,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,ADM,WFDC9,SPRR2A,WFDC10B,NCR3LG1,ANG,HLA-A,IGHA1,IGHA2,IGHM,JCHAIN,LTF,PLA2G1B,RNASE6,SEMG1,SLPI,TF,H2BC8,H2BC7,H2BC6,H2BC4,H2BC21,PLA2G6,H2BC11,WFDC2,IGKV3-20,BPIFA1,RNASE7,H2BC12,WFDC12,WFDC10A,WFDC5,DEFA1B",NA,NA,NA,NA,NA,NA
"ANTIBACTERIAL INNATE IMMUNE RESPONSE","TFEB,UMOD,MARCHF2,MPEG1,DEFB136","GO:0140367","Innate","Innate","Antibacterial innate immune response","Undefined",1
"ANTIBACTERIAL INNATE IMMUNE RESPONSE","TFEB,UMOD,MARCHF2,MPEG1,DEFB136",NA,NA,NA,NA,NA,NA
"ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS","LGALS4","GO:0002780","Innate","Innate","Biosynthetic process, Antibacterial peptide","Undefined",1
"ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","FCGR3A,FCGR1A,IGHG1","GO:0001788","General","ADCC","ADCC","Undefined",2
"ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","FCGR3A,FCGR1A,IGHG1",NA,NA,NA,NA,NA,NA
"ANTIFUNGAL HUMORAL RESPONSE","FAM3A,TAC1,DEFA4,CAMP,LTF,RARRES2,IL36RN","GO:0019732","General","Humoral","Antifungal humoral response","Antimicrobial",4
"ANTIFUNGAL HUMORAL RESPONSE","FAM3A,TAC1,DEFA4,CAMP,LTF,RARRES2,IL36RN",NA,NA,NA,NA,NA,NA
"ANTIFUNGAL INNATE IMMUNE RESPONSE","CX3CR1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A,DEFB4A,RARRES2,CLEC4E,CLEC4A,CARD9,CLEC7A,RNASE8,CLEC4C,DEFB114,CLEC4D,DEFB106B,DEFB136","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIFUNGAL INNATE IMMUNE RESPONSE","CX3CR1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A,DEFB4A,RARRES2,CLEC4E,CLEC4A,CARD9,CLEC7A,RNASE8,CLEC4C,DEFB114,CLEC4D,DEFB106B,DEFB136",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A,CD8A,CD74,CTSL,EXT1,GBA1,RAB33A,CLEC4M,RAB32,RAB35,CD209,RAB8B,RAB34,RAB3C","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DRB4,RAB27A,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,RELB,AP3B1,CTSS,HLA-DMB,HLA-DPA1,RAB4A,HLA-E,PSMB8,RAB5B,HLA-C,WDFY4,RAB3B,RAB10,RAB6A,CD8A,CD74,CTSL,EXT1,GBA1,RAB33A,CLEC4M,RAB32,RAB35,CD209,RAB8B,RAB34,RAB3C",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION FOLLOWING PHAGOCYTOSIS","ARL8B",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS ANTIGEN","CD74,ATG5",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","TAP2,TAP1,ERAP2,B2M,IDE,HLA-A,TAPBP,ERAP1","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","TAP2,TAP1,ERAP2,B2M,IDE,HLA-A,TAPBP,ERAP1",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-DEPENDENT","TAP2,HLA-A","GO:0002485","Innate","APP","APP, MHC I, endogenous peptide, TAP-dependent","All",1
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-DEPENDENT","TAP2,HLA-A",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F,HFE,HLA-A,HLA-B,HLA-H,MICB,ULBP3,ULBP2,ULBP1,RAET1E,MICA","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-E,RAET1L,RAET1G,HLA-C,HLA-G,HLA-F,HFE,HLA-A,HLA-B,HLA-H,MICB,ULBP3,ULBP2,ULBP1,RAET1E,MICA",NA,NA,NA,NA,NA,NA
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-C,HLA-F,RAET1G,HLA-G,RAET1L,HLA-E,HFE,HLA-A,HLA-B,HLA-H,MICB,ULBP3,ULBP2,ULBP1,RAET1E,MICA","GO:0002476","Innate","APP","APP, MHC IB, endogenous peptide","All",6
