...1	Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue
16	MONOV INFLUENZA A (D1)	CHAD63-KH (H24)	243	77	490	2275	5081	ADM,AIF1,AIM2,APOBEC3A,APOBEC3B,APOL1,BATF2,BATF3,BCL3,SCIMP,C1QA,C1QB,C2,C3AR1,CASP1,CCR1,CCR2,CCRL2,CD14,CD274,CD36,CD38,CDC42EP2,CDKN1A,CLEC4D,CLEC4E,CLEC5A,CLEC6A,CTSL,CTSS,CXCL10,CXCL16,DDX60,DTX3L,DUSP1,DUSP3,DYSF,EXT1,FCER1G,FCGR1A,FCGR1BP,FCGR2A,FCGR2C,FCN1,FFAR2,FGL2,FPR2,FZD5,GBP1,GBP2,GBP4,GBP5,GCH1,HCAR2,HCK,HERC5,HLX,ICAM1,IDO1,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM3,IFNGR2,IGSF6,IL15,IL15RA,IL1B,IL1RN,IL27,IL31RA,IL4I1,IRF1,IRF7,ISG15,JAK2,KYNU,LAMP3,LILRA1,LILRA5,LILRA6,LILRB1,LILRB2,LILRB3,LILRB4,LILRB5,LRRK2,LTBR,LYN,LYZ,MAFB,MARCO,MEFV,MNDA,MPEG1,MX1,NCF1,NFAM1,NLRC4,NLRP3,NMI,NOD2,OAS1,OAS2,OAS3,OASL,P2RX7,P2RY12,PARP14,PARP9,PLA2G4A,PLA2G7,PLSCR1,PRLR,PSMB9,RAB20,RBM47,RGS1,RSAD2,SBNO2,SECTM1,MSRB1,SERPING1,SLAMF8,SRC,STAT1,STAT2,TAP1,TLR1,TLR2,TLR4,TMEM106A,TNFAIP6,TNFSF10,TNFSF13B,TRAFD1,TRPV4,ANGPT1,MAP2K6,CD2,COLEC12,CTSF,MYB,CTNNBIP1,CXCL6,HMOX1,CXCL8,KIT,PLCB1,RNF125,SLC25A40,THRA,CD40,CFB,ENPP2,GAS6,IFITM1,ISG20,LDLR,NLRC5,RNF213,SLAMF7,SUCNR1,TAP2,TIFA,USP18,ZBP1,APOBEC3F,CCL2,CD1E,FCGR2B,IFIT5,IL12RB1,JAK3,PML,SAMD9,ANXA3,APOBEC3C,APOBEC3G,BAK1,BST2,BTN3A3,C5,CD59,CD74,CEACAM1,CIITA,DDX21,RIGI,DHX58,EIF2AK2,EPG5,ERAP2,FANCA,GBP6,GPR65,GSDMD,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DRB1,IFI16,IRAK2,IRF9,KARS1,LIMK1,LIPA,CGAS,MDK,MICB,MR1,NOD1,NUB1,PDCD1LG2,PDE4B,PIK3AP1,POLB,PSMB10,PSMB8,PSME1,RBCK1,RHBDF2,RIPK2,SAMHD1,SERPINB9,SOCS1,SPHK1,TMEM229B,TRIM21,TRIM22,TRIM38,TRIM5,TRIM6,WDFY1,ZC3HAV1,EPAS1,IRF8	10.68	4.78	1.7063451587267499e-34	1.34433335696364e-34
17	MONOV INFLUENZA A (D1)	INACTIVATED INFLUENZA (D28)	39	281	179	2275	1439	BCL3,CXCL16,DYSF,FCER1G,FCGR2A,FCN1,IFI44L,IFITM3,IRF1,IRF7,LILRA3,LILRA6,LILRB1,LILRB3,LYN,LYZ,MNDA,MPEG1,MX1,NCF1,P2RX7,PLSCR1,STAT2,ADAM15,IRF2BP2,NRROS,DLL1,NLRC5,PTK2,SAMD9,BTLA,CD74,HLA-DMA,HLA-DRB1,IRF9,RBCK1,RHBDF2,TRIM22,TRIM5	1.71	2.71	2.01519006313139e-97	1.4524774096505997e-96
18	MONOV INFLUENZA A (D1)	INACTIVATED INFLUENZA (D7)	32	288	250	2275	1653	BCL3,CD38,CXCL16,DUSP1,FCGR2A,LILRA3,LILRA6,LILRB3,LYN,MNDA,MPEG1,NCF1,PLSCR1,MYB,IRF2BP2,NRROS,POLR3K,CD226,NLRC5,SLAMF7,OPTN,SAMD9,BAK1,BST2,BTLA,GPR65,HLA-DMA,IRF9,RBCK1,RHBDF2,TRIM22,WDFY1	1.41	1.94	8.93323375945988e-127	2.3974097255227e-125
19	MONOV INFLUENZA A (D1)	INACTIVATED INFLUENZA (D2)	9	311	46	2275	333	BCL3,CXCL16,IRF1,LILRA3,LILRA6,MPEG1,PLSCR1,ADAM15,BTLA	0.4	2.7	8.05801951261602e-50	1.0510739264339599e-49
20	MONOV INFLUENZA A (D1)	FLUARIX (D0)	1	319	5	2275	33	CD22	0.04	3.03	2.0480506778835e-10	6.264024741716989e-11
21	MONOV INFLUENZA A (D1)	RVSV ZEBOV (D7)	8	312	2	2275	82	CXCL10,HERC5,IFIT1,ISG15,LAMP3,RSAD2,USP18,CCL2	0.35	9.76	8.7072618563882e-4	1.810550412045e-4
22	MONOV INFLUENZA A (D1)	LVS F TULARENSIS (H18)	25	295	45	2275	989	CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,ICAM1,LAMP3,LILRB4,NOD2,TAP1,TLR1,TLR2,TLR4,FCER1A,TAP2,FCGR2B,CD74,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRB1,IRAK2,NOD1,TLR5,CCR3	1.1	2.53	6.50955167159435e-40	6.0820324428728294e-40
23	MONOV INFLUENZA A (D1)	LVS F TULARENSIS (H192)	24	296	46	2275	979	CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,ICAM1,LAMP3,LILRB4,NOD2,TAP1,TLR1,TLR2,TLR4,FCER1A,TAP2,FCGR2B,CD74,HLA-DMA,HLA-DQB1,HLA-DRB1,IRAK2,NOD1,TLR5,CCR3	1.05	2.45	4.44641507622568e-41	4.29107234577495e-41
24	MONOV INFLUENZA A (D1)	LVS F TULARENSIS (H336)	25	295	46	2275	999	CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,ICAM1,LAMP3,LILRB4,NOD2,TAP1,TLR1,TLR2,TLR4,FCER1A,TAP2,FCGR2B,CD74,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRB1,IRAK2,NOD1,TLR5,CCR3	1.1	2.5	1.2627818816480899e-40	1.2002973337479299e-40
25	MONOV INFLUENZA A (D1)	LVS F TULARENSIS (H48)	25	295	46	2275	999	CCR1,CCR2,FCER1G,FCGR1A,FCGR2A,ICAM1,LAMP3,LILRB4,NOD2,TAP1,TLR1,TLR2,TLR4,FCER1A,TAP2,FCGR2B,CD74,HLA-DMA,HLA-DMB,HLA-DQB1,HLA-DRB1,IRAK2,NOD1,TLR5,CCR3	1.1	2.5	1.2627818816480899e-40	1.2002973337479299e-40
29	MONOV INFLUENZA A (D1)	CN54GP140 (H6)	1	319	16	2275	118	CCR2	0.04	0.85	1.93725513640828e-26	1.17760635918893e-26
30	MONOV INFLUENZA A (D1)	HIV-1 GAG-POL NEF (D1)	206	114	412	2275	4241	TRBJ2-4,ADAM9,ADM,AIM2,APOL1,BATF2,BATF3,BCL6,BST1,SCIMP,C1QB,C2,C3AR1,CASP1,CCR1,CCR2,CCRL2,CD14,CD274,CD36,CD38,CDC42EP2,CDKN1A,CLEC4D,CLEC5A,CLEC6A,CTSL,CXCL10,CXCL16,DDX60,DTX3L,DUSP3,DYSF,EXT1,FCAR,FCER1G,FCGR2A,FCN1,FFAR2,FGL2,FPR1,FPR2,GBP1,GBP2,GBP4,GBP5,GCH1,HCAR2,HCK,HERC5,HLX,HP,ICAM1,IDO1,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM3,IFNGR2,IGSF6,IL15,IL15RA,IL1RN,IL27,IL4I1,IRF1,IRF7,ISG15,JAK2,KYNU,LAMP3,LILRA1,LILRA3,LILRA5,LILRA6,LILRB1,LILRB2,LILRB3,LILRB4,LRRK2,LTBR,LYN,MAFB,MARCO,MEFV,MNDA,MX1,NFAM1,NLRC4,NLRP3,NMI,NOD2,OAS1,OAS2,OAS3,OASL,P2RX7,P2RY12,PARP14,PARP9,PLA2G7,PLSCR1,PSMB9,NECTIN2,RAB20,RBM47,RSAD2,S100A9,SBNO2,SECTM1,MSRB1,SERPING1,SLAMF8,SRC,STAT1,STAT2,TAP1,TLR1,TLR2,TLR4,TMEM106A,TMEM176B,TNFAIP6,TNFSF10,TNFSF13B,TRAFD1,TRIB1,TRPV4,XKR8,CD2,CTSF,FCER1A,CRTC3,HMOX1,NRROS,PLCB1,RNF125,THRA,C1QC,CD40,CD7,CFB,GAS6,IFITM1,ISG20,LDLR,RNF213,SLAMF7,TAP2,TIFA,USP18,ZBP1,CCL2,HLA-DOB,IFIT5,IL12RB1,MIR21,NR1D1,PML,SAMD9,BAK1,BST2,BTLA,CD22,CEACAM1,RIGI,DHX58,EIF2AK2,GSDMD,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DRB1,HLA-DRB5,IFI16,IRF9,LIMK1,CGAS,MICB,MR1,NOD1,NUB1,PDCD1LG2,PIK3AP1,POLB,PSMB10,PSMB8,PSME1,RBCK1,RHBDF2,RHOH,RIPK2,SERPINB9,SOCS1,TMEM229B,TRIM21,TRIM22,TRIM38,TRIM5,WDFY1	9.05	4.86	1.14535085640691e-47	1.38114184225964e-47
31	MONOV INFLUENZA A (D1)	HIV-1 GAG-POL NEF (D3)	59	261	23	2275	549	AIM2,C1QB,C3AR1,CCR1,CTSL,CXCL10,DDX60,FFAR2,FPR2,GBP1,GCH1,HERC5,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM3,IGSF6,IL1RN,MAFB,MX1,NLRC4,NMI,OAS1,OAS2,OAS3,OASL,P2RX7,PARP9,PLSCR1,RSAD2,SECTM1,SERPING1,STAT1,TAP1,TLR1,TLR2,TNFSF10,TNFSF13B,IL1R2,CD101,CX3CR1,IFITM1,USP18,ZBP1,PML,SAMD9,RIGI,DHX58,EIF2AK2,IFI16,IRF9,TRIM21,TRIM22,TRIM38,TRIM5	2.59	10.75	3.55485163005282e-16	1.41402360483699e-16
32	MONOV INFLUENZA A (D1)	HPV-VLP (M2)	47	273	141	2275	1315	AIM2,APOBEC3B,APOL1,BATF3,C1QB,C2,CASP1,CD14,CD38,CDKN1A,FPR2,GCH1,ICAM1,IDO1,IL15,IL1B,IL1RN,LAMP3,MNDA,NOD2,PSMB9,RGS1,S100A8,SERPING1,TLR1,TLR2,TNFSF10,IL1R2,CD9,HMOX1,POLR3K,SLC25A40,CD40,CFB,ENPP2,IFITM1,ISG20,LDLR,TAP2,CD1E,APOBEC3G,C5,RIGI,FANCA,MICB,SOCS1,EPAS1	2.07	3.57	7.18049529997139e-78	2.6328576686102198e-77
33	MONOV INFLUENZA A (D1)	INFLUENZA (D1)	26	294	44	2275	447	CLEC6A,DDX60,FCGR1A,FCN1,GCH1,IFI44,IFI44L,IFIT1,LILRA5,OAS1,OAS2,OAS3,P2RY12,PLA2G7,RSAD2,S100A12,SOX12,AZU1,PLD4,FLT1,TESC,GBP6,HLA-DMA,HLA-DMB,HLA-DRA,PDCD1LG2	1.14	5.82	9.13840907743065e-39	8.13452441839647e-39
34	MONOV INFLUENZA A (D1)	PANDEMRIX (D1)	14	306	26	2275	582	CXCL10,IRF1,IRF7,NOD2,STAT1,TAP1,TLR1,TLR2,TLR4,CD40,HLA-DRA,HLA-DRB1,HLA-DRB5,IRF9	0.62	2.41	2.3637501208415398e-29	1.59779606359997e-29
35	MONOV INFLUENZA A (D1)	FLUARIX FLUVIRIN (D28)	3	317	44	2275	241	IFI35,OAS2,NOD1	0.13	1.24	1.32617515261943e-53	2.03994499134624e-53
36	MONOV INFLUENZA A (D1)	MONOV INFLUENZA A (D28)	10	310	18	2275	281	IFI30,IFNGR2,IGSF6,NOD2,FCER1A,CIITA,HLA-DMB,HLA-DQB1,HLA-DRA,HLA-DRB1	0.44	3.56	4.01744087718576e-23	2.1720317914223498e-23
37	MONOV INFLUENZA A (D1)	FLUARIX FLUVIRIN (D3)	22	298	156	2275	1182	AIF1,BCL3,C3AR1,CASP1,CCR2,CD36,CTSL,FCER1G,LILRB2,NLRC4,CX3CR1,HMOX1,POLR3K,APOBEC3F,APOBEC3G,DDX21,IFI16,LIPA,PDE4B,PIK3AP1,RHOH,TLR5	0.97	1.86	3.2727333264766e-102	2.92767543355679e-101
38	MONOV INFLUENZA A (D1)	INFLUENZA (D3)	52	268	93	2275	1057	ADM,AIF1,APOBEC3A,BST1,CD14,CD36,CDKN1A,CXCL16,DUSP1,FCN1,FPR1,HCK,IFI30,IFNGR2,IGSF6,LILRA1,LILRA3,LILRA5,LILRA6,LILRB2,LILRB3,LILRB4,LRRK2,LTBR,LYZ,MAFB,MEFV,MNDA,MPEG1,NCF1,NFAM1,NLRP3,PLA2G7,S100A12,S100A8,S100A9,SECTM1,TLR2,TLR4,TNFSF13B,TRIB1,FCER1A,CD101,CXCL8,SLAMF7,CIITA,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,SOCS1,TLR5	2.29	4.92	3.92346300020382e-55	6.410378649878e-55
39	MONOV INFLUENZA A (D1)	MONOV INFLUENZA A (D3)	50	270	6	2275	336	AIM2,APOBEC3B,BATF2,CCR1,CD274,DDX60,FCGR1A,GBP1,GBP4,GBP5,GCH1,HERC5,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM3,ISG15,LAMP3,MARCO,MX1,NCF1,OAS1,OAS2,OAS3,OASL,PARP14,PLSCR1,RSAD2,SERPING1,USP18,ZBP1,IFIT5,APOBEC3D,BST2,BTN3A3,DDX21,DHX58,EIF2AK2,GBP6,HLA-DRA,LIPA,SAMHD1,TRIM22,TRIM5,TRIM6	2.2	14.88	2.03978534845451e-5	4.68132902251607e-6
40	MONOV INFLUENZA A (D1)	PANDEMRIX (D3)	1	319	4	2275	70	CXCL8	0.04	1.43	1.10936078385356e-8	3.0605396476098204e-9
41	MONOV INFLUENZA A (D1)	PANDEMRIX (D30)	1	319	5	2275	87	CXCL8	0.04	1.15	2.0480506778835e-10	6.264024741716989e-11
42	MONOV INFLUENZA A (D1)	FLUAD (D7)	10	310	56	2275	291	CD36,EGR3,FOS,LILRA6,LILRB1,LILRB3,RGS1,CD101,TESC,IL18R1	0.44	3.44	6.90181674404714e-57	1.209100357534e-56
43	MONOV INFLUENZA A (D1)	FLUARIX FLUVIRIN (D7)	59	261	344	2275	2412	APOBEC3B,BCL6,CCR2,CD36,CD38,CDKN1A,CXCL16,DDX60,DUSP1,EGR3,FCAR,FOS,ICAM1,IFI44,IFIT1,IL15RA,IL1B,ISG15,KYNU,LILRA1,LILRA5,LILRB4,LYN,MAFB,MNDA,NLRP3,OAS3,RAB20,RGS1,TNFSF10,TRIB1,CD9,CX3CR1,CXCL8,IRF2BP2,MEAF6,PLCB1,SLC25A40,BATF,CD40,ISG20,LDLR,PTK2,SLAMF7,CD1E,APOBEC3G,CD22,CD59,CIITA,DDX21,EPG5,ERAP2,NUB1,PDE4B,RIPK2,SAMHD1,SOCS1,TRIM5,ZC3HAV1	2.59	2.45	2.78167078592682e-127	7.79694800145345e-126
44	MONOV INFLUENZA A (D1)	INFLUENZA (D7)	29	291	69	2275	521	ADM,BATF2,C2,CDKN1A,FOS,GBP5,IDO1,IFI44,IFI44L,IFI6,IFITM3,ISG15,OAS1,OAS2,OAS3,RAB20,RSAD2,S100A12,S100A9,SERPING1,PTGDR2,CD2,KIT,CD40,SLAMF7,APOBEC3D,BTLA,GBP6,LIMK1	1.27	5.57	1.28637410008334e-53	1.9835602928549101e-53
45	MONOV INFLUENZA A (D1)	INACTIVATED INFLUENZA (D0)	1	319	1	2275	7	GBP5	0.04	14.29	0.00623052959501558	0.0012233503574885
46	MONOV INFLUENZA A (D1)	FLUZONE (D1)	6	314	1	2275	44	BATF2,FCGR1A,FCGR1BP,IDO1,IFIT3,SERPING1	0.26	13.64	0.0218068535825545	0.00407553851500539
47	MONOV INFLUENZA A (D1)	FLUZONE (D30)	2	318	1	2275	11	TMEM106A,TMEM229B	0.09	18.18	0.00934579439252336	0.00180220211661201
48	MONOV INFLUENZA A (D1)	FLUZONE (D7)	4	316	8	2275	174	FCAR,LRRK2,CXCL8,CCL2	0.18	2.3	1.6236586415727199e-13	5.76409251942256e-14
49	MONOV INFLUENZA A (D1)	FLUMIST (D3)	50	270	178	2275	1510	AIF1,CASP1,CD14,CD36,CTSS,DDX60,DTX3L,FCER1G,FCGR1BP,FCN1,FGL2,HCK,IFI30,IFI35,IRF7,JAK2,KYNU,LILRA1,LILRB1,MARCO,MPEG1,MX1,OAS1,OAS2,OAS3,PARP14,PLSCR1,PSMB9,STAT1,STAT2,TNFSF10,TNFSF13B,CEBPA,IRF2BP2,RNF125,BST2,CD59,CIITA,EZH2,HLA-DMB,HLA-DRB1,IFI16,NUB1,PIK3AP1,POLB,PSMB10,RHOH,SAMHD1,TRIM22,TRIM5	2.2	3.31	2.0957686983763e-89	1.07896830532141e-88
50	MONOV INFLUENZA A (D1)	FLUMIST (D7)	127	193	702	2275	5101	ADAM9,BCL3,BCL6,C1QA,C3AR1,CASP1,CCR1,CCR2,CXCL10,DDX60,DUSP3,EGR3,FCAR,FCGR1A,FCGR2C,FCN1,FPR1,FPR2,GBP1,ICAM1,IFI30,IFI44,IFI6,IFIH1,IFIT3,IL15,IL1B,IL1RN,IRF7,JAK2,KYNU,LILRA1,LILRA3,LILRB1,LILRB2,LYN,LYZ,MNDA,MPEG1,MX1,NCF1,NLRC4,NLRP3,OAS1,OAS2,OAS3,OASL,P2RX7,PLA2G7,PLSCR1,NECTIN2,RAB20,RGS1,S100A8,SLC46A2,STAT1,TNFAIP6,TNFSF10,TRAFD1,TREM1,TRIB1,XKR8,ANGPT1,CEBPA,IL1R2,SMAD6,CD2,FCER1A,MYB,CRTC3,CX3CR1,CXCL8,MEAF6,PLCB1,POLR3K,SLC25A40,BATF,CD226,ENPP2,IFITM1,ISG20,LDLR,PTK2,RNF213,SLAMF7,TIFA,ADARB1,APOBEC3F,CD1E,CLU,HLA-DOB,IFIT5,JAK3,PML,SAMD9,ANXA3,APOBEC3C,APOBEC3G,BST2,BTN3A3,CD22,CD59,CEACAM1,DDX21,RIGI,ERAP2,GPR65,HLA-DRB1,HLA-DRB5,IFI16,KARS1,LIMK1,MICB,MR1,NOD1,NUB1,PDE4B,PSMB8,RBCK1,RIPK2,SAMHD1,SOCS1,TLR5,TRIM38,ZC3HAV1,CSF1,IRF8	5.58	2.49	2.77250373059501e-122	6.135199731489069e-121
52	MONOV INFLUENZA A (D1)	FLUENZ (D3-4)	1	319	4	2275	59	TLR1	0.04	1.69	1.10936078385356e-8	3.0605396476098204e-9
54	MONOV INFLUENZA A (D1)	FLUENZ (D6-7)	4	316	5	2275	160	CXCL8,MICB,RIPK2,SOCS1	0.18	2.5	4.30090642355536e-9	1.2182564534733e-9
55	MONOV INFLUENZA A (D1)	MENACTRA (D3)	11	309	21	2275	371	AIF1,C1QA,C1QB,C2,C3AR1,IL1B,SERPING1,TLR4,CXCL8,C1QC,CFB	0.48	2.96	8.01963752958458e-26	4.77370090671137e-26
57	MONOV INFLUENZA A (D1)	WETVAX (D2-4)	27	293	16	2275	383	ADM,BCL6,C2,CXCL10,DYSF,FCGR1A,FGL2,FPR1,GBP2,GCH1,HERC5,HLX,ICAM1,IFI44,IFI44L,IFIT1,IFIT3,IL15,IL15RA,IRF1,MX1,RSAD2,SERPING1,STAT1,FCGR2B,ANXA3,CEACAM1	1.19	7.05	3.0219145920962297e-16	1.2085146488487e-16
58	MONOV INFLUENZA A (D1)	WETVAX (D5-7)	98	222	100	2275	1724	ADM,AIF1,AIM2,APOBEC3B,APOL1,BCL6,BST1,C1QA,C1QB,C2,C3AR1,CASP1,CCR1,CD36,CTSL,CTSS,CXCL10,DTX3L,DYSF,FCGR1A,FCN1,FGL2,FPR1,FPR2,GBP1,GBP2,GCH1,HCK,HERC5,HP,ICAM1,IDO1,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM3,IFNGR2,IGSF6,IL15,IL15RA,IL1RN,IRF1,IRF7,ISG15,JAK2,LILRA3,LILRB1,LILRB3,LTBR,LYN,MARCO,MNDA,MX1,NCF1,NLRP3,OAS1,OAS2,PLSCR1,PSMB9,RSAD2,S100A9,SERPING1,SLAMF8,STAT1,STAT2,TAP1,TLR1,TLR2,TNFSF10,TRAFD1,CD2,CD40,IFITM1,TAP2,USP18,FCGR2B,IFIT5,NR1D1,CD74,GSDMD,HLA-DQB1,HLA-DRA,HLA-DRB1,IL18R1,IRF9,LIPA,PSMB10,PSME1,RHOH,RIPK2,TRIM21,TRIM22,WDFY1	4.31	5.68	3.77010690612571e-41	3.6523644196285e-41
59	MONOV INFLUENZA A (D1)	WETVAX (D50-60)	17	303	68	2275	702	ADM,C3AR1,CCR2,FGL2,HCK,OAS1,TNFSF10,CEBPA,CX3CR1,CXCL8,DLL1,CLU,BTN3A3,PDE4B,RIPK2,TLR5,TRIM21	0.75	2.42	3.7172488139398297e-60	7.32610400455187e-60
61	MONOV INFLUENZA A (D1)	MVA85A (D2)	36	284	23	2275	551	APOBEC3A,C3AR1,CASP1,CTSL,CXCL10,FCGR1A,FCGR1BP,FPR2,ICAM1,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM3,IL4I1,ISG15,MARCO,MX1,PARP9,PSMB9,RSAD2,S100A8,S100A9,SERPING1,SRC,STAT1,TLR1,TNFSF10,CCL2,BST2,EIF2AK2,IRF9	1.58	6.53	3.86640135466403e-20	1.8472872368883598e-20
63	MONOV INFLUENZA A (D1)	ZOSTAVAX (D3)	3	317	1	2275	26	IFI44L,MX1,ERAP2	0.13	11.54	0.0124610591900312	0.00238109459066993
64	MONOV INFLUENZA A (D1)	YF17D (D3)	31	289	4	2275	235	C3AR1,CD38,CXCL10,DDX60,HERC5,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IRF7,ISG15,LAMP3,MX1,OAS1,OAS2,OAS3,OASL,PARP9,PLSCR1,RSAD2,SERPING1,STAT1,SAMD9,RIGI,DHX58,EIF2AK2,TRIM22,TRIM5	1.36	13.19	1.1617226128514e-4	2.54706185085397e-5
65	MONOV INFLUENZA A (D1)	YF VAX (D4-7)	50	270	94	2275	941	APOBEC3A,APOBEC3B,FPR2,GBP5,HERC5,IFI30,IFI44,IFI44L,IFI6,IFIT1,IFIT2,IFIT3,IFITM3,IL1RN,ISG15,LILRB2,MAFB,MPEG1,MX1,NMI,OAS1,OAS2,OAS3,OASL,PARP9,PLSCR1,PSMB9,SERPING1,SRC,TAP1,TMEM106A,TNFSF10,TNFSF13B,SMAD6,CTNNBIP1,CX3CR1,HMOX1,IFITM1,ISG20,USP18,IFIT5,SAMD9,CD74,RIGI,DHX58,EIF2AK2,IRF9,PSME1,TRIM21,TRIM22	2.2	5.31	1.7333039940929498e-56	2.9867239118498796e-56
66	MONOV INFLUENZA A (D1)	STAMARIL (D10)	67	253	43	2275	857	AIM2,BATF2,CASP1,CCR1,CD38,CTSL,DDX60,GBP1,GBP2,GBP5,GCH1,HERC5,IFI30,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFITM3,IL15,IL1RN,IRF7,ISG15,MX1,NMI,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PLSCR1,RSAD2,SERPING1,SRC,STAT1,STAT2,TAP1,TNFSF10,TRAFD1,IL1R2,FCER1A,CX3CR1,IFITM1,TAP2,ZBP1,APOBEC3F,IFIT5,PML,BST2,CEACAM1,RIGI,DHX58,EIF2AK2,IFI16,IRF9,MICB,NUB1,SOCS1,TRIM21,TRIM22,TRIM38,TRIM5,ZC3HAV1	2.95	7.82	4.87702096607148e-26	2.93071512901964e-26
67	MONOV INFLUENZA A (D1)	STAMARIL (D14)	2	318	15	2275	137	CD38,RBM47	0.09	1.46	3.25458862916594e-24	1.82856827088313e-24
