"condition","direction","term_ancestor","n_genes","n_genes_total","n_genes_perc","type","disease_vac"
"BBIBP (V3, D28)","UP","interspecies interaction BP",10,256,3.9,"IN","V"
"BBIBP (V3, D28)","UP","biological regulation",107,256,41.8,"IN","V"
"BBIBP (V3, D28)","UP","cellular process",131,256,51.2,"IN","V"
"BBIBP (V3, D28)","UP","immune system process",23,256,9,"IN","V"
"BBIBP (V3, D28)","UP","locomotion",15,256,5.9,"IN","V"
"BBIBP (V3, D28)","UP","positive regulation of biological process",61,256,23.8,"IN","V"
"BBIBP (V3, D28)","UP","regulation of biological process",104,256,40.6,"IN","V"
"BBIBP (V3, D28)","UP","reproductive process",14,256,5.5,"IN","V"
"BBIBP (V3, D28)","UP","rhythmic process",1,256,0.4,"IN","V"
"BBIBP (V3, D28)","UP","No annotation",123,256,48,"IN","V"
"BNT (V1, D6)","DOWN","cellular process",1,1,100,"RNA","V"
"BNT (V1, D6)","UP","interspecies interaction BP",1,2,50,"RNA","V"
"BNT (V1, D6)","UP","biological regulation",1,2,50,"RNA","V"
"BNT (V1, D6)","UP","cellular process",2,2,100,"RNA","V"
"BNT (V1, D6)","UP","immune system process",2,2,100,"RNA","V"
"BNT (V1, D6)","UP","regulation of biological process",1,2,50,"RNA","V"
"BNT (V2, D1)","DOWN","interspecies interaction BP",2,186,1.1,"RNA","V"
"BNT (V2, D1)","DOWN","biological regulation",45,186,24.2,"RNA","V"
"BNT (V2, D1)","DOWN","cellular process",83,186,44.6,"RNA","V"
"BNT (V2, D1)","DOWN","immune system process",7,186,3.8,"RNA","V"
"BNT (V2, D1)","DOWN","locomotion",5,186,2.7,"RNA","V"
"BNT (V2, D1)","DOWN","positive regulation of biological process",20,186,10.8,"RNA","V"
"BNT (V2, D1)","DOWN","regulation of biological process",44,186,23.7,"RNA","V"
"BNT (V2, D1)","DOWN","reproductive process",5,186,2.7,"RNA","V"
"BNT (V2, D1)","DOWN","rhythmic process",1,186,0.5,"RNA","V"
"BNT (V2, D1)","DOWN","No annotation",103,186,55.4,"RNA","V"
"BNT (V2, D1)","UP","interspecies interaction BP",105,336,31.2,"RNA","V"
"BNT (V2, D1)","UP","biological regulation",183,336,54.5,"RNA","V"
"BNT (V2, D1)","UP","cellular process",210,336,62.5,"RNA","V"
"BNT (V2, D1)","UP","immune system process",106,336,31.5,"RNA","V"
"BNT (V2, D1)","UP","locomotion",24,336,7.1,"RNA","V"
"BNT (V2, D1)","UP","pigmentation",1,336,0.3,"RNA","V"
"BNT (V2, D1)","UP","positive regulation of biological process",119,336,35.4,"RNA","V"
"BNT (V2, D1)","UP","regulation of biological process",179,336,53.3,"RNA","V"
"BNT (V2, D1)","UP","reproductive process",15,336,4.5,"RNA","V"
"BNT (V2, D1)","UP","rhythmic process",5,336,1.5,"RNA","V"
"BNT (V2, D1)","UP","No annotation",112,336,33.3,"RNA","V"
"BNT (V3, D1)","DOWN","interspecies interaction BP",2,90,2.2,"RNA","V"
"BNT (V3, D1)","DOWN","biological regulation",25,90,27.8,"RNA","V"
"BNT (V3, D1)","DOWN","cellular process",43,90,47.8,"RNA","V"
"BNT (V3, D1)","DOWN","immune system process",5,90,5.6,"RNA","V"
"BNT (V3, D1)","DOWN","locomotion",3,90,3.3,"RNA","V"
"BNT (V3, D1)","DOWN","pigmentation",1,90,1.1,"RNA","V"
"BNT (V3, D1)","DOWN","positive regulation of biological process",9,90,10,"RNA","V"
"BNT (V3, D1)","DOWN","regulation of biological process",25,90,27.8,"RNA","V"
"BNT (V3, D1)","DOWN","reproductive process",2,90,2.2,"RNA","V"
"BNT (V3, D1)","DOWN","rhythmic process",1,90,1.1,"RNA","V"
"BNT (V3, D1)","DOWN","No annotation",43,90,47.8,"RNA","V"
"BNT (V3, D1)","UP","interspecies interaction BP",121,411,29.4,"RNA","V"
"BNT (V3, D1)","UP","biological regulation",216,411,52.6,"RNA","V"
"BNT (V3, D1)","UP","cellular process",247,411,60.1,"RNA","V"
"BNT (V3, D1)","UP","immune system process",131,411,31.9,"RNA","V"
"BNT (V3, D1)","UP","locomotion",36,411,8.8,"RNA","V"
"BNT (V3, D1)","UP","pigmentation",1,411,0.2,"RNA","V"
"BNT (V3, D1)","UP","positive regulation of biological process",142,411,34.5,"RNA","V"
"BNT (V3, D1)","UP","regulation of biological process",211,411,51.3,"RNA","V"
"BNT (V3, D1)","UP","reproductive process",22,411,5.4,"RNA","V"
"BNT (V3, D1)","UP","rhythmic process",5,411,1.2,"RNA","V"
"BNT (V3, D1)","UP","No annotation",145,411,35.3,"RNA","V"
"BNT-I (D1)","DOWN","interspecies interaction BP",19,226,8.4,"I","I"
"BNT-I (D1)","DOWN","biological regulation",118,226,52.2,"I","I"
"BNT-I (D1)","DOWN","cellular process",159,226,70.4,"I","I"
"BNT-I (D1)","DOWN","immune system process",39,226,17.3,"I","I"
"BNT-I (D1)","DOWN","locomotion",15,226,6.6,"I","I"
"BNT-I (D1)","DOWN","positive regulation of biological process",56,226,24.8,"I","I"
"BNT-I (D1)","DOWN","regulation of biological process",114,226,50.4,"I","I"
"BNT-I (D1)","DOWN","reproductive process",15,226,6.6,"I","I"
"BNT-I (D1)","DOWN","rhythmic process",1,226,0.4,"I","I"
"BNT-I (D1)","DOWN","No annotation",64,226,28.3,"I","I"
"BNT-I (D1)","UP","interspecies interaction BP",84,808,10.4,"I","I"
"BNT-I (D1)","UP","biological regulation",454,808,56.2,"I","I"
"BNT-I (D1)","UP","cellular process",577,808,71.4,"I","I"
"BNT-I (D1)","UP","immune system process",121,808,15,"I","I"
"BNT-I (D1)","UP","locomotion",79,808,9.8,"I","I"
"BNT-I (D1)","UP","pigmentation",2,808,0.2,"I","I"
"BNT-I (D1)","UP","positive regulation of biological process",271,808,33.5,"I","I"
"BNT-I (D1)","UP","regulation of biological process",449,808,55.6,"I","I"
"BNT-I (D1)","UP","reproductive process",65,808,8,"I","I"
"BNT-I (D1)","UP","rhythmic process",15,808,1.9,"I","I"
"BNT-I (D1)","UP","No annotation",215,808,26.6,"I","I"
"BNT-I (D10, mild)","DOWN","interspecies interaction BP",166,2538,6.5,"I","I"
"BNT-I (D10, mild)","DOWN","biological regulation",1457,2538,57.4,"I","I"
"BNT-I (D10, mild)","DOWN","cellular process",1947,2538,76.7,"I","I"
"BNT-I (D10, mild)","DOWN","immune system process",312,2538,12.3,"I","I"
"BNT-I (D10, mild)","DOWN","locomotion",148,2538,5.8,"I","I"
"BNT-I (D10, mild)","DOWN","pigmentation",9,2538,0.4,"I","I"
"BNT-I (D10, mild)","DOWN","positive regulation of biological process",719,2538,28.3,"I","I"
"BNT-I (D10, mild)","DOWN","regulation of biological process",1408,2538,55.5,"I","I"
"BNT-I (D10, mild)","DOWN","reproductive process",145,2538,5.7,"I","I"
"BNT-I (D10, mild)","DOWN","rhythmic process",27,2538,1.1,"I","I"
"BNT-I (D10, mild)","DOWN","No annotation",531,2538,20.9,"I","I"
"BNT-I (D10, mild)","UP","interspecies interaction BP",269,1674,16.1,"I","I"
"BNT-I (D10, mild)","UP","biological regulation",986,1674,58.9,"I","I"
"BNT-I (D10, mild)","UP","cellular process",1282,1674,76.6,"I","I"
"BNT-I (D10, mild)","UP","immune system process",331,1674,19.8,"I","I"
"BNT-I (D10, mild)","UP","locomotion",136,1674,8.1,"I","I"
"BNT-I (D10, mild)","UP","pigmentation",12,1674,0.7,"I","I"
"BNT-I (D10, mild)","UP","positive regulation of biological process",594,1674,35.5,"I","I"
"BNT-I (D10, mild)","UP","regulation of biological process",957,1674,57.2,"I","I"
"BNT-I (D10, mild)","UP","reproductive process",117,1674,7,"I","I"
"BNT-I (D10, mild)","UP","rhythmic process",21,1674,1.3,"I","I"
"BNT-I (D10, mild)","UP","No annotation",331,1674,19.8,"I","I"
"BNT-I (D10, severe)","DOWN","interspecies interaction BP",155,2160,7.2,"I","I"
"BNT-I (D10, severe)","DOWN","biological regulation",1238,2160,57.3,"I","I"
"BNT-I (D10, severe)","DOWN","cellular process",1595,2160,73.8,"I","I"
"BNT-I (D10, severe)","DOWN","immune system process",274,2160,12.7,"I","I"
"BNT-I (D10, severe)","DOWN","locomotion",139,2160,6.4,"I","I"
"BNT-I (D10, severe)","DOWN","pigmentation",8,2160,0.4,"I","I"
"BNT-I (D10, severe)","DOWN","positive regulation of biological process",620,2160,28.7,"I","I"
"BNT-I (D10, severe)","DOWN","regulation of biological process",1199,2160,55.5,"I","I"
"BNT-I (D10, severe)","DOWN","reproductive process",111,2160,5.1,"I","I"
"BNT-I (D10, severe)","DOWN","rhythmic process",31,2160,1.4,"I","I"
"BNT-I (D10, severe)","DOWN","No annotation",525,2160,24.3,"I","I"
"BNT-I (D10, severe)","UP","interspecies interaction BP",314,2221,14.1,"I","I"
"BNT-I (D10, severe)","UP","biological regulation",1247,2221,56.1,"I","I"
"BNT-I (D10, severe)","UP","cellular process",1619,2221,72.9,"I","I"
"BNT-I (D10, severe)","UP","immune system process",383,2221,17.2,"I","I"
"BNT-I (D10, severe)","UP","locomotion",184,2221,8.3,"I","I"
"BNT-I (D10, severe)","UP","pigmentation",13,2221,0.6,"I","I"
"BNT-I (D10, severe)","UP","positive regulation of biological process",732,2221,33,"I","I"
"BNT-I (D10, severe)","UP","regulation of biological process",1215,2221,54.7,"I","I"
"BNT-I (D10, severe)","UP","reproductive process",188,2221,8.5,"I","I"
"BNT-I (D10, severe)","UP","rhythmic process",26,2221,1.2,"I","I"
"BNT-I (D10, severe)","UP","No annotation",539,2221,24.3,"I","I"
"BNT-I (D26, mild)","DOWN","interspecies interaction BP",89,1362,6.5,"I","I"
"BNT-I (D26, mild)","DOWN","biological regulation",822,1362,60.4,"I","I"
"BNT-I (D26, mild)","DOWN","cellular process",1087,1362,79.8,"I","I"
"BNT-I (D26, mild)","DOWN","immune system process",174,1362,12.8,"I","I"
"BNT-I (D26, mild)","DOWN","locomotion",73,1362,5.4,"I","I"
"BNT-I (D26, mild)","DOWN","pigmentation",3,1362,0.2,"I","I"
"BNT-I (D26, mild)","DOWN","positive regulation of biological process",385,1362,28.3,"I","I"
"BNT-I (D26, mild)","DOWN","regulation of biological process",800,1362,58.7,"I","I"
"BNT-I (D26, mild)","DOWN","reproductive process",82,1362,6,"I","I"
"BNT-I (D26, mild)","DOWN","rhythmic process",16,1362,1.2,"I","I"
"BNT-I (D26, mild)","DOWN","No annotation",262,1362,19.2,"I","I"
"BNT-I (D26, mild)","UP","interspecies interaction BP",146,1098,13.3,"I","I"
"BNT-I (D26, mild)","UP","biological regulation",644,1098,58.7,"I","I"
"BNT-I (D26, mild)","UP","cellular process",852,1098,77.6,"I","I"
"BNT-I (D26, mild)","UP","immune system process",185,1098,16.8,"I","I"
"BNT-I (D26, mild)","UP","locomotion",85,1098,7.7,"I","I"
"BNT-I (D26, mild)","UP","pigmentation",7,1098,0.6,"I","I"
"BNT-I (D26, mild)","UP","positive regulation of biological process",385,1098,35.1,"I","I"
"BNT-I (D26, mild)","UP","regulation of biological process",624,1098,56.8,"I","I"
"BNT-I (D26, mild)","UP","reproductive process",86,1098,7.8,"I","I"
"BNT-I (D26, mild)","UP","rhythmic process",15,1098,1.4,"I","I"
"BNT-I (D26, mild)","UP","No annotation",208,1098,18.9,"I","I"
"BNT-I (D26, severe)","DOWN","interspecies interaction BP",20,234,8.5,"I","I"
"BNT-I (D26, severe)","DOWN","biological regulation",152,234,65,"I","I"
"BNT-I (D26, severe)","DOWN","cellular process",198,234,84.6,"I","I"
"BNT-I (D26, severe)","DOWN","immune system process",32,234,13.7,"I","I"
"BNT-I (D26, severe)","DOWN","locomotion",11,234,4.7,"I","I"
"BNT-I (D26, severe)","DOWN","pigmentation",1,234,0.4,"I","I"
"BNT-I (D26, severe)","DOWN","positive regulation of biological process",68,234,29.1,"I","I"
"BNT-I (D26, severe)","DOWN","regulation of biological process",144,234,61.5,"I","I"
"BNT-I (D26, severe)","DOWN","reproductive process",10,234,4.3,"I","I"
"BNT-I (D26, severe)","DOWN","rhythmic process",5,234,2.1,"I","I"
"BNT-I (D26, severe)","DOWN","No annotation",36,234,15.4,"I","I"
"BNT-I (D26, severe)","UP","interspecies interaction BP",43,329,13.1,"I","I"
"BNT-I (D26, severe)","UP","biological regulation",171,329,52,"I","I"
"BNT-I (D26, severe)","UP","cellular process",230,329,69.9,"I","I"
"BNT-I (D26, severe)","UP","immune system process",47,329,14.3,"I","I"
"BNT-I (D26, severe)","UP","locomotion",32,329,9.7,"I","I"
"BNT-I (D26, severe)","UP","pigmentation",6,329,1.8,"I","I"
"BNT-I (D26, severe)","UP","positive regulation of biological process",103,329,31.3,"I","I"
"BNT-I (D26, severe)","UP","regulation of biological process",166,329,50.5,"I","I"
"BNT-I (D26, severe)","UP","reproductive process",24,329,7.3,"I","I"
"BNT-I (D26, severe)","UP","rhythmic process",2,329,0.6,"I","I"
"BNT-I (D26, severe)","UP","No annotation",88,329,26.7,"I","I"
"BNT-I (D3)","DOWN","interspecies interaction BP",5,72,6.9,"I","I"
"BNT-I (D3)","DOWN","biological regulation",36,72,50,"I","I"
"BNT-I (D3)","DOWN","cellular process",46,72,63.9,"I","I"
"BNT-I (D3)","DOWN","immune system process",6,72,8.3,"I","I"
"BNT-I (D3)","DOWN","locomotion",6,72,8.3,"I","I"
"BNT-I (D3)","DOWN","positive regulation of biological process",14,72,19.4,"I","I"
"BNT-I (D3)","DOWN","regulation of biological process",35,72,48.6,"I","I"
"BNT-I (D3)","DOWN","reproductive process",5,72,6.9,"I","I"
"BNT-I (D3)","DOWN","rhythmic process",1,72,1.4,"I","I"
"BNT-I (D3)","DOWN","No annotation",22,72,30.6,"I","I"
"BNT-I (D3)","UP","interspecies interaction BP",77,553,13.9,"I","I"
"BNT-I (D3)","UP","biological regulation",304,553,55,"I","I"
"BNT-I (D3)","UP","cellular process",395,553,71.4,"I","I"
"BNT-I (D3)","UP","immune system process",103,553,18.6,"I","I"
"BNT-I (D3)","UP","locomotion",42,553,7.6,"I","I"
"BNT-I (D3)","UP","pigmentation",5,553,0.9,"I","I"
"BNT-I (D3)","UP","positive regulation of biological process",186,553,33.6,"I","I"
"BNT-I (D3)","UP","regulation of biological process",300,553,54.2,"I","I"
"BNT-I (D3)","UP","reproductive process",43,553,7.8,"I","I"
"BNT-I (D3)","UP","rhythmic process",9,553,1.6,"I","I"
"BNT-I (D3)","UP","No annotation",142,553,25.7,"I","I"
"BNT-I (D4)","DOWN","biological regulation",23,40,57.5,"I","I"
"BNT-I (D4)","DOWN","cellular process",29,40,72.5,"I","I"
"BNT-I (D4)","DOWN","immune system process",5,40,12.5,"I","I"
"BNT-I (D4)","DOWN","locomotion",1,40,2.5,"I","I"
"BNT-I (D4)","DOWN","positive regulation of biological process",12,40,30,"I","I"
"BNT-I (D4)","DOWN","regulation of biological process",21,40,52.5,"I","I"
"BNT-I (D4)","DOWN","reproductive process",6,40,15,"I","I"
"BNT-I (D4)","DOWN","No annotation",10,40,25,"I","I"
"BNT-I (D4)","UP","interspecies interaction BP",9,103,8.7,"I","I"
"BNT-I (D4)","UP","biological regulation",56,103,54.4,"I","I"
"BNT-I (D4)","UP","cellular process",76,103,73.8,"I","I"
"BNT-I (D4)","UP","immune system process",17,103,16.5,"I","I"
"BNT-I (D4)","UP","locomotion",7,103,6.8,"I","I"
"BNT-I (D4)","UP","positive regulation of biological process",30,103,29.1,"I","I"
"BNT-I (D4)","UP","regulation of biological process",55,103,53.4,"I","I"
"BNT-I (D4)","UP","reproductive process",13,103,12.6,"I","I"
"BNT-I (D4)","UP","rhythmic process",1,103,1,"I","I"
"BNT-I (D4)","UP","No annotation",23,103,22.3,"I","I"
"BNT-I-BNT (D51, mild)","DOWN","interspecies interaction BP",20,226,8.8,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","biological regulation",138,226,61.1,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","cellular process",182,226,80.5,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","immune system process",40,226,17.7,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","locomotion",16,226,7.1,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","pigmentation",1,226,0.4,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","positive regulation of biological process",84,226,37.2,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","regulation of biological process",135,226,59.7,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","reproductive process",15,226,6.6,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","rhythmic process",3,226,1.3,"RNA","I"
"BNT-I-BNT (D51, mild)","DOWN","No annotation",41,226,18.1,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","interspecies interaction BP",24,114,21.1,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","biological regulation",61,114,53.5,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","cellular process",92,114,80.7,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","immune system process",25,114,21.9,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","locomotion",11,114,9.6,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","pigmentation",3,114,2.6,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","positive regulation of biological process",43,114,37.7,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","regulation of biological process",61,114,53.5,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","reproductive process",5,114,4.4,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","rhythmic process",1,114,0.9,"RNA","I"
"BNT-I-BNT (D51, mild)","UP","No annotation",17,114,14.9,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","interspecies interaction BP",4,58,6.9,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","biological regulation",37,58,63.8,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","cellular process",47,58,81,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","immune system process",8,58,13.8,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","locomotion",3,58,5.2,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","positive regulation of biological process",24,58,41.4,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","regulation of biological process",37,58,63.8,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","reproductive process",4,58,6.9,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","rhythmic process",2,58,3.4,"RNA","I"
"BNT-I-BNT (D51, severe)","DOWN","No annotation",9,58,15.5,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","interspecies interaction BP",6,48,12.5,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","biological regulation",26,48,54.2,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","cellular process",35,48,72.9,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","immune system process",7,48,14.6,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","locomotion",4,48,8.3,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","positive regulation of biological process",14,48,29.2,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","regulation of biological process",23,48,47.9,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","reproductive process",2,48,4.2,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","rhythmic process",2,48,4.2,"RNA","I"
"BNT-I-BNT (D51, severe)","UP","No annotation",9,48,18.8,"RNA","I"
"BNT-MO (V3, D1)","DOWN","interspecies interaction BP",10,237,4.2,"RNA","V"
"BNT-MO (V3, D1)","DOWN","biological regulation",73,237,30.8,"RNA","V"
"BNT-MO (V3, D1)","DOWN","cellular process",113,237,47.7,"RNA","V"
"BNT-MO (V3, D1)","DOWN","immune system process",30,237,12.7,"RNA","V"
"BNT-MO (V3, D1)","DOWN","locomotion",10,237,4.2,"RNA","V"
"BNT-MO (V3, D1)","DOWN","pigmentation",1,237,0.4,"RNA","V"
"BNT-MO (V3, D1)","DOWN","positive regulation of biological process",27,237,11.4,"RNA","V"
"BNT-MO (V3, D1)","DOWN","regulation of biological process",71,237,30,"RNA","V"
"BNT-MO (V3, D1)","DOWN","reproductive process",9,237,3.8,"RNA","V"
"BNT-MO (V3, D1)","DOWN","rhythmic process",2,237,0.8,"RNA","V"
"BNT-MO (V3, D1)","DOWN","No annotation",109,237,46,"RNA","V"
"BNT-MO (V3, D1)","UP","interspecies interaction BP",142,670,21.2,"RNA","V"
"BNT-MO (V3, D1)","UP","biological regulation",316,670,47.2,"RNA","V"
"BNT-MO (V3, D1)","UP","cellular process",366,670,54.6,"RNA","V"
"BNT-MO (V3, D1)","UP","immune system process",163,670,24.3,"RNA","V"
"BNT-MO (V3, D1)","UP","locomotion",59,670,8.8,"RNA","V"
"BNT-MO (V3, D1)","UP","pigmentation",1,670,0.1,"RNA","V"
"BNT-MO (V3, D1)","UP","positive regulation of biological process",197,670,29.4,"RNA","V"
"BNT-MO (V3, D1)","UP","regulation of biological process",309,670,46.1,"RNA","V"
"BNT-MO (V3, D1)","UP","reproductive process",45,670,6.7,"RNA","V"
"BNT-MO (V3, D1)","UP","rhythmic process",10,670,1.5,"RNA","V"
"BNT-MO (V3, D1)","UP","No annotation",286,670,42.7,"RNA","V"
"ChAd (V1, D3)","DOWN","interspecies interaction BP",21,305,6.9,"VV","V"
"ChAd (V1, D3)","DOWN","biological regulation",150,305,49.2,"VV","V"
"ChAd (V1, D3)","DOWN","cellular process",192,305,63,"VV","V"
"ChAd (V1, D3)","DOWN","immune system process",38,305,12.5,"VV","V"
"ChAd (V1, D3)","DOWN","locomotion",32,305,10.5,"VV","V"
"ChAd (V1, D3)","DOWN","pigmentation",1,305,0.3,"VV","V"
"ChAd (V1, D3)","DOWN","positive regulation of biological process",87,305,28.5,"VV","V"
"ChAd (V1, D3)","DOWN","regulation of biological process",148,305,48.5,"VV","V"
"ChAd (V1, D3)","DOWN","reproductive process",11,305,3.6,"VV","V"
"ChAd (V1, D3)","DOWN","rhythmic process",2,305,0.7,"VV","V"
"ChAd (V1, D3)","DOWN","No annotation",99,305,32.5,"VV","V"
"ChAd (V1, D3)","UP","interspecies interaction BP",88,313,28.1,"VV","V"
"ChAd (V1, D3)","UP","biological regulation",200,313,63.9,"VV","V"
"ChAd (V1, D3)","UP","cellular process",235,313,75.1,"VV","V"
"ChAd (V1, D3)","UP","immune system process",100,313,31.9,"VV","V"
"ChAd (V1, D3)","UP","locomotion",34,313,10.9,"VV","V"
"ChAd (V1, D3)","UP","pigmentation",2,313,0.6,"VV","V"
"ChAd (V1, D3)","UP","positive regulation of biological process",128,313,40.9,"VV","V"
"ChAd (V1, D3)","UP","regulation of biological process",193,313,61.7,"VV","V"
"ChAd (V1, D3)","UP","reproductive process",18,313,5.8,"VV","V"
"ChAd (V1, D3)","UP","rhythmic process",7,313,2.2,"VV","V"
"ChAd (V1, D3)","UP","No annotation",64,313,20.4,"VV","V"
"ChAd (V1, D6)","DOWN","interspecies interaction BP",1,8,12.5,"VV","V"
"ChAd (V1, D6)","DOWN","biological regulation",2,8,25,"VV","V"
"ChAd (V1, D6)","DOWN","cellular process",4,8,50,"VV","V"
"ChAd (V1, D6)","DOWN","immune system process",2,8,25,"VV","V"
"ChAd (V1, D6)","DOWN","positive regulation of biological process",1,8,12.5,"VV","V"
"ChAd (V1, D6)","DOWN","regulation of biological process",2,8,25,"VV","V"
"ChAd (V1, D6)","DOWN","reproductive process",1,8,12.5,"VV","V"
"ChAd (V1, D6)","DOWN","No annotation",4,8,50,"VV","V"
"ChAd (V1, D6)","UP","interspecies interaction BP",12,154,7.8,"VV","V"
"ChAd (V1, D6)","UP","biological regulation",57,154,37,"VV","V"
"ChAd (V1, D6)","UP","cellular process",108,154,70.1,"VV","V"
"ChAd (V1, D6)","UP","immune system process",82,154,53.2,"VV","V"
"ChAd (V1, D6)","UP","locomotion",3,154,1.9,"VV","V"
"ChAd (V1, D6)","UP","positive regulation of biological process",32,154,20.8,"VV","V"
"ChAd (V1, D6)","UP","regulation of biological process",56,154,36.4,"VV","V"
"ChAd (V1, D6)","UP","reproductive process",9,154,5.8,"VV","V"
"ChAd (V1, D6)","UP","rhythmic process",3,154,1.9,"VV","V"
