"","condition","genes"
"85","LVS F TULARENSIS (H336)","CCR1"
"86","LVS F TULARENSIS (H336)","CCR2"
"87","LVS F TULARENSIS (H336)","CD1C"
"88","LVS F TULARENSIS (H336)","CD1D"
"89","LVS F TULARENSIS (H336)","CD86"
"90","LVS F TULARENSIS (H336)","CDC42"
"91","LVS F TULARENSIS (H336)","FAS"
"92","LVS F TULARENSIS (H336)","FCER1A"
"93","LVS F TULARENSIS (H336)","FCER1G"
"94","LVS F TULARENSIS (H336)","FCGR1A"
"95","LVS F TULARENSIS (H336)","FCGR2A"
"96","LVS F TULARENSIS (H336)","FCGR3A"
"97","LVS F TULARENSIS (H336)","HLA-DMA"
"98","LVS F TULARENSIS (H336)","HLA-DMB"
"99","LVS F TULARENSIS (H336)","LILRB4"
"100","LVS F TULARENSIS (H336)","TAP1"
"101","LVS F TULARENSIS (H336)","TIRAP"
"102","LVS F TULARENSIS (H336)","TLR4"
"103","LVS F TULARENSIS (H48)","CCL18"
"104","LVS F TULARENSIS (H48)","CCR7"
"105","LVS F TULARENSIS (H48)","CD83"
"106","LVS F TULARENSIS (H48)","FCGR1A"
"107","LVS F TULARENSIS (H48)","IRAK1BP1"
"108","LVS F TULARENSIS (H48)","TAP2"
"109","LVS F TULARENSIS (H48)","B2M"
"110","LVS F TULARENSIS (H48)","CCL20"
"111","LVS F TULARENSIS (H48)","CCR1"
"112","LVS F TULARENSIS (H48)","CCR2"
"113","LVS F TULARENSIS (H48)","CD1B"
"114","LVS F TULARENSIS (H48)","CD1C"
"115","LVS F TULARENSIS (H48)","CD1D"
"116","LVS F TULARENSIS (H48)","CD44"
"117","LVS F TULARENSIS (H48)","CD58"
"118","LVS F TULARENSIS (H48)","CD68"
"119","LVS F TULARENSIS (H48)","CD80"
"120","LVS F TULARENSIS (H48)","CD81"
"121","LVS F TULARENSIS (H48)","CD86"
"122","LVS F TULARENSIS (H48)","CDC42"
"123","LVS F TULARENSIS (H48)","FAS"
"124","LVS F TULARENSIS (H48)","FCER1A"
"125","LVS F TULARENSIS (H48)","FCER1G"
"126","LVS F TULARENSIS (H48)","FCGR2A"
"127","LVS F TULARENSIS (H48)","FCGR2B"
"128","LVS F TULARENSIS (H48)","FCGR3A"
"129","LVS F TULARENSIS (H48)","HLA-DMA"
"130","LVS F TULARENSIS (H48)","HLA-DMB"
"131","LVS F TULARENSIS (H48)","LILRB4"
"132","LVS F TULARENSIS (H48)","TAP1"
"133","LVS F TULARENSIS (H48)","TICAM1"
"134","LVS F TULARENSIS (H48)","TIRAP"
"135","LVS F TULARENSIS (H48)","TLR4"
"136","CN54GP140 (D1)","ARTN"
"137","CN54GP140 (D1)","HLA-C"
"138","CN54GP140 (D1)","CBL"
"139","CN54GP140 (D1)","DPP8"
"140","CN54GP140 (D1)","MSN"
"141","CN54GP140 (D1)","MYH9"
"142","CN54GP140 (D1)","RAB5B"
"143","CN54GP140 (D1)","WAS"
"144","CN54GP140 (D3)","ACTG1"
"145","CN54GP140 (D3)","CORO1A"
"146","CN54GP140 (D3)","WAS"
"147","CN54GP140 (D3)","ARTN"
"148","CN54GP140 (D7)","CDK6"
"149","CN54GP140 (D7)","RPS6KA3"
"150","CN54GP140 (H6)","FCGR3A"
"151","CN54GP140 (H6)","LYL1"
"152","CN54GP140 (H6)","CCR2"
"153","CN54GP140 (H6)","CD1C"
"154","HIV-1 GAG-POL NEF (D1)","BANK1"
"155","HIV-1 GAG-POL NEF (D1)","BCL2"
"156","HIV-1 GAG-POL NEF (D1)","BMI1"
"157","HIV-1 GAG-POL NEF (D1)","BTLA"
"158","HIV-1 GAG-POL NEF (D1)","CAMLG"
"159","HIV-1 GAG-POL NEF (D1)","CASP6"
"160","HIV-1 GAG-POL NEF (D1)","CCL5"
"161","HIV-1 GAG-POL NEF (D1)","CCR7"
"162","HIV-1 GAG-POL NEF (D1)","CD160"
"163","HIV-1 GAG-POL NEF (D1)","CD1C"
"164","HIV-1 GAG-POL NEF (D1)","CD22"
"165","HIV-1 GAG-POL NEF (D1)","CD247"
"166","HIV-1 GAG-POL NEF (D1)","CD27"
"167","HIV-1 GAG-POL NEF (D1)","CD28"
"168","HIV-1 GAG-POL NEF (D1)","CD3G"
"169","HIV-1 GAG-POL NEF (D1)","CD40LG"
"170","HIV-1 GAG-POL NEF (D1)","CD44"
"171","HIV-1 GAG-POL NEF (D1)","CD6"
"172","HIV-1 GAG-POL NEF (D1)","CD7"
"173","HIV-1 GAG-POL NEF (D1)","CD79A"
"174","HIV-1 GAG-POL NEF (D1)","CD79B"
"175","HIV-1 GAG-POL NEF (D1)","CD8B"
"176","HIV-1 GAG-POL NEF (D1)","CD96"
"177","HIV-1 GAG-POL NEF (D1)","CDK6"
"178","HIV-1 GAG-POL NEF (D1)","CNR2"
"179","HIV-1 GAG-POL NEF (D1)","CRTAM"
"180","HIV-1 GAG-POL NEF (D1)","CRTC3"
"181","HIV-1 GAG-POL NEF (D1)","CTSW"
"182","HIV-1 GAG-POL NEF (D1)","CXCR4"
"183","HIV-1 GAG-POL NEF (D1)","CXCR5"
"184","HIV-1 GAG-POL NEF (D1)","DPP4"
"185","HIV-1 GAG-POL NEF (D1)","EOMES"
"186","HIV-1 GAG-POL NEF (D1)","ETS1"
"187","HIV-1 GAG-POL NEF (D1)","FCER1A"
"188","HIV-1 GAG-POL NEF (D1)","GNLY"
"189","HIV-1 GAG-POL NEF (D1)","GZMA"
"190","HIV-1 GAG-POL NEF (D1)","H2BC10"
"191","HIV-1 GAG-POL NEF (D1)","HLA-DOB"
"192","HIV-1 GAG-POL NEF (D1)","HMGB1"
"193","HIV-1 GAG-POL NEF (D1)","IGF1R"
"194","HIV-1 GAG-POL NEF (D1)","IL18RAP"
"195","HIV-1 GAG-POL NEF (D1)","IL2RB"
"196","HIV-1 GAG-POL NEF (D1)","IL32"
"197","HIV-1 GAG-POL NEF (D1)","IL7R"
"198","HIV-1 GAG-POL NEF (D1)","IMPDH2"
"199","HIV-1 GAG-POL NEF (D1)","ITGA6"
"200","HIV-1 GAG-POL NEF (D1)","ITK"
"201","HIV-1 GAG-POL NEF (D1)","ITPKB"
"202","HIV-1 GAG-POL NEF (D1)","KLRC2"
"203","HIV-1 GAG-POL NEF (D1)","KLRK1"
"204","HIV-1 GAG-POL NEF (D1)","KMT2A"
"205","HIV-1 GAG-POL NEF (D1)","LAX1"
"206","HIV-1 GAG-POL NEF (D1)","LTB"
"207","HIV-1 GAG-POL NEF (D1)","MS4A1"
"208","HIV-1 GAG-POL NEF (D1)","MSH2"
"209","HIV-1 GAG-POL NEF (D1)","NLRC3"
"210","HIV-1 GAG-POL NEF (D1)","PACS1"
"211","HIV-1 GAG-POL NEF (D1)","PAX5"
"212","HIV-1 GAG-POL NEF (D1)","PLCG1"
"213","HIV-1 GAG-POL NEF (D1)","PPIA"
"214","HIV-1 GAG-POL NEF (D1)","PRDX2"
"215","HIV-1 GAG-POL NEF (D1)","PRKCQ"
"216","HIV-1 GAG-POL NEF (D1)","PRKDC"
"217","HIV-1 GAG-POL NEF (D1)","PYHIN1"
"218","HIV-1 GAG-POL NEF (D1)","RASGRP1"
"219","HIV-1 GAG-POL NEF (D1)","RORA"
"220","HIV-1 GAG-POL NEF (D1)","RPL22"
"221","HIV-1 GAG-POL NEF (D1)","RPL30"
"222","HIV-1 GAG-POL NEF (D1)","RPS19"
"223","HIV-1 GAG-POL NEF (D1)","RPS6"
"224","HIV-1 GAG-POL NEF (D1)","RPS6KA3"
"225","HIV-1 GAG-POL NEF (D1)","S1PR1"
"226","HIV-1 GAG-POL NEF (D1)","SERINC5"
"227","HIV-1 GAG-POL NEF (D1)","SKAP1"
"228","HIV-1 GAG-POL NEF (D1)","SLC12A2"
"229","HIV-1 GAG-POL NEF (D1)","SOD1"
"230","HIV-1 GAG-POL NEF (D1)","SRPK2"
"231","HIV-1 GAG-POL NEF (D1)","ST3GAL1"
"232","HIV-1 GAG-POL NEF (D1)","ST6GAL1"
"233","HIV-1 GAG-POL NEF (D1)","TCF7"
"234","HIV-1 GAG-POL NEF (D1)","TRBV28"
"235","HIV-1 GAG-POL NEF (D1)","TESPA1"
"236","HIV-1 GAG-POL NEF (D1)","TGFBR3"
"237","HIV-1 GAG-POL NEF (D1)","THEMIS"
"238","HIV-1 GAG-POL NEF (D1)","TOP2B"
"239","HIV-1 GAG-POL NEF (D1)","TOX"
"240","HIV-1 GAG-POL NEF (D1)","TRAJ3"
"241","HIV-1 GAG-POL NEF (D1)","TRAJ42"
"242","HIV-1 GAG-POL NEF (D1)","TRAT1"
"243","HIV-1 GAG-POL NEF (D1)","TRAV1-2"
"244","HIV-1 GAG-POL NEF (D1)","TRAV12-1"
"245","HIV-1 GAG-POL NEF (D1)","TRAV12-2"
"246","HIV-1 GAG-POL NEF (D1)","TRAV12-3"
"247","HIV-1 GAG-POL NEF (D1)","TRAV13-1"
"248","HIV-1 GAG-POL NEF (D1)","TRAV13-2"
"249","HIV-1 GAG-POL NEF (D1)","TRAV14DV4"
"250","HIV-1 GAG-POL NEF (D1)","TRAV16"
"251","HIV-1 GAG-POL NEF (D1)","TRAV17"
"252","HIV-1 GAG-POL NEF (D1)","TRAV19"
"253","HIV-1 GAG-POL NEF (D1)","TRAV2"
"254","HIV-1 GAG-POL NEF (D1)","TRAV20"
"255","HIV-1 GAG-POL NEF (D1)","TRAV21"
"256","HIV-1 GAG-POL NEF (D1)","TRAV22"
"257","HIV-1 GAG-POL NEF (D1)","TRAV23DV6"
"258","HIV-1 GAG-POL NEF (D1)","TRAV24"
"259","HIV-1 GAG-POL NEF (D1)","TRAV25"
"260","HIV-1 GAG-POL NEF (D1)","TRAV26-1"
"261","HIV-1 GAG-POL NEF (D1)","TRAV26-2"
"262","HIV-1 GAG-POL NEF (D1)","TRAV27"
"263","HIV-1 GAG-POL NEF (D1)","TRAV3"
"264","HIV-1 GAG-POL NEF (D1)","TRAV35"
"265","HIV-1 GAG-POL NEF (D1)","TRAV38-1"
"266","HIV-1 GAG-POL NEF (D1)","TRAV38-2DV8"
"267","HIV-1 GAG-POL NEF (D1)","TRAV4"
"268","HIV-1 GAG-POL NEF (D1)","TRAV41"
"269","HIV-1 GAG-POL NEF (D1)","TRAV5"
"270","HIV-1 GAG-POL NEF (D1)","TRAV8-1"
"271","HIV-1 GAG-POL NEF (D1)","TRAV8-2"
"272","HIV-1 GAG-POL NEF (D1)","TRAV8-6"
"273","HIV-1 GAG-POL NEF (D1)","TRAV9-2"
"274","HIV-1 GAG-POL NEF (D1)","TRBC2"
"275","HIV-1 GAG-POL NEF (D1)","TRBJ2-1"
"276","HIV-1 GAG-POL NEF (D1)","TRBJ2-2"
"277","HIV-1 GAG-POL NEF (D1)","TRBJ2-4"
"278","HIV-1 GAG-POL NEF (D1)","TRBJ2-5"
"279","HIV-1 GAG-POL NEF (D1)","TRBV10-1"
"280","HIV-1 GAG-POL NEF (D1)","TRBV11-2"
"281","HIV-1 GAG-POL NEF (D1)","TRBV19"
"282","HIV-1 GAG-POL NEF (D1)","TRBV2"
"283","HIV-1 GAG-POL NEF (D1)","TRBV20-1"
"284","HIV-1 GAG-POL NEF (D1)","TRBV24-1"
"285","HIV-1 GAG-POL NEF (D1)","TRBV27"
"286","HIV-1 GAG-POL NEF (D1)","TRBV3-1"
"287","HIV-1 GAG-POL NEF (D1)","TRBV4-2"
"288","HIV-1 GAG-POL NEF (D1)","TRBV5-1"
"289","HIV-1 GAG-POL NEF (D1)","TRBV5-4"
"290","HIV-1 GAG-POL NEF (D1)","TRBV5-6"
"291","HIV-1 GAG-POL NEF (D1)","TRBV6-1"
"292","HIV-1 GAG-POL NEF (D1)","TRBV6-4"
"293","HIV-1 GAG-POL NEF (D1)","TRBV6-5"
"294","HIV-1 GAG-POL NEF (D1)","TRBV9"
"295","HIV-1 GAG-POL NEF (D1)","TRDC"
"296","HIV-1 GAG-POL NEF (D1)","TRDV1"
"297","HIV-1 GAG-POL NEF (D1)","TRDV2"
"298","HIV-1 GAG-POL NEF (D1)","TRGV2"
"299","HIV-1 GAG-POL NEF (D1)","TRGV8"
"300","HIV-1 GAG-POL NEF (D1)","TXK"
"301","HIV-1 GAG-POL NEF (D1)","VNN1"
"302","HIV-1 GAG-POL NEF (D1)","ZAP70"
"303","HIV-1 GAG-POL NEF (D1)","ZFP36L2"
"304","HIV-1 GAG-POL NEF (D1)","ADAM17"
"305","HIV-1 GAG-POL NEF (D1)","ADAR"
"306","HIV-1 GAG-POL NEF (D1)","ADGRE5"
"307","HIV-1 GAG-POL NEF (D1)","ADM"
"308","HIV-1 GAG-POL NEF (D1)","ALOX5"
"309","HIV-1 GAG-POL NEF (D1)","AXL"
"310","HIV-1 GAG-POL NEF (D1)","BATF2"
"311","HIV-1 GAG-POL NEF (D1)","BCL6"
"312","HIV-1 GAG-POL NEF (D1)","BST1"
"313","HIV-1 GAG-POL NEF (D1)","BST2"
"314","HIV-1 GAG-POL NEF (D1)","BTK"
"315","HIV-1 GAG-POL NEF (D1)","C5AR1"
"316","HIV-1 GAG-POL NEF (D1)","CASP1"
"317","HIV-1 GAG-POL NEF (D1)","CASP3"
"318","HIV-1 GAG-POL NEF (D1)","CASP4"
"319","HIV-1 GAG-POL NEF (D1)","CCL2"
"320","HIV-1 GAG-POL NEF (D1)","CCL3"
"321","HIV-1 GAG-POL NEF (D1)","CCL8"
"322","HIV-1 GAG-POL NEF (D1)","CCR1"
"323","HIV-1 GAG-POL NEF (D1)","CCR2"
"324","HIV-1 GAG-POL NEF (D1)","CD14"
"325","HIV-1 GAG-POL NEF (D1)","CD151"
"326","HIV-1 GAG-POL NEF (D1)","CD300C"
"327","HIV-1 GAG-POL NEF (D1)","CD300LB"
"328","HIV-1 GAG-POL NEF (D1)","CD38"
"329","HIV-1 GAG-POL NEF (D1)","CD40"
"330","HIV-1 GAG-POL NEF (D1)","CD68"
"331","HIV-1 GAG-POL NEF (D1)","CD86"
"332","HIV-1 GAG-POL NEF (D1)","CEBPB"
"333","HIV-1 GAG-POL NEF (D1)","CFB"
"334","HIV-1 GAG-POL NEF (D1)","CFD"
"335","HIV-1 GAG-POL NEF (D1)","CFP"
"336","HIV-1 GAG-POL NEF (D1)","CGAS"
"337","HIV-1 GAG-POL NEF (D1)","CLEC6A"
"338","HIV-1 GAG-POL NEF (D1)","CSF2RB"
"339","HIV-1 GAG-POL NEF (D1)","CYBA"
"340","HIV-1 GAG-POL NEF (D1)","RIGI"
"341","HIV-1 GAG-POL NEF (D1)","DDX60"
"342","HIV-1 GAG-POL NEF (D1)","EIF2AK2"
"343","HIV-1 GAG-POL NEF (D1)","EPHB2"
"344","HIV-1 GAG-POL NEF (D1)","FAS"
"345","HIV-1 GAG-POL NEF (D1)","FCAR"
"346","HIV-1 GAG-POL NEF (D1)","FCER1G"
"347","HIV-1 GAG-POL NEF (D1)","FCGR2A"
"348","HIV-1 GAG-POL NEF (D1)","FGR"
"349","HIV-1 GAG-POL NEF (D1)","FPR1"
"350","HIV-1 GAG-POL NEF (D1)","FPR2"
"351","HIV-1 GAG-POL NEF (D1)","FPR3"
"352","HIV-1 GAG-POL NEF (D1)","GBP1"
"353","HIV-1 GAG-POL NEF (D1)","GBP2"
"354","HIV-1 GAG-POL NEF (D1)","GCH1"
"355","HIV-1 GAG-POL NEF (D1)","GCNT1"
"356","HIV-1 GAG-POL NEF (D1)","GRN"
"357","HIV-1 GAG-POL NEF (D1)","GSDMD"
"358","HIV-1 GAG-POL NEF (D1)","GTPBP1"
"359","HIV-1 GAG-POL NEF (D1)","HCK"
"360","HIV-1 GAG-POL NEF (D1)","HHEX"
"361","HIV-1 GAG-POL NEF (D1)","HLA-DMA"
"362","HIV-1 GAG-POL NEF (D1)","HLA-DMB"
"363","HIV-1 GAG-POL NEF (D1)","HLA-DPA1"
"364","HIV-1 GAG-POL NEF (D1)","HP"
"365","HIV-1 GAG-POL NEF (D1)","HRH2"
"366","HIV-1 GAG-POL NEF (D1)","IDO1"
"367","HIV-1 GAG-POL NEF (D1)","IFI27"
"368","HIV-1 GAG-POL NEF (D1)","IFI30"
"369","HIV-1 GAG-POL NEF (D1)","IFI35"
"370","HIV-1 GAG-POL NEF (D1)","IFI6"
"371","HIV-1 GAG-POL NEF (D1)","IFIT1"
"372","HIV-1 GAG-POL NEF (D1)","IFIT2"
"373","HIV-1 GAG-POL NEF (D1)","IFITM1"
"374","HIV-1 GAG-POL NEF (D1)","IFITM2"
"375","HIV-1 GAG-POL NEF (D1)","IFITM3"
"376","HIV-1 GAG-POL NEF (D1)","IFNGR2"
"377","HIV-1 GAG-POL NEF (D1)","IGLV4-69"
"378","HIV-1 GAG-POL NEF (D1)","IGSF6"
"379","HIV-1 GAG-POL NEF (D1)","IL10"
"380","HIV-1 GAG-POL NEF (D1)","IL12RB1"
"381","HIV-1 GAG-POL NEF (D1)","IL15"
"382","HIV-1 GAG-POL NEF (D1)","IL1RN"
"383","HIV-1 GAG-POL NEF (D1)","IL27"
"384","HIV-1 GAG-POL NEF (D1)","IRF1"
"385","HIV-1 GAG-POL NEF (D1)","IRF2"
"386","HIV-1 GAG-POL NEF (D1)","IRF9"
"387","HIV-1 GAG-POL NEF (D1)","LAIR1"
"388","HIV-1 GAG-POL NEF (D1)","LGALS9"
"389","HIV-1 GAG-POL NEF (D1)","LILRA2"
"390","HIV-1 GAG-POL NEF (D1)","LILRA3"
"391","HIV-1 GAG-POL NEF (D1)","LILRA5"
"392","HIV-1 GAG-POL NEF (D1)","LILRA6"
"393","HIV-1 GAG-POL NEF (D1)","LILRB1"
"394","HIV-1 GAG-POL NEF (D1)","LILRB2"
"395","HIV-1 GAG-POL NEF (D1)","LILRB4"
"396","HIV-1 GAG-POL NEF (D1)","LIMK1"
"397","HIV-1 GAG-POL NEF (D1)","LTBR"
"398","HIV-1 GAG-POL NEF (D1)","MERTK"
"399","HIV-1 GAG-POL NEF (D1)","MILR1"
"400","HIV-1 GAG-POL NEF (D1)","MNDA"
"401","HIV-1 GAG-POL NEF (D1)","MX1"
"402","HIV-1 GAG-POL NEF (D1)","MX2"
"403","HIV-1 GAG-POL NEF (D1)","NCF2"
"404","HIV-1 GAG-POL NEF (D1)","NFAM1"
"405","HIV-1 GAG-POL NEF (D1)","NOTCH2"
"406","HIV-1 GAG-POL NEF (D1)","NRROS"
"407","HIV-1 GAG-POL NEF (D1)","OAS2"
"408","HIV-1 GAG-POL NEF (D1)","PARP9"
"409","HIV-1 GAG-POL NEF (D1)","PIK3AP1"
"410","HIV-1 GAG-POL NEF (D1)","PML"
"411","HIV-1 GAG-POL NEF (D1)","PRKCD"
"412","HIV-1 GAG-POL NEF (D1)","PRKCE"
"413","HIV-1 GAG-POL NEF (D1)","PSMB10"
"414","HIV-1 GAG-POL NEF (D1)","PSMB8"
"415","HIV-1 GAG-POL NEF (D1)","PSMB9"
"416","HIV-1 GAG-POL NEF (D1)","PSME1"
"417","HIV-1 GAG-POL NEF (D1)","RAB10"
"418","HIV-1 GAG-POL NEF (D1)","RNASE2"
"419","HIV-1 GAG-POL NEF (D1)","RNF135"
"420","HIV-1 GAG-POL NEF (D1)","RNF19B"
"421","HIV-1 GAG-POL NEF (D1)","RNF213"
"422","HIV-1 GAG-POL NEF (D1)","SCIMP"
"423","HIV-1 GAG-POL NEF (D1)","SERPINB9"
"424","HIV-1 GAG-POL NEF (D1)","SIRPA"
"425","HIV-1 GAG-POL NEF (D1)","SLC11A1"
"426","HIV-1 GAG-POL NEF (D1)","SLC15A3"
"427","HIV-1 GAG-POL NEF (D1)","SLC15A4"
"428","HIV-1 GAG-POL NEF (D1)","SLFN11"
"429","HIV-1 GAG-POL NEF (D1)","SNCA"
"430","HIV-1 GAG-POL NEF (D1)","SP100"
"431","HIV-1 GAG-POL NEF (D1)","SPI1"
"432","HIV-1 GAG-POL NEF (D1)","SRC"
"433","HIV-1 GAG-POL NEF (D1)","STAT1"
"434","HIV-1 GAG-POL NEF (D1)","STAT2"
"435","HIV-1 GAG-POL NEF (D1)","STAT3"
"436","HIV-1 GAG-POL NEF (D1)","STING1"
"437","HIV-1 GAG-POL NEF (D1)","TAP1"
"438","HIV-1 GAG-POL NEF (D1)","TAP2"
"439","HIV-1 GAG-POL NEF (D1)","TFE3"
"440","HIV-1 GAG-POL NEF (D1)","THEMIS2"
"441","HIV-1 GAG-POL NEF (D1)","TLR4"
"442","HIV-1 GAG-POL NEF (D1)","TMEM229B"
"443","HIV-1 GAG-POL NEF (D1)","TNFAIP8L2"
"444","HIV-1 GAG-POL NEF (D1)","TNFRSF1B"
"445","HIV-1 GAG-POL NEF (D1)","TNFSF10"
"446","HIV-1 GAG-POL NEF (D1)","TRIM21"
"447","HIV-1 GAG-POL NEF (D1)","TRIM22"
"448","HIV-1 GAG-POL NEF (D1)","TRIM26"
"449","HIV-1 GAG-POL NEF (D1)","UBA7"
"450","HIV-1 GAG-POL NEF (D1)","WAS"
"451","HIV-1 GAG-POL NEF (D3)","CNR2"
"452","HIV-1 GAG-POL NEF (D3)","CXCR5"
"453","HIV-1 GAG-POL NEF (D3)","IL1R2"
"454","HIV-1 GAG-POL NEF (D3)","TRBV6-4"
"455","HIV-1 GAG-POL NEF (D3)","CCR1"
"456","HIV-1 GAG-POL NEF (D3)","CX3CR1"
"457","HIV-1 GAG-POL NEF (D3)","RIGI"
"458","HIV-1 GAG-POL NEF (D3)","DDX60"
"459","HIV-1 GAG-POL NEF (D3)","EIF2AK2"
"460","HIV-1 GAG-POL NEF (D3)","FCGR3A"
"461","HIV-1 GAG-POL NEF (D3)","FPR2"
"462","HIV-1 GAG-POL NEF (D3)","FPR3"
"463","HIV-1 GAG-POL NEF (D3)","GBP1"
"464","HIV-1 GAG-POL NEF (D3)","GCH1"
"465","HIV-1 GAG-POL NEF (D3)","GRN"
"466","HIV-1 GAG-POL NEF (D3)","IFI27"
"467","HIV-1 GAG-POL NEF (D3)","IFI6"
"468","HIV-1 GAG-POL NEF (D3)","IFIT1"
"469","HIV-1 GAG-POL NEF (D3)","IFIT2"
"470","HIV-1 GAG-POL NEF (D3)","IFITM1"
"471","HIV-1 GAG-POL NEF (D3)","IFITM3"
"472","HIV-1 GAG-POL NEF (D3)","IGSF6"
"473","HIV-1 GAG-POL NEF (D3)","IL1RN"
"474","HIV-1 GAG-POL NEF (D3)","IRF9"
"475","HIV-1 GAG-POL NEF (D3)","LGALS9"
"476","HIV-1 GAG-POL NEF (D3)","MERTK"
"477","HIV-1 GAG-POL NEF (D3)","MX1"
"478","HIV-1 GAG-POL NEF (D3)","MX2"
"479","HIV-1 GAG-POL NEF (D3)","OAS2"
"480","HIV-1 GAG-POL NEF (D3)","PARP9"
"481","HIV-1 GAG-POL NEF (D3)","PML"
"482","HIV-1 GAG-POL NEF (D3)","STAT1"
"483","HIV-1 GAG-POL NEF (D3)","TAP1"
"484","HIV-1 GAG-POL NEF (D3)","TNFSF10"
"485","HIV-1 GAG-POL NEF (D3)","TRIM21"
"486","HIV-1 GAG-POL NEF (D3)","TRIM22"
"487","HPV-VLP (M2)","ADORA2B"
"488","HPV-VLP (M2)","ALOX5"
"489","HPV-VLP (M2)","CD14"
"490","HPV-VLP (M2)","CD99"
"491","HPV-VLP (M2)","CFD"
"492","HPV-VLP (M2)","CHGA"
"493","HPV-VLP (M2)","CHRNA7"
"494","HPV-VLP (M2)","CHST3"
"495","HPV-VLP (M2)","CPLX2"
"496","HPV-VLP (M2)","CTSK"
"497","HPV-VLP (M2)","CXCL2"
