Source,Target,Type,Id,Label,Weight
TAF1D,FLUMIST (D3),Undirected,78,,1
Reg. of BP,IGHA2,Undirected,79,,2
Reg. of BP,IGHA1,Undirected,80,,2
RNASET2,Cellular,Undirected,81,,2
SNORA19,"ChAd-BNT (V2, D3)",Undirected,82,,1
LVS F TULARENSIS (H18),CCR4,Undirected,83,,1
LVS F TULARENSIS (H18),CCR1,Undirected,84,,1
LVS F TULARENSIS (H18),CCR2,Undirected,85,,1
LVS F TULARENSIS (H18),CCR7,Undirected,86,,1
ITGA8,"ChAd-BNT (V2, D7)",Undirected,87,,1
LVS F TULARENSIS (H18),CCR5,Undirected,88,,1
PIK3CG,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,89,,1
HOXA3,ADAPTIVE IMMUNE SYSTEM,Undirected,90,,1
LVS F TULARENSIS (H18),CCR6,Undirected,91,,1
PPP6C,INNATE IMMUNE SYSTEM,Undirected,92,,1
FLUMIST (D3),DENND6A,Undirected,93,,1
NLRP1,Interspecies interaction,Undirected,94,,2
NRCAM,"ChAd (V1, D3)",Undirected,95,,1
LVS F TULARENSIS (H18),CD1A,Undirected,96,,1
INNATE IMMUNE SYSTEM,DCSTAMP,Undirected,97,,1
LVS F TULARENSIS (H18),CD1B,Undirected,98,,1
FOXO3,BNT-I (D1),Undirected,99,,1
MONOV INFLUENZA A (D1),CTSF,Undirected,100,,1
IDE,FLUARIX FLUVIRIN (D3),Undirected,101,,1
"ZF2001 (V3, D07)",HOXA3,Undirected,102,,1
LGALS2,Cellular,Undirected,103,,1
LVS F TULARENSIS (H18),CD1C,Undirected,104,,1
LVS F TULARENSIS (H18),CD1D,Undirected,105,,1
MONOV INFLUENZA A (D1),CNDP2,Undirected,106,,1
SLAMF8,Cellular,Undirected,107,,2
PAK1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,108,,1
MONOV INFLUENZA A (D1),CTSA,Undirected,109,,1
"ChAd (V1, D7)",AMBN,Undirected,110,,1
GPR174,Cellular,Undirected,111,,2
JAK1,Cellular,Undirected,112,,2
Reg. of BP,RAB5B,Undirected,113,,2
MONOV INFLUENZA A (D1),CTSB,Undirected,114,,1
"ChAd (V1, D3)",CGNL1,Undirected,115,,1
LIPA,Cellular,Undirected,116,,2
"ChAd (V2, D1)",APOL6,Undirected,117,,1
Metabolism,IL5RA,Undirected,118,,1
IL15,"ChAd (V1, D3)",Undirected,119,,1
MONOV INFLUENZA A (D1),CTRL,Undirected,120,,1
WETVAX (D5-7),ECI2,Undirected,121,,1
GSG1L,"BNT-MO (V3, D1)",Undirected,122,,1
SLC39A7,Cellular,Undirected,123,,1
MVA85A (D2),DNASE2,Undirected,124,,1
YF17D (D3),RIGI,Undirected,125,,1
CCNB2,ADAPTIVE IMMUNE SYSTEM,Undirected,126,,1
XCL1,Interspecies interaction,Undirected,127,,2
"ChAd (V2, D1)",APOL1,Undirected,128,,1
"ChAd (V2, D1)",APOL2,Undirected,129,,1
PIK3CG,NK CELL,Undirected,130,,1
Immune system,IFNLR1,Undirected,131,,1
TP53,Interspecies interaction,Undirected,132,,1
PURA,Cellular,Undirected,133,,2
"ZF2001 (V3, D07)",HOXB9,Undirected,134,,1
Cellular,BATF2,Undirected,135,,2
FLUARIX FLUVIRIN (D3),ARRB1,Undirected,136,,1
EXT1,ADAPTIVE IMMUNE SYSTEM,Undirected,137,,1
MSL3P1,BNT-I (D3),Undirected,138,,1
"ZF2001 (V3, D07)",HOXB6,Undirected,139,,1
SYK,Immune system,Undirected,140,,2
RNASE2,INNATE IMMUNE SYSTEM,Undirected,141,,1
TRIM21,Cellular,Undirected,142,,2
Reg. of BP,PPP2R1A,Undirected,143,,1
Reg. of BP,RAB4A,Undirected,144,,2
RAB32,Immune system,Undirected,145,,2
MONOV INFLUENZA A (D1),CTSL,Undirected,146,,1
NDUFV3,FLUARIX FLUVIRIN (D3),Undirected,147,,1
FLUMIST (D3),DENND4A,Undirected,148,,1
Cellular,BATF3,Undirected,149,,1
PTPN2,ADAPTIVE IMMUNE SYSTEM,Undirected,150,,1
MONOV INFLUENZA A (D1),CTSS,Undirected,151,,1
"ZF2001 (V3, D07)",IYD,Undirected,152,,1
HMGXB4,FLUMIST (D3),Undirected,153,,1
Immune system,ADGRB1,Undirected,154,,2
Reg. of BP,RAB3C,Undirected,155,,2
PLAUR,BNT-I (D4),Undirected,156,,1
DCANP1,BNT-I (D1),Undirected,157,,1
OASL,INNATE IMMUNE SYSTEM,Undirected,158,,1
TNF,Interspecies interaction,Undirected,159,,2
MMP17,"ChAd-BNT (V2, D3)",Undirected,160,,1
"ChAd (V1, D3)",CXCL10,Undirected,161,,1
TRBV9,Reg. of BP,Undirected,162,,1
"ChAd (V1, D3)",CXCL11,Undirected,163,,1
Metabolism,BMI1,Undirected,164,,2
SIPA1L1,FLUMIST (D3),Undirected,165,,1
Reg. of BP,RAB3B,Undirected,166,,2
FLUMIST (D3),DCTN2,Undirected,167,,1
HELZ2,"BNT (V2, D1)",Undirected,168,,1
MONOV INFLUENZA A (D1),ANO5,Undirected,169,,1
STAT6,Immune system,Undirected,170,,2
MONOV INFLUENZA A (D1),ANO6,Undirected,171,,1
Reg. of BP,RAB34,Undirected,172,,2
Reg. of BP,ACKR2,Undirected,173,,1
FLUMIST (D3),DDX20,Undirected,174,,1
Reg. of BP,ACKR3,Undirected,175,,2
CALHM6,"BNT (V3, D1)",Undirected,176,,1
Interspecies interaction,CRK,Undirected,177,,1
FLUMIST (D3),DDX24,Undirected,178,,1
TBX21,"ChAd-BNT (V3, D1)",Undirected,179,,1
CPNE2,BNT-I (D1),Undirected,180,,1
NMUR1,"ChAd-BNT (V3, D1)",Undirected,181,,1
TRAV13-2,Interspecies interaction,Undirected,182,,2
FLUMIST (D3),DENND1B,Undirected,183,,1
"ChAd-BNT (V3, D1)",BATF2,Undirected,184,,1
STAMARIL (D10),GNG7,Undirected,185,,1
"ChAd-BNT (V3, D1)",BATF3,Undirected,186,,1
MSL3P1,BNT-I (D1),Undirected,187,,1
SKA3,"ChAd-BNT (V2, D7)",Undirected,188,,1
PLAGL1,"ChAd-BNT (V3, D1)",Undirected,189,,1
"ZF2001 (V3, D14)",FRMD4A,Undirected,190,,1
RAB34,BNT-I (D1),Undirected,191,,1
GGNBP2,FLUMIST (D3),Undirected,192,,1
"ZF2001 (V3, D07)",FAM135B,Undirected,193,,1
Reg. of BP,PPP2R3C,Undirected,194,,1
PRR7,Immune system,Undirected,195,,2
TNFRSF14,Interspecies interaction,Undirected,196,,2
PSMB9,"ChAd (V1, D3)",Undirected,197,,1
"ChAd (V2, D3)",ADGRG2,Undirected,198,,1
MVA85A (D2),CASP1,Undirected,199,,1
Immune system,BTN1A1,Undirected,200,,2
PANDEMRIX (D7),CXCL10,Undirected,201,,1
Reg. of BP,RAB29,Undirected,202,,1
SARM1,Cellular,Undirected,203,,1
FYB2,CELLULAR ADAPTIVE IMMUNE SYSTEM,Undirected,204,,1
IL4I1,"ChAd-BNT (V2, D3)",Undirected,205,,1
FLUMIST (D3),DDX18,Undirected,206,,1
STAMARIL (D7),ERGIC1,Undirected,207,,1
WNK1,Metabolism,Undirected,208,,2
GADD45A,BNT-I (D3),Undirected,209,,1
Interspecies interaction,CR2,Undirected,210,,2
IGSF6,HIV-1 GAG-POL NEF (D3),Undirected,211,,1
Interspecies interaction,CR1,Undirected,212,,2
GPR32,Cellular,Undirected,213,,1
JAG1,HPV-VLP (M2),Undirected,214,,1
TICAM1,STAMARIL (D7),Undirected,215,,1
TACC1,FLUMIST (D3),Undirected,216,,1
Reg. of BP,RNF185,Undirected,217,,2
NOD2,Immune system,Undirected,218,,2
MPL,B CELLS,Undirected,219,,1
YF VAX (ANY),RPS10,Undirected,220,,1
FLUARIX FLUVIRIN (D3),ACER3,Undirected,221,,1
YF VAX (ANY),RPS13,Undirected,222,,1
MONOV INFLUENZA A (D1),FANCA,Undirected,223,,1
BCL2L11,ADAPTIVE IMMUNE SYSTEM,Undirected,224,,1
TTC4,INNATE IMMUNE SYSTEM,Undirected,225,,1
Interspecies interaction,GPER1,Undirected,226,,1
"ZF2001 (V3, D07)",IRS2,Undirected,227,,1
STAMARIL (D3),KIAA0319L,Undirected,228,,1
PIM3,FLUARIX FLUVIRIN (D3),Undirected,229,,1
DHRS9,"BNT (V2, D1)",Undirected,230,,1
STAMARIL (D7),PINK1,Undirected,231,,1
REL,Cellular,Undirected,232,,2
"BBIBP (V3, D14)",ADRA2B,Undirected,233,,1
TTLL1,OTHER,Undirected,234,,1
NR1H2,BNT-I (D1),Undirected,235,,1
Interspecies interaction,EPRS1,Undirected,236,,2
TNF,MVA85A (D2),Undirected,237,,1
Interspecies interaction,CFP,Undirected,238,,2
Immune system,ADGRG3,Undirected,239,,2
LCP1,Cellular,Undirected,240,,1
YF VAX (ANY),RPS21,Undirected,241,,1
SNORA7B,"ChAd (V2, D1)",Undirected,242,,1
SAR1A,FLUMIST (D3),Undirected,243,,1
PLAUR,BNT-I (D3),Undirected,244,,1
Cellular,COLEC10,Undirected,245,,1
HPV-VLP (M2),BHLHE40,Undirected,246,,1
"ZF2001 (V3, D07)",ANTXR1,Undirected,247,,1
Cellular,COLEC12,Undirected,248,,2
S100A9,Cellular,Undirected,249,,2
PTN,Cellular,Undirected,250,,1
DELEC1,"BNT-MO (V3, D1)",Undirected,251,,1
Immune system,AZI2,Undirected,252,,1
IFITM5,"ChAd-BNT (V2, D3)",Undirected,253,,1
HPV-VLP (M2),APOC2,Undirected,254,,1
SEMA3B,BNT-I (D3),Undirected,255,,1
PDLIM4,"ChAd (V2, D3)",Undirected,256,,1
SRMS,Metabolism,Undirected,257,,1
HPV-VLP (M2),APOC1,Undirected,258,,1
KMT2E,Immune system,Undirected,259,,1
INNATE IMMUNE SYSTEM,CX3CL1,Undirected,260,,1
Immune system,ADGRF5,Undirected,261,,1
LAMP3,"BNT (V2, D1)",Undirected,262,,1
MONOV INFLUENZA A (D1),BMERB1,Undirected,263,,1
MSH3,Cellular,Undirected,264,,2
UBAP2L,FLUARIX FLUVIRIN (D3),Undirected,265,,1
LFNG,Immune system,Undirected,266,,2
Interspecies interaction,CFD,Undirected,267,,2
EMP2,Cellular,Undirected,268,,1
Interspecies interaction,CFB,Undirected,269,,2
GSTO2,BNT-I (D1),Undirected,270,,1
Immune system,CDC42,Undirected,271,,2
"ZF2001 (V3, D07)",KCNMB1,Undirected,272,,1
"ChAd-BNT (V2, D7)",BATF2,Undirected,273,,1
Interspecies interaction,CFI,Undirected,274,,1
Interspecies interaction,CFH,Undirected,275,,2
STAMARIL (D7),NAGK,Undirected,276,,1
PAFAH1B1,Immune system,Undirected,277,,1
PANDEMRIX (D30),CCL5,Undirected,278,,1
Interspecies interaction,APOBEC3C,Undirected,279,,1
Immune system,ADGRE5,Undirected,280,,2
TNFSF15,Cellular,Undirected,281,,1
Interspecies interaction,APOBEC3D,Undirected,282,,2
Interspecies interaction,APOBEC3A,Undirected,283,,2
Interspecies interaction,APOBEC3B,Undirected,284,,2
LGALS1,Immune system,Undirected,285,,2
Interspecies interaction,APOBEC3G,Undirected,286,,2
Immune system,ADGRE1,Undirected,287,,1
MACROPHAGES,CKLF,Undirected,288,,1
Immune system,ADGRE2,Undirected,289,,2
TASOR,FLUARIX FLUVIRIN (D3),Undirected,290,,1
STAMARIL (D7),NAGA,Undirected,291,,1
Interspecies interaction,APOBEC3F,Undirected,292,,2
PLAUR,BNT-I (D1),Undirected,293,,1
Metabolism,CDC42,Undirected,294,,2
HPV-VLP (M2),CACNA1A,Undirected,295,,1
GSTO2,BNT-I (D3),Undirected,296,,1
TRIM55,Immune system,Undirected,297,,1
HPV-VLP (M2),FKBPL,Undirected,298,,1
SENP3,FLUARIX FLUVIRIN (D3),Undirected,299,,1
FLUMIST (D3),DDX60,Undirected,300,,1
POLL,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,301,,1
WETVAX (D5-7),CASP7,Undirected,302,,1
WETVAX (D5-7),CASP5,Undirected,303,,1
WETVAX (D5-7),CASP4,Undirected,304,,1
ITGB2,INNATE IMMUNE SYSTEM,Undirected,305,,1
MONOV INFLUENZA A (D1),FANCL,Undirected,306,,1
"ZF2001 (V3, D07)",DCLK1,Undirected,307,,1
WETVAX (D5-7),CASP1,Undirected,308,,1
PSME2,"ChAd (V1, D3)",Undirected,309,,1
Reg. of BP,RNF19B,Undirected,310,,2
ITGA6,HPV-VLP (M2),Undirected,311,,1
"ChAd (V1, D3)",ATF5,Undirected,312,,1
SEMA3B,BNT-I (D1),Undirected,313,,1
ARPP,AP3B1,Undirected,314,,1
NFATC2,Immune system,Undirected,315,,2
TRAV26-2,Interspecies interaction,Undirected,316,,1
STAMARIL (D10),RPL22,Undirected,317,,1
FLUMIST (D3),AGTRAP,Undirected,318,,1
"ZF2001 (V3, D07)",SOX18,Undirected,319,,1
CD81,ADAPTIVE IMMUNE SYSTEM,Undirected,320,,1
STAMARIL (D3),LAP3,Undirected,321,,1
ZNF696,BNT-I (D1),Undirected,322,,1
SLC34A3,"ChAd (V1, D3)",Undirected,323,,1
THBS1,OTHER,Undirected,324,,1
PSTPIP2,"BNT-MO (V3, D1)",Undirected,325,,1
TICAM1,STAMARIL (D3),Undirected,326,,1
TYR,Cellular,Undirected,327,,1
NUP43,BNT-I (D1),Undirected,328,,1
"ZF2001 (V3, D07)",SOX11,Undirected,329,,1
OPTN,Interspecies interaction,Undirected,330,,1
OAS3,"ChAd (V1, D3)",Undirected,331,,1
OTHER,ADGRE5,Undirected,332,,1
"ZF2001 (V3, D07)",IRX2,Undirected,333,,1
MONOV INFLUENZA A (D1),ICAM1,Undirected,334,,1
MONOV INFLUENZA A (D1),IKZF4,Undirected,335,,1
TNFAIP2,"BNT-MO (V3, D1)",Undirected,336,,1
"ZF2001 (V3, D07)",IRX4,Undirected,337,,1
HUMORAL ADAPTIVE IMMUNE SYSTEM,DLL1,Undirected,338,,1
"ZF2001 (V3, D14)",ZBED2,Undirected,339,,1
PLD3,Cellular,Undirected,340,,1
Reg. of BP,MIF,Undirected,341,,1
Reg. of BP,CFHR5,Undirected,342,,1
TUBB,Cellular,Undirected,343,,1
ELOVL3,"ChAd-BNT (V2, D3)",Undirected,344,,1
HPV-VLP (M2),CEBPD,Undirected,345,,1
GZMM,Cellular,Undirected,346,,2
PBX1,"ChAd-BNT (V2, D7)",Undirected,347,,1
INNATE IMMUNE SYSTEM,CX3CR1,Undirected,348,,1
CFAP58,BNT-I (D3),Undirected,349,,1
FCHO1,Cellular,Undirected,350,,2
TRIM22,"BNT-MO (V3, D1)",Undirected,351,,1
PRDX2,INFLAMMATION,Undirected,352,,1
NEUTROPHIL,DNASE1L3,Undirected,353,,1
PELI1,Cellular,Undirected,354,,2
SNORA79B,"ChAd (V2, D1)",Undirected,355,,1
GPR174,ADAPTIVE IMMUNE SYSTEM,Undirected,356,,1
AKT1,ADAPTIVE IMMUNE SYSTEM,Undirected,357,,1
OTOF,"BNT (V2, D1)",Undirected,358,,1
UNG,Immune system,Undirected,359,,2
OAS1,MONOV INFLUENZA A (D3),Undirected,360,,1
PRKCE,ADAPTIVE IMMUNE SYSTEM,Undirected,361,,1
DAAM2,BNT-I (D1),Undirected,362,,1
Immune system,EDN3,Undirected,363,,1
Reg. of BP,IGHG4,Undirected,364,,1
Reg. of BP,IGHG3,Undirected,365,,2
RNF213,Metabolism,Undirected,366,,2
Reg. of BP,IGHG2,Undirected,367,,1
HNRNPA3,FLUARIX FLUVIRIN (D3),Undirected,368,,1
Reg. of BP,IGHG1,Undirected,369,,2
Immune system,EDN1,Undirected,370,,1
NEDD4,Interspecies interaction,Undirected,371,,1
Reg. of BP,RNF135,Undirected,372,,2
"ZF2001 (V3, D14)",KLF6,Undirected,373,,1
"ZF2001 (V3, D14)",KLF5,Undirected,374,,1
"ZF2001 (V3, D14)",KLF4,Undirected,375,,1
CRYBA1,BNT-I (D3),Undirected,376,,1
TYR,Immune system,Undirected,377,,1
Reg. of BP,LAT2,Undirected,378,,2
WNT5A,Interspecies interaction,Undirected,379,,1
SDC3,"ChAd-BNT (V2, D3)",Undirected,380,,1
LVS F TULARENSIS (H48),HLA-DRB1,Undirected,381,,1
HBA2,"ChAd-BNT (V2, D7)",Undirected,382,,1
LVS F TULARENSIS (H18),CD80,Undirected,383,,1
PPP4C,BNT-I (D4),Undirected,384,,1
LVS F TULARENSIS (H18),CD81,Undirected,385,,1
NDUFA8,FLUARIX FLUVIRIN (D3),Undirected,386,,1
STAT6,ADAPTIVE IMMUNE SYSTEM,Undirected,387,,1
PHB2,Interspecies interaction,Undirected,388,,1
LVS F TULARENSIS (H18),CD83,Undirected,389,,1
DZIP1L,"ChAd (V2, D1)",Undirected,390,,1
LVS F TULARENSIS (H18),CD86,Undirected,391,,1
IGHE,Cellular,Undirected,392,,1
HCK,FLUARIX FLUVIRIN (D3),Undirected,393,,1
SYK,INNATE IMMUNE SYSTEM,Undirected,394,,1
SAMD7,"ChAd (V1, D7)",Undirected,395,,1
PDE4B,MONOV INFLUENZA A (D1),Undirected,396,,1
WETVAX (D5-7),LY6E,Undirected,397,,1
KLRC4-KLRK1,INNATE IMMUNE SYSTEM,Undirected,398,,1
"ChAd-BNT (V2, D3)",ALPL,Undirected,399,,1
RPS4Y1,BNT-I (D4),Undirected,400,,1
MAP4,FLUMIST (D3),Undirected,401,,1
PDIA6,FLUMIST (D3),Undirected,402,,1
Interspecies interaction,AIM2,Undirected,403,,1
HUMORAL ADAPTIVE IMMUNE SYSTEM,ERBB2,Undirected,404,,1
TP53I3,BNT-I (D1),Undirected,405,,1
OAS1,INNATE IMMUNE SYSTEM,Undirected,406,,1
Interspecies interaction,IFNA21,Undirected,407,,2
Metabolism,IL18RAP,Undirected,408,,2
"ZF2001 (V3, D07)",FHOD3,Undirected,409,,1
Metabolism,IRF2BP2,Undirected,410,,2
OAS1,MONOV INFLUENZA A (D1),Undirected,411,,1
LVS F TULARENSIS (H18),CD74,Undirected,412,,1
POLR3E,INNATE IMMUNE SYSTEM,Undirected,413,,1
NUDT8,"BNT-MO (V3, D1)",Undirected,414,,1
"ZF2001 (V3, D07)",IRX6,Undirected,415,,1
MGST2,FLUARIX FLUVIRIN (D3),Undirected,416,,1
NDEL1,FLUARIX FLUVIRIN (D3),Undirected,417,,1
CPD,BNT-I (D3),Undirected,418,,1
"ZF2001 (V3, D07)",NOTUM,Undirected,419,,1
Interspecies interaction,IFNA17,Undirected,420,,2
FLUMIST (D3),EP300,Undirected,421,,1
LEF1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,422,,1
YF VAX (ANY),RPS3A,Undirected,423,,1
FLUMIST (D3),CARD16,Undirected,424,,1
BNT-I (D3),ADAM23,Undirected,425,,1
TLR4,Metabolism,Undirected,426,,2
PODXL2,Immune system,Undirected,427,,1
LYL1,HUMORAL ADAPTIVE IMMUNE SYSTEM,Undirected,428,,1
STK17A,FLUMIST (D3),Undirected,429,,1
"ZF2001 (V3, D14)",PCDHGC4,Undirected,430,,1
RFPL3,Immune system,Undirected,431,,1
RBX1,HPV-VLP (M2),Undirected,432,,1
CYP7B1,ADAPTIVE IMMUNE SYSTEM,Undirected,433,,1
RUNDC3A,HPV-VLP (M2),Undirected,434,,1
SYAP1,BNT-I (D4),Undirected,435,,1
MAVS,Interspecies interaction,Undirected,436,,1
SULT1A2,BNT-I (D1),Undirected,437,,1
Interspecies interaction,IFNA10,Undirected,438,,2
Interspecies interaction,AIF1,Undirected,439,,2
Interspecies interaction,IFNA16,Undirected,440,,2
Interspecies interaction,IFNA14,Undirected,441,,2
SPI1,B CELLS,Undirected,442,,1
SCARF1,MONOV INFLUENZA A (D1),Undirected,443,,1
"ZF2001 (V3, D07)",TSKU,Undirected,444,,1
SH2D1B,ADAPTIVE IMMUNE SYSTEM,Undirected,445,,1
TREML2,Immune system,Undirected,446,,1
LCP2,Cellular,Undirected,447,,1
STAT5B,MVA85A (D2),Undirected,448,,1
PDZD8,BNT-I (D1),Undirected,449,,1
PF4,NEUTROPHIL,Undirected,450,,1
PRKD1,Interspecies interaction,Undirected,451,,1
"ZF2001 (V3, D07)",EDIL3,Undirected,452,,1
NPAS1,"ChAd-BNT (V2, D3)",Undirected,453,,1
STN1,"ChAd-BNT (V3, D1)",Undirected,454,,1
Immune system,IL5RA,Undirected,455,,1
"ZF2001 (V3, D14)",CSRNP1,Undirected,456,,1
Reg. of BP,HYAL2,Undirected,457,,2
IFIH1,"BNT (V3, D1)",Undirected,458,,1
SNORA11,INFLUENZA (D1),Undirected,459,,1
ETS2,BNT-I (D3),Undirected,460,,1
JAK3,ADAPTIVE IMMUNE SYSTEM,Undirected,461,,1
LRRC4,"ChAd (V1, D3)",Undirected,462,,1
Metabolism,EXOSC3,Undirected,463,,1
STAMARIL (D7),HERC6,Undirected,464,,1
STAMARIL (D7),HERC5,Undirected,465,,1
SORT1,FLUARIX FLUVIRIN (D3),Undirected,466,,1
"ChAd-BNT (V2, D7)",BDKRB2,Undirected,467,,1
STAMARIL (D3),BANK1,Undirected,468,,1
TICRR,"ChAd (V1, D7)",Undirected,469,,1
Reg. of BP,LAX1,Undirected,470,,2
INNATE IMMUNE SYSTEM,BAG6,Undirected,471,,1
ESCO2,"ChAd-BNT (V2, D7)",Undirected,472,,1
GBP1,"BNT-MO (V3, D1)",Undirected,473,,1
Immune system,IGHV3-13,Undirected,474,,2
ZC3H12A,Cellular,Undirected,475,,2
Immune system,IGHV3-11,Undirected,476,,1
NLRC4,FLUARIX FLUVIRIN (D3),Undirected,477,,1
UBE2T,MONOV INFLUENZA A (D3),Undirected,478,,1
TLR4,LVS F TULARENSIS (H18),Undirected,479,,1
DDX60,"ChAd (V1, D3)",Undirected,480,,1
PDCD1LG2,Cellular,Undirected,481,,1
Reg. of BP,MSN,Undirected,482,,1
EFNA1,"BNT (V3, D1)",Undirected,483,,1
DNTT,"ChAd (V1, D3)",Undirected,484,,1
MONOCYTES,CALCA,Undirected,485,,1
"ZF2001 (V3, D07)",TAMALIN,Undirected,486,,1
XRCC6,Immune system,Undirected,487,,1
LIMK1,ADAPTIVE IMMUNE SYSTEM,Undirected,488,,1
MTX3,FLUARIX FLUVIRIN (D3),Undirected,489,,1
RBPJ,INFLAMMATION,Undirected,490,,1
FBXO33,BNT-I (D1),Undirected,491,,1
Reg. of BP,RFPL3,Undirected,492,,1
Immune system,IGHV3-23,Undirected,493,,2
PANDEMRIX (D7),MZB1,Undirected,494,,1
"ChAd-BNT (V3, D1)",CMPK2,Undirected,495,,1
Reg. of BP,MR1,Undirected,496,,2
MONOV INFLUENZA A (D1),C19orf12,Undirected,497,,1
PHF24,"ChAd-BNT (V2, D3)",Undirected,498,,1
PSMB9,FLUMIST (D3),Undirected,499,,1
Immune system,ACKR3,Undirected,500,,2
"ZF2001 (V3, D07)",ULBP2,Undirected,501,,1
SCARNA20,BNT-I (D3),Undirected,502,,1
"ZF2001 (V3, D07)",NALCN,Undirected,503,,1
TLR3,Cellular,Undirected,504,,2
"ZF2001 (V3, D07)",ULBP1,Undirected,505,,1
FLUARIX FLUVIRIN (D3),DGLUCY,Undirected,506,,1
Immune system,ACKR2,Undirected,507,,1
MONOV INFLUENZA A (D1),CUL1,Undirected,508,,1
HPV-VLP (M2),CD2BP2,Undirected,509,,1
ZNF441,"ZF2001 (V3, D07)",Undirected,510,,1
