"source","target","value","vaccine","covid_other","microbe_type","target_pathogen_disease","disease_vac","type","regimen","day_total","day_month","month","week","dose","infection","annotation"
"MONOV INFLUENZA A (D1)","ADAMTSL4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ADAP2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ADPRH",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","AK4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ALDH1A1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ANKRD34B",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ANO5",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","APOL2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","APOL3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","APOL4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","APOL6",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","AQP9",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","BMAL2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ASGR2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ATF3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ATF5",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ATP6V1B2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","BACH1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","BCL2A1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","BEST1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","BLVRA",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CARD16",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CARD17P",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CASP5",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CASP7",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CD36",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CDHR5",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CDKN1A",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CES1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CHST15",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CMPK2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CREB5",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CRISPLD2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CTSB",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CYP1B1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CYP27A1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DDO",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DHRS9",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DOCK4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DPYD",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DRAM1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DSC2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DSE",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DUSP1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DUSP3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","DUSP6",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","EGR2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","EGR3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","EMILIN2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","EPB41L3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","ETV7",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","EXOC3L1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FAM20A",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FAM20C",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","CALHM6",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FBXO6",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FGD4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FOS",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","FRMD3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GBP3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GCA",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GLUL",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GM2A",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GNB4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GNG10",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GPBAR1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HCAR2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GPR84",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GPRC5C",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","GRINA",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HBEGF",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HORMAD1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HSPA6",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","HSPA7",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","IGF2BP3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","KCNJ15",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","KCNJ2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","KCTD12",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","SHTN1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","KLF4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","KREMEN1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LACTB",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LAP3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LHFPL2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LIPN",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LMNB1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LMO2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LPCAT2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LRG1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LRRC4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","LRRK2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MARCKS",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MCTP1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","SLC49A3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MORN2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MPZL2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","IRAG1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MSR1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MT2A",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MTHFD2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MUC1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","MYOF",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NAMPT",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NCF1B",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NCF1C",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NEXN",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NFIX",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NGFR",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NHSL1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NPC2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","OPLAH",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","P2RY12",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","P2RY13",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PFKFB3",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PKMYT1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLA2G4A",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLA2G7",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLBD1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLEKHG6",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLEKHO1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLSCR1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PLXNC1",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PRLR",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PSMA4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PSME2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","PSTPIP2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","NECTIN2",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","RAB31",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","RAB39A",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","RASGEF1B",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","RBM47",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","RNF217",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
"MONOV INFLUENZA A (D1)","RTP4",1,"MONOV INFLUENZA A","OTHER","VIRUS","INFLUENZA","V","IN","HO",1,1,1,1,1,0,"Condition"
