"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"132","AKT1","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"133","AKT1","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"134","AKT1","Infection",1,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"135","AKT1","Infection",1,"T cells","T CELLS","Infection only"
"136","AKT1","Infection",1,NA,"NEGATIVE REGULATION OF LYMPHOCYTE MIGRATION","Infection only"
"137","ALAS1","Infection",4,NA,"ERYTHROCYTE DEVELOPMENT","Infection only"
"138","ALAS2","Infection",2,NA,"ERYTHROCYTE DIFFERENTIATION","Infection only"
"139","ALAS2","Infection",2,NA,"ERYTHROCYTE DEVELOPMENT","Infection only"
"140","ALOX15","Infection",4,NA,"NEGATIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE","Infection only"
"141","ALOX5","Infection",6,"Migration, Dendritic cell","DENDRITIC CELL MIGRATION","Infection only"
"142","ALOX5","Infection",6,"Dendritic cells","DENDRITIC CELLS","Infection only"
"143","ALOX5","Infection",6,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Infection only"
"144","ALOX5","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"145","ALOX5","Infection",6,"Chemotaxis, Inflammatory response, Leukocyte","LEUKOCYTE CHEMOTAXIS INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"146","ALOX5","Infection",6,"Migration, Inflammatory response, Leukocyte","LEUKOCYTE MIGRATION INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"147","ALPK1","Infection",7,NA,"CYTOSOLIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","Infection only"
"148","ALPK1","Infection",7,NA,"INNATE IMMUNE RESPONSE","Infection only"
"149","ANG","Infection",4,NA,"ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"150","ANG","Infection",4,NA,"INNATE IMMUNE RESPONSE","Infection only"
"151","ANG","Infection",4,NA,"ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"152","ANKHD1","Infection",12,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"153","ANKHD1","Infection",12,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"154","ANXA1","Infection",7,NA,"NEUTROPHIL HOMEOSTASIS","Infection only"
"155","ANXA1","Infection",7,NA,"ADAPTIVE IMMUNE RESPONSE","Infection only"
"156","ANXA1","Infection",7,NA,"MONOCYTE CHEMOTAXIS","Infection only"
"157","ANXA1","Infection",7,NA,"REGULATION OF LEUKOCYTE MIGRATION","Infection only"
"158","ANXA1","Infection",7,NA,"POSITIVE REGULATION OF NEUTROPHIL APOPTOTIC PROCESS","Infection only"
"159","ANXA1","Infection",7,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"160","ANXA1","Infection",7,NA,"NEUTROPHIL ACTIVATION","Infection only"
"161","ANXA1","Infection",7,NA,"INNATE IMMUNE RESPONSE","Infection only"
"162","ANXA1","Infection",7,NA,"POSITIVE REGULATION OF T-HELPER 1 CELL DIFFERENTIATION","Infection only"
"163","ANXA1","Infection",7,NA,"NEGATIVE REGULATION OF T-HELPER 2 CELL DIFFERENTIATION","Infection only"
"164","ANXA1","Infection",7,NA,"ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"165","ANXA1","Infection",7,NA,"GRANULOCYTE CHEMOTAXIS","Infection only"
"166","ANXA1","Infection",7,NA,"NEUTROPHIL CLEARANCE","Infection only"
"167","ANXA3","Infection",9,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"168","ANXA3","Infection",9,"Neutrophil","NEUTROPHIL","Infection only"
"169","ANXA3","Infection",9,"Degranulation, Neutrophil","NEUTROPHIL DEGRANULATION","Infection only"
"170","APBB1IP","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"171","APBB1IP","Infection",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"172","APBB1IP","Infection",3,NA,"T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL","Infection only"
"173","APBB1IP","Infection",3,"T cells","T CELLS","Infection only"
"174","APOA2","Infection",5,NA,"NEGATIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE","Infection only"
"175","APOBEC3A","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"176","APOBEC3A","Infection",7,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"177","APOBEC3A","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"178","APOBEC3B","Infection",2,NA,"INNATE IMMUNE RESPONSE","Infection only"
"179","APOBEC3C","Infection",1,NA,"INNATE IMMUNE RESPONSE","Infection only"
"180","APOBEC3D","Infection",3,NA,"INNATE IMMUNE RESPONSE","Infection only"
"181","APOBEC3F","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"182","APOBEC3F","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"183","APOBEC3F","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"184","APOE","Infection",1,NA,"REGULATION OF INNATE IMMUNE RESPONSE","Infection only"
"185","APOL1","Infection",1,NA,"INNATE IMMUNE RESPONSE","Infection only"
"186","APPL2","Infection",1,NA,"REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","Infection only"
"187","APPL2","Infection",1,NA,"REGULATION OF INNATE IMMUNE RESPONSE","Infection only"
"188","APPL2","Infection",1,NA,"POSITIVE REGULATION OF FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS","Infection only"
"189","AQP3","Infection",6,NA,"POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS","Infection only"
"190","ARG1","Infection",10,NA,"ADAPTIVE IMMUNE RESPONSE","Infection only"
"191","ARG1","Infection",10,NA,"NEGATIVE REGULATION OF T CELL PROLIFERATION","Infection only"
"192","ARG1","Infection",10,NA,"INNATE IMMUNE RESPONSE","Infection only"
"193","ARG1","Infection",10,NA,"NEGATIVE REGULATION OF ACTIVATED T CELL PROLIFERATION","Infection only"
"194","ARG1","Infection",10,NA,"NEGATIVE REGULATION OF TYPE II INTERFERON-MEDIATED SIGNALING PATHWAY","Infection only"
"195","ARG1","Infection",10,NA,"POSITIVE REGULATION OF NEUTROPHIL MEDIATED KILLING OF FUNGUS","Infection only"
"196","ARG1","Infection",10,NA,"NEGATIVE REGULATION OF T-HELPER 2 CELL CYTOKINE PRODUCTION","Infection only"
"197","ARHGEF5","Infection",3,"Dendritic cells","DENDRITIC CELLS","Infection only"
"198","ARHGEF5","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"199","ARHGEF5","Infection",3,"Chemotaxis, Dendritic cell, Myeloid","MYELOID DENDRITIC CELL CHEMOTAXIS","Infection only"
"200","ARID5A","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"201","ARID5A","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"202","ARID5A","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"203","ARID5A","Infection",1,NA,"POSITIVE REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE","Infection only"
"204","ARID5A","Infection",1,NA,"POSITIVE REGULATION OF T-HELPER 1 CELL CYTOKINE PRODUCTION","Infection only"
"205","ARMC5","Infection",1,NA,"T CELL PROLIFERATION","Infection only"
"206","ARMC5","Infection",1,NA,"CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"207","ARRB2","Infection",2,NA,"NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY","Infection only"
"208","ARRB2","Infection",2,NA,"NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY","Infection only"
"209","ASB2","Infection",5,NA,"DENDRITIC CELL MIGRATION","Infection only"
"210","ATAD3A","Infection",1,NA,"ANTIVIRAL INNATE IMMUNE RESPONSE","Infection only"
"211","ATM","Infection",3,NA,"PRE-B CELL ALLELIC EXCLUSION","Infection only"
"212","ATM","Infection",3,NA,"NEGATIVE REGULATION OF B CELL PROLIFERATION","Infection only"
"213","ATM","Infection",3,NA,"V(D)J RECOMBINATION","Infection only"
"214","ATM","Infection",3,NA,"THYMUS DEVELOPMENT","Infection only"
"215","ATM","Infection",3,NA,"REGULATION OF MICROGLIAL CELL ACTIVATION","Infection only"
"216","ATP1B1","Infection",3,NA,"INNATE IMMUNE RESPONSE","Infection only"
"217","AXL","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"218","AXL","Infection",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"219","AXL","Infection",1,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"220","AXL","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"221","AXL","Infection",1,"Activation, Lymphocyte","LYMPHOCYTE ACTIVATION","Infection only"
"222","AXL","Infection",1,"Differentiation, NK cell","NATURAL KILLER CELL DIFFERENTIATION","Infection only"
"223","AXL","Infection",1,"Neutrophil","NEUTROPHIL","Infection only"
"224","AXL","Infection",1,"Clearance, Neutrophil","NEUTROPHIL CLEARANCE","Infection only"
"225","AXL","Infection",1,"NK cell","NK CELL","Infection only"
"226","AXL","Infection",1,NA,"NEGATIVE REGULATION OF MACROPHAGE CYTOKINE PRODUCTION","Infection only"
"227","AXL","Infection",1,NA,"POSITIVE REGULATION OF NATURAL KILLER CELL DIFFERENTIATION","Infection only"
"228","AXL","Infection",1,NA,"ERYTHROCYTE HOMEOSTASIS","Infection only"
"229","AXL","Infection",1,NA,"NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION","Infection only"
"230","AZI2","Infection",4,NA,"T CELL ACTIVATION","Infection only"
"231","AZI2","Infection",4,NA,"TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","Infection only"
"232","AZU1","Infection",6,"Macrophages","MACROPHAGES","Infection only"
"233","AZU1","Infection",6,"Antimicrobial humoral response","ANTIMICROBIAL HUMORAL RESPONSE","Infection only"
"234","AZU1","Infection",6,"Cellular extravasation","CELLULAR EXTRAVASATION","Infection only"
"235","AZU1","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"236","AZU1","Infection",6,"Chemotaxis, Macrophage","MACROPHAGE CHEMOTAXIS","Infection only"
"237","AZU1","Infection",6,"Activation, Microglial cell","MICROGLIAL CELL ACTIVATION","Infection only"
"238","AZU1","Infection",6,"Activation, Monocyte","MONOCYTE ACTIVATION","Infection only"
"239","AZU1","Infection",6,"Monocytes","MONOCYTES","Infection only"
"240","AZU1","Infection",6,"Neutrophil","NEUTROPHIL","Infection only"
"241","AZU1","Infection",6,"Killing of bacterium, Neutrophil","NEUTROPHIL-MEDIATED KILLING OF BACTERIUM","Infection only"
"242","B2M","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"243","B2M","Infection",2,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"244","B2M","Infection",2,"APP, MHC I, endogenous peptide","ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","Infection only"
"245","B2M","Infection",2,"APP, MHC II, exogenous peptide","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II","Infection only"
"246","B2M","Infection",2,"APP, MHC IB, exogenous peptide, TAP-dependent","ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PROTEIN ANTIGEN VIA MHC CLASS IB, TAP-DEPENDENT","Infection only"
"247","B2M","Infection",2,"APP, MHC I, Peptide antigen","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","Infection only"
"248","B2M","Infection",2,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"249","B2M","Infection",2,"Antigen recognition processing and presentation","ARPP","Infection only"
"250","B2M","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"251","B2M","Infection",2,"Immune response","IMMUNE RESPONSE","Infection only"
"252","B2M","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"253","B2M","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"254","B2M","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"255","B2M","Infection",2,"MHCII, Peptide complex","PEPTIDE ANTIGEN ASSEMBLY WITH MHC CLASS II PROTEIN COMPLEX","Infection only"
"256","B2M","Infection",2,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"257","B2M","Infection",2,"T cell-mediated cytotoxicity","T CELL MEDIATED CYTOTOXICITY","Infection only"
"258","B2M","Infection",2,"T cells","T CELLS","Infection only"
"259","B2M","Infection",2,NA,"POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY","Infection only"
"260","B2M","Infection",2,NA,"IMMUNOGLOBULIN PRODUCTION INVOLVED IN IMMUNOGLOBULIN-MEDIATED IMMUNE RESPONSE","Infection only"
"261","B2M","Infection",2,NA,"POSITIVE REGULATION OF T CELL CYTOKINE PRODUCTION","Infection only"
"262","B2M","Infection",2,NA,"REGULATION OF ERYTHROCYTE DIFFERENTIATION","Infection only"
"263","B2M","Infection",2,NA,"POSITIVE REGULATION OF T CELL ACTIVATION","Infection only"
"264","B4GALT1","Infection",1,"Macrophages","MACROPHAGES","Infection only"
"265","B4GALT1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"266","B4GALT1","Infection",1,"Migration, Macrophage","MACROPHAGE MIGRATION","Infection only"
"267","BACH2","Infection",4,NA,"PRIMARY ADAPTIVE IMMUNE RESPONSE INVOLVING T CELLS AND B CELLS","Infection only"
"268","BAD","Infection",1,NA,"POSITIVE REGULATION OF B CELL DIFFERENTIATION","Infection only"
"269","BAD","Infection",1,NA,"POSITIVE REGULATION OF T CELL DIFFERENTIATION","Infection only"
