"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","condition"
"GO:0042254","ribosome biogenesis","82/2882","325/18870",1.76666395246057e-06,0.00974843023658372,0.00974843023658372,"KRI1/MDN1/URB1/ZNHIT6/DDX31/NOP14/NAT10/NLE1/SRFBP1/METTL16/BMS1/DHX30/MRPL44/DDX10/RRP1B/RPLP0/PDCD11/RRS1/WDR3/RPL26L1/MTERF4/METTL17/EXOSC7/HABP4/UTP20/NVL/RRP9/DROSHA/LAS1L/HEATR1/RPS23/NOB1/EMG1/WDR75/RRP15/MYBBP1A/RRP7BP/RBFA/NOM1/RPL7L1/RPL10/C1D/PELP1/SDAD1/NSUN5P1/RPL10A/TRMT61B/RPS8/RIOK2/RPL23A/NSUN5P2/NPM1/GEMIN4/RPS27/ABCE1/EXOSC2/RPUSD2/ZNF658/FBL/UTP3/EIF5B/RPS4X/ESF1/DDX51/RPL5/NUP88/RPS5/MTERF3/USP36/TSR1/FASTKD2/RPP30/PPAN/NOP10/NOL9/WDR43/MRM1/BOP1/NOP58/ERI1/MRPS2/DDX54",82,"BNT-I (D10, mild)"
"GO:0034470","ncRNA processing","103/2882","439/18870",3.40140622351142e-06,0.00974843023658372,0.00974843023658372,"KRI1/WDR6/URB1/ZNHIT6/NOP14/NAT10/SRFBP1/METTL16/BMS1/TSEN54/MRPL44/DDX10/RRP1B/TSEN2/PDCD11/RRS1/WDR3/PIWIL4/WDR4/TDRD7/MTERF4/OSGEPL1/TRUB1/EXOSC7/TSNAX/METTL2A/UTP20/ELP2/NVL/RRP9/DROSHA/LAS1L/TRMT10B/HEATR1/NOB1/EMG1/USB1/WDR75/ALKBH8/TDRKH/RRP15/TRMT13/RRP7BP/RBFA/RPL7L1/TYW3/C1D/PELP1/ADAT2/NSUN5P1/RPL10A/TRMT61B/RPS8/RIOK2/CLP1/ELP3/NSUN5P2/TRMT2A/TRUB2/GEMIN4/RPS27/EXOSC2/RPUSD2/METTL2B/FBL/UTP3/TRMT12/TDRD9/INTS2/ESF1/TRMT10C/TSEN34/DDX51/RPL5/ANKRD16/DPH3/DTWD2/TRMT61A/TP53RK/POP1/FAM98B/USP36/TSR1/PIWIL2/RPP30/PPAN/NOP10/NOL9/TARBP1/WDR43/MRM1/ANKRD34A/BOP1/TRMT1/PUS7/TRMT5/NOP58/NSUN6/ERI1/DDX54/QTRT1/METTL8/AGO4",103,"BNT-I (D10, mild)"
"GO:0016072","rRNA metabolic process","66/2882","264/18870",2.36965776329214e-05,0.0295850843122115,0.0295850843122115,"KRI1/URB1/ZNHIT6/BRF1/NOP14/NAT10/SRFBP1/METTL16/BMS1/MRPL44/DDX10/POLR1E/RRP1B/PDCD11/RRS1/WDR3/MTERF4/EXOSC7/UTP20/NVL/RRP9/DROSHA/LAS1L/HEATR1/NOB1/EMG1/WDR75/DEDD/DIS3L/RRP15/DDX11/RRP7BP/POLR1B/RBFA/RPL7L1/C1D/PELP1/NSUN5P1/RPL10A/TRMT61B/RPS8/RIOK2/NSUN5P2/GEMIN4/RPS27/EXOSC2/RPUSD2/FBL/UTP3/ESF1/DDX51/RPL5/USP36/TSR1/RPP30/SLFN13/PPAN/NOP10/NOL9/WDR43/MRM1/BOP1/NOP58/ERI1/DDX54/XRN1",66,"BNT-I (D10, mild)"
"GO:0030488","tRNA methylation","18/2882","43/18870",2.50294291529348e-05,0.0295850843122115,0.0295850843122115,"WDR6/WDR4/METTL2A/TRMT10B/ALKBH8/TRMT13/TYW3/TRMT61B/TRMT2A/METTL2B/TRMT12/TRMT10C/TRMT61A/TARBP1/TRMT1/TRMT5/NSUN6/METTL8",18,"BNT-I (D10, mild)"
"GO:0006364","rRNA processing","58/2882","225/18870",2.81244067732683e-05,0.0295850843122115,0.0295850843122115,"KRI1/URB1/ZNHIT6/NOP14/NAT10/SRFBP1/METTL16/BMS1/MRPL44/DDX10/RRP1B/PDCD11/RRS1/WDR3/MTERF4/EXOSC7/UTP20/NVL/RRP9/DROSHA/LAS1L/HEATR1/NOB1/EMG1/WDR75/RRP15/RRP7BP/RBFA/RPL7L1/C1D/PELP1/NSUN5P1/RPL10A/TRMT61B/RPS8/RIOK2/NSUN5P2/GEMIN4/RPS27/EXOSC2/RPUSD2/FBL/UTP3/ESF1/DDX51/RPL5/USP36/TSR1/RPP30/PPAN/NOP10/NOL9/WDR43/MRM1/BOP1/NOP58/ERI1/DDX54",58,"BNT-I (D10, mild)"
"GO:0061512","protein localization to cilium","25/2882","72/18870",3.53008337580177e-05,0.0295850843122115,0.0295850843122115,"RAB11FIP3/TULP3/CC2D2B/CCDC66/TCTN2/CROCC/TUB/RAB11A/SNX10/CFAP58/CDK20/TBC1D32/CCDC39/IFT20/DYNC2H1/FSIP2/ARF4/ASAP1/ROM1/ARL6/TULP2/INPP5E/ROPN1B/IFT140/TCTN1",25,"BNT-I (D10, mild)"
"GO:0006399","tRNA metabolic process","52/2882","197/18870",3.61297261314516e-05,0.0295850843122115,0.0295850843122115,"WDR6/BRF1/EARS2/MARS2/NAT10/AARS2/LARS2/TSEN54/TSEN2/WDR4/OSGEPL1/TRUB1/EXOSC7/METTL2A/ELP2/TRMT10B/ALKBH8/TRMT13/TYW3/ADAT2/TRMT61B/CLP1/ELP3/TRMT2A/YARS2/TRUB2/EXOSC2/SARS2/METTL2B/DTD2/TRMT12/TRMT10C/TSEN34/ANKRD16/QRSL1/DPH3/VARS2/DTWD2/TRMT61A/TP53RK/POP1/FAM98B/NARS2/RPP30/SLFN13/TARBP1/TRMT1/PUS7/TRMT5/NSUN6/QTRT1/METTL8",52,"BNT-I (D10, mild)"
"GO:0007088","regulation of mitotic nuclear division","42/2854","118/18870",3.0978516726707e-08,0.000180511816966521,0.000174947097093456,"AURKB/ESPL1/CDCA8/BIRC5/CDC20/CDCA2/NEK2/BUB1/DLGAP5/NUF2/SMPD3/CCNB1/NUSAP1/SPC25/BUB1B/CDC25C/TRIP13/MKI67/UBE2C/MAD2L1BP/ZWINT/PLK1/NDC80/EREG/TTK/L3MBTL1/CHEK1/PKMYT1/SPC24/MTBP/FBXO43/MAD2L1/TGFA/DUSP1/CENPF/INSR/AURKA/CAV2/IGF1/TOM1L1/EGF/PRMT5",42,"BNT-I (D10, severe)"
"GO:0000280","nuclear division","109/2854","441/18870",7.03933937450516e-08,0.000205091152676208,0.000198768714443264,"ANLN/AURKB/CDCA5/ESPL1/CDCA8/PTEN/DCTN2/BIRC5/KIF4A/CDC20/CCNA1/CDCA2/KIF14/NEK2/BUB1/KLHDC8B/TPX2/M1AP/DLGAP5/NUF2/SMPD3/KIF18B/TDRKH/KIF23/CCNB1/MAP9/CHMP2B/NUSAP1/SPC25/KIFC1/DIS3L2/BUB1B/KIF2C/CDC25B/CDC25C/TRIP13/MKI67/ASPM/UBE2B/RAD51AP1/UBE2C/SPAG5/MAD2L1BP/CDK1/ZWINT/PTTG2/CKS2/MYBL1/KIF11/PLK1/NDC80/NPR2/EREG/TTK/UBXN2B/L3MBTL1/MND1/NCAPG/BRCA2/TOP2A/DMC1/RAD51/KIFC2/CHEK1/NCAPH/PKMYT1/P3H4/CDC14A/NSFL1C/SPC24/MTBP/MYBL2/CDT1/ING2/TDRD9/CENPE/FBXO43/MAD2L1/TGFA/CHMP2A/DUSP1/CHMP7/ANKRD31/CENPF/PTTG1/SYCE2/KCTD19/INSR/PIWIL2/PHF13/AURKA/CAV2/IGF1/TOM1L1/REC8/EGF/RAD54L/SPIRE2/BTBD18/PRMT5/DMRTC2/RNF212/NFIB/AURKC/RMI1/MEIOB/ZNF541/ARHGEF10/PDE3A",109,"BNT-I (D10, severe)"
"GO:0051783","regulation of nuclear division","47/2854","146/18870",1.66413672772449e-07,0.000323230823748354,0.000313266440148839,"AURKB/ESPL1/CDCA8/BIRC5/CDC20/CDCA2/NEK2/BUB1/DLGAP5/NUF2/SMPD3/CCNB1/NUSAP1/SPC25/BUB1B/CDC25C/TRIP13/MKI67/UBE2B/RAD51AP1/UBE2C/MAD2L1BP/ZWINT/PLK1/NDC80/NPR2/EREG/TTK/L3MBTL1/CHEK1/PKMYT1/SPC24/MTBP/FBXO43/MAD2L1/TGFA/DUSP1/CENPF/INSR/PIWIL2/AURKA/CAV2/IGF1/TOM1L1/EGF/PRMT5/PDE3A",47,"BNT-I (D10, severe)"
"GO:0140014","mitotic nuclear division","74/2854","274/18870",2.39300388606029e-07,0.000348600841101833,0.000337854364439828,"ANLN/AURKB/CDCA5/ESPL1/CDCA8/DCTN2/BIRC5/KIF4A/CDC20/CDCA2/KIF14/NEK2/BUB1/KLHDC8B/TPX2/DLGAP5/NUF2/SMPD3/KIF18B/KIF23/CCNB1/MAP9/CHMP2B/NUSAP1/SPC25/KIFC1/DIS3L2/BUB1B/KIF2C/CDC25C/TRIP13/MKI67/UBE2C/SPAG5/MAD2L1BP/CDK1/ZWINT/KIF11/PLK1/NDC80/EREG/TTK/UBXN2B/L3MBTL1/NCAPG/KIFC2/CHEK1/NCAPH/PKMYT1/CDC14A/NSFL1C/SPC24/MTBP/MYBL2/CDT1/CENPE/FBXO43/MAD2L1/TGFA/CHMP2A/DUSP1/CHMP7/CENPF/INSR/PHF13/AURKA/CAV2/IGF1/TOM1L1/EGF/PRMT5/NFIB/AURKC/ARHGEF10",74,"BNT-I (D10, severe)"
"GO:0048285","organelle fission","112/2854","488/18870",2.45136166142218e-06,0.0028568168802214,0.00276874848705894,"ANLN/AURKB/CDCA5/ESPL1/CDCA8/PTEN/DCTN2/BIRC5/KIF4A/CDC20/CCNA1/CDCA2/KIF14/NEK2/BUB1/KLHDC8B/TPX2/M1AP/DLGAP5/NUF2/SMPD3/KIF18B/TDRKH/KIF23/CCNB1/MAP9/CHMP2B/NUSAP1/SPC25/KIFC1/DIS3L2/BUB1B/KIF2C/CDC25B/CDC25C/TRIP13/MKI67/ASPM/UBE2B/RAD51AP1/MTFR2/UBE2C/SPAG5/MAD2L1BP/CDK1/ZWINT/MCU/PTTG2/CKS2/MYBL1/KIF11/PLK1/NDC80/NPR2/EREG/TTK/UBXN2B/L3MBTL1/MND1/NCAPG/BRCA2/TOP2A/DMC1/RAD51/KIFC2/CHEK1/NCAPH/PKMYT1/P3H4/CDC14A/NSFL1C/SPC24/MTBP/MYBL2/CDT1/ING2/TDRD9/CENPE/FBXO43/MAD2L1/TGFA/CHMP2A/DUSP1/CHMP7/ANKRD31/CENPF/PTTG1/SYCE2/KCTD19/INSR/PIWIL2/PHF13/AURKA/CAV2/IGF1/TOM1L1/REC8/EGF/RAD54L/SPIRE2/BTBD18/PRMT5/DMRTC2/RNF212/NFIB/AURKC/MTFP1/RMI1/MEIOB/ZNF541/ARHGEF10/PDE3A",112,"BNT-I (D10, severe)"
"GO:0045839","negative regulation of mitotic nuclear division","22/2854","56/18870",9.46099258966141e-06,0.00755896778216004,0.00732594404474427,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/CHEK1/SPC24/MTBP/MAD2L1/DUSP1/CENPF/TOM1L1",22,"BNT-I (D10, severe)"
"GO:0051304","chromosome separation","28/2854","81/18870",1.12026904619263e-05,0.00755896778216004,0.00732594404474427,"AURKB/ESPL1/CDCA8/BIRC5/CDC20/BUB1/M1AP/DLGAP5/NUF2/CCNB1/SPC25/PLSCR1/DIS3L2/BUB1B/TRIP13/UBE2C/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SMARCAD1/NCAPG/NCAPH/SPC24/MAD2L1/DUSP1/CENPF",28,"BNT-I (D10, severe)"
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","46/2854","163/18870",1.2643916801718e-05,0.00755896778216004,0.00732594404474427,"AURKB/ESPL1/CDCA8/DCTN2/BIRC5/KIF4A/CDC20/NEK2/TPX2/DLGAP5/NUF2/KIF23/CCNB1/MAP9/CHMP2B/NUSAP1/SPC25/KIFC1/PKD1/CENPA/CDK1/SPRY2/KIF11/PLK1/NDC80/TTK/UBXN2B/CEP126/STIL/PLK2/KIFC2/NSFL1C/MYBL2/PAX6/INSC/CENPE/MAD2L1/CHMP2A/CHMP7/AURKA/GPSM1/WDR62/AURKC/STMN1/ARHGEF10/GNAI1",46,"BNT-I (D10, severe)"
"GO:0098869","cellular oxidant detoxification","32/2854","99/18870",1.34892474345473e-05,0.00755896778216004,0.00732594404474427,"TXN/GSTO1/PRDX6/DUOX1/ALOX5AP/TP53INP1/GSTO2/LPO/TXNDC17/MGST1/GSR/TXNRD3/PRDX5/SRXN1/SESN2/GPX1/UBIAD1/HBA1/PTGS1/APOM/PRDX4/HBA2/GSTM2/TXNDC2/FBLN5/GSTA1/NOS3/PTGS2/DUOX2/APOE/CYGB/HBB",32,"BNT-I (D10, severe)"
"GO:0007094","mitotic spindle assembly checkpoint signaling","19/2854","46/18870",1.63436635881649e-05,0.00755896778216004,0.00732594404474427,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0071173","spindle assembly checkpoint signaling","19/2854","46/18870",1.63436635881649e-05,0.00755896778216004,0.00732594404474427,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0071174","mitotic spindle checkpoint signaling","19/2854","46/18870",1.63436635881649e-05,0.00755896778216004,0.00732594404474427,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0000070","mitotic sister chromatid segregation","50/2854","184/18870",1.69104034833388e-05,0.00755896778216004,0.00732594404474427,"AURKB/CDCA5/ESPL1/CDCA8/DCTN2/BIRC5/KIF4A/CDC20/KIF14/NEK2/BUB1/TPX2/DLGAP5/NUF2/KIF18B/KIF23/CCNB1/MAP9/CHMP2B/NUSAP1/SPC25/KIFC1/DIS3L2/BUB1B/KIF2C/TRIP13/UBE2C/SPAG5/MAD2L1BP/CDK1/ZWINT/KIF11/PLK1/NDC80/TTK/NCAPG/KIFC2/NCAPH/SPC24/MYBL2/CDT1/CENPE/MAD2L1/CHMP2A/DUSP1/CHMP7/CENPF/PHF13/AURKC/ARHGEF10",50,"BNT-I (D10, severe)"
"GO:0051306","mitotic sister chromatid separation","23/2854","62/18870",1.8161240595545e-05,0.00755896778216004,0.00732594404474427,"AURKB/ESPL1/CDCA8/BIRC5/CDC20/BUB1/DLGAP5/NUF2/CCNB1/SPC25/DIS3L2/BUB1B/TRIP13/UBE2C/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",23,"BNT-I (D10, severe)"
"GO:1990748","cellular detoxification","36/2854","119/18870",2.10513706783787e-05,0.00766932161806805,0.00743289595276708,"TXN/GSTO1/PRDX6/DUOX1/ALOX5AP/TP53INP1/GSTO2/LPO/TXNDC17/MGST1/GSR/TXNRD3/LANCL1/PRDX5/SRXN1/SESN2/GPX1/UBIAD1/HBA1/PTGS1/APOM/PRDX4/HBA2/GSTM2/TXNDC2/FBLN5/GSTA1/NOS3/ABCG2/PTGS2/ALDH1A1/GSTM3/DUOX2/APOE/CYGB/HBB",36,"BNT-I (D10, severe)"
"GO:0031577","spindle checkpoint signaling","19/2854","47/18870",2.35632780747587e-05,0.00766932161806805,0.00743289595276708,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0051784","negative regulation of nuclear division","23/2854","63/18870",2.45392922011401e-05,0.00766932161806805,0.00743289595276708,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/CHEK1/SPC24/MTBP/FBXO43/MAD2L1/DUSP1/CENPF/TOM1L1",23,"BNT-I (D10, severe)"
"GO:0010965","regulation of mitotic sister chromatid separation","22/2854","59/18870",2.50074522734563e-05,0.00766932161806805,0.00743289595276708,"AURKB/ESPL1/CDCA8/BIRC5/CDC20/BUB1/DLGAP5/NUF2/CCNB1/SPC25/BUB1B/TRIP13/UBE2C/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",22,"BNT-I (D10, severe)"
"GO:0007264","small GTPase mediated signal transduction","108/2854","491/18870",2.63545621072389e-05,0.00766932161806805,0.00743289595276708,"P2RY10/RHOT1/FGD4/RASGEF1A/SRGAP3/SIPA1L2/KIF14/DOCK9/ARHGAP29/AMOT/ABCA1/ARHGAP32/IQGAP3/SRGAP2/CCNA2/CCDC88C/RALGAPA2/SH2D3A/RALB/OBSCN/PLEKHG4/RAPGEF6/SYNJ2BP/ARHGAP35/SYNGAP1/SPRY2/STMN3/MYO9A/ARHGEF9/RASA4/GABARAP/PLEKHG5/DHCR24/FLCN/MCF2L/GPR17/GNA13/RASA3/SCAI/AUTS2/RAB33B/RASGRF2/RAP1A/FGD1/PLK2/RAB39B/CTNNAL1/GARNL3/CDC42EP3/KBTBD6/DOK3/RAPGEFL1/ARHGAP5/PLD1/DENND3/DOK6/RGL1/GRAP/CDON/RAB9B/ABI2/ARHGAP26/WASF1/RIT1/FLOT1/ARHGAP23/RASA4B/TIAM1/ROPN1B/RGS19/IGF1/LPAR6/DOCK6/RGL3/ADGRG1/LPAR2/MRAS/ARHGEF40/ARHGAP24/DAB1/PLEKHG4B/ARHGEF4/KANK1/DOK4/SIPA1L3/RASGRP4/NRP1/ROBO1/MET/ADRA2A/DOCK1/ARHGAP22/ARFGEF3/GPR20/RHOBTB1/CHN1/FRMD7/DOCK4/RHOF/STMN1/SYDE2/GPR55/RANGRF/ARHGEF10/ARHGEF25/RHOV/APOE/KNDC1",108,"BNT-I (D10, severe)"
"GO:0071466","cellular response to xenobiotic stimulus","51/2854","192/18870",2.73882574627404e-05,0.00766932161806805,0.00743289595276708,"PCNA/GSTO1/ABCA1/SLC28A3/ABCC2/SLCO2B1/ACSL1/CYP3A5/RNF149/GSTO2/UGT2B11/SLC22A1/ABCB1/N6AMT1/UMPS/LPO/E2F1/FMO4/CYP1A1/SULT1A1/ACER2/PAX6/CYP46A1/AOX1/UGT2B28/ITGB3/UCHL1/CYP2U1/SLC29A1/CBR3/CYP3A4/GSTA4/CYP26A1/CYP2E1/KCNQ3/GSTM2/ABCB11/SLC28A2/KCNH2/CYP1A2/GSTA1/CYP2S1/KCNE2/MYC/SULT1B1/AKR1C1/KCNC1/ACSM1/GSTM3/CYP2J2/HTR1B",51,"BNT-I (D10, severe)"
"GO:0007605","sensory perception of sound","44/2854","158/18870",2.7639566497242e-05,0.00766932161806805,0.00743289595276708,"TIMM10/BIRC5/CLIC5/SLC1A3/KCNE1/RPL38/TIMM8B/LRIG1/LOXHD1/HPN/DDIT3/MYO6/SPRY2/POMGNT1/CDKN2D/NPR2/MIR342/MYO7A/OTOF/STRC/CDC14A/USP53/GPX1/GRAP/TUB/ESPN/LRP2/ZNF354A/PAX3/TMIE/KCNQ3/GJB6/SOBP/NAV2/ATP2B2/CLRN1/LHFPL3/TSPEAR/PDZD7/LHFPL4/DCDC2/FZD4/TMC2/ALDH7A1",44,"BNT-I (D10, severe)"
"GO:0033046","negative regulation of sister chromatid segregation","19/2854","48/18870",3.35017396988322e-05,0.0078085854890038,0.0075678666730204,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0033048","negative regulation of mitotic sister chromatid segregation","19/2854","48/18870",3.35017396988322e-05,0.0078085854890038,0.0075678666730204,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","19/2854","48/18870",3.35017396988322e-05,0.0078085854890038,0.0075678666730204,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:2000816","negative regulation of mitotic sister chromatid separation","19/2854","48/18870",3.35017396988322e-05,0.0078085854890038,0.0075678666730204,"AURKB/CDCA8/BIRC5/CDC20/BUB1/NUF2/CCNB1/SPC25/BUB1B/TRIP13/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/SPC24/MAD2L1/DUSP1/CENPF",19,"BNT-I (D10, severe)"
"GO:0000819","sister chromatid segregation","57/2854","225/18870",4.21162117838701e-05,0.00943889100248505,0.0091479140170228,"SMARCD3/CDC6/AURKB/CDCA5/ESPL1/CDCA8/DCTN2/BIRC5/KIF4A/RMI2/CDC20/KIF14/NEK2/BUB1/TPX2/DLGAP5/NUF2/KIF18B/KIF23/CCNB1/MAP9/CHMP2B/NUSAP1/SPC25/KIFC1/DIS3L2/BUB1B/KIF2C/TRIP13/UBE2C/SPAG5/MAD2L1BP/CDK1/ZWINT/HECW2/KIF11/PLK1/NDC80/TTK/NCAPG/TOP2A/KIFC2/NCAPH/PHF10/SPC24/MYBL2/CDT1/CENPE/MAD2L1/CHMP2A/DUSP1/CHMP7/CENPF/PHF13/BCL7C/AURKC/ARHGEF10",57,"BNT-I (D10, severe)"
"GO:0097237","cellular response to toxic substance","37/2854","128/18870",4.89702724576927e-05,0.010130794653319,0.0098184880393552,"TXN/PTPN13/GSTO1/PRDX6/DUOX1/ALOX5AP/TP53INP1/GSTO2/LPO/TXNDC17/MGST1/GSR/TXNRD3/LANCL1/PRDX5/SRXN1/SESN2/GPX1/UBIAD1/HBA1/PTGS1/APOM/PRDX4/HBA2/GSTM2/TXNDC2/FBLN5/GSTA1/NOS3/ABCG2/PTGS2/ALDH1A1/GSTM3/DUOX2/APOE/CYGB/HBB",37,"BNT-I (D10, severe)"
"GO:0051302","regulation of cell division","49/2854","186/18870",4.90004433113098e-05,0.010130794653319,0.0098184880393552,"CDC6/PTCH1/AURKB/CDCA8/BIRC5/SH3GLB1/E2F8/KIF14/POU5F1/RAB11FIP3/SFRP2/KIF18B/KIF23/MAP9/CDC25B/ASPM/NAP1L2/ZZZ3/LBH/ZNF16/FLCN/PLK1/E2F7/TXNIP/EREG/GIPC1/MLLT3/KIF20A/BRCA2/FGF9/CIT/FGFR2/CDC14A/TGFB3/CENPV/PAX6/INSC/TGFA/VEGFB/AURKA/EVI2B/OR2A4/SMYD5/SFN/KLHL13/VEGFC/AURKC/MYC/PDGFD",49,"BNT-I (D10, severe)"
"GO:1905818","regulation of chromosome separation","25/2854","74/18870",5.0419262904797e-05,0.010130794653319,0.0098184880393552,"AURKB/ESPL1/CDCA8/BIRC5/CDC20/BUB1/DLGAP5/NUF2/CCNB1/SPC25/PLSCR1/BUB1B/TRIP13/UBE2C/MAD2L1BP/ZWINT/PLK1/NDC80/TTK/NCAPG/NCAPH/SPC24/MAD2L1/DUSP1/CENPF",25,"BNT-I (D10, severe)"
"GO:0098754","detoxification","43/2854","158/18870",6.12840641208762e-05,0.0111264574086041,0.0107834570460851,"TXN/GSTO1/PRDX6/DUOX1/ALOX5AP/MT2A/MT1X/TP53INP1/GSTO2/SLC30A1/ABCB1/MT1F/LPO/TXNDC17/MGST1/GSR/TXNRD3/LANCL1/PRDX5/SRXN1/SESN2/GPX1/UBIAD1/HBA1/PTGS1/APOM/PRDX4/HBA2/GSTM2/TXNDC2/FBLN5/GSTA1/ATP7B/NOS3/ABCG2/SLC22A18/PTGS2/ALDH1A1/GSTM3/DUOX2/APOE/CYGB/HBB",43,"BNT-I (D10, severe)"
