"","condition","genes"
"267","CN54GP140 (D1)","TMSB4X"
"268","CN54GP140 (D1)","TTC30A"
"269","CN54GP140 (D1)","ZNF160"
"270","CN54GP140 (D1)","ZNF320"
"271","CN54GP140 (D1)","ZNF93"
"272","CN54GP140 (D1)","ACD"
"273","CN54GP140 (D1)","ACLY"
"274","CN54GP140 (D1)","ACO2"
"275","CN54GP140 (D1)","ACTB"
"276","CN54GP140 (D1)","ADD1"
"277","CN54GP140 (D1)","GRK2"
"278","CN54GP140 (D1)","AFF4"
"279","CN54GP140 (D1)","ANTXR2"
"280","CN54GP140 (D1)","ARAP1"
"281","CN54GP140 (D1)","ARF1"
"282","CN54GP140 (D1)","ARF3"
"283","CN54GP140 (D1)","ARHGAP1"
"284","CN54GP140 (D1)","ARHGAP30"
"285","CN54GP140 (D1)","ARID3A"
"286","CN54GP140 (D1)","ARPC4"
"287","CN54GP140 (D1)","ATP6AP1"
"288","CN54GP140 (D1)","ATP6V1B2"
"289","CN54GP140 (D1)","BANP"
"290","CN54GP140 (D1)","BABAM2"
"291","CN54GP140 (D1)","MIDEAS"
"292","CN54GP140 (D1)","CACNA1S"
"293","CN54GP140 (D1)","CAP1"
"294","CN54GP140 (D1)","CLASP1"
"295","CN54GP140 (D1)","CREBBP"
"296","CN54GP140 (D1)","CTCF"
"297","CN54GP140 (D1)","DPEP2"
"298","CN54GP140 (D1)","DPF2"
"299","CN54GP140 (D1)","DVL3"
"300","CN54GP140 (D1)","FBXL18"
"301","CN54GP140 (D1)","FLII"
"302","CN54GP140 (D1)","FOXJ3"
"303","CN54GP140 (D1)","FRA10AC1"
"304","CN54GP140 (D1)","GALNT10"
"305","CN54GP140 (D1)","GBA1"
"306","CN54GP140 (D1)","WLS"
"307","CN54GP140 (D1)","GRK6"
"308","CN54GP140 (D1)","HARS2"
"309","CN54GP140 (D1)",NA
"310","CN54GP140 (D1)","HGS"
"311","CN54GP140 (D1)","HNRNPK"
"312","CN54GP140 (D1)","IDH3B"
"313","CN54GP140 (D1)","LAMP1"
"314","CN54GP140 (D1)","LAPTM5"
"315","CN54GP140 (D1)","LASP1"
"316","CN54GP140 (D1)","MAST3"
"317","CN54GP140 (D1)","KMT2D"
"318","CN54GP140 (D1)","MTMR3"
"319","CN54GP140 (D1)","KAT6A"
"320","CN54GP140 (D1)","NDRG3"
"321","CN54GP140 (D1)","PGD"
"322","CN54GP140 (D1)","PPP1CA"
"323","CN54GP140 (D1)","PRRC2C"
"324","CN54GP140 (D1)","RABGEF1"
"325","CN54GP140 (D1)","RALY"
"326","CN54GP140 (D1)","RASSF5"
"327","CN54GP140 (D1)","RCSD1"
"328","CN54GP140 (D1)","RIC8A"
"329","CN54GP140 (D1)","MAP7D1"
"330","CN54GP140 (D1)","SAP130"
"331","CN54GP140 (D1)","SEC16A"
"332","CN54GP140 (D1)","SEC23B"
"333","CN54GP140 (D1)","SF3B2"
"334","CN54GP140 (D1)","SH2D3C"
"335","CN54GP140 (D1)","SON"
"336","CN54GP140 (D1)","SORL1"
"337","CN54GP140 (D1)","SPEN"
"338","CN54GP140 (D1)","SRRM1"
"339","CN54GP140 (D1)","STK24"
"340","CN54GP140 (D1)","STK4"
"341","CN54GP140 (D1)","STX2"
"342","CN54GP140 (D1)","TAF4"
"343","CN54GP140 (D1)","TBC1D22A"
"344","CN54GP140 (D1)","UBA1"
"345","CN54GP140 (D1)","UPF1"
"346","CN54GP140 (D1)","VPS8"
"347","CN54GP140 (D1)","WDR1"
"348","CN54GP140 (D1)","YWHAZ"
"349","CN54GP140 (D1)","ZAN"
"350","CN54GP140 (D1)","ZNF106"
"351","CN54GP140 (D1)","ZNF341"
"352","CN54GP140 (D3)","AFF4"
"353","CN54GP140 (D3)","AMDHD2"
"354","CN54GP140 (D3)","ARAP3"
"355","CN54GP140 (D3)","ARPC1B"
"356","CN54GP140 (D3)","ATG4B"
"357","CN54GP140 (D3)","ATP6V1A"
"358","CN54GP140 (D3)","TTI2"
"359","CN54GP140 (D3)","ZNG1F"
"360","CN54GP140 (D3)","CHMP2A"
"361","CN54GP140 (D3)","DNAJB12"
"362","CN54GP140 (D3)","DNTTIP1"
"363","CN54GP140 (D3)","DPEP2"
"364","CN54GP140 (D3)","WLS"
"365","CN54GP140 (D3)","HBP1"
"366","CN54GP140 (D3)","KCTD2"
"367","CN54GP140 (D3)","MAEA"
"368","CN54GP140 (D3)","MAPRE1"
"369","CN54GP140 (D3)","NUDT5"
"370","CN54GP140 (D3)","OSTF1"
"371","CN54GP140 (D3)","PARN"
"372","CN54GP140 (D3)","PGAM1"
"373","CN54GP140 (D3)","PPP1CA"
"374","CN54GP140 (D3)","PSMC1"
"375","CN54GP140 (D3)","PSMD13"
"376","CN54GP140 (D3)","RAB7A"
"377","CN54GP140 (D3)","RAI2"
"378","CN54GP140 (D3)","S100A4"
"379","CN54GP140 (D3)","SCAND1"
"380","CN54GP140 (D3)","TMLHE"
"381","CN54GP140 (D3)","TRIM63"
"382","CN54GP140 (D3)","ZAN"
"383","CN54GP140 (D3)","AMY1B"
"384","CN54GP140 (D3)","BCAN"
"385","CN54GP140 (D3)","BMP8B"
"386","CN54GP140 (D3)","MROH8"
"387","CN54GP140 (D3)","CAMK1G"
"388","CN54GP140 (D3)","CASTOR1"
"389","CN54GP140 (D3)","SPICE1"
"390","CN54GP140 (D3)","COL6A3"
"391","CN54GP140 (D3)","EML2"
"392","CN54GP140 (D3)","RTL8B"
"393","CN54GP140 (D3)","FRMPD2B"
"394","CN54GP140 (D3)","G6PC1"
"395","CN54GP140 (D3)","GCK"
"396","CN54GP140 (D3)","GDF1"
"397","CN54GP140 (D3)","HBE1"
"398","CN54GP140 (D3)","IGFBP1"
"399","CN54GP140 (D3)","ING3"
"400","CN54GP140 (D3)","CLUH"
"401","CN54GP140 (D3)","LINC01618"
"402","CN54GP140 (D3)","MIR7-3HG"
"403","CN54GP140 (D3)","MPI"
"404","CN54GP140 (D3)","EEF1AKMT1"
"405","CN54GP140 (D3)","NECAP2"
"406","CN54GP140 (D3)","OR11A1"
"407","CN54GP140 (D3)","OR2A20P"
"408","CN54GP140 (D3)","PCYOX1"
"409","CN54GP140 (D3)","PKP2"
"410","CN54GP140 (D3)","RFX4"
"411","CN54GP140 (D3)","RNU4-1"
"412","CN54GP140 (D3)","RNU4-2"
"413","CN54GP140 (D3)","SCX"
"414","CN54GP140 (D3)","STAR"
"415","CN54GP140 (D3)","TMEM191A"
"416","CN54GP140 (D3)","TMEM70"
"417","CN54GP140 (D3)","TMSB4X"
"418","CN54GP140 (D3)","TTC30A"
"419","CN54GP140 (D3)","XRCC3"
"420","CN54GP140 (D3)","ZNF320"
"421","CN54GP140 (D3)","ZNF93"
"422","CN54GP140 (D7)","IDH3B"
"423","CN54GP140 (D7)","NUDT16L1"
"424","CN54GP140 (D7)","PAX2"
"425","CN54GP140 (D7)","PDXDC1"
"426","CN54GP140 (D7)","PRKCZ"
"427","CN54GP140 (D7)","SMPD2"
"428","CN54GP140 (D7)","UQCR10"
"429","CN54GP140 (D7)","ALDH8A1"
"430","CN54GP140 (D7)","ICA1L"
"431","CN54GP140 (D7)","AMY1B"
"432","CN54GP140 (D7)","BMP8B"
"433","CN54GP140 (D7)","C9orf64"
"434","CN54GP140 (D7)","CAMK2A"
"435","CN54GP140 (D7)","EXO5"
"436","CN54GP140 (D7)","DTNA"
"437","CN54GP140 (D7)","RTL8B"
"438","CN54GP140 (D7)","FRMPD2B"
"439","CN54GP140 (D7)","GGT2P"
"440","CN54GP140 (D7)","GOLGA6L7"
"441","CN54GP140 (D7)","HBE1"
"442","CN54GP140 (D7)","HECA"
"443","CN54GP140 (D7)","HSP90AA2P"
"444","CN54GP140 (D7)","HTR2A"
"445","CN54GP140 (D7)","IGFBP1"
"446","CN54GP140 (D7)","ING3"
"447","CN54GP140 (D7)","ITM2B"
"448","CN54GP140 (D7)","KCTD7"
"449","CN54GP140 (D7)","NME2"
"450","CN54GP140 (D7)","PCYOX1"
"451","CN54GP140 (D7)","RAD51"
"452","CN54GP140 (D7)","RASSF6"
"453","CN54GP140 (D7)","RFX4"
"454","CN54GP140 (D7)","SCX"
"455","CN54GP140 (D7)","SIGLEC6"
"456","CN54GP140 (D7)","SLC26A4-AS1"
"457","CN54GP140 (D7)","SOD2-OT1"
"458","CN54GP140 (D7)","STAR"
"459","CN54GP140 (D7)","TAOK3"
"460","CN54GP140 (D7)","TMEM156"
"461","CN54GP140 (D7)","TMEM191A"
"462","CN54GP140 (D7)","TMEM70"
"463","CN54GP140 (D7)","TMSB4X"
"464","CN54GP140 (D7)","TTC30A"
"465","CN54GP140 (D7)","ZNF160"
"466","CN54GP140 (D7)","ZNF320"
"467","CN54GP140 (D7)","ZNF568"
"468","CN54GP140 (D7)","ZNF93"
"469","CN54GP140 (H6)","ACTRT1"
"470","CN54GP140 (H6)","SLC35G6"
"471","CN54GP140 (H6)","ART1"
"472","CN54GP140 (H6)","ATP1A3"
"473","CN54GP140 (H6)","ATP6AP1L"
"474","CN54GP140 (H6)","B4GALT3"
"475","CN54GP140 (H6)","BDNF"
"476","CN54GP140 (H6)","MYG1"
"477","CN54GP140 (H6)","R3HDM4"
"478","CN54GP140 (H6)","C1QTNF2"
"479","CN54GP140 (H6)","HMCES"
"480","CN54GP140 (H6)","CMTM3"
"481","CN54GP140 (H6)","CRLF2"
"482","CN54GP140 (H6)","DDIT4"
"483","CN54GP140 (H6)","DDX19A"
"484","CN54GP140 (H6)","DNA2"
"485","CN54GP140 (H6)","DPF1"
"486","CN54GP140 (H6)","EXOG"
"487","CN54GP140 (H6)","ST13P4"
"488","CN54GP140 (H6)","FGF23"
"489","CN54GP140 (H6)","FKBP5"
"490","CN54GP140 (H6)","FRA10AC1"
"491","CN54GP140 (H6)","GFRA4"
"492","CN54GP140 (H6)","GMPPB"
"493","CN54GP140 (H6)","GOLGA8M"
"494","CN54GP140 (H6)","TPRA1"
"495","CN54GP140 (H6)","GUK1"
"496","CN54GP140 (H6)","HOXB6"
"497","CN54GP140 (H6)","HRH1"
"498","CN54GP140 (H6)","IDH3B"
"499","CN54GP140 (H6)","IGHMBP2"
"500","CN54GP140 (H6)","IRF3"
"501","CN54GP140 (H6)","ITPRIPL1"
"502","CN54GP140 (H6)","KCNJ10"
"503","CN54GP140 (H6)","LSP1"
"504","CN54GP140 (H6)","MED1"
"505","CN54GP140 (H6)","MEGF10"
"506","CN54GP140 (H6)","MEGF8"
"507","CN54GP140 (H6)","OR51D1"
"508","CN54GP140 (H6)","PDRG1"
"509","CN54GP140 (H6)","PMEPA1"
"510","CN54GP140 (H6)","PRDM9"
"511","CN54GP140 (H6)","PRR5"
"512","CN54GP140 (H6)","PSENEN"
"513","CN54GP140 (H6)","PTK6"
"514","CN54GP140 (H6)","PTPN7"
"515","CN54GP140 (H6)","RELL1"
"516","CN54GP140 (H6)","RFX5"
"517","CN54GP140 (H6)","RGS10"
"518","CN54GP140 (H6)","SAP30"
"519","CN54GP140 (H6)","SEPTIN5"
"520","CN54GP140 (H6)","SGCA"
"521","CN54GP140 (H6)","SLC25A39"
"522","CN54GP140 (H6)","SLC39A13"
"523","CN54GP140 (H6)","SPRYD3"
"524","CN54GP140 (H6)","TBC1D21"
"525","CN54GP140 (H6)","TSC22D3"
"526","CN54GP140 (H6)","UBB"
"527","CN54GP140 (H6)","UBL4A"
"528","CN54GP140 (H6)","UBXN6"
"529","CN54GP140 (H6)","ZNF580"
"530","CN54GP140 (H6)","AP1M2"
"531","CN54GP140 (H6)","ATG3"
"532","CN54GP140 (H6)","C4orf3"
"533","CN54GP140 (H6)","FAM200A"
"534","CN54GP140 (H6)","CIAO1"
"535","CN54GP140 (H6)","CREB1"
"536","CN54GP140 (H6)","NALF2"
"537","CN54GP140 (H6)","FUT6"
"538","CN54GP140 (H6)","FUT8-AS1"
"539","CN54GP140 (H6)","ING3"
"540","CN54GP140 (H6)","IPP"
"541","CN54GP140 (H6)","KIAA2026"
"542","CN54GP140 (H6)","KRR1"
"543","CN54GP140 (H6)","LYPLAL1"
"544","CN54GP140 (H6)","SLC25A51"
"545","CN54GP140 (H6)","MIR25"
"546","CN54GP140 (H6)","MYOF"
"547","CN54GP140 (H6)","NFKBIZ"
"548","CN54GP140 (H6)","OTP"
"549","CN54GP140 (H6)","PCYOX1"
"550","CN54GP140 (H6)","PHAX"
"551","CN54GP140 (H6)","PTGR2"
"552","CN54GP140 (H6)","PTPRO"
"553","CN54GP140 (H6)","RAB18"
"554","CN54GP140 (H6)","RAPSN"
"555","CN54GP140 (H6)","RASSF6"
"556","CN54GP140 (H6)","RPN2"
"557","CN54GP140 (H6)","SEM1"
"558","CN54GP140 (H6)","SLC4A4"
"559","CN54GP140 (H6)","SLU7"
"560","CN54GP140 (H6)","SPTY2D1"
"561","CN54GP140 (H6)","TAF15"
"562","CN54GP140 (H6)","TMSB4X"
"563","CN54GP140 (H6)","UFSP2"
"564","CN54GP140 (H6)","ZFYVE27"
"565","HIV-1 GAG-POL NEF (D1)","AAK1"
"566","HIV-1 GAG-POL NEF (D1)","ABCB1"
"567","HIV-1 GAG-POL NEF (D1)","ABCC5"
"568","HIV-1 GAG-POL NEF (D1)","ABCD2"
"569","HIV-1 GAG-POL NEF (D1)","ABHD14A"
"570","HIV-1 GAG-POL NEF (D1)","ABHD14B"
"571","HIV-1 GAG-POL NEF (D1)","ABI2"
"572","HIV-1 GAG-POL NEF (D1)","ABLIM1"
"573","HIV-1 GAG-POL NEF (D1)","ACADSB"
"574","HIV-1 GAG-POL NEF (D1)","ACO1"
"575","HIV-1 GAG-POL NEF (D1)","ACP6"
"576","HIV-1 GAG-POL NEF (D1)","ACSL6"
"577","HIV-1 GAG-POL NEF (D1)","ACVR2A"
"578","HIV-1 GAG-POL NEF (D1)","ACVR2B"
"579","HIV-1 GAG-POL NEF (D1)","ADAM28"
"580","HIV-1 GAG-POL NEF (D1)","ADGRE3"
"581","HIV-1 GAG-POL NEF (D1)","ADGRG1"
"582","HIV-1 GAG-POL NEF (D1)","ADK"
"583","HIV-1 GAG-POL NEF (D1)","ADNP"
"584","HIV-1 GAG-POL NEF (D1)","ADPRM"
"585","HIV-1 GAG-POL NEF (D1)","AFF3"
"586","HIV-1 GAG-POL NEF (D1)","AGL"
"587","HIV-1 GAG-POL NEF (D1)","AGMAT"
"588","HIV-1 GAG-POL NEF (D1)","AGTPBP1"
"589","HIV-1 GAG-POL NEF (D1)","AHCTF1"
"590","HIV-1 GAG-POL NEF (D1)","AHNAK"
"591","HIV-1 GAG-POL NEF (D1)","AK5"
"592","HIV-1 GAG-POL NEF (D1)","AKR1B1"
"593","HIV-1 GAG-POL NEF (D1)","AKR1C3"
"594","HIV-1 GAG-POL NEF (D1)","AKT3"
