"","genes","infection_vaccination","n_conditions","comparison"
"201","LINC00862","Infection",9,"Infection only"
"202","LINC00865","Infection",9,"Infection only"
"203","LINC00920","Infection",9,"Infection only"
"204","LINC01003","Infection",9,"Infection only"
"205","LINC01093","Infection",9,"Infection only"
"206","LOC100268168","Infection",9,"Infection only"
"207","LOC101927131","Infection",9,"Infection only"
"208","LOC105747689","Infection",9,"Infection only"
"209","LOC285696","Infection",9,"Infection only"
"210","LOC728175","Infection",9,"Infection only"
"211","LTK","Infection",9,"Infection only"
"212","MACROD2","Infection",9,"Infection only"
"213","MBOAT2","Infection",9,"Infection only"
"214","MCEMP1","Infection",9,"Infection only"
"215","MCL1","Infection",9,"Infection only"
"216","MED14OS","Infection",9,"Infection only"
"217","MIR4263","Infection",9,"Infection only"
"218","MIR4435-2HG","Infection",9,"Infection only"
"219","MIR4772","Infection",9,"Infection only"
"220","MIR616","Infection",9,"Infection only"
"221","MIR6514","Infection",9,"Infection only"
"222","MKS1","Infection",9,"Infection only"
"223","MRM1","Infection",9,"Infection only"
"224","MYO10","Infection",9,"Infection only"
"225","N6AMT1","Infection",9,"Infection only"
"226","NEDD8","Infection",9,"Infection only"
"227","NIPAL3","Infection",9,"Infection only"
"228","NMNAT2","Infection",9,"Infection only"
"229","NOG","Infection",9,"Infection only"
"230","NR1I3","Infection",9,"Infection only"
"231","NRCAM","Infection",9,"Infection only"
"232","NSUN7","Infection",9,"Infection only"
"233","NT5E","Infection",9,"Infection only"
"234","NXF3","Infection",9,"Infection only"
"235","OLFM4","Infection",9,"Infection only"
"236","PAPPA2","Infection",9,"Infection only"
"237","PCDH9","Infection",9,"Infection only"
"238","PCOLCE2","Infection",9,"Infection only"
"239","PHC2","Infection",9,"Infection only"
"240","PLIN3","Infection",9,"Infection only"
"241","PLIN5","Infection",9,"Infection only"
"242","PMEL","Infection",9,"Infection only"
"243","POU5F1","Infection",9,"Infection only"
"244","PTEN","Infection",9,"Infection only"
"245","PXT1","Infection",9,"Infection only"
"246","RAB13","Infection",9,"Infection only"
"247","RAI14","Infection",9,"Infection only"
"248","RALB","Infection",9,"Infection only"
"249","RNF10","Infection",9,"Infection only"
"250","ROPN1L","Infection",9,"Infection only"
"251","RRM2","Infection",9,"Infection only"
"252","S100A6","Infection",9,"Infection only"
"253","SERPINB1","Infection",9,"Infection only"
"254","SIPA1L2","Infection",9,"Infection only"
"255","SLC22A23","Infection",9,"Infection only"
"256","SLC26A8","Infection",9,"Infection only"
"257","SLC28A3","Infection",9,"Infection only"
"258","SLC30A1","Infection",9,"Infection only"
"259","SLC51A","Infection",9,"Infection only"
"260","SNORA31","Infection",9,"Infection only"
"261","SNORD89","Infection",9,"Infection only"
"262","SORT1","Infection",9,"Infection only"
"263","SVBP","Infection",9,"Infection only"
"264","SVILP1","Infection",9,"Infection only"
"265","SYN2","Infection",9,"Infection only"
"266","SYT17","Infection",9,"Infection only"
"267","THNSL1","Infection",9,"Infection only"
"268","TMEM204","Infection",9,"Infection only"
"269","TMSB4X","Infection",9,"Infection only"
"270","TSHZ1","Infection",9,"Infection only"
"271","TTC28","Infection",9,"Infection only"
"272","UPP1","Infection",9,"Infection only"
"273","YPEL5","Infection",9,"Infection only"
"274","ZBTB4","Infection",9,"Infection only"
"275","ZCCHC12","Infection",9,"Infection only"
"276","ZFP41","Infection",9,"Infection only"
"277","ZNF470","Infection",9,"Infection only"
"278","ZNF525","Infection",9,"Infection only"
"279","ZNF696","Infection",9,"Infection only"
"280","ZNF721","Infection",9,"Infection only"
"281","ZNF737","Infection",9,"Infection only"
"282","ZNF792","Infection",9,"Infection only"
"283","ZNF829","Infection",9,"Infection only"
"284","ANKRD22","Vaccination",9,"Vaccination only"
"285","GBP1P1","Vaccination",9,"Vaccination only"
"286","GPR84","Vaccination",9,"Vaccination only"
"287","HES4","Vaccination",9,"Vaccination only"
"288","ANKRD22","Vaccination",9,"Infection and vaccination"
"289","GBP1P1","Vaccination",9,"Infection and vaccination"
"290","GPR84","Vaccination",9,"Infection and vaccination"
"291","GPR84","Infection",9,"Infection and vaccination"
"292","HES4","Vaccination",9,"Infection and vaccination"
"293","CACNA1E","Infection",9,"Infection and vaccination"
"294","KLF5","Infection",9,"Infection and vaccination"
"295","SORT1","Infection",9,"Infection and vaccination"
"296","CDC6","Infection",9,"Infection and vaccination"
"297","EFCAB2","Infection",9,"Infection and vaccination"
"298","LINC01093","Infection",9,"Infection and vaccination"
"299","RRM2","Infection",9,"Infection and vaccination"
"300","SNORD89","Infection",9,"Infection and vaccination"
"301","CEACAM6","Infection",9,"Infection and vaccination"
"302","DNAH17","Infection",9,"Infection and vaccination"
"303","DRAM1","Infection",9,"Infection and vaccination"
"304","FABP6","Infection",9,"Infection and vaccination"
"305","NOG","Infection",9,"Infection and vaccination"
"306","NRCAM","Infection",9,"Infection and vaccination"
"307","OLFM4","Infection",9,"Infection and vaccination"
"308","PLIN5","Infection",9,"Infection and vaccination"
"309","SLC26A8","Infection",9,"Infection and vaccination"
"310","SYN2","Infection",9,"Infection and vaccination"
"311","YPEL5","Infection",9,"Infection and vaccination"
"312","ZCCHC12","Infection",9,"Infection and vaccination"
"313","ACSL1","Infection",9,"Infection and vaccination"
"314","ADAMTS4","Infection",9,"Infection and vaccination"
"315","ANLN","Infection",9,"Infection and vaccination"
"316","ASPRV1","Infection",9,"Infection and vaccination"
"317","B3GNT5","Infection",9,"Infection and vaccination"
"318","BASP1","Infection",9,"Infection and vaccination"
"319","CAPN13","Infection",9,"Infection and vaccination"
"320","CFAP58-AS1","Infection",9,"Infection and vaccination"
"321","CNIH2","Infection",9,"Infection and vaccination"
"322","EAF1","Infection",9,"Infection and vaccination"
"323","FAM151B","Infection",9,"Infection and vaccination"
"324","FBLN2","Infection",9,"Infection and vaccination"
"325","GK3P","Infection",9,"Infection and vaccination"
"326","ITPRIP","Infection",9,"Infection and vaccination"
"327","KRT73-AS1","Infection",9,"Infection and vaccination"
"328","LOC100268168","Infection",9,"Infection and vaccination"
"329","LOC101927131","Infection",9,"Infection and vaccination"
"330","LOC105747689","Infection",9,"Infection and vaccination"
"331","LOC285696","Infection",9,"Infection and vaccination"
"332","MCL1","Infection",9,"Infection and vaccination"
"333","MYO10","Infection",9,"Infection and vaccination"
"334","N6AMT1","Infection",9,"Infection and vaccination"
"335","NMNAT2","Infection",9,"Infection and vaccination"
"336","NSUN7","Infection",9,"Infection and vaccination"
"337","PAPPA2","Infection",9,"Infection and vaccination"
"338","PXT1","Infection",9,"Infection and vaccination"
"339","SLC30A1","Infection",9,"Infection and vaccination"
"340","SLC51A","Infection",9,"Infection and vaccination"
"341","SNORA31","Infection",9,"Infection and vaccination"
"342","ZNF470","Infection",9,"Infection and vaccination"
"343","A3GALT2","Infection",8,"Infection only"
"344","ABCB1","Infection",8,"Infection only"
"345","ABHD12B","Infection",8,"Infection only"
"346","AGAP9","Infection",8,"Infection only"
"347","AK5","Infection",8,"Infection only"
"348","AKAP12","Infection",8,"Infection only"
"349","ALS2CL","Infection",8,"Infection only"
"350","AP3B2","Infection",8,"Infection only"
"351","APBB2","Infection",8,"Infection only"
"352","ARL4A","Infection",8,"Infection only"
"353","ATP6V0E2-AS1","Infection",8,"Infection only"
"354","BCL7A","Infection",8,"Infection only"
"355","BCL9L","Infection",8,"Infection only"
"356","BIRC5","Infection",8,"Infection only"
"357","C12orf65","Infection",8,"Infection only"
"358","C1orf145","Infection",8,"Infection only"
"359","C3orf62","Infection",8,"Infection only"
"360","C5orf47","Infection",8,"Infection only"
"361","CA12","Infection",8,"Infection only"
"362","CACNA1C-AS1","Infection",8,"Infection only"
"363","CAPZA2","Infection",8,"Infection only"
"364","CCDC152","Infection",8,"Infection only"
"365","CCIN","Infection",8,"Infection only"
"366","CDC20","Infection",8,"Infection only"
"367","CDC25B","Infection",8,"Infection only"
"368","CDC25C","Infection",8,"Infection only"
"369","CDCA8","Infection",8,"Infection only"
"370","CDHR1","Infection",8,"Infection only"
"371","CDHR3","Infection",8,"Infection only"
"372","CHCHD6","Infection",8,"Infection only"
"373","CHMP2B","Infection",8,"Infection only"
"374","CHPT1","Infection",8,"Infection only"
"375","CLRN1","Infection",8,"Infection only"
"376","CLRN1-AS1","Infection",8,"Infection only"
"377","CLTCL1","Infection",8,"Infection only"
"378","CNEP1R1","Infection",8,"Infection only"
"379","CNIH4","Infection",8,"Infection only"
"380","COL5A3","Infection",8,"Infection only"
"381","COL6A2","Infection",8,"Infection only"
"382","COQ10B","Infection",8,"Infection only"
"383","CPEB2","Infection",8,"Infection only"
"384","CPEB3","Infection",8,"Infection only"
"385","CREB5","Infection",8,"Infection only"
"386","CRISP2","Infection",8,"Infection only"
"387","CRYBA1","Infection",8,"Infection only"
"388","CSGALNACT2","Infection",8,"Infection only"
"389","CYB5D1","Infection",8,"Infection only"
"390","CYB5R4","Infection",8,"Infection only"
"391","CYSTM1","Infection",8,"Infection only"
"392","DDX60L","Infection",8,"Infection only"
"393","DEFA8P","Infection",8,"Infection only"
"394","DHRS3","Infection",8,"Infection only"
"395","DMRTC2","Infection",8,"Infection only"
"396","DNAH6","Infection",8,"Infection only"
"397","DNAJC25","Infection",8,"Infection only"
"398","DPYD-AS2","Infection",8,"Infection only"
"399","DSC1","Infection",8,"Infection only"
"400","DUSP13","Infection",8,"Infection only"
"401","ECHDC3","Infection",8,"Infection only"
"402","ENGASE","Infection",8,"Infection only"
"403","EPCAM","Infection",8,"Infection only"
"404","EPHA4","Infection",8,"Infection only"
"405","ESPL1","Infection",8,"Infection only"
"406","EXOC6","Infection",8,"Infection only"
"407","F5","Infection",8,"Infection only"
"408","FAHD2B","Infection",8,"Infection only"
"409","FAM102A","Infection",8,"Infection only"
"410","FAM209A","Infection",8,"Infection only"
"411","FAM49B","Infection",8,"Infection only"
"412","FAM71F1","Infection",8,"Infection only"
"413","FAM8A1","Infection",8,"Infection only"
"414","FBXO33","Infection",8,"Infection only"
"415","FCHO2","Infection",8,"Infection only"
"416","FGD4","Infection",8,"Infection only"
"417","FKBP5","Infection",8,"Infection only"
"418","FLVCR2","Infection",8,"Infection only"
"419","FNDC8","Infection",8,"Infection only"
"420","FOXC1","Infection",8,"Infection only"
"421","GALNT14","Infection",8,"Infection only"
"422","GAS7","Infection",8,"Infection only"
"423","GGH","Infection",8,"Infection only"
"424","GIMAP7","Infection",8,"Infection only"
"425","GLIPR1L2","Infection",8,"Infection only"
"426","GLP2R","Infection",8,"Infection only"
"427","GNG5","Infection",8,"Infection only"
"428","GOLGA6C","Infection",8,"Infection only"
"429","GRINA","Infection",8,"Infection only"
"430","GSDMC","Infection",8,"Infection only"
"431","GSG1L","Infection",8,"Infection only"
"432","GSTO1","Infection",8,"Infection only"
"433","HABP4","Infection",8,"Infection only"
"434","HAUS4","Infection",8,"Infection only"
"435","HHATL","Infection",8,"Infection only"
"436","HIF1A-AS2","Infection",8,"Infection only"
"437","HIST1H2BK","Infection",8,"Infection only"
"438","HJURP","Infection",8,"Infection only"
"439","HMP19","Infection",8,"Infection only"
"440","HORMAD1","Infection",8,"Infection only"
"441","HRASLS","Infection",8,"Infection only"
"442","HSPG2","Infection",8,"Infection only"
"443","HTR3A","Infection",8,"Infection only"
"444","HTRA1","Infection",8,"Infection only"
"445","IFRD1","Infection",8,"Infection only"
"446","IFT20","Infection",8,"Infection only"
"447","IGFBP7","Infection",8,"Infection only"
"448","IKZF2","Infection",8,"Infection only"
"449","IL11RA","Infection",8,"Infection only"
"450","KCNE1","Infection",8,"Infection only"
"451","KIAA0101","Infection",8,"Infection only"
"452","KIF1B","Infection",8,"Infection only"
"453","KLHL3","Infection",8,"Infection only"
"454","KRT73","Infection",8,"Infection only"
"455","LARGE","Infection",8,"Infection only"
"456","LDLRAP1","Infection",8,"Infection only"
"457","LEF1-AS1","Infection",8,"Infection only"
"458","LIN7A","Infection",8,"Infection only"
"459","LINC00482","Infection",8,"Infection only"
"460","LINC01191","Infection",8,"Infection only"
"461","LINC01336","Infection",8,"Infection only"
"462","LINC01506","Infection",8,"Infection only"
"463","LINC01545","Infection",8,"Infection only"
"464","LINC01550","Infection",8,"Infection only"
"465","LMO7","Infection",8,"Infection only"
"466","LOC100288846","Infection",8,"Infection only"
"467","LOC100289561","Infection",8,"Infection only"
"468","LOC100506985","Infection",8,"Infection only"
"469","LOC101927066","Infection",8,"Infection only"
"470","LOC101928093","Infection",8,"Infection only"
"471","LOC101928370","Infection",8,"Infection only"
"472","LOC101929698","Infection",8,"Infection only"
"473","LOC102723704","Infection",8,"Infection only"
"474","LOC399715","Infection",8,"Infection only"
"475","LOXL1","Infection",8,"Infection only"
"476","LPCAT2","Infection",8,"Infection only"
"477","LRRN1","Infection",8,"Infection only"
"478","LTBP3","Infection",8,"Infection only"
"479","LY6G6C","Infection",8,"Infection only"
"480","M1AP","Infection",8,"Infection only"
"481","MAGEH1","Infection",8,"Infection only"
"482","MAN1C1","Infection",8,"Infection only"
"483","MAOA","Infection",8,"Infection only"
"484","MARCKS","Infection",8,"Infection only"
"485","MCTP2","Infection",8,"Infection only"
"486","MEF2A","Infection",8,"Infection only"
"487","METTL9","Infection",8,"Infection only"
"488","MGC16025","Infection",8,"Infection only"
"489","MIR181A1HG","Infection",8,"Infection only"
"490","MIR4434","Infection",8,"Infection only"
"491","MIR5690","Infection",8,"Infection only"
"492","MIR6820","Infection",8,"Infection only"
"493","MIR6883","Infection",8,"Infection only"
"494","MMP1","Infection",8,"Infection only"
"495","MSRB2","Infection",8,"Infection only"
"496","MYO16-AS1","Infection",8,"Infection only"
"497","NELL2","Infection",8,"Infection only"
"498","NME8","Infection",8,"Infection only"
"499","NMT2","Infection",8,"Infection only"
"500","NNT-AS1","Infection",8,"Infection only"
"501","NOCT","Infection",8,"Infection only"
"502","NPAS2","Infection",8,"Infection only"
"503","NQO2","Infection",8,"Infection only"
"504","NR2E1","Infection",8,"Infection only"
"505","NRADDP","Infection",8,"Infection only"
"506","OLAH","Infection",8,"Infection only"
"507","OLFM2","Infection",8,"Infection only"
"508","OR6W1P","Infection",8,"Infection only"
"509","OTUD1","Infection",8,"Infection only"
"510","PACSIN1","Infection",8,"Infection only"
"511","PAQR6","Infection",8,"Infection only"
"512","PCED1B","Infection",8,"Infection only"
"513","PDE6B","Infection",8,"Infection only"
"514","PFKFB3","Infection",8,"Infection only"
"515","PGS1","Infection",8,"Infection only"
"516","PHTF1","Infection",8,"Infection only"
"517","PIWIL4","Infection",8,"Infection only"
"518","PKD1","Infection",8,"Infection only"
"519","PLAU","Infection",8,"Infection only"
"520","PLEKHF1","Infection",8,"Infection only"
"521","PLEKHG4","Infection",8,"Infection only"
"522","PLXDC1","Infection",8,"Infection only"
"523","PM20D1","Infection",8,"Infection only"
"524","PPAP2B","Infection",8,"Infection only"
"525","PREPL","Infection",8,"Infection only"
"526","PROS1","Infection",8,"Infection only"
"527","PRPF40B","Infection",8,"Infection only"
"528","PRR12","Infection",8,"Infection only"
"529","PRRT4","Infection",8,"Infection only"
"530","PTCH1","Infection",8,"Infection only"
"531","PTGFR","Infection",8,"Infection only"
"532","PTPN13","Infection",8,"Infection only"
"533","PTPRCAP","Infection",8,"Infection only"
"534","PTPRK","Infection",8,"Infection only"
"535","PYGL","Infection",8,"Infection only"
"536","RAD23B","Infection",8,"Infection only"
"537","RAI1","Infection",8,"Infection only"
"538","RASSF1-AS1","Infection",8,"Infection only"
"539","RCAN3","Infection",8,"Infection only"
"540","REM2","Infection",8,"Infection only"
"541","RMI2","Infection",8,"Infection only"
"542","RNF144B","Infection",8,"Infection only"
"543","RPS16P5","Infection",8,"Infection only"
"544","RPTOR","Infection",8,"Infection only"
"545","RRP7BP","Infection",8,"Infection only"
"546","RTN3","Infection",8,"Infection only"
"547","S100A11","Infection",8,"Infection only"
"548","S100P","Infection",8,"Infection only"
"549","SAMSN1-AS1","Infection",8,"Infection only"
"550","SAP30","Infection",8,"Infection only"
"551","SARDH","Infection",8,"Infection only"
"552","SCRG1","Infection",8,"Infection only"
"553","SEMA4C","Infection",8,"Infection only"
"554","SERTAD2","Infection",8,"Infection only"
"555","SEZ6L","Infection",8,"Infection only"
"556","SGK223","Infection",8,"Infection only"
"557","SH3GLB1","Infection",8,"Infection only"
"558","SH3PXD2B","Infection",8,"Infection only"
"559","SLC1A3","Infection",8,"Infection only"
"560","SLC22A1","Infection",8,"Infection only"
"561","SLC37A3","Infection",8,"Infection only"
"562","SLC4A10","Infection",8,"Infection only"
"563","SLC4A9","Infection",8,"Infection only"
"564","SNORD12C","Infection",8,"Infection only"
"565","SNORD9","Infection",8,"Infection only"
"566","SNX10","Infection",8,"Infection only"
"567","SNX3","Infection",8,"Infection only"
"568","SORBS3","Infection",8,"Infection only"
"569","SPATC1L","Infection",8,"Infection only"
"570","SPEG","Infection",8,"Infection only"
"571","SPINK8","Infection",8,"Infection only"
"572","SPRY2","Infection",8,"Infection only"
"573","SQRDL","Infection",8,"Infection only"
"574","SRGN","Infection",8,"Infection only"
"575","STK17B","Infection",8,"Infection only"
"576","STOM","Infection",8,"Infection only"
"577","SUMO1P1","Infection",8,"Infection only"
"578","TARP","Infection",8,"Infection only"
"579","TCN1","Infection",8,"Infection only"
"580","TGM4","Infection",8,"Infection only"
"581","THCAT158","Infection",8,"Infection only"
"582","THEM4","Infection",8,"Infection only"
"583","TMC3","Infection",8,"Infection only"
"584","TMEM132D","Infection",8,"Infection only"
"585","TMEM177","Infection",8,"Infection only"
"586","TMEM25","Infection",8,"Infection only"
"587","TMEM253","Infection",8,"Infection only"
"588","TMEM38A","Infection",8,"Infection only"
"589","TOR1AIP2","Infection",8,"Infection only"
"590","TPTEP1","Infection",8,"Infection only"
"591","TRABD2A","Infection",8,"Infection only"
"592","TSPAN16","Infection",8,"Infection only"
"593","TULP2","Infection",8,"Infection only"
"594","USB1","Infection",8,"Infection only"
"595","VAPA","Infection",8,"Infection only"
"596","WNT7A","Infection",8,"Infection only"
"597","YOD1","Infection",8,"Infection only"
"598","ZDHHC19","Infection",8,"Infection only"
"599","ZFP37","Infection",8,"Infection only"
"600","ZNF135","Infection",8,"Infection only"
"601","ZNF141","Infection",8,"Infection only"
"602","ZNF181","Infection",8,"Infection only"
"603","ZNF205","Infection",8,"Infection only"
"604","ZNF358","Infection",8,"Infection only"
"605","ZNF416","Infection",8,"Infection only"
"606","ZNF420","Infection",8,"Infection only"
"607","ZNF608","Infection",8,"Infection only"
"608","ZNF677","Infection",8,"Infection only"
"609","ZNF777","Infection",8,"Infection only"
"610","ZNF786","Infection",8,"Infection only"
"611","ZNF790","Infection",8,"Infection only"
"612","ZNF815P","Infection",8,"Infection only"
"613","AGRN","Vaccination",8,"Vaccination only"
